Date,Open,High,Low,Close,Volume,Change
2023-01-31,7280,9460,7280,9460,98108,
2023-02-01,12290,12290,11230,12290,1480577,0.2991543340380549
2023-02-02,14120,14800,11800,12500,3370198,0.01708706265256299
2023-02-03,12050,16250,11820,16250,3594250,0.30000000000000004
2023-02-06,17170,21100,15500,21100,2306424,0.29846153846153856
2023-02-07,24100,27400,24100,27400,838402,0.2985781990521328
2023-02-08,32400,33500,27200,28700,2386526,0.04744525547445266
2023-02-09,30200,31000,25600,27400,1248278,-0.04529616724738672
2023-02-10,26100,26900,23000,23650,725041,-0.1368613138686131
2023-02-13,23050,24400,21750,23750,487939,0.0042283298097252064
2023-02-14,23450,25650,22550,23000,854294,-0.03157894736842104
2023-02-15,22800,23700,21050,21400,429076,-0.06956521739130439
2023-02-16,21250,22200,20450,21000,281859,-0.01869158878504673
2023-02-17,21550,24400,20900,21300,636215,0.014285714285714235
2023-02-20,20800,21050,19800,19970,171722,-0.0624413145539906
2023-02-21,20500,22950,20150,21400,530494,0.0716074111166749
2023-02-22,20650,21400,20000,21350,191737,-0.002336448598130869
2023-02-23,22550,23750,20450,21400,449605,0.0023419203747072626
2023-02-24,20800,21300,20200,20400,151473,-0.04672897196261683
2023-02-27,19900,19900,17910,17910,204639,-0.12205882352941178
2023-02-28,18070,23250,17710,23250,2203471,0.2981574539363485
2023-03-02,24300,26050,22100,23900,2199094,0.027956989247311936
2023-03-03,22850,24500,21650,21650,696510,-0.09414225941422594
2023-03-06,21000,21300,19850,19850,287594,-0.08314087759815247
2023-03-07,18500,18500,17480,17480,142536,-0.1193954659949622
2023-03-08,17080,18000,16560,17310,107478,-0.0097254004576659
2023-03-09,17000,17350,16450,16480,54428,-0.047949162333911
2023-03-10,17070,17070,15830,16200,62337,-0.016990291262135915
2023-03-13,15600,15600,15000,15030,73278,-0.07222222222222219
2023-03-14,14630,14630,14030,14220,66486,-0.053892215568862256
2023-03-15,14760,14760,14350,14400,35866,0.012658227848101333
2023-03-16,14000,14000,13310,13630,60153,-0.053472222222222254
2023-03-17,13950,14670,13690,14150,55591,0.03815113719735885
2023-03-20,13800,14020,13800,13820,35252,-0.023321554770318054
2023-03-21,14070,14070,13820,13850,20345,0.0021707670043416005
2023-03-22,13850,13850,13010,13160,38971,-0.04981949458483759
2023-03-23,12840,12840,12100,12220,76641,-0.0714285714285714
2023-03-24,12530,13040,12530,12650,57614,0.035188216039279796
2023-03-27,12650,12650,12180,12290,28780,-0.028458498023715362
2023-03-28,12440,12440,11900,12100,22232,-0.015459723352318933
2023-03-29,11950,12300,11950,11990,21012,-0.009090909090909038
2023-03-30,12010,12010,11750,11850,23539,-0.011676396997497895
2023-03-31,11800,12930,11710,12890,37044,0.08776371308016873
2023-04-03,12410,12600,12380,12500,27512,-0.03025601241272302
2023-04-04,12420,13290,12420,12820,30343,0.025600000000000067
2023-04-05,12600,13800,12600,13580,68034,0.05928237129485181
2023-04-06,13240,14250,13240,13510,100758,-0.005154639175257714
2023-04-07,13510,13510,12660,12660,47982,-0.06291635825314579
2023-04-10,12620,12620,12140,12140,28327,-0.041074249605055346
2023-04-11,12390,12440,12150,12440,22152,0.02471169686985175
2023-04-12,12250,12310,12220,12220,17239,-0.01768488745980712
2023-04-13,12120,12120,11810,11820,25327,-0.032733224222585955
2023-04-14,11740,12030,11740,11900,11784,0.006768189509306355
2023-04-17,12000,12000,11710,11730,12593,-0.014285714285714235
2023-04-18,11900,11900,11500,11630,19247,-0.008525149190110826
2023-04-19,11510,11510,11440,11440,8809,-0.016337059329320724
2023-04-20,11440,11440,11090,11090,15126,-0.030594405594405627
2023-04-21,10900,10900,10470,10470,23875,-0.055906221821460766
2023-04-24,10310,10610,10310,10410,15971,-0.005730659025787954
2023-04-25,10400,10400,10200,10240,11035,-0.016330451488952957
2023-04-26,10130,10250,10100,10120,20656,-0.01171875
2023-04-27,10080,10120,9920,10110,15699,-0.0009881422924901129
2023-04-28,10260,10260,9800,9960,12402,-0.014836795252225476
2023-05-02,9890,9970,9890,9970,9928,0.0010040160642570406
2023-05-03,9940,9940,9800,9810,7466,-0.016048144433299938
2023-05-04,9810,9960,9810,9950,7296,0.014271151885830724
2023-05-08,9980,9980,9700,9700,10562,-0.025125628140703515
2023-05-09,9800,9800,9500,9500,9232,-0.020618556701030966
2023-05-10,9400,9890,9400,9450,11009,-0.0052631578947368585
2023-05-11,9350,9560,9310,9310,10344,-0.014814814814814836
2023-05-12,9590,9590,9390,9410,5029,0.01074113856068748
2023-05-15,9250,9380,9010,9110,12597,-0.03188097768331566
2023-05-16,8970,8970,8920,8930,7013,-0.01975850713501648
2023-05-17,8800,8850,8760,8850,9220,-0.00895856662933936
2023-05-18,8770,9060,8770,8850,5465,0.0
2023-05-19,8810,9000,8810,8850,5602,0.0
2023-05-22,9200,11500,9200,11500,121259,0.2994350282485876
2023-05-23,10980,10980,10220,10330,159193,-0.10173913043478255
2023-05-24,10490,10490,10100,10100,39976,-0.022265246853823806
2023-05-25,10110,10310,9910,9910,19704,-0.01881188118811883
2023-05-26,9940,9940,9610,9610,13966,-0.030272452068617506
2023-05-30,9850,9850,9610,9620,10084,0.0010405827263266776
2023-05-31,9750,9750,9400,9400,10465,-0.022869022869022815
2023-06-01,9370,9900,9280,9750,14304,0.037234042553191404
2023-06-02,9870,9870,9610,9640,9778,-0.011282051282051286
2023-06-05,9600,9620,9510,9620,7022,-0.0020746887966804906
2023-06-07,9560,9620,9550,9570,8011,-0.00519750519750517
2023-06-08,9520,9600,9490,9600,8776,0.0031347962382444194
2023-06-09,9530,9640,9510,9610,12276,0.0010416666666666075
2023-06-12,10400,12050,10400,10470,171899,0.08949011446409982
2023-06-13,10160,10160,9980,9980,33231,-0.04680038204393511
2023-06-14,9960,10140,9500,9620,12884,-0.03607214428857719
2023-06-15,9510,9800,9510,9800,11188,0.018711018711018657
2023-06-16,10290,10290,9650,9770,17201,-0.003061224489795955
2023-06-19,9660,9860,9660,9660,9064,-0.011258955987717534
2023-06-20,9660,9740,9560,9740,11185,0.008281573498964745
2023-06-21,9580,9640,9500,9540,11206,-0.02053388090349073
2023-06-22,9510,9900,9510,9610,15399,0.007337526205450695
2023-06-23,9570,9570,9400,9420,9916,-0.019771071800208095
2023-06-26,9130,9450,9130,9420,14687,0.0
2023-06-27,9260,9300,9240,9280,7810,-0.014861995753715496
2023-06-28,9200,9200,9070,9080,9150,-0.02155172413793105
2023-06-29,9000,9000,8910,8980,2778,-0.011013215859030812
2023-06-30,9300,9300,8900,8960,3476,-0.00222717149220486
2023-07-03,9100,9100,8880,8900,3875,-0.006696428571428603
2023-07-04,8700,8700,8480,8590,29386,-0.03483146067415732
2023-07-05,8520,8520,8300,8380,9624,-0.024447031431897526
2023-07-06,8270,8270,8170,8230,6713,-0.017899761336515496
2023-07-07,8230,8340,8010,8340,7853,0.013365735115431265
2023-07-10,8390,8450,8260,8290,8747,-0.005995203836930418
2023-07-11,8470,8470,8230,8240,7614,-0.006031363088057851
2023-07-12,8140,8240,8000,8000,6011,-0.029126213592232997
2023-07-13,8000,8000,7890,7990,6804,-0.0012499999999999734
2023-07-14,8090,8090,7910,7930,3260,-0.007509386733416723
2023-07-17,8200,8200,7960,8000,2560,0.008827238335435084
2023-07-18,8000,8190,8000,8190,5026,0.023749999999999938
2023-07-19,8490,8490,8050,8060,3698,-0.015873015873015928
2023-07-20,8060,8060,7930,8030,4746,-0.003722084367245637
2023-07-21,7970,8000,7810,7810,3621,-0.0273972602739726
