Date,Open,High,Low,Close,Volume,Change
2022-01-03,8040,8110,7930,8000,9292,-0.00497512437810943
2022-01-04,8000,8070,7790,7840,52725,-0.020000000000000018
2022-01-05,7990,7990,7690,7840,40595,0.0
2022-01-06,7670,7830,7650,7810,29976,-0.003826530612244916
2022-01-07,7780,7810,7660,7720,24380,-0.011523687580025643
2022-01-10,7720,8010,7650,7920,66536,0.02590673575129543
2022-01-11,7920,8070,7860,7940,17021,0.002525252525252597
2022-01-12,7940,8300,7870,8300,77014,0.04534005037783384
2022-01-13,8260,8300,8090,8210,19536,-0.010843373493975905
2022-01-14,8190,8190,7870,8000,53232,-0.025578562728379994
2022-01-17,7990,8000,7800,7910,16273,-0.011249999999999982
2022-01-18,7910,7920,7690,7870,12571,-0.005056890012642201
2022-01-19,7800,7880,7510,7590,59758,-0.03557814485387545
2022-01-20,7590,7710,7540,7630,15943,0.005270092226614009
2022-01-21,7640,7780,7600,7630,9229,0.0
2022-01-24,7690,7700,7430,7430,33870,-0.026212319790301475
2022-01-25,7530,7550,7090,7200,45841,-0.030955585464333746
2022-01-26,7160,7300,7020,7170,23400,-0.004166666666666652
2022-01-27,7220,7300,6690,6830,118509,-0.04741980474198049
2022-01-28,6990,7130,6860,7070,25043,0.03513909224011713
2022-02-03,7380,7380,7180,7290,16340,0.03111739745403108
2022-02-04,7290,7360,7110,7270,18093,-0.002743484224965731
2022-02-07,7270,7500,7190,7470,26398,0.02751031636863832
2022-02-08,7410,7460,7200,7370,15974,-0.01338688085676043
2022-02-09,7370,7400,7270,7320,8225,-0.006784260515603768
2022-02-10,7290,7330,7110,7180,10165,-0.01912568306010931
2022-02-11,7180,7280,7090,7150,13396,-0.004178272980501441
2022-02-14,7150,7260,7030,7220,19359,0.009790209790209836
2022-02-15,7090,7230,6890,7050,19683,-0.023545706371191133
2022-02-16,7240,7290,7060,7140,13715,0.012765957446808418
2022-02-17,7200,7250,7100,7170,14053,0.004201680672268893
2022-02-18,7100,7220,7060,7210,10021,0.00557880055788007
2022-02-21,7200,7910,7050,7210,92085,0.0
2022-02-22,7210,7260,7130,7180,16526,-0.004160887656033285
2022-02-23,7180,7600,7180,7470,78556,0.04038997214484685
2022-02-24,7470,7470,7150,7240,41221,-0.030789825970548912
2022-02-25,7260,7450,7230,7230,23909,-0.0013812154696132284
2022-02-28,7240,7350,7210,7330,9600,0.013831258644536604
2022-03-02,7790,7790,7330,7470,24239,0.019099590723056004
2022-03-03,7480,7940,7480,7850,80008,0.05087014725568939
2022-03-04,7850,8140,7740,7950,59621,0.01273885350318471
2022-03-07,7950,7950,7700,7720,19594,-0.028930817610062887
2022-03-08,7650,7770,7570,7700,14453,-0.002590673575129543
2022-03-10,7690,7900,7620,7730,13939,0.003896103896103842
2022-03-11,7730,7830,7720,7740,8965,0.001293661060802087
2022-03-14,7740,7920,7610,7730,18274,-0.0012919896640827266
2022-03-15,7760,7800,7460,7550,22367,-0.023285899094437235
2022-03-16,7600,7610,7500,7540,17156,-0.0013245033112583293
2022-03-17,7610,7740,7540,7630,17699,0.011936339522546469
2022-03-18,7630,7800,7530,7800,30474,0.022280471821756187
2022-03-21,7800,8090,7800,7890,35399,0.011538461538461497
2022-03-22,8080,8080,7760,7990,15702,0.012674271229404344
2022-03-23,7990,8060,7850,7940,16138,-0.006257822277847325
2022-03-24,7940,7970,7780,7920,10509,-0.0025188916876573986
2022-03-25,7920,8010,7900,8010,19525,0.011363636363636465
2022-03-28,8000,8000,7850,7880,13861,-0.01622971285892638
2022-03-29,7980,7980,7700,7770,16156,-0.013959390862944177
2022-03-30,7860,7970,7730,7870,26917,0.01287001287001277
2022-03-31,7920,8010,7740,7950,31867,0.010165184243964509
2022-04-01,8050,8070,7900,8070,32927,0.015094339622641506
2022-04-04,8110,8110,7990,8070,11627,0.0
2022-04-05,8080,8080,7970,8060,9874,-0.0012391573729864103
