Date,Open,High,Low,Close,Volume,Change
2022-01-03,23200,23300,23000,23050,66559,-0.010729613733905574
2022-01-04,23050,23100,22700,22800,94993,-0.010845986984815648
2022-01-05,22750,22950,22650,22800,80423,0.0
2022-01-06,22700,22950,22650,22800,83732,0.0
2022-01-07,22900,23300,22850,23150,84900,0.015350877192982448
2022-01-10,23250,23500,22950,23000,61674,-0.006479481641468721
2022-01-11,22950,23150,22800,22800,53514,-0.008695652173912993
2022-01-12,22850,23050,22850,22950,54524,0.006578947368421018
2022-01-13,22900,23200,22800,22950,83901,0.0
2022-01-14,22950,23000,22650,22700,74292,-0.01089324618736387
2022-01-17,22650,22800,22600,22700,58404,0.0
2022-01-18,22600,22800,22150,22200,64732,-0.022026431718061623
2022-01-19,21650,22300,21650,21950,99271,-0.011261261261261257
2022-01-20,22000,22350,21950,22300,60275,0.015945330296127658
2022-01-21,22050,22250,22000,22100,42315,-0.008968609865470878
2022-01-24,22100,22450,21900,22100,125847,0.0
2022-01-25,22200,22300,21350,21400,155566,-0.03167420814479638
2022-01-26,21500,21850,21450,21500,77005,0.004672897196261738
2022-01-27,21500,21700,20700,20750,118604,-0.03488372093023251
2022-01-28,21000,22200,20600,22150,183818,0.06746987951807237
2022-02-03,22300,22700,22050,22300,99962,0.006772009029345272
2022-02-04,22150,22750,22100,22750,83824,0.020179372197309364
2022-02-07,22800,23250,22450,23150,186016,0.01758241758241752
2022-02-08,23050,23400,22700,22850,94674,-0.01295896328293733
2022-02-09,22950,23150,22850,23000,84949,0.006564551422319376
2022-02-10,23100,23100,22850,22950,86649,-0.0021739130434782483
2022-02-11,22800,23300,22600,22650,130557,-0.013071895424836555
2022-02-14,22400,22750,22200,22700,99726,0.002207505518763808
2022-02-15,22700,22750,22250,22500,81245,-0.008810572687224627
2022-02-16,22750,22900,22500,22700,99521,0.008888888888888946
2022-02-17,22850,23100,22550,22800,105586,0.004405286343612369
2022-02-18,22700,23700,22600,23550,358592,0.03289473684210531
2022-02-21,23500,23500,23150,23350,128332,-0.00849256900212314
2022-02-22,23250,23400,22900,23250,129506,-0.004282655246252709
2022-02-23,23350,23500,23150,23250,94849,0.0
2022-02-24,23100,23150,22450,22650,124344,-0.02580645161290318
2022-02-25,22750,22850,22250,22300,140268,-0.015452538631346546
2022-02-28,22300,22450,22000,22250,113998,-0.0022421524663677195
2022-03-02,22150,22350,22000,22150,93952,-0.004494382022471877
2022-03-03,22300,22700,22200,22450,90294,0.013544018058690765
2022-03-04,22500,22500,22150,22350,59038,-0.0044543429844098315
