Date,Open,High,Low,Close,Volume,Change
2025-05-12,16860,20350,14560,14750,42739710,
2025-05-13,15550,17100,14710,15560,14104725,0.05491525423728816
2025-05-14,15800,17780,15160,16510,18934244,0.06105398457583555
2025-05-15,16920,21450,16800,21450,25842912,0.29921259842519676
2025-05-16,22300,23700,20300,21200,14372724,-0.011655011655011704
2025-05-19,21200,22950,19210,19930,5879845,-0.05990566037735845
2025-05-20,20200,20750,18350,18920,6964409,-0.05067737079779222
2025-05-21,18870,21100,18860,19720,8578646,0.04228329809725162
2025-05-22,19730,21300,19500,19840,5352882,0.006085192697768749
2025-05-23,20550,22150,17750,17830,7710201,-0.10131048387096775
2025-05-26,18000,19890,16970,18320,5414786,0.027481772293886708
2025-05-27,18410,19200,18220,18650,2358341,0.01801310043668125
2025-05-28,18830,20800,18150,18300,5198842,-0.018766756032171594
2025-05-29,18330,18770,17650,17790,982738,-0.02786885245901638
2025-05-30,18370,19190,17650,17650,2350955,-0.00786958965711071
2025-06-02,17530,17770,16970,16970,637335,-0.03852691218130311
2025-06-04,16970,17340,15520,15570,998456,-0.08249852681202119
2025-06-05,15570,16120,15080,15130,669012,-0.02825947334617851
2025-06-09,15020,15020,14100,14300,598517,-0.05485789821546594
2025-06-10,14500,18500,14330,17230,12518775,0.20489510489510487
2025-06-11,16980,18780,16720,17090,4225665,-0.008125362739408004
