Date,Open,High,Low,Close,Volume,Change
2022-01-03,12500,13350,12500,13350,328,0.026923076923076827
2022-01-04,13350,14450,12800,12850,2313,-0.03745318352059923
2022-01-05,13000,13300,12500,13150,1474,0.023346303501945442
2022-01-06,13400,13400,12950,13250,1929,0.0076045627376426506
2022-01-07,14500,14500,13700,13900,2670,0.049056603773584895
2022-01-10,14450,14450,13500,14200,2191,0.021582733812949728
2022-01-11,14400,14400,13850,14000,1000,-0.014084507042253502
2022-01-12,14450,14450,13650,13950,367,-0.0035714285714285587
2022-01-13,13200,14350,13200,14000,419,0.0035842293906809264
2022-01-14,14350,14350,14000,14000,34,0.0
2022-01-17,14300,14300,13750,14000,340,0.0
2022-01-18,14150,14150,13850,14000,171,0.0
2022-01-19,13950,13950,13550,13950,172,-0.0035714285714285587
2022-01-20,13950,13950,13600,13950,187,0.0
2022-01-21,14050,14050,12550,13950,1252,0.0
2022-01-24,14000,14000,13550,13850,564,-0.007168458781361964
2022-01-25,13100,14050,13100,13800,1220,-0.0036101083032491488
2022-01-26,14000,14000,12450,13700,6940,-0.007246376811594235
2022-01-27,13100,13450,12500,13150,4376,-0.04014598540145986
2022-01-28,13500,13900,13500,13500,759,0.026615969581748944
2022-02-03,13900,13900,13000,13400,1373,-0.007407407407407418
2022-02-04,12600,13400,12600,13100,946,-0.02238805970149249
2022-02-07,13800,14100,12750,13750,610,0.04961832061068705
2022-02-08,12850,13850,12850,13500,254,-0.018181818181818188
2022-02-09,13000,13750,12850,13450,280,-0.0037037037037036535
2022-02-10,13500,13900,13000,13200,3264,-0.018587360594795488
2022-02-11,13150,13800,13000,13750,7633,0.04166666666666674
2022-02-14,13200,14100,13000,13700,7703,-0.0036363636363636598
2022-02-15,13700,13900,12950,13100,8345,-0.04379562043795615
2022-02-16,12800,13200,12650,13050,626,-0.003816793893129722
2022-02-17,12650,13050,12650,13000,766,-0.003831417624521105
2022-02-18,13000,13250,12600,13100,3507,0.007692307692307665
2022-02-21,11150,13200,11150,13100,3352,0.0
2022-02-22,13150,13150,12800,12950,151,-0.011450381679389277
2022-02-23,13300,13300,12600,12750,808,-0.015444015444015413
2022-02-24,12750,12750,12250,12650,1265,-0.007843137254901933
2022-02-25,13000,13300,12950,13000,77,0.027667984189723382
2022-02-28,12850,13000,12700,12950,1255,-0.0038461538461538325
2022-03-02,13250,13250,12800,12950,169,0.0
2022-03-03,12950,13350,12950,13350,1211,0.030888030888030826
2022-03-04,13300,13300,12500,12800,1347,-0.041198501872659166
2022-03-07,13250,14100,12850,13700,706,0.0703125
2022-03-08,13650,13700,13000,13250,618,-0.03284671532846717
2022-03-10,12700,13200,12700,13200,2246,-0.0037735849056603765
2022-03-11,13200,13450,12700,13250,1333,0.0037878787878788955
2022-03-14,12750,14950,12650,12950,939,-0.02264150943396226
2022-03-15,12950,13150,12800,13150,94,0.015444015444015413
2022-03-16,12500,13200,12500,13100,873,-0.0038022813688213253
2022-03-17,14000,14000,12700,13000,4745,-0.007633587786259555
2022-03-18,13400,13400,12600,13000,688,0.0
2022-03-21,12650,13200,11200,12950,4983,-0.0038461538461538325
2022-03-22,12150,12900,12150,12900,862,-0.0038610038610038533
2022-03-23,12900,12950,12400,12950,199,0.003875968992248069
2022-03-24,13000,13450,12450,12700,3107,-0.019305019305019266
2022-03-25,12500,12900,12500,12800,198,0.007874015748031482
2022-03-28,12950,12950,11300,12450,5172,-0.02734375
2022-03-29,11600,13100,11300,13100,1322,0.052208835341365445
2022-03-30,12500,13400,11150,12450,12845,-0.04961832061068705
2022-03-31,12000,13800,11650,13300,11921,0.06827309236947787
2022-04-01,12500,13750,12500,13150,4453,-0.011278195488721776
2022-04-04,13500,13950,12150,12600,4756,-0.041825095057034245
2022-04-05,13000,13000,12250,12850,1986,0.01984126984126977
2022-04-06,12350,14500,12350,12800,2939,-0.0038910505836575737
2022-04-07,13450,14700,12100,13500,10483,0.0546875
2022-04-08,14000,14000,12650,12950,8320,-0.040740740740740744
2022-04-11,13750,13750,12300,13000,1250,0.0038610038610038533
2022-04-12,13500,13500,12100,12600,3410,-0.03076923076923077
2022-04-13,12750,13000,12000,12650,4419,0.003968253968253954
2022-04-14,12950,12950,12700,12850,1222,0.015810276679841806
2022-04-15,12350,12950,12350,12750,417,-0.0077821011673151474
2022-04-18,13000,13200,12600,13100,15333,0.027450980392156765
2022-04-19,13050,13150,12500,13000,6871,-0.007633587786259555
2022-04-20,13100,13100,12400,12700,7404,-0.023076923076923106
2022-04-21,12900,13000,12450,12500,9769,-0.015748031496062964
2022-04-22,12550,12950,12350,12600,8955,0.008000000000000007
2022-04-25,12550,12700,12500,12600,3763,0.0
2022-04-26,12650,12650,12400,12600,3520,0.0
2022-04-27,12500,12650,12400,12400,4308,-0.015873015873015928
2022-04-28,12500,12600,12350,12500,934,0.008064516129032251
2022-04-29,12600,12800,12500,12800,3780,0.02400000000000002
2022-05-02,12850,13500,12750,12750,4842,-0.00390625
2022-05-03,12750,13000,12750,12950,764,0.015686274509803866
2022-05-04,13250,13300,12500,13100,2670,0.01158301158301156
2022-05-06,13050,13050,12400,12900,7411,-0.01526717557251911
2022-05-09,12950,12950,12000,12850,15661,-0.003875968992248069
2022-05-10,12850,12850,11900,12650,7928,-0.015564202334630295
2022-05-11,12500,13300,12500,12650,1496,0.0
