Date,Open,High,Low,Close,Volume,Change
2025-03-17,27550,28000,18025,18760,17689298,
2025-03-18,18600,19700,17270,17600,4938650,-0.061833688699360345
2025-03-19,18070,20200,17920,18410,7551109,0.04602272727272738
2025-03-20,18190,18250,17110,17180,1368317,-0.06681151548071695
2025-03-21,16730,16950,15550,15590,1100967,-0.09254947613504072
2025-03-24,15380,15950,15020,15020,737796,-0.03656189865298265
2025-03-25,15830,16410,15170,15240,1573987,0.01464713715046595
2025-03-26,15240,15520,14560,15190,836810,-0.0032808398950131545
2025-03-27,16030,16040,15090,15090,1074619,-0.006583278472679366
2025-03-28,14940,14970,14210,14210,409691,-0.05831676607024516
2025-03-31,14320,14520,13350,13350,289972,-0.06052076002814921
2025-04-01,13350,13800,13300,13580,303885,0.017228464419475564
2025-04-02,13650,15620,13230,14950,2594017,0.10088365243004427
2025-04-03,14250,14560,14050,14400,715508,-0.03678929765886285
2025-04-04,14410,14760,13310,13920,834862,-0.033333333333333326
2025-04-07,13500,13560,12520,12530,412357,-0.09985632183908044
2025-04-08,12790,12830,11930,12010,382290,-0.04150039904229852
2025-04-09,11780,12070,11330,11500,219562,-0.042464612822647796
2025-04-10,12080,12270,11770,12030,283685,0.04608695652173922
2025-04-11,11620,12340,11610,12290,196159,0.021612635078969156
2025-04-14,12390,12840,12270,12590,194004,0.024410089503661414
2025-04-15,12550,12700,12350,12630,155565,0.003177124702144596
2025-04-16,12790,13190,12610,12690,378925,0.004750593824228044
2025-04-17,12730,13000,12550,12840,154507,0.011820330969267046
2025-04-18,12900,12900,12405,12410,182581,-0.033489096573208754
2025-04-21,12300,12540,12090,12420,144431,0.0008058017727639033
2025-04-22,12260,12490,12110,12110,126890,-0.0249597423510467
2025-04-23,12300,12590,12120,12450,158697,0.02807597027250197
2025-04-24,12540,12770,12190,12190,134569,-0.0208835341365462
2025-04-25,12300,12440,12110,12130,109942,-0.004922067268252617
2025-04-28,12130,12300,11780,11790,117772,-0.028029678483099785
2025-04-29,11790,12070,11770,11920,75290,0.011026293469041493
2025-04-30,11890,12230,11510,11980,149646,0.005033557046979942
2025-05-02,12200,13120,11960,13100,463701,0.09348914858096835
2025-05-07,13240,13280,12750,12860,197217,-0.018320610687022953
2025-05-08,12860,13360,12720,12880,199096,0.0015552099533437946
2025-05-09,13000,13010,12030,12060,278645,-0.0636645962732919
2025-05-12,12240,12380,11900,11920,166727,-0.011608623548922004
2025-05-13,12010,12500,11650,11760,172855,-0.01342281879194629
2025-05-14,12130,14000,11760,12900,4467497,0.09693877551020402
2025-05-15,13060,13280,12410,12410,542752,-0.037984496124030986
2025-05-16,12300,12300,11810,11980,273112,-0.03464947622884773
2025-05-19,11870,11920,11180,11210,250177,-0.06427378964941566
2025-05-20,11220,11320,10860,10920,160346,-0.025869759143621773
2025-05-21,10940,11230,10910,11100,106244,0.016483516483516425
2025-05-22,10970,11050,10580,10580,133454,-0.04684684684684681
2025-05-23,10580,10860,10530,10540,105715,-0.003780718336483968
2025-05-26,10700,11350,10620,10930,99838,0.03700189753320693
2025-05-27,10940,11250,10820,10940,113631,0.0009149130832570851
2025-05-28,11100,11230,10880,11160,79817,0.02010968921389389
2025-05-29,11200,11210,10950,11000,52433,-0.014336917562724039
2025-05-30,11030,11060,10680,10690,47498,-0.028181818181818197
2025-06-02,10710,10970,10630,10670,41506,-0.00187090739008422
2025-06-04,10750,11050,10730,10900,52596,0.021555763823805085
2025-06-05,10970,11320,10970,11170,99221,0.02477064220183478
2025-06-09,11220,11290,11100,11230,61164,0.005371530886302489
2025-06-10,11300,11340,11110,11170,63169,-0.005342831700801409
2025-06-11,11200,11300,11080,11110,70249,-0.0053715308863026
2025-06-12,11120,11400,11060,11270,91249,0.014401440144014455
2025-06-13,11250,11350,10770,10810,105112,-0.04081632653061229
2025-06-16,10700,11190,10700,11130,82297,0.029602220166512483
2025-06-17,10990,11190,10840,10940,100973,-0.017070979335130243
2025-06-18,10940,11110,10830,11100,82586,0.014625228519195677
2025-06-19,11040,12450,10950,11380,1011061,0.02522522522522519
2025-06-20,11390,14790,11100,13600,7510370,0.195079086115993
2025-06-23,13360,14370,13160,13360,3763241,-0.01764705882352946
2025-06-24,13730,13950,13320,13370,758797,0.0007485029940119681
2025-06-25,13290,13610,13100,13310,521011,-0.004487658937920691
2025-06-26,13140,13200,12300,12510,352481,-0.06010518407212617
2025-06-27,12440,12770,12160,12390,205789,-0.00959232613908878
2025-06-30,12390,12470,11880,12030,184945,-0.029055690072639195
2025-07-01,12240,12440,12160,12240,79702,0.0174563591022443
2025-07-02,12340,12360,11700,11860,86440,-0.03104575163398693
2025-07-03,11980,12090,11820,12090,52262,0.019392917369308593
2025-07-04,12080,12450,11870,11880,119383,-0.017369727047146455
2025-07-07,11800,11800,11440,11460,57481,-0.03535353535353536
2025-07-08,11330,12430,11240,11610,292059,0.01308900523560208
2025-07-09,11620,11830,11490,11720,60872,0.009474590869939625
2025-07-10,11680,11730,11520,11620,43983,-0.008532423208191142
2025-07-11,11980,12600,11950,12170,303752,0.047332185886402645
2025-07-14,12170,12170,11940,12000,54842,-0.01396877567789645
2025-07-15,12160,12170,11800,12100,52680,0.008333333333333304
2025-07-16,12050,12070,11740,11750,39232,-0.02892561983471076
2025-07-17,11750,11930,11620,11650,28236,-0.008510638297872353
2025-07-18,11660,12000,11660,11970,47870,0.02746781115879826
