Date,Open,High,Low,Close,Volume,Change
2025-07-04,36900,43850,35200,38400,20192555,
2025-07-07,37450,38150,31650,31700,6033002,-0.17447916666666663
2025-07-08,30750,37200,30500,32850,7272201,0.0362776025236593
2025-07-09,32800,41950,32200,37650,12195480,0.1461187214611872
2025-07-10,37950,44500,37700,40900,10396751,0.0863213811420982
2025-07-11,41400,48950,40150,45100,9325653,0.10268948655256716
2025-07-14,45500,47350,42100,42350,2582283,-0.060975609756097615
2025-07-15,42300,48950,40550,44450,6694773,0.04958677685950419
2025-07-16,45300,45850,42150,42500,1161102,-0.04386951631046121
2025-07-17,42650,43250,38550,38550,814498,-0.0929411764705882
2025-07-18,38700,40800,37050,37150,776878,-0.036316472114137466
