Date,Open,High,Low,Close,Volume,Change
2022-01-03,15500,15500,15100,15450,14821,0.006514657980456029
2022-01-04,15500,15500,15250,15450,11531,0.0
2022-01-05,15350,15750,15350,15550,15997,0.006472491909385036
2022-01-06,15500,15800,15300,15600,15788,0.003215434083601254
2022-01-07,15600,15850,15550,15650,14122,0.0032051282051281937
2022-01-10,15700,15750,15350,15450,11963,-0.012779552715655007
2022-01-11,15450,15550,15250,15300,8744,-0.009708737864077666
2022-01-12,15400,15450,15200,15250,15753,-0.0032679738562091387
2022-01-13,15150,15400,15150,15250,11365,0.0
2022-01-14,15250,15350,15050,15200,19804,-0.003278688524590123
2022-01-17,15250,15250,15000,15100,13932,-0.006578947368421018
2022-01-18,15000,15150,14950,15000,11431,-0.0066225165562914245
2022-01-19,14650,15000,14650,14900,13698,-0.00666666666666671
2022-01-20,14700,15250,14700,15250,12440,0.02348993288590595
2022-01-21,15250,15400,15000,15150,7160,-0.006557377049180357
2022-01-24,15200,15200,14750,14850,12380,-0.01980198019801982
2022-01-25,14800,14850,14050,14500,36192,-0.023569023569023573
2022-01-26,14500,15200,14450,14700,32895,0.01379310344827589
2022-01-27,14800,15550,14750,14800,61569,0.006802721088435382
2022-01-28,14800,14950,14300,14850,22581,0.0033783783783782884
2022-02-03,14950,15300,14950,15050,18901,0.013468013468013407
2022-02-04,15200,15700,15000,15450,44031,0.02657807308970095
2022-02-07,15650,18700,15300,16500,1462574,0.06796116504854366
2022-02-08,16500,16650,16200,16250,168378,-0.015151515151515138
2022-02-09,16250,16700,16000,16150,103214,-0.006153846153846176
2022-02-10,16200,19000,16200,17300,3148102,0.07120743034055721
2022-02-11,16550,16950,16200,16250,377730,-0.06069364161849711
2022-02-14,16050,16150,15350,15450,132483,-0.04923076923076919
2022-02-15,15250,16900,15250,16150,697208,0.0453074433656957
2022-02-16,16250,16800,16150,16700,143340,0.034055727554179516
2022-02-17,16750,17000,15800,16350,202919,-0.020958083832335328
2022-02-18,16350,17550,16250,17200,440910,0.051987767584097844
2022-02-21,17250,17650,16850,17250,169101,0.0029069767441860517
2022-02-22,16650,17350,16600,17350,101501,0.005797101449275255
2022-02-23,17400,17400,16950,17150,58395,-0.011527377521613813
2022-02-24,17100,17350,16750,16850,60831,-0.017492711370262426
2022-02-25,17050,17400,16800,16850,62246,0.0
2022-02-28,16850,17100,16800,17100,41573,0.014836795252225476
2022-03-02,17200,17200,16750,17000,47609,-0.005847953216374324
2022-03-03,17400,17400,17000,17150,33944,0.008823529411764675
2022-03-04,17150,17150,16900,17000,37466,-0.008746355685131157
2022-03-07,17050,17700,16700,16850,108011,-0.008823529411764675
2022-03-08,16850,16850,16550,16600,27923,-0.014836795252225476
2022-03-10,16950,16950,16600,16850,23843,0.015060240963855387
2022-03-11,16650,16950,16650,16850,20579,0.0
2022-03-14,16850,16950,16450,16500,18639,-0.020771513353115778
2022-03-15,16250,16500,16250,16350,15632,-0.009090909090909038
2022-03-16,16350,16650,16300,16550,12512,0.012232415902140747
2022-03-17,16550,16750,16350,16550,23351,0.0
2022-03-18,16500,16700,16450,16650,12880,0.0060422960725075026
2022-03-21,16650,16850,16650,16800,11602,0.009009009009008917
2022-03-22,16800,16850,16650,16850,9506,0.0029761904761904656
2022-03-23,17000,17000,16700,16700,17915,-0.008902077151335286
2022-03-24,16600,16850,16500,16650,15398,-0.0029940119760478723
2022-03-25,16550,16800,16550,16650,13693,0.0
2022-03-28,16550,16800,16550,16700,14247,0.0030030030030030463
2022-03-29,16900,17200,16750,17100,31873,0.0239520958083832
2022-03-30,17100,18300,16900,18300,187839,0.07017543859649122
2022-03-31,17750,17850,17350,17650,97648,-0.03551912568306015
2022-04-01,17500,17750,17350,17550,43905,-0.005665722379603388
2022-04-04,17800,18150,17600,17600,90194,0.002849002849002913
2022-04-05,17700,17950,17450,17650,50701,0.0028409090909091717
2022-04-06,17500,17650,17250,17600,29993,-0.0028328611898017497
2022-04-07,17400,17500,17100,17200,24648,-0.022727272727272707
2022-04-08,17300,17650,17300,17550,27798,0.02034883720930236
2022-04-11,17600,17800,17500,17650,34182,0.005698005698005604
2022-04-12,17550,17750,17300,17750,28714,0.0056657223796034994
2022-04-13,17950,20150,17350,17350,1871203,-0.022535211267605604
2022-04-14,17450,17650,17250,17400,82953,0.0028818443804035088
2022-04-15,17600,18100,17500,17700,143875,0.01724137931034475
2022-04-18,18000,18150,17800,17850,64458,0.008474576271186418
2022-04-19,18100,18450,17800,17900,97492,0.0028011204481792618
2022-04-20,18050,18600,17850,18250,157950,0.019553072625698276
2022-04-21,18450,18450,17800,17850,63608,-0.021917808219178103
2022-04-22,17750,17950,17550,17700,58015,-0.008403361344537785
2022-04-25,18350,18350,17700,17950,71532,0.01412429378531077
2022-04-26,18050,18500,17700,18000,69423,0.0027855153203342198
2022-04-27,17400,18000,17400,17700,39110,-0.01666666666666672
2022-04-28,17950,17950,17550,17700,25320,0.0
2022-04-29,17750,17900,17600,17700,15640,0.0
2022-05-02,17700,17800,17450,17650,16453,-0.0028248587570621764
2022-05-03,17600,17750,17550,17650,15385,0.0
2022-05-04,17650,17750,17350,17350,24002,-0.016997167138810165
2022-05-06,17350,18700,17250,17600,343765,0.014409221902017322
2022-05-09,17700,17950,16400,16500,87807,-0.0625
2022-05-10,16050,16300,15500,16250,53485,-0.015151515151515138
2022-05-11,16450,16550,16100,16150,24137,-0.006153846153846176
2022-05-12,15800,19200,15750,17300,1794331,0.07120743034055721
2022-05-13,16650,16850,16350,16650,156643,-0.037572254335260125
2022-05-16,16950,18800,16600,17100,1006421,0.027027027027026973
2022-05-17,17100,18350,17000,17750,629547,0.03801169590643272
2022-05-18,17900,17950,17300,17750,114043,0.0
2022-05-19,17350,17450,17150,17300,92593,-0.025352112676056304
2022-05-20,17400,17400,17050,17050,50867,-0.014450867052023142
2022-05-23,17100,17150,16900,16950,39234,-0.0058651026392961825
2022-05-24,17200,17550,16700,16700,90759,-0.014749262536873142
2022-05-25,16950,16950,16500,16600,31317,-0.005988023952095856
