Date,Open,High,Low,Close,Volume,Change
2022-11-03,2110,2270,2105,2175,1226687,
2022-11-04,2175,2200,2165,2200,98348,0.011494252873563315
2022-11-07,2220,2220,2150,2185,85190,-0.006818181818181834
2022-11-08,2185,2185,2150,2160,23943,-0.011441647597253968
2022-11-09,2155,2180,2155,2180,5789,0.0092592592592593
2022-11-10,2175,2220,2175,2200,4306,0.00917431192660545
2022-11-11,2190,2205,2180,2195,4030,-0.002272727272727315
2022-11-14,2190,2195,2180,2195,5614,0.0
2022-11-15,2195,2205,2165,2205,22122,0.004555808656036442
2022-11-16,2170,2220,2170,2220,2565,0.006802721088435382
2022-11-17,2195,2230,2195,2220,17923,0.0
2022-11-18,2190,2215,2190,2190,16149,-0.013513513513513487
2022-11-21,2185,2195,2175,2190,4950,0.0
2022-11-22,2190,2190,2170,2190,3608,0.0
2022-11-23,2190,2190,2155,2175,5768,-0.006849315068493178
2022-11-24,2155,2165,2135,2155,32095,-0.00919540229885063
2022-11-25,2145,2155,2125,2155,2984,0.0
2022-11-28,2175,2175,2145,2155,3607,0.0
2022-11-29,2130,2170,2130,2130,975,-0.011600928074245953
2022-11-30,2165,2175,2140,2150,4013,0.009389671361502261
2022-12-01,2130,2195,2130,2155,2074,0.0023255813953488857
2022-12-02,2155,2155,2145,2155,2141,0.0
2022-12-05,2110,2145,2095,2130,90814,-0.011600928074245953
2022-12-06,2140,2140,2120,2130,13359,0.0
2022-12-07,2150,2150,2115,2135,4658,0.0023474178403755097
2022-12-08,2115,2150,2115,2125,6235,-0.004683840749414525
2022-12-09,2150,2150,2120,2145,2637,0.009411764705882453
2022-12-12,2145,2145,2120,2140,998,-0.002331002331002363
2022-12-13,2150,2160,2135,2160,2488,0.009345794392523255
2022-12-14,2160,2190,2150,2170,7217,0.004629629629629539
2022-12-15,2170,2200,2170,2180,9409,0.004608294930875667
2022-12-16,2235,2235,2165,2195,2199,0.006880733944954143
2022-12-19,2200,2215,2165,2165,4787,-0.013667425968109326
2022-12-20,2200,2200,2165,2175,4671,0.004618937644341736
2022-12-21,2210,2210,2165,2190,4163,0.006896551724137945
2022-12-22,2165,2210,2165,2190,1783,0.0
2022-12-23,2185,2190,2140,2185,37709,-0.0022831050228310223
2022-12-26,2195,2195,2150,2190,506,0.0022883295194509046
2022-12-27,2190,2190,2155,2180,212,-0.004566210045662156
2022-12-28,2220,2220,2170,2190,4380,0.004587155963302836
2022-12-29,2210,2215,2155,2190,3600,0.0
2023-01-02,2160,2225,2160,2215,2853,0.011415525114155223
2023-01-03,2230,2230,2175,2210,1963,-0.0022573363431150906
2023-01-04,2165,2205,2165,2190,1828,-0.009049773755656076
2023-01-05,2220,2220,2190,2215,2513,0.011415525114155223
2023-01-06,2215,2215,2180,2200,3937,-0.006772009029345383
2023-01-09,2200,2220,2175,2205,4770,0.002272727272727204
2023-01-10,2195,2210,2180,2205,1020,0.0
2023-01-11,2210,2210,2180,2190,689,-0.006802721088435382
2023-01-12,2220,2220,2185,2205,84,0.006849315068493178
2023-01-13,2205,2205,2175,2200,6359,-0.0022675736961451642
2023-01-16,2200,2230,2180,2215,2362,0.006818181818181834
2023-01-17,2215,2220,2170,2220,444,0.0022573363431150906
2023-01-18,2220,2220,2175,2205,3601,-0.006756756756756799
2023-01-19,2175,2220,2170,2195,5183,-0.0045351473922902175
2023-01-20,2195,2215,2180,2200,710,0.002277904328018332
2023-01-25,2220,2220,2155,2200,501,0.0
2023-01-26,2165,2210,2165,2200,5888,0.0
2023-01-27,2215,2215,2170,2200,550,0.0
2023-01-30,2175,2220,2175,2215,3934,0.006818181818181834
2023-01-31,2215,2260,2215,2255,31399,0.018058690744920947
2023-02-01,2260,2310,2215,2305,8169,0.022172949002217335
2023-02-02,2330,2375,2280,2335,7711,0.013015184381778733
2023-02-03,2250,2290,2210,2235,146984,-0.04282655246252676
2023-02-06,2220,2300,2220,2280,41020,0.020134228187919545
2023-02-07,2315,2320,2260,2285,5942,0.002192982456140413
2023-02-08,2235,2305,2235,2285,6355,0.0
2023-02-09,2320,2320,2235,2250,1848,-0.015317286652078765
2023-02-10,2235,2280,2235,2275,22809,0.011111111111111072
2023-02-13,2320,2345,2290,2295,10731,0.00879120879120876
2023-02-14,2335,2340,2285,2305,12293,0.004357298474945592
2023-02-15,2340,2340,2270,2320,21881,0.006507592190889477
2023-02-16,2320,2390,2290,2355,12823,0.015086206896551824
2023-02-17,2370,2370,2300,2355,19663,0.0
2023-02-20,2390,2395,2315,2350,17544,-0.002123142250530785
2023-02-21,2400,2400,2295,2360,24201,0.004255319148936065
2023-02-22,2360,2390,2355,2380,11806,0.008474576271186418
2023-02-23,2345,2400,2340,2385,4477,0.0021008403361344463
2023-02-24,2385,2385,2350,2375,10053,-0.004192872117400381
2023-02-27,2400,2405,2330,2370,12639,-0.002105263157894721
2023-02-28,2370,2385,2335,2365,4406,-0.002109704641350185
2023-03-02,2385,2385,2300,2345,35986,-0.008456659619450302
2023-03-03,2350,2355,2325,2355,5378,0.004264392324093924
2023-03-06,2390,2390,2300,2320,8187,-0.014861995753715496
2023-03-07,2380,2380,2285,2345,10241,0.010775862068965525
2023-03-08,2270,2325,2270,2325,2499,-0.008528784648187626
2023-03-09,2330,2330,2275,2300,8451,-0.010752688172043001
2023-03-10,2300,2300,2245,2280,1776,-0.008695652173912993
2023-03-13,2280,2280,2225,2270,3190,-0.004385964912280715
2023-03-14,2250,2265,2210,2250,2701,-0.008810572687224627
2023-03-15,2300,2300,2230,2250,766,0.0
2023-03-16,2270,2270,2210,2225,19552,-0.011111111111111072
2023-03-17,2270,2270,2215,2265,5108,0.01797752808988773
2023-03-20,2265,2265,2215,2260,1633,-0.002207505518763808
2023-03-21,2285,2285,2230,2260,14953,0.0
2023-03-22,2295,2295,2240,2265,487,0.0022123893805310324
2023-03-23,2240,2270,2230,2235,8352,-0.013245033112582738
2023-03-24,2235,2315,2215,2290,10327,0.02460850111856816
2023-03-27,2290,2290,2235,2275,1879,-0.0065502183406113135
2023-03-28,2295,2295,2220,2275,1760,0.0
2023-03-29,2295,2295,2210,2255,4901,-0.00879120879120876
2023-03-30,2285,2285,2210,2275,11759,0.008869179600886845
2023-03-31,2300,2315,2260,2305,3752,0.01318681318681314
2023-04-03,2370,2370,2250,2280,9679,-0.010845986984815648
2023-04-04,2340,2340,2285,2310,4291,0.013157894736842035
2023-04-05,2325,2325,2315,2320,12886,0.0043290043290042934
2023-04-06,2345,2345,2300,2340,20976,0.008620689655172376
2023-04-07,2365,2365,2320,2335,167,-0.002136752136752129
2023-04-10,2335,2335,2285,2315,2508,-0.008565310492505307
2023-04-11,2315,2315,2225,2260,21164,-0.023758099352051865
2023-04-12,2260,2320,2240,2285,7017,0.01106194690265494
2023-04-13,2265,2300,2240,2260,3615,-0.01094091903719907
2023-04-14,2290,2290,2230,2260,16732,0.0
2023-04-17,2290,2300,2260,2300,5005,0.017699115044247815
