Date,Open,High,Low,Close,Volume,Change
2022-12-21,8000,8000,8000,8000,0,
2022-12-22,9200,9200,9200,9200,0,0.1499999999999999
2022-12-23,10550,10550,10550,10550,0,0.1467391304347827
2022-12-26,10550,10550,10550,10550,104,0.0
2022-12-27,10000,10000,9980,9980,4,-0.05402843601895735
2022-12-28,9000,9000,8600,8600,7,-0.13827655310621245
2022-12-29,9890,9890,9890,9890,2,0.1499999999999999
2023-01-02,9800,9800,9790,9790,6,-0.010111223458038388
2023-01-03,11250,11250,8330,11250,3,0.1491317671092951
2023-01-04,11200,11200,11200,11200,0,-0.004444444444444473
2023-01-05,11050,11050,11050,11050,0,-0.013392857142857095
2023-01-06,10650,10650,10650,10650,0,-0.03619909502262442
2023-01-09,10650,10650,10650,10650,0,0.0
2023-01-10,10650,10650,10650,10650,0,0.0
2023-01-11,10500,10500,10500,10500,3,-0.014084507042253502
2023-01-12,10550,12050,10550,12050,2,0.14761904761904754
2023-01-13,12050,12050,12050,12050,0,0.0
2023-01-16,12050,12050,12000,12000,7,-0.004149377593360981
2023-01-17,12000,12000,12000,12000,0,0.0
2023-01-18,12000,12000,12000,12000,0,0.0
2023-01-19,12000,12000,12000,12000,0,0.0
2023-01-20,0,0,0,11000,0,-0.08333333333333337
2023-01-25,11000,11000,11000,11000,0,0.0
2023-01-26,11000,11000,11000,11000,0,0.0
2023-01-27,12650,12650,12650,12650,4,0.1499999999999999
2023-01-30,10800,10800,10800,10800,1,-0.1462450592885376
2023-01-31,10900,10900,10900,10900,1,0.0092592592592593
2023-02-01,10900,10900,10900,10900,0,0.0
2023-02-02,10900,10900,10900,10900,0,0.0
2023-02-03,10900,10900,10900,10900,0,0.0
2023-02-06,10900,10900,10900,10900,0,0.0
2023-02-07,10900,10900,10900,10900,0,0.0
2023-02-08,10900,10900,10900,10900,111,0.0
2023-02-09,10900,10900,10900,10900,0,0.0
2023-02-10,10900,10900,10900,10900,0,0.0
2023-02-13,10300,10300,10000,10000,118,-0.08256880733944949
2023-02-14,10000,10000,8500,9850,603,-0.015000000000000013
2023-02-15,11320,11320,9840,9840,2,-0.0010152284263958977
2023-02-16,9900,9900,9900,9900,1,0.0060975609756097615
