Date,Open,High,Low,Close,Volume,Change
2022-01-03,116162,117318,114775,115584,30967,-0.004975809645150764
2022-01-04,116740,125409,115584,124831,111684,0.08000242248062017
2022-01-05,127142,130032,123675,125987,111196,0.009260520223342006
2022-01-06,122519,125987,121941,121942,65124,-0.0321064871772484
2022-01-07,123675,129454,123097,129455,78868,0.06161125781109056
2022-01-10,129454,129454,125409,125987,60369,-0.02678923177938275
2022-01-11,125987,128298,120207,120786,66610,-0.04128203703556721
2022-01-12,121941,123675,121363,122519,32067,0.01434768930174024
2022-01-13,123097,124253,118474,118474,65195,-0.03301528742480753
2022-01-14,118474,120207,116162,116740,42507,-0.014636122693586828
2022-01-17,116740,117896,114775,115006,37159,-0.014853520644166562
2022-01-18,114890,116162,110614,110845,71899,-0.03618072100586056
2022-01-19,109227,113619,108302,111423,50694,0.005214488700437503
2022-01-20,112116,114544,111307,114544,33921,0.02801037487771829
2022-01-21,113157,113735,109574,110499,48498,-0.03531394049448244
2022-01-24,110267,110267,104372,105760,56115,-0.0428872659481081
2022-01-25,106337,106915,98940,99981,102150,-0.054642586989409936
2022-01-26,98709,100442,96628,97206,58262,-0.027755273501965383
2022-01-27,97206,98015,92929,93045,58855,-0.04280599962965248
2022-01-28,92583,95241,88537,95242,68989,0.02361223064108775
2022-02-03,95935,97090,94894,95010,49264,-0.0024359001280948034
2022-02-04,95010,98131,94548,97438,51452,0.025555204715293156
2022-02-07,97553,98131,96512,97669,21928,0.0023707383156468254
2022-02-08,97668,98246,94085,95357,40009,-0.023671789411174426
2022-02-09,95703,97322,95472,97091,30566,0.018184296905313646
2022-02-10,98246,100442,96050,100327,43977,0.033329556807531135
2022-02-11,99171,99402,96859,98016,36797,-0.023034676607493476
2022-02-14,95588,96512,94201,95357,32706,-0.027128223963434506
2022-02-15,94779,95935,92583,92699,24594,-0.02787419906247046
2022-02-16,94201,96281,94201,95935,23655,0.03490868294156346
2022-02-17,96050,98824,95125,95935,42476,0.0
2022-02-18,94548,102638,93970,101252,59864,0.05542294261739711
2022-02-21,99864,104372,98362,100327,39072,-0.009135622012404698
2022-02-22,99171,99171,96397,97322,35073,-0.02995205677434787
2022-02-23,97900,99980,97437,98940,30596,0.016625223484926233
2022-02-24,97090,97784,94548,94664,45688,-0.043218111987062824
2022-02-25,96281,100558,96281,98247,48057,0.03784965773683768
2022-02-28,98131,105297,97668,99981,88392,0.017649393874622055
2022-03-02,100442,103910,100327,103101,40222,0.031205929126534082
2022-03-03,103332,109689,103216,108418,88182,0.05157078980805241
2022-03-04,107493,111076,106453,110268,82034,0.01706358722721313
2022-03-07,110498,113735,105644,107147,101354,-0.028303768999165646
2022-03-08,113966,119051,110151,111655,364006,0.04207303984245936
2022-03-10,109227,112579,105875,111539,106543,-0.0010389145134566125
2022-03-11,113388,120785,112810,119052,145179,0.06735760585983375
2022-03-14,120207,123097,116740,117318,104051,-0.014565064005644612
2022-03-15,117318,118474,113272,113504,66973,-0.03250993027497917
2022-03-16,112810,115006,110383,113388,58530,-0.001021990414434737
2022-03-17,113388,114312,109920,111192,93937,-0.019367128796698108
2022-03-18,111885,115237,111307,112001,99372,0.007275703288006419
2022-03-21,113041,115006,112116,114544,46123,0.02270515441826415
2022-03-22,117896,125409,116162,121942,194976,0.0645865344321832
2022-03-23,125987,127142,121941,125987,133301,0.033171507765987096
2022-03-24,127142,132922,125409,131188,197201,0.0412820370355671
2022-03-25,130032,132922,125987,130032,86727,-0.008811781565387089
2022-03-28,130032,131188,124253,131188,113440,0.008890119355235537
2022-03-29,129454,130032,125987,128877,93245,-0.017615940482361148
2022-03-30,125987,128876,121363,123097,121929,-0.04484896451655451
2022-03-31,123097,124831,119629,121364,81184,-0.014078328472667878
2022-04-01,121363,128298,120785,125987,103560,0.038092020698065276
2022-04-04,127720,132922,127720,129455,84073,0.027526649574956208
2022-04-05,129454,130610,125409,130032,54647,0.00445714727125246
2022-04-06,127720,134655,127720,132922,90737,0.022225298388089065
2022-04-07,132922,135233,131188,135234,83732,0.017393659439370435
2022-04-08,135811,136389,128876,131766,78710,-0.025644438528772295
2022-04-11,131766,135811,130032,132922,47772,0.008773128121063012
2022-04-12,132922,134077,129454,132922,47492,0.0
2022-04-13,133500,133500,131188,132922,50432,0.0
2022-04-14,133500,141012,132922,139857,146098,0.05217345510901139
2022-04-15,138701,146792,138701,140435,122940,0.004132792781198047
2022-04-18,139279,141012,136389,139279,38905,-0.008231566205005869
2022-04-19,141012,150259,141012,149682,242211,0.07469180565627265
2022-04-20,151415,152571,144480,149682,167953,0.0
2022-04-21,149103,154883,147370,150838,111472,0.007723039510428853
2022-04-22,148525,158350,148525,157195,131799,0.04214455243373694
2022-04-25,153727,160084,144480,155461,321764,-0.01103088520627249
2022-04-26,157772,157772,143902,147948,216733,-0.04832723319675036
2022-04-27,143902,150259,142746,149104,77942,0.00781355611431045
2022-04-28,149103,150259,143902,145058,88027,-0.027135422255606834
2022-04-29,145636,148525,143902,147370,64293,0.01593845220532475
2022-05-02,146214,149103,143324,147370,54019,0.0
2022-05-03,147370,147948,138701,141013,110171,-0.043136323539390675
2022-05-04,142746,145058,139279,139857,43486,-0.00819782573237926
2022-05-06,142746,151993,142168,149682,170329,0.0702503271198438
2022-05-09,149681,149681,139279,139279,95976,-0.0695006747638327
2022-05-10,135233,137545,130610,134656,109514,-0.033192369273185474
2022-05-11,133500,137545,131188,136390,49181,0.01287725760456282
2022-05-12,132922,145058,132922,138701,103155,0.016944057482220165
2022-05-13,142168,142746,137545,138701,35873,0.0
2022-05-16,141590,142746,139857,141013,46241,0.016668949755228812
2022-05-17,142168,146214,141012,144481,46941,0.024593477197137892
2022-05-18,146792,146792,141590,142169,29268,-0.016002104082889823
2022-05-19,139279,142168,135233,136390,65890,-0.040648805295106505
2022-05-20,136967,138123,135233,135812,46197,-0.00423784734951238
2022-05-23,136389,142168,135233,139857,59072,0.02978381880835279
2022-05-24,141012,141012,136389,136390,30194,-0.024789606526666508
2022-05-25,138123,138123,129454,133500,91404,-0.021189236747562123
2022-05-26,134077,141590,132922,137545,88425,0.030299625468164892
2022-05-27,139857,143324,138123,142747,53635,0.03782034970373327
2022-05-30,143902,145058,136389,136968,67909,-0.04048421332847629
2022-05-31,139279,147370,136967,147370,169143,0.07594474621809466
2022-06-02,146214,151993,140435,147370,133028,0.0
2022-06-03,147948,149103,143324,143903,53764,-0.023525819366221112
2022-06-07,144480,146214,142168,143903,39587,0.0
2022-06-08,142746,143902,138123,141013,80979,-0.02008297255790359
2022-06-09,139857,140435,135811,136968,64248,-0.028685298518576263
2022-06-10,135811,136967,134077,134656,37710,-0.01687985514864787
2022-06-13,131766,134655,130610,130610,40892,-0.03004693441064643
2022-06-14,127720,134655,124831,134078,69363,0.02655233136819546
2022-06-15,131766,133500,129454,131188,28005,-0.021554617461477688
2022-06-16,133500,134655,130032,130610,25076,-0.004405890782693489
2022-06-17,126564,133500,125409,131188,29429,0.004425388561365873
2022-06-20,132344,133500,125409,127721,27478,-0.026427722047748237
2022-06-21,129454,129454,125987,125987,29509,-0.013576467456408836
2022-06-22,125987,127720,116740,116740,93114,-0.07339646153968271
2022-06-23,115584,117318,106337,109805,93580,-0.059405516532465286
2022-06-24,109805,115122,108649,114429,49720,0.04211101498110281
2022-06-27,115006,116740,113735,115353,26291,0.008074876124059438
2022-06-28,115353,119629,114775,115122,28868,-0.002002548698343376
2022-06-29,113850,116162,113272,114082,25425,-0.009033894477163407
2022-06-30,115006,115006,109342,111423,40088,-0.023307796146631365
2022-07-01,111423,113388,109574,110383,32206,-0.009333800023334504
2022-07-04,110383,111538,105644,109227,32136,-0.010472627125553746
2022-07-05,107146,109227,103679,104951,121409,-0.03914782974905473
2022-07-06,104488,105875,100558,100558,78216,-0.041857628798201096
2022-07-07,101483,103101,100442,100790,47423,0.0023071262356053612
2022-07-08,101829,104719,101829,102870,75386,0.020636967953169938
2022-07-11,102985,108187,101136,104142,91689,0.012365121026538306
2022-07-12,103332,105759,101483,101830,49572,-0.022200457068233703
2022-07-13,102407,105066,100442,105066,93324,0.03177845428655601
2022-07-14,104603,113041,104257,111077,130343,0.05721165743437462
2022-07-15,112116,114544,109920,110152,65509,-0.008327556559863836
2022-07-18,110729,112694,110729,111192,27262,0.009441499019536614
2022-07-19,112001,116740,109920,114313,69329,0.028068566083890856
2022-07-20,115468,116740,110151,110383,82686,-0.03437929194404832
2022-07-21,110036,111192,109342,110499,27063,0.0010508864589655609
2022-07-22,110498,111885,108533,108649,34512,-0.016742232961384218
2022-07-25,108764,110151,108302,109805,16754,0.01063976658781951
2022-07-26,109227,110383,108302,108649,14456,-0.010527753745275703
2022-07-27,108996,108996,105066,106222,30553,-0.022337987464219666
2022-07-28,107031,108996,106106,107494,47630,0.011974920449624449
2022-07-29,108302,112810,107493,111077,64406,0.03333209295402528
2022-08-01,112001,116162,109574,112810,124236,0.015601789749453143
2022-08-02,114197,114544,107493,108418,107433,-0.038932718730608995
2022-08-03,108418,113272,107724,112810,79511,0.040509878433470536
2022-08-04,114081,114197,111423,111655,43675,-0.010238454037762579
2022-08-05,112001,113388,111076,113157,30172,0.013452151717343597
2022-08-08,113041,113850,111076,111655,38254,-0.013273593326086797
2022-08-09,111885,112579,110498,112117,24145,0.004137745734628995
2022-08-10,111307,112579,110267,110499,29160,-0.014431352961638333
2022-08-11,110614,113735,110267,113157,64486,0.024054516330464626
2022-08-12,113850,115122,112463,113735,41289,0.0051079473651651774
2022-08-16,113966,117318,113850,115353,79037,0.014226051787048943
2022-08-17,115353,116162,113272,113388,38430,-0.017034667498894707
2022-08-18,113272,113503,111654,112926,20620,-0.004074505238649606
2022-08-19,113272,114197,111307,111308,26980,-0.0143279669872306
2022-08-22,111770,115237,111538,113851,79390,0.02284651597369458
2022-08-23,113272,121941,113041,119630,140637,0.05075932578545639
2022-08-24,119051,126564,119051,120208,114993,0.004831563988966003
2022-08-25,121941,128298,121363,124831,143425,0.038458338879275855
2022-08-26,124831,128876,124253,125987,77286,0.009260520223342006
2022-08-29,121363,126564,120785,124831,40285,-0.009175549858318699
2022-08-30,124831,129454,123675,124253,59126,-0.004630260111671003
2022-08-31,123675,124253,116740,120208,81620,-0.032554545966696935
2022-09-01,119051,120785,114775,115584,88682,-0.0384666577931585
2022-09-02,116162,117318,114544,115584,43380,0.0
2022-09-05,117318,119629,116162,116740,33960,0.010001384274640035
2022-09-06,116740,122519,116162,121364,37082,0.039609388384444166
2022-09-07,121363,125987,120207,120786,55788,-0.004762532546718989
2022-09-08,121941,121941,117896,120786,48709,0.0
2022-09-13,121941,122519,117318,120786,65562,0.0
2022-09-14,117318,126564,116740,122519,81336,0.01434768930174024
2022-09-15,125409,128876,124253,126565,92330,0.033023449424171014
