Date,Open,High,Low,Close,Volume,Change
2025-01-24,14020,14440,10570,10800,3254006,
2025-01-31,11350,12310,11010,11320,1299253,0.04814814814814805
2025-02-03,11270,14400,10710,13380,3852155,0.1819787985865724
2025-02-04,12880,14810,12660,13050,2183888,-0.024663677130044803
2025-02-05,13380,13610,12540,12570,417832,-0.0367816091954023
2025-02-06,12800,13140,11950,12220,221570,-0.027844073190135266
2025-02-07,12070,13580,11900,13080,543376,0.07037643207855981
2025-02-10,13410,17000,13410,17000,2110683,0.29969418960244654
2025-02-11,17930,18160,16570,16710,1374061,-0.017058823529411793
2025-02-12,16430,17420,15500,15650,712141,-0.0634350688210652
2025-02-13,16240,16360,15060,15180,369841,-0.030031948881789172
2025-02-14,15200,15350,13900,14530,379734,-0.04281949934123852
2025-02-17,14370,15140,14300,14750,199350,0.015141087405368125
2025-02-18,15000,15720,13990,15140,574368,0.026440677966101722
2025-02-19,15380,15480,14620,14690,221329,-0.029722589167767488
2025-02-20,14920,15090,14310,14400,148900,-0.019741320626276426
2025-02-21,14410,14480,13950,14050,120140,-0.02430555555555558
2025-02-24,13800,13800,13170,13180,128273,-0.06192170818505338
2025-02-25,13050,13500,12750,13280,100228,0.007587253414264028
2025-02-26,13210,13270,12930,12950,62337,-0.02484939759036142
2025-02-27,12970,13280,12560,12630,70039,-0.024710424710424728
2025-02-28,12340,12380,11200,12000,200679,-0.049881235154394354
2025-03-04,11600,11990,11160,11330,152882,-0.05583333333333329
2025-03-05,11470,11800,11250,11790,112141,0.04060017652250658
2025-03-06,11910,12030,11470,11580,83897,-0.01781170483460559
2025-03-07,11500,11800,11290,11400,62898,-0.015544041450777257
2025-03-10,11490,11950,11200,11560,74529,0.01403508771929829
2025-03-11,11150,11290,10970,11250,76498,-0.026816608996539815
2025-03-12,11300,11890,11100,11520,102725,0.02400000000000002
2025-03-13,11700,12020,11260,11260,74830,-0.02256944444444442
2025-03-14,11260,11530,11250,11400,36809,0.01243339253996445
2025-03-17,11590,11850,11400,11610,46985,0.018421052631578894
2025-03-18,11800,11830,11380,11420,61424,-0.01636520241171402
2025-03-19,11370,11890,11370,11790,70641,0.03239929947460585
2025-03-20,11870,11870,11350,11520,43871,-0.022900763358778664
2025-03-21,11520,11550,11150,11150,44771,-0.03211805555555558
2025-03-24,11290,11290,10920,10940,35081,-0.01883408071748882
2025-03-25,11000,11090,10430,10620,77270,-0.029250457038391242
2025-03-26,10650,10980,10550,10780,38373,0.015065913370998052
2025-03-27,10540,10940,10130,10180,88015,-0.05565862708719849
2025-03-28,10180,10250,10010,10140,37822,-0.003929273084479323
2025-03-31,9870,10030,9300,9910,33245,-0.02268244575936884
2025-04-01,10050,10210,9950,10200,31643,0.029263370332996974
2025-04-02,10350,10350,9765,9900,36176,-0.02941176470588236
2025-04-03,9820,10340,9630,10110,54887,0.021212121212121238
2025-04-04,9900,10190,9800,10090,40474,-0.001978239366963397
2025-04-07,9940,10840,9350,9850,183796,-0.02378592666005952
2025-04-08,10030,12090,9910,12030,961842,0.2213197969543148
2025-04-09,12460,13200,11120,11900,1555884,-0.010806317539484578
2025-04-10,12290,13510,12000,12720,1649746,0.06890756302521006
2025-04-11,12700,13110,12170,12310,429808,-0.03223270440251569
2025-04-14,12800,16000,12590,14990,4301560,0.2177091795288384
2025-04-15,15090,18410,14690,16220,6456690,0.08205470313542351
2025-04-16,16280,16700,15920,16230,1198647,0.0006165228113439447
2025-04-17,16790,16800,15750,15930,1049890,-0.01848428835489835
2025-04-18,15750,15750,14930,15250,427659,-0.04268675455116133
2025-04-21,15310,16940,15040,16100,2062933,0.05573770491803276
2025-04-22,15810,16100,14500,14910,434124,-0.07391304347826089
2025-04-23,15060,15120,14380,14410,238985,-0.03353454057679406
2025-04-24,14490,14830,13820,13920,308657,-0.03400416377515614
2025-04-25,14040,14350,13900,13920,159704,0.0
2025-04-28,13380,13950,13050,13160,168896,-0.054597701149425304
2025-04-29,13180,13660,13160,13480,120437,0.024316109422492405
2025-04-30,13480,13710,12900,13020,112068,-0.03412462908011871
2025-05-02,12890,13090,12590,12780,86632,-0.018433179723502335
2025-05-07,12740,13540,12680,13330,127077,0.04303599374021916
2025-05-08,13450,14900,13090,13960,1318659,0.04726181545386354
2025-05-09,13910,14650,13350,14280,542130,0.022922636103151817
2025-05-12,14420,14520,13870,14050,297218,-0.016106442577030866
2025-05-13,14200,14700,13620,13630,243248,-0.029893238434163694
2025-05-14,13870,14490,13550,13630,314565,0.0
2025-05-15,13560,14070,12800,13290,125719,-0.02494497432135001
2025-05-16,13200,13210,12810,12820,105067,-0.035364936042136974
2025-05-19,12650,12930,12650,12840,80619,0.0015600624024960652
