Date,Open,High,Low,Close,Volume,Change
2022-01-03,12750,12750,12500,12700,10782,-0.0039215686274509665
2022-01-04,12700,13500,12550,13450,95842,0.059055118110236116
2022-01-05,13550,13850,13300,13450,219370,0.0
2022-01-06,13350,13650,13050,13100,46435,-0.026022304832713727
2022-01-07,13150,13550,13150,13500,35941,0.03053435114503822
2022-01-10,13500,13500,13100,13200,21476,-0.022222222222222254
2022-01-11,13000,13200,12750,12950,22168,-0.018939393939393923
2022-01-12,13000,13450,12850,13400,29506,0.03474903474903468
2022-01-13,13400,13400,13050,13150,21020,-0.018656716417910446
2022-01-14,13150,13150,12700,12700,29438,-0.034220532319391594
2022-01-17,12800,14050,12800,12850,356664,0.011811023622047223
2022-01-18,13050,13100,12350,12350,94810,-0.03891050583657585
2022-01-19,12650,12950,12350,12350,91719,0.0
2022-01-20,12450,12900,12400,12550,42166,0.0161943319838056
2022-01-21,12500,12750,12050,12050,39975,-0.03984063745019917
2022-01-24,12050,12050,11550,11750,31609,-0.024896265560165998
2022-01-25,11750,11800,11300,11550,29775,-0.017021276595744705
2022-01-26,11500,11800,11300,11700,15630,0.01298701298701288
2022-01-27,11550,11850,11100,11200,18465,-0.042735042735042694
2022-01-28,11200,11700,11150,11700,12114,0.044642857142857206
2022-02-03,12000,12000,11650,11700,19994,0.0
2022-02-04,11850,11850,11600,11850,14263,0.012820512820512775
2022-02-07,11900,11950,11600,11750,17866,-0.008438818565400852
2022-02-08,11650,11850,11550,11750,13696,0.0
2022-02-09,11800,11950,11650,11950,15917,0.017021276595744705
2022-02-10,11950,12000,11750,11850,11167,-0.008368200836820106
2022-02-11,11700,11850,11650,11650,10107,-0.016877637130801704
2022-02-14,11500,11550,11100,11350,16963,-0.025751072961373356
2022-02-15,11350,11350,11050,11100,31269,-0.022026431718061623
2022-02-16,11200,11400,11150,11350,9913,0.022522522522522515
2022-02-17,11350,11650,11300,11450,15433,0.008810572687224738
2022-02-18,11600,12350,11550,11950,101964,0.04366812227074246
2022-02-21,12050,12050,11600,11700,31794,-0.02092050209205021
2022-02-22,11600,11600,11300,11450,19705,-0.021367521367521403
2022-02-23,11350,11600,11350,11550,11638,0.008733624454148492
2022-02-24,11450,11500,11250,11250,21450,-0.025974025974025983
2022-02-25,11450,11450,11250,11350,8678,0.008888888888888946
2022-02-28,11300,11600,11250,11400,9224,0.004405286343612369
2022-03-02,11550,11600,11350,11600,8337,0.01754385964912286
2022-03-03,12600,13850,11950,12100,441674,0.0431034482758621
2022-03-04,12250,12250,11950,12100,53026,0.0
2022-03-07,11950,12000,11600,11700,35494,-0.03305785123966942
2022-03-08,11400,11950,11400,11850,45217,0.012820512820512775
2022-03-10,12600,12650,11850,11850,103310,0.0
2022-03-11,12000,12600,12000,12500,126260,0.05485232067510548
2022-03-14,12500,12500,12000,12000,63453,-0.040000000000000036
2022-03-15,11900,12000,11700,11800,35281,-0.01666666666666672
2022-03-16,11850,12100,11650,12100,33647,0.025423728813559254
2022-03-17,12250,12250,11900,12050,25636,-0.004132231404958664
2022-03-18,12100,12150,11900,12100,22667,0.004149377593360981
2022-03-21,12200,12400,12000,12150,29451,0.004132231404958775
2022-03-22,12150,12300,11500,12100,20910,-0.004115226337448541
2022-03-23,12000,12250,11900,12100,31175,0.0
2022-03-24,12100,12200,11900,12100,15855,0.0
2022-03-25,12100,12200,12100,12150,13163,0.004132231404958775
2022-03-28,12250,12400,12150,12400,29462,0.020576131687242816
2022-03-29,12300,12800,12250,12550,71944,0.012096774193548487
2022-03-30,12600,12650,12350,12400,48010,-0.01195219123505975
2022-03-31,12400,12650,12300,12400,14385,0.0
2022-04-01,12450,12500,12250,12450,18786,0.0040322580645162365
2022-04-04,12400,12550,12350,12550,10959,0.008032128514056325
2022-04-05,12550,12750,12400,12550,10513,0.0
2022-04-06,12550,12550,12300,12400,5199,-0.01195219123505975
2022-04-07,12750,12950,12200,12550,67360,0.012096774193548487
2022-04-08,12550,12600,12200,12600,19712,0.003984063745019917
2022-04-11,12600,12700,12400,12600,19146,0.0
2022-04-12,12350,12600,12350,12550,11282,-0.003968253968253954
2022-04-13,12400,12650,12400,12600,14220,0.003984063745019917
2022-04-14,12650,12700,12550,12650,10868,0.003968253968253954
2022-04-15,12650,12700,12400,12550,9548,-0.007905138339920903
2022-04-18,12700,12800,12550,12700,22996,0.01195219123505975
2022-04-19,12800,12850,12600,12750,17958,0.003937007874015741
2022-04-20,12750,13000,12700,12950,29581,0.015686274509803866
2022-04-21,13050,13150,12750,12900,16912,-0.0038610038610038533
2022-04-22,12700,12850,12550,12650,22336,-0.019379844961240345
2022-04-25,12600,12700,12300,12450,25269,-0.015810276679841917
2022-04-26,12500,12600,12350,12500,10564,0.004016064257028162
2022-04-27,12250,12300,11950,12100,37043,-0.03200000000000003
2022-04-28,12100,12150,11900,11950,22745,-0.012396694214875992
2022-04-29,12050,12150,11800,12050,21001,0.008368200836819994
2022-05-02,11950,12150,11900,12100,9936,0.004149377593360981
2022-05-03,12050,12350,12000,12300,19404,0.016528925619834656
2022-05-04,12300,12300,11900,12000,39617,-0.024390243902439046
2022-05-06,11800,11950,11800,11850,8701,-0.012499999999999956
2022-05-09,11700,11850,11500,11500,23477,-0.029535864978902926
2022-05-10,11400,11900,11150,11500,20125,0.0
2022-05-11,11500,11700,11500,11700,2421,0.017391304347825987
2022-05-12,11600,11650,11350,11350,8415,-0.02991452991452992
2022-05-13,11550,11650,11350,11650,604599,0.026431718061673992
2022-05-16,11650,11950,11600,11750,12755,0.008583690987124415
2022-05-17,11850,11900,11650,11850,3755,0.008510638297872353
2022-05-18,11850,11950,11750,11900,7081,0.00421940928270037
2022-05-19,11700,11800,11500,11700,2909,-0.01680672268907568
2022-05-20,11800,11950,11700,11800,6942,0.008547008547008517
2022-05-23,11800,11900,11600,11800,5271,0.0
2022-05-24,11850,11850,11600,11700,8243,-0.008474576271186418
2022-05-25,11750,11850,11550,11700,2921,0.0
2022-05-26,11700,11800,11600,11650,7425,-0.004273504273504258
2022-05-27,11800,11900,11700,11750,2909,0.008583690987124415
2022-05-30,11900,11950,11650,11750,6040,0.0
2022-05-31,11750,11900,11650,11900,5466,0.012765957446808418
2022-06-02,11900,11900,11700,11850,4363,-0.004201680672268893
2022-06-03,11850,11900,11650,11750,5037,-0.008438818565400852
2022-06-07,11750,11800,11600,11600,5090,-0.012765957446808529
2022-06-08,11550,11700,11500,11650,21700,0.004310344827586299
2022-06-09,11650,11650,11400,11500,19423,-0.012875536480686733
2022-06-10,11500,11650,11200,11450,27885,-0.004347826086956497
2022-06-13,11200,11350,11100,11150,16416,-0.026200873362445365
2022-06-14,11000,11150,10800,11000,20033,-0.013452914798206317
2022-06-15,10900,11500,10700,10850,21136,-0.013636363636363669
2022-06-16,11000,11100,10850,10850,15310,0.0
2022-06-17,10650,10800,10450,10650,17996,-0.018433179723502335
2022-06-20,10550,10750,10200,10400,18100,-0.023474178403755874
2022-06-21,10400,10550,10100,10450,8826,0.004807692307692291
2022-06-22,10450,10600,10050,10200,16396,-0.02392344497607657
2022-06-23,10050,10200,9750,9810,25380,-0.038235294117647034
2022-06-24,9810,10250,9810,10200,9858,0.039755351681957096
2022-06-27,10300,10550,10100,10500,10517,0.02941176470588225
2022-06-28,10650,10800,10450,10750,8501,0.023809523809523725
