Date,Open,High,Low,Close,Volume,Change
2022-08-04,70000,91000,70000,72500,2784861,
2022-08-05,75900,78400,70200,74000,1187138,0.020689655172413834
2022-08-08,73000,73500,68100,68700,341034,-0.07162162162162167
2022-08-09,66500,70000,65100,69000,332054,0.004366812227074135
2022-08-10,68400,89700,67400,89700,3309092,0.30000000000000004
2022-08-11,93900,94500,87000,89800,1956738,0.0011148272017837968
2022-08-12,88900,91400,88300,90500,567405,0.007795100222717233
2022-08-16,89500,97000,87300,87400,931900,-0.034254143646408886
2022-08-17,92300,103000,91000,93700,2345800,0.07208237986270016
2022-08-18,91300,103900,90600,102800,1632583,0.09711846318036277
2022-08-19,108000,111500,98000,102700,1305838,-0.0009727626459143934
2022-08-22,100000,118500,99400,117200,1635947,0.14118792599805263
2022-08-23,113800,133800,112000,123900,2253291,0.05716723549488045
2022-08-24,122600,135500,121500,127100,1472945,0.025827280064568248
2022-08-25,130200,139400,129500,132000,902275,0.03855232100708106
2022-08-26,133500,134600,128600,128600,298185,-0.025757575757575757
2022-08-29,123800,146900,123000,143800,873104,0.11819595645412129
2022-08-30,143800,184800,142300,173000,2209178,0.20305980528511824
2022-08-31,173500,184600,163300,173000,992192,0.0
2022-09-01,180300,182800,173000,174200,587906,0.006936416184971206
2022-09-02,173800,179400,169000,171700,490798,-0.014351320321469574
2022-09-05,172500,174400,151000,155900,1048683,-0.09202096680256255
2022-09-06,155200,163700,152100,162100,844129,0.039769082745349627
2022-09-07,162100,169400,160400,160700,696010,-0.00863664404688469
2022-09-08,162000,174600,155400,156900,732131,-0.023646546359676446
2022-09-13,158000,163000,150500,152300,397655,-0.029318036966220484
2022-09-14,148500,159400,147300,154400,620411,0.013788575180564644
2022-09-15,160400,168300,158500,165300,834713,0.07059585492227982
2022-09-16,163800,164400,150500,150500,407998,-0.08953418027828186
2022-09-19,150500,153800,129200,129700,464436,-0.13820598006644513
2022-09-20,133300,133500,123200,126900,345613,-0.021588280647648395
2022-09-21,125600,128000,123900,128000,214189,0.008668242710795804
2022-09-22,124000,141300,123700,138500,539766,0.08203125
2022-09-23,138900,143700,130200,132000,307927,-0.04693140794223827
2022-09-26,129300,130000,117700,118800,224676,-0.09999999999999998
2022-09-27,121500,135200,121000,135200,544636,0.13804713804713797
2022-09-28,139000,147700,133100,138000,818779,0.020710059171597628
2022-09-29,143000,143800,130000,130000,311915,-0.05797101449275366
2022-09-30,126500,133800,125100,127100,252546,-0.02230769230769236
2022-10-04,130200,137400,127900,137000,210816,0.07789142407553107
2022-10-05,139600,142000,130000,131000,350365,-0.04379562043795615
2022-10-06,133400,142200,133200,142200,341630,0.08549618320610697
2022-10-07,140100,143500,133800,135700,250341,-0.04571026722925453
2022-10-11,132000,132600,128900,130600,126089,-0.037582903463522443
2022-10-12,131500,134000,126300,132700,175230,0.01607963246554367
2022-10-13,130600,137000,129400,137000,239949,0.03240391861341374
2022-10-14,141100,144200,137600,138100,227965,0.008029197080291928
2022-10-17,135000,139400,134700,137100,154738,-0.007241129616220143
2022-10-18,139500,140500,135200,136000,131818,-0.008023340627279385
2022-10-19,136800,138000,130500,130900,166693,-0.03749999999999998
2022-10-20,131900,132800,125900,126500,116808,-0.03361344537815125
2022-10-21,125600,128300,121800,121900,98294,-0.036363636363636376
2022-10-24,123500,124400,119000,120200,100492,-0.013945857260049266
2022-10-25,120200,123500,117100,119800,115683,-0.0033277870216306127
2022-10-26,120800,121600,112900,113200,106841,-0.05509181969949917
2022-10-27,114200,114500,108800,113000,148109,-0.0017667844522968323
2022-10-28,111100,124800,109600,119200,394743,0.05486725663716818
2022-10-31,121000,127500,115400,125700,250378,0.054530201342281925
2022-11-01,127800,129400,123200,123700,160579,-0.015910898965791564
2022-11-02,124000,126500,118600,119200,137773,-0.03637833468067908
2022-11-03,119100,122900,117800,120500,104452,0.01090604026845643
2022-11-04,118000,119300,115500,115600,257952,-0.040663900414937726
2022-11-07,117000,117200,113600,115000,96476,-0.00519031141868509
2022-11-08,116600,116900,113100,115000,96680,0.0
2022-11-09,114700,117400,114200,115300,117266,0.002608695652173809
2022-11-10,114400,115800,113000,113000,80376,-0.01994796183868175
2022-11-11,116200,116800,113000,115600,156747,0.023008849557522026
2022-11-14,115600,116600,114200,114200,78519,-0.01211072664359858
2022-11-15,114200,115100,111100,111800,91027,-0.021015761821365997
2022-11-16,112700,112900,110800,111300,55282,-0.004472271914132353
2022-11-17,110700,110800,106900,107300,74927,-0.035938903863432126
2022-11-18,106600,110700,106300,106700,71265,-0.005591798695246952
2022-11-21,107200,111500,107200,108400,79154,0.015932521087160367
2022-11-22,108500,109600,103800,103900,66022,-0.04151291512915134
2022-11-23,104100,104800,101000,102200,75097,-0.016361886429258954
2022-11-24,102900,107000,102600,102700,101314,0.004892367906066619
2022-11-25,103300,103800,99900,100400,76809,-0.022395326192794496
2022-11-28,99900,101300,96900,96900,83942,-0.03486055776892427
2022-11-29,97400,104500,97200,102100,184924,0.05366357069143457
2022-11-30,101100,102600,99200,102600,65765,0.004897159647404559
2022-12-01,105300,105300,102100,102300,64390,-0.0029239766081871066
2022-12-02,102300,104200,100300,101000,42503,-0.012707722385141729
2022-12-05,100100,101000,98000,98000,69198,-0.02970297029702973
2022-12-06,96800,97800,95000,95000,37946,-0.030612244897959218
2022-12-07,94000,97500,93200,94600,32603,-0.004210526315789442
2022-12-08,94300,101000,94300,98100,107351,0.03699788583509522
2022-12-09,98100,99600,94900,95000,56063,-0.031600407747196746
2022-12-12,93300,94500,92000,92500,44101,-0.02631578947368418
2022-12-13,92000,97000,91700,92000,61878,-0.00540540540540535
2022-12-14,93000,95700,92700,94700,58843,0.02934782608695663
2022-12-15,94000,100400,92800,96700,116342,0.021119324181626098
2022-12-16,94800,95300,93300,93800,47038,-0.02998965873836612
2022-12-19,94200,94200,92100,92400,28584,-0.014925373134328401
2022-12-20,91000,91800,88000,88000,81912,-0.04761904761904767
2022-12-21,88700,89400,85900,86000,49531,-0.022727272727272707
2022-12-22,85900,87300,85300,86000,57294,0.0
2022-12-23,83300,84700,81300,81500,69596,-0.05232558139534882
2022-12-26,80700,82500,80000,80900,57005,-0.007361963190184007
2022-12-27,80900,82100,80000,81500,70340,0.007416563658838138
2022-12-28,80300,80500,77600,77900,122945,-0.04417177914110426
2022-12-29,77900,78200,74800,76300,59361,-0.020539152759948665
2023-01-02,76400,79500,73500,73900,88488,-0.03145478374836175
2023-01-03,74100,76100,73000,76100,70140,0.02976995940460081
2023-01-04,74500,77100,73800,76800,56458,0.009198423127463773
2023-01-05,78100,79500,75100,75600,73558,-0.015625
2023-01-06,75000,79500,74600,78400,81036,0.03703703703703698
2023-01-09,79000,81300,78000,81300,80464,0.036989795918367374
2023-01-10,81800,83000,80200,80600,80589,-0.008610086100861003
2023-01-11,81500,82700,80000,82500,69915,0.023573200992555776
2023-01-12,83600,87400,83200,85400,164705,0.035151515151515156
2023-01-13,86000,86200,83700,84600,57826,-0.00936768149882905
2023-01-16,84800,84900,83600,83800,34706,-0.009456264775413725
2023-01-17,83500,84400,81200,82000,47153,-0.021479713603818618
2023-01-18,82500,82600,80100,80300,33667,-0.02073170731707319
2023-01-19,79400,80100,79000,79500,23429,-0.00996264009962644
2023-01-20,80400,82300,80300,82100,51670,0.03270440251572326
2023-01-25,82600,84200,82500,83600,51776,0.018270401948842885
2023-01-26,84200,93500,83700,89500,372114,0.07057416267942584
2023-01-27,92300,92900,88100,88600,154759,-0.010055865921787754
2023-01-30,88700,91000,88700,90100,85842,0.016930022573363512
2023-01-31,88900,90800,88700,89800,64163,-0.0033296337402886067
2023-02-01,90200,91900,89800,91300,85285,0.016703786191536674
2023-02-02,93400,103100,91300,100000,591737,0.095290251916758
2023-02-03,99800,101200,97000,99000,212955,-0.010000000000000009
2023-02-06,97600,101600,97600,98000,282844,-0.010101010101010055
2023-02-07,99600,101500,98200,99800,506585,0.01836734693877551
2023-02-08,101900,102400,99400,100400,225806,0.006012024048096087
2023-02-09,100300,103500,99100,101000,300861,0.005976095617529875
2023-02-10,102300,103100,98500,99300,250038,-0.016831683168316847
2023-02-13,98800,100100,96700,97200,116410,-0.02114803625377648
2023-02-14,98200,98600,94200,95200,115192,-0.020576131687242816
2023-02-15,96000,100100,94500,95400,239614,0.0021008403361344463
2023-02-16,97700,104200,97600,103700,637470,0.08700209643605872
2023-02-17,103500,118700,102000,110200,1174707,0.06268081002892956
2023-02-20,111000,112000,106100,108100,294517,-0.019056261343012748
2023-02-21,108900,113000,106600,112900,306678,0.044403330249768835
2023-02-22,110300,116900,107000,109600,461665,-0.029229406554473036
2023-02-23,111400,111500,104700,109000,247335,-0.005474452554744547
2023-02-24,111000,117500,111000,116100,582996,0.06513761467889911
2023-02-27,117000,119000,114800,117800,372614,0.014642549526270532
2023-02-28,119800,123100,114100,116400,430946,-0.011884550084889645
2023-03-02,118000,145300,117500,132500,2680055,0.1383161512027491
2023-03-03,134800,134900,128500,133900,477324,0.010566037735848965
2023-03-06,137300,137300,130300,136500,425415,0.01941747572815533
2023-03-07,133700,135000,129400,129500,298758,-0.05128205128205132
2023-03-08,127100,136700,127000,132300,360081,0.021621621621621623
2023-03-09,131900,133300,119700,123500,302161,-0.06651549508692367
2023-03-10,117500,121800,115900,116200,211447,-0.059109311740890735
2023-03-13,115900,118700,113000,118600,221284,0.0206540447504302
2023-03-14,119400,123700,115500,116000,266271,-0.021922428330522714
2023-03-15,120100,123500,116500,118000,275494,0.01724137931034475
2023-03-16,119600,119600,110600,113300,186590,-0.039830508474576254
2023-03-17,115300,115400,107500,108000,175526,-0.04677846425419241
2023-03-20,104100,110000,103500,109000,107166,0.0092592592592593
2023-03-21,110500,114300,109200,112700,135027,0.03394495412844045
2023-03-22,114600,117500,112900,114000,160342,0.011535048802129522
2023-03-23,111900,119300,111500,113900,271324,-0.0008771929824561431
2023-03-24,117300,117400,111800,114000,115211,0.0008779631255486642
2023-03-27,114700,123200,114700,119800,498627,0.050877192982456076
2023-03-28,120800,121800,116800,119200,143203,-0.005008347245408995
2023-03-29,119500,120100,117200,118000,118092,-0.010067114093959773
2023-03-30,118000,119400,113200,113900,140225,-0.03474576271186436
2023-03-31,113000,113900,110200,110900,115798,-0.026338893766461813
2023-04-03,111000,117000,111000,116900,241054,0.05410279531109108
2023-04-04,117000,119100,113500,114300,190832,-0.022241231822070162
2023-04-05,115300,115300,112300,115000,91611,0.006124234470691103
2023-04-06,113400,116200,110500,110900,148518,-0.03565217391304343
2023-04-07,111700,114100,111600,113000,82137,0.018935978358881833
2023-04-10,113000,113500,109100,110000,176881,-0.026548672566371723
2023-04-11,109900,111000,105100,108700,113912,-0.011818181818181839
2023-04-12,108800,112100,105800,105800,120102,-0.026678932842686298
2023-04-13,104100,104500,100400,103000,76727,-0.026465028355387554
2023-04-14,104600,105000,102600,103100,60515,0.000970873786407811
2023-04-17,103000,104000,100900,102100,68349,-0.009699321047526688
2023-04-18,101600,103200,99700,101100,84367,-0.009794319294809006
2023-04-19,100900,103800,100500,102600,62294,0.014836795252225476
2023-04-20,101600,103700,99000,99100,77756,-0.03411306042884987
2023-04-21,98000,100500,96500,97000,57673,-0.021190716448032276
2023-04-24,95000,99800,94900,97700,61365,0.007216494845360799
2023-04-25,97900,98800,91000,91900,88521,-0.05936540429887416
2023-04-26,90900,95800,90900,92000,68801,0.0010881392818280489
2023-04-27,91200,93200,89600,93100,45700,0.011956521739130421
2023-04-28,94600,95000,89800,89800,61650,-0.03544575725026855
2023-05-02,89900,92100,89800,91000,41465,0.013363028953229383
2023-05-03,90900,91800,89900,90000,25188,-0.01098901098901095
2023-05-04,90000,91700,89000,90500,32812,0.005555555555555536
2023-05-08,91300,93900,90300,90300,47361,-0.0022099447513812542
2023-05-09,90300,90700,88100,88600,29581,-0.018826135105204922
2023-05-10,88100,90000,87800,87900,19089,-0.007900677200902928
2023-05-11,88100,89800,86800,87700,24100,-0.0022753128555176305
2023-05-12,87700,88000,86200,86200,32414,-0.01710376282782211
2023-05-15,85600,85800,83400,85600,37457,-0.00696055684454755
2023-05-16,85500,86600,82800,83700,42396,-0.02219626168224298
2023-05-17,84000,86900,83600,86800,53532,0.03703703703703698
2023-05-18,87900,88200,85700,85900,32373,-0.010368663594470084
2023-05-19,86200,86900,84900,86300,26834,0.00465657741559955
2023-05-22,86300,88400,85800,87300,39804,0.011587485515643037
2023-05-23,87700,89700,87300,88000,58715,0.008018327605956443
2023-05-24,88000,89100,87200,88000,29107,0.0
2023-05-25,88200,89300,86200,86300,34104,-0.01931818181818179
2023-05-26,86300,86900,84700,84700,27016,-0.018539976825028948
2023-05-30,85500,87300,85000,86500,25437,0.02125147579693043
2023-05-31,86400,89400,86300,88500,41004,0.023121387283236983
2023-06-01,89100,89600,87500,87500,32300,-0.011299435028248594
2023-06-02,88200,89900,87700,89900,34354,0.027428571428571358
2023-06-05,90500,92500,89800,91100,37800,0.013348164627363657
2023-06-07,90300,92400,90300,91900,41734,0.008781558726673966
2023-06-08,90800,91500,89500,89800,36938,-0.02285092491838958
2023-06-09,90500,93300,89800,92800,54274,0.03340757238307357
2023-06-12,93400,97100,93400,95600,98358,0.030172413793103425
2023-06-13,96800,97500,94100,96100,76614,0.0052301255230124966
2023-06-14,97000,97100,90600,91500,77619,-0.04786680541103017
2023-06-15,93300,95700,91800,93400,55604,0.02076502732240426
2023-06-16,93500,94000,92300,93300,25348,-0.0010706638115631772
2023-06-19,94600,95400,93300,93900,34475,0.006430868167202508
2023-06-20,93400,93800,91700,91700,27784,-0.023429179978700754
2023-06-21,92400,92400,89000,89000,44820,-0.0294438386041439
2023-06-22,88000,91000,87500,88800,22316,-0.0022471910112359383
2023-06-23,89500,89500,86900,87000,27404,-0.020270270270270285
2023-06-26,86800,87000,85000,86000,23344,-0.011494252873563204
2023-06-27,85500,86000,84100,84600,30136,-0.016279069767441867
2023-06-28,84700,86000,83900,84800,25415,0.0023640661938533203
2023-06-29,83700,85500,83400,83600,19293,-0.014150943396226467
2023-06-30,83200,83900,81200,83900,24360,0.0035885167464115852
2023-07-03,85200,86700,84500,86700,31842,0.033373063170440975
2023-07-04,86700,86800,84200,84600,28825,-0.02422145328719727
2023-07-05,84000,87900,83500,86100,39666,0.01773049645390068
2023-07-06,85700,85700,83100,83100,34819,-0.03484320557491294
2023-07-07,83000,83000,81100,81400,24693,-0.020457280385078214
2023-07-10,81300,81400,77900,79500,34663,-0.023341523341523396
2023-07-11,79500,80900,79500,80700,18831,0.015094339622641506
2023-07-12,81100,82400,79600,79900,23459,-0.009913258983890949
2023-07-13,80000,81400,79600,79600,30488,-0.003754693366708417
2023-07-14,80400,80900,78100,79900,34384,0.0037688442211054607
2023-07-17,80400,80400,78400,79100,21625,-0.010012515644555742
2023-07-18,79200,97500,79200,92600,885960,0.170670037926675
2023-07-19,89900,90400,87200,89500,239350,-0.03347732181425489
2023-07-20,99800,109400,95600,95800,1495661,0.07039106145251406
2023-07-21,99100,104400,98100,101000,556043,0.05427974947807934
2023-07-24,100200,104400,97000,103800,401850,0.027722772277227747
2023-07-25,105800,106000,99600,99800,250848,-0.038535645472061675
2023-07-26,98400,105500,90600,93000,658960,-0.06813627254509014
2023-07-27,94700,94800,88200,88500,108791,-0.048387096774193505
2023-07-28,86500,91800,86500,89500,75826,0.011299435028248483
2023-07-31,89300,92600,89200,92200,62336,0.03016759776536304
2023-08-01,93200,93200,89100,91200,72831,-0.010845986984815648
2023-08-02,91000,94600,89400,89700,76720,-0.016447368421052655
2023-08-03,91000,91500,87700,89400,58734,-0.0033444816053511683
2023-08-04,88800,89800,88100,88300,35729,-0.01230425055928408
2023-08-07,88000,88000,83000,83400,80644,-0.05549263873159682
2023-08-08,83400,84900,82600,83500,37933,0.0011990407673860837
2023-08-09,83700,88700,82800,87900,58866,0.052694610778443174
2023-08-10,87900,103800,86600,92000,587254,0.04664391353811159
2023-08-11,90000,93800,89100,91600,89408,-0.004347826086956497
