Date,Open,High,Low,Close,Volume,Change
2026-01-30,21050,39500,20250,34850,63019833,
2026-02-02,38000,42800,33600,38500,29984936,0.10473457675753228
2026-02-03,36950,39200,34350,34550,8395227,-0.10259740259740258
2026-02-04,35700,36350,31100,31400,5106393,-0.09117221418234445
2026-02-05,30800,38400,29050,31050,21129244,-0.011146496815286677
2026-02-06,31550,34950,28900,29300,7699763,-0.056360708534621606
2026-02-09,30200,31350,28250,28750,1481351,-0.018771331058020424
2026-02-10,28800,29400,25900,26100,1528515,-0.09217391304347822
2026-02-11,26250,28250,26200,26300,1565794,0.00766283524904221
2026-02-12,26800,30650,26350,28750,5633291,0.09315589353612164
2026-02-13,28800,30100,26650,26700,1694280,-0.07130434782608697
2026-02-19,24200,25000,23000,23200,3104004,-0.13108614232209737
