Date,Open,High,Low,Close,Volume,Change
2022-01-03,8710,8750,8630,8730,186402,0.0022962112514350874
2022-01-04,8710,8800,8710,8760,138821,0.0034364261168384758
2022-01-05,8790,8950,8710,8710,228996,-0.005707762557077611
2022-01-06,8640,8800,8560,8560,190469,-0.01722158438576349
2022-01-07,8580,9020,8580,8810,804938,0.029205607476635587
2022-01-10,8780,8780,8600,8650,155465,-0.018161180476730987
2022-01-11,8600,8680,8370,8420,207118,-0.026589595375722586
2022-01-12,8360,8560,8360,8540,114725,0.014251781472684133
2022-01-13,8550,8760,8550,8590,163716,0.005854800936768045
2022-01-14,8590,8660,8500,8610,104813,0.002328288707799775
2022-01-17,8610,8610,8310,8370,167105,-0.027874564459930307
2022-01-18,8420,8480,8150,8170,104842,-0.02389486260453999
2022-01-19,8030,8250,7950,8010,126114,-0.019583843329253336
2022-01-20,8010,8180,8010,8160,83408,0.01872659176029967
2022-01-21,8100,8180,7960,7970,125406,-0.023284313725490224
2022-01-24,7950,7960,7580,7600,165434,-0.046424090338770374
2022-01-25,7540,7660,7120,7170,228789,-0.05657894736842106
2022-01-26,7050,7260,7050,7160,154963,-0.001394700139469962
2022-01-27,7180,7350,6720,6870,312854,-0.04050279329608941
2022-01-28,6870,7140,6520,7140,139218,0.0393013100436681
2022-02-03,7250,8930,7200,7800,3967918,0.09243697478991586
2022-02-04,7800,7870,7680,7820,313622,0.002564102564102555
2022-02-07,7930,7940,7610,7630,238850,-0.024296675191815886
2022-02-08,7640,7740,7560,7560,163405,-0.00917431192660545
2022-02-09,7630,7690,7580,7650,106733,0.011904761904761862
2022-02-10,7730,7750,7440,7500,158147,-0.019607843137254943
2022-02-11,7420,7490,7300,7310,106720,-0.02533333333333332
2022-02-14,7210,7250,7020,7020,126749,-0.03967168262653897
2022-02-15,6990,7150,6860,6900,166383,-0.017094017094017144
2022-02-16,7040,7210,7040,7210,87149,0.04492753623188417
2022-02-17,7250,7410,7060,7180,123333,-0.004160887656033285
2022-02-18,7080,7300,7070,7270,48053,0.012534818941504211
2022-02-21,7110,7350,7110,7310,71315,0.005502063273727709
2022-02-22,7130,7250,7110,7130,67607,-0.024623803009575895
2022-02-23,7140,7240,7140,7200,28657,0.009817671809256634
2022-02-24,7200,7200,6820,6880,126811,-0.0444444444444444
2022-02-25,7030,7050,6900,7000,86672,0.01744186046511631
2022-02-28,7100,7320,7100,7170,121332,0.024285714285714244
2022-03-02,7170,7310,7160,7310,81513,0.019525801952580135
2022-03-03,7390,7550,7330,7470,158251,0.02188782489740082
2022-03-04,7380,7510,7370,7500,76091,0.004016064257028162
2022-03-07,7490,7490,7260,7290,68928,-0.028000000000000025
2022-03-08,7220,7290,7130,7130,61473,-0.021947873799725626
2022-03-10,7260,7330,7120,7140,117009,0.0014025245441795509
2022-03-11,7190,7210,7080,7120,62137,-0.0028011204481792618
2022-03-14,7090,7110,6900,6950,138789,-0.023876404494381998
2022-03-15,6970,7010,6860,6890,73157,-0.008633093525179825
2022-03-16,6990,7060,6900,7050,60564,0.023222060957909907
2022-03-17,7100,7200,7090,7120,78362,0.0099290780141843
2022-03-18,7170,7210,7120,7180,67112,0.008426966292134797
2022-03-21,7200,7280,7140,7220,65549,0.0055710306406684396
2022-03-22,7220,7260,7150,7260,71386,0.005540166204986097
2022-03-23,7330,7380,7180,7240,131344,-0.0027548209366391463
2022-03-24,7240,7240,7040,7120,133975,-0.016574585635359074
2022-03-25,7200,7480,7120,7320,273679,0.028089887640449396
2022-03-28,7340,7340,7220,7260,95476,-0.008196721311475419
2022-03-29,7270,7320,7240,7260,72050,0.0
2022-03-30,7300,7800,7300,7800,532114,0.07438016528925617
2022-03-31,7630,7700,7510,7680,256134,-0.01538461538461533
2022-04-01,7670,7710,7580,7630,145380,-0.00651041666666663
2022-04-04,7630,7860,7560,7790,246925,0.02096985583224109
2022-04-05,7790,7850,7700,7730,106004,-0.007702182284980763
