Date,Open,High,Low,Close,Volume,Change
2022-01-03,182000,183000,176500,180500,72436,-0.013661202185792365
2022-01-04,179000,185000,178000,184500,41123,0.02216066481994461
2022-01-05,185000,188500,183000,187000,51080,0.013550135501354976
2022-01-06,184500,186000,180500,181500,34968,-0.02941176470588236
2022-01-07,181500,195500,181000,194000,87361,0.06887052341597788
2022-01-10,193000,196500,191000,193500,43441,-0.002577319587628857
2022-01-11,191000,196000,186500,188000,35746,-0.028423772609819098
2022-01-12,189000,192000,188000,189000,36095,0.005319148936170137
2022-01-13,190500,192500,186500,191500,38067,0.013227513227513255
2022-01-14,189500,189500,183000,183500,37862,-0.04177545691906004
2022-01-17,181000,184000,176000,179000,43236,-0.02452316076294281
2022-01-18,177500,181000,174000,174000,40002,-0.027932960893854775
2022-01-19,170500,180500,170500,175500,36018,0.008620689655172376
2022-01-20,175000,179000,173000,177000,33763,0.008547008547008517
2022-01-21,175500,176000,172000,173000,25202,-0.02259887005649719
2022-01-24,170500,175000,165000,166500,38778,-0.037572254335260125
2022-01-25,166000,166000,152500,154500,95610,-0.07207207207207211
2022-01-26,153000,156500,149500,153000,58648,-0.009708737864077666
2022-01-27,151000,153500,144500,147500,53043,-0.03594771241830064
2022-01-28,145500,150500,143500,149000,40879,0.01016949152542379
2022-02-03,153000,154000,150500,152000,30574,0.020134228187919545
2022-02-04,148500,154000,148500,153500,20162,0.009868421052631637
2022-02-07,154000,164500,149500,164500,72396,0.07166123778501632
2022-02-08,165000,167000,160000,161000,46694,-0.021276595744680882
2022-02-09,164000,168500,163000,164500,41351,0.021739130434782705
2022-02-10,165500,166000,161500,163000,34443,-0.00911854103343468
2022-02-11,162000,179000,160000,173000,166964,0.06134969325153383
2022-02-14,170500,172000,163000,165500,53491,-0.043352601156069315
2022-02-15,165500,167500,156000,159000,58071,-0.0392749244712991
2022-02-16,162000,166500,161500,164500,28453,0.03459119496855356
2022-02-17,166000,171500,163500,166000,36886,0.00911854103343468
2022-02-18,162500,177000,162000,175500,73340,0.05722891566265065
2022-02-21,172000,176000,171000,172500,28277,-0.017094017094017144
2022-02-22,168500,175000,168000,170000,34288,-0.01449275362318836
2022-02-23,172000,178000,170500,172500,59874,0.014705882352941124
2022-02-24,170500,176500,166500,167500,45456,-0.02898550724637683
2022-02-25,170500,173000,167000,167500,30246,0.0
2022-02-28,168000,174500,166000,170000,37338,0.014925373134328401
2022-03-02,168000,172000,162000,162000,75032,-0.04705882352941182
2022-03-03,164000,166000,162000,164000,39533,0.012345679012345734
2022-03-04,163000,166500,160500,161000,28938,-0.018292682926829285
2022-03-07,157000,159500,151500,153500,63134,-0.04658385093167705
2022-03-08,149500,153000,148500,149000,42590,-0.02931596091205213
2022-03-10,154500,156000,152000,154500,40055,0.03691275167785224
2022-03-11,153500,157000,152000,156500,23428,0.012944983818770295
2022-03-14,158500,163000,153000,158500,44921,0.012779552715654896
2022-03-15,156000,162500,154500,155500,32078,-0.018927444794952675
2022-03-16,158500,164500,158000,160500,54053,0.03215434083601276
2022-03-17,162500,164500,158500,159000,38123,-0.009345794392523366
2022-03-18,159500,162000,157500,162000,36762,0.018867924528301883
2022-03-21,162500,164000,160500,161000,27108,-0.006172839506172867
2022-03-22,161000,162000,159000,161000,19202,0.0
2022-03-23,161500,165000,161500,164000,30015,0.01863354037267073
2022-03-24,163500,163500,160000,163000,24705,-0.0060975609756097615
2022-03-25,164000,164000,159000,160000,27135,-0.018404907975460127
2022-03-28,159500,162000,157500,160000,19745,0.0
2022-03-29,161000,163500,161000,163000,23822,0.018750000000000044
2022-03-30,165000,165000,161000,162000,22020,-0.006134969325153339
2022-03-31,162000,168500,160500,167500,61872,0.033950617283950546
2022-04-01,166000,167500,164500,166000,22341,-0.008955223880596996
2022-04-04,167500,168000,164000,166000,18409,0.0
2022-04-05,166500,167500,162500,163000,23866,-0.01807228915662651
2022-04-06,162000,163500,159000,159500,34703,-0.021472392638036797
2022-04-07,158000,159500,156500,157500,23256,-0.01253918495297801
2022-04-08,158000,159500,156000,158000,19490,0.0031746031746031633
2022-04-11,156500,158500,154000,157000,18999,-0.006329113924050667
2022-04-12,155000,157000,153000,156000,21067,-0.006369426751592355
2022-04-13,158000,160500,156500,159500,24203,0.022435897435897356
2022-04-14,159000,160500,157500,160500,26525,0.006269592476489061
2022-04-15,158500,158500,157000,157000,18225,-0.02180685358255452
2022-04-18,157000,157500,155000,156000,15689,-0.006369426751592355
2022-04-19,157000,158500,155000,158500,20311,0.01602564102564097
2022-04-20,158000,160500,157000,159000,18172,0.003154574132492094
2022-04-21,160000,165000,158500,162000,40052,0.018867924528301883
2022-04-22,159500,160500,158500,159000,18449,-0.01851851851851849
2022-04-25,155500,156500,153500,153500,30974,-0.03459119496855345
2022-04-26,154500,155000,153500,153500,20754,0.0
2022-04-27,148500,149500,145500,146000,73388,-0.04885993485342022
2022-04-28,146500,151000,143500,149500,47848,0.023972602739726012
2022-04-29,149500,153000,148000,152000,28349,0.01672240802675584
2022-05-02,149000,153500,149000,152000,24442,0.0
2022-05-03,151000,153500,150500,153500,14551,0.009868421052631637
2022-05-04,153500,155500,152500,153000,20384,-0.0032573289902280145
2022-05-06,150000,152000,149000,149500,16669,-0.022875816993464082
2022-05-09,148000,149000,142500,143500,33037,-0.04013377926421402
2022-05-10,140000,143500,136500,142500,44281,-0.006968641114982632
2022-05-11,140000,148000,139500,146500,33968,0.02807017543859658
2022-05-12,144500,146000,141500,141500,40445,-0.03412969283276446
2022-05-13,140500,146000,140500,146000,15946,0.03180212014134276
2022-05-16,148000,150000,144500,147500,34201,0.010273972602739656
2022-05-17,147500,151500,147000,149500,19291,0.013559322033898313
2022-05-18,149500,152500,148000,148000,25089,-0.010033444816053505
2022-05-19,144500,146500,143500,145500,12533,-0.016891891891891886
2022-05-20,145500,149500,145500,149500,16162,0.027491408934707806
2022-05-23,148000,151000,146500,149500,13689,0.0
2022-05-24,148500,150000,146000,146000,17836,-0.02341137123745818
2022-05-25,148000,148500,145500,147000,11828,0.006849315068493178
2022-05-26,146000,149000,145000,147000,12151,0.0
2022-05-27,148500,151500,148000,149500,19344,0.017006802721088343
2022-05-30,151000,156500,151000,156000,37179,0.04347826086956519
2022-05-31,156000,156500,154000,156000,23478,0.0
2022-06-02,156000,158500,154500,157000,20345,0.0064102564102563875
2022-06-03,158500,161000,157000,158000,24036,0.006369426751592355
2022-06-07,157000,160000,154000,155000,26142,-0.01898734177215189
2022-06-08,155500,156500,152500,152500,17506,-0.016129032258064502
2022-06-09,152500,163500,152000,162500,103148,0.06557377049180335
2022-06-10,160500,163000,159000,160000,28632,-0.01538461538461533
2022-06-13,155500,157000,151500,151500,35612,-0.05312499999999998
2022-06-14,147000,151000,146500,149500,32239,-0.01320132013201325
2022-06-15,149000,151000,140500,143000,41817,-0.04347826086956519
2022-06-16,145000,149500,142500,143500,23698,0.0034965034965035446
2022-06-17,140500,142000,136000,141500,41452,-0.013937282229965153
2022-06-20,142000,151000,138500,140500,72446,-0.007067137809187329
2022-06-21,141000,142000,133500,138000,48232,-0.017793594306049876
2022-06-22,139500,140500,132500,132500,41193,-0.03985507246376807
2022-06-23,130500,134500,128000,128000,45940,-0.03396226415094339
2022-06-24,127000,133000,126500,131500,41582,0.02734375
2022-06-27,133000,134500,130000,134500,20508,0.02281368821292773
2022-06-28,133000,135500,131500,132500,18371,-0.014869888475836479
2022-06-29,129500,132000,127500,128000,32662,-0.03396226415094339
2022-06-30,128000,128500,122000,122500,34178,-0.04296875
2022-07-01,123000,129000,122500,125500,36567,0.02448979591836742
2022-07-04,125000,129000,122000,123500,24515,-0.015936254980079667
2022-07-05,125000,129500,124000,129000,24971,0.044534412955465674
2022-07-06,132000,135500,127000,128500,53727,-0.003875968992248069
2022-07-07,130000,131000,126500,128500,33697,0.0
2022-07-08,129000,131500,127500,128500,25721,0.0
2022-07-11,130500,130500,125500,126000,34005,-0.01945525291828798
2022-07-12,125500,126500,116000,117500,68785,-0.06746031746031744
2022-07-13,118500,123000,118500,122500,36296,0.042553191489361764
2022-07-14,121500,122000,119000,120500,32579,-0.01632653061224487
2022-07-15,120500,122500,118000,120000,28886,-0.004149377593360981
2022-07-18,121000,125000,119000,123500,27631,0.029166666666666563
2022-07-19,121500,124500,121500,122000,22601,-0.012145748987854255
2022-07-20,125000,129000,123500,126000,41307,0.032786885245901676
2022-07-21,126000,126500,123500,125500,15727,-0.003968253968253954
2022-07-22,126000,127500,124000,125500,18171,0.0
2022-07-25,125000,126500,122000,125000,25806,-0.003984063745019917
2022-07-26,125000,127000,124000,125500,14911,0.0040000000000000036
2022-07-27,126000,128000,124500,128000,16681,0.019920318725099584
2022-07-28,127000,129000,126000,127500,28944,-0.00390625
2022-07-29,128500,129000,126000,127000,31351,-0.0039215686274509665
2022-08-01,127000,129000,126000,126500,28833,-0.003937007874015741
2022-08-02,127500,128000,123500,124000,30852,-0.01976284584980237
2022-08-03,124000,126000,122000,125000,24877,0.008064516129032251
2022-08-04,127000,127000,124000,125000,22300,0.0
2022-08-05,126000,131500,125500,128500,49819,0.028000000000000025
2022-08-08,128000,129000,125000,127500,20643,-0.0077821011673151474
2022-08-09,126000,127000,123500,125500,48347,-0.015686274509803977
2022-08-10,125000,127000,125000,126000,26699,0.003984063745019917
2022-08-11,127500,131500,127500,131000,41592,0.039682539682539764
2022-08-12,131500,132500,130000,131500,16708,0.003816793893129722
2022-08-16,133500,135000,130500,131500,23749,0.0
2022-08-17,133000,133500,128500,129000,19271,-0.019011406844106515
2022-08-18,128000,129000,127000,127500,11817,-0.011627906976744207
2022-08-19,127500,129000,126000,126500,17842,-0.007843137254901933
2022-08-22,125500,126000,124000,124500,14604,-0.015810276679841917
2022-08-23,123500,124500,122000,122500,19667,-0.016064257028112428
2022-08-24,123000,125500,121000,125500,17612,0.02448979591836742
2022-08-25,125500,126500,123500,126000,13601,0.003984063745019917
2022-08-26,126500,127500,124500,126000,13775,0.0
