Date,Open,High,Low,Close,Volume,Change
2022-01-03,61200,61700,59800,61500,675120,0.008196721311475308
2022-01-04,61500,62700,60800,61000,717483,-0.008130081300813052
2022-01-05,60400,60500,58100,58200,997369,-0.04590163934426228
2022-01-06,56900,58800,56500,56600,742420,-0.027491408934707917
2022-01-07,56700,59200,56700,57800,569492,0.021201413427561766
2022-01-10,58200,58900,57600,58000,447424,0.0034602076124568004
2022-01-11,58100,58400,57100,57300,367616,-0.012068965517241348
2022-01-12,58000,59500,57800,59500,561110,0.03839441535776622
2022-01-13,60900,61000,57100,57700,805498,-0.030252100840336138
2022-01-14,56600,56900,54500,54600,697808,-0.05372616984402079
2022-01-17,54000,55100,53400,54100,462764,-0.009157509157509125
2022-01-18,54300,55900,53700,53800,602489,-0.00554528650646946
2022-01-19,53800,55400,53500,54200,556286,0.0074349442379182396
2022-01-20,55000,59500,54800,59500,1422167,0.0977859778597785
2022-01-21,59600,60900,58700,60200,1037720,0.0117647058823529
2022-01-24,61400,64000,60800,62800,2146569,0.04318936877076407
2022-01-25,64200,64500,59400,59600,1632204,-0.05095541401273884
2022-01-26,60500,60800,56100,56100,1494778,-0.0587248322147651
2022-01-27,56700,57600,52200,52600,1683568,-0.0623885918003565
2022-01-28,52700,56800,52700,54400,2361589,0.034220532319391594
2022-02-03,56200,65100,54900,63300,6417892,0.16360294117647056
2022-02-04,62500,62700,58100,59200,2500097,-0.06477093206951023
2022-02-07,59500,60300,56800,57000,1413674,-0.03716216216216217
2022-02-08,56400,57000,54200,55100,1278584,-0.033333333333333326
2022-02-09,55200,57000,54600,55700,963427,0.010889292196007316
2022-02-10,55300,56000,53500,54400,1145114,-0.02333931777378817
2022-02-11,54700,55000,52200,52300,956329,-0.03860294117647056
2022-02-14,51500,53500,51100,51800,644225,-0.009560229445506718
2022-02-15,51400,51900,48550,48550,1312529,-0.06274131274131278
2022-02-16,49800,50900,49550,50300,845288,0.036045314109165894
2022-02-17,50900,51800,49050,50000,1002874,-0.005964214711729587
2022-02-18,50000,50800,49050,50200,788198,0.0040000000000000036
2022-02-21,49950,52600,49550,51800,809249,0.031872509960159334
2022-02-22,50600,51100,49850,50700,696662,-0.021235521235521193
2022-02-23,51300,51900,50800,51400,493219,0.013806706114398493
2022-02-24,50500,53500,50300,51300,1306743,-0.0019455252918287869
2022-02-25,52500,52900,51100,51600,704658,0.005847953216374213
2022-02-28,51200,51400,49950,51300,833827,-0.005813953488372103
2022-03-02,51800,52700,51300,52400,535816,0.021442495126705596
2022-03-03,52500,54500,51700,54400,738233,0.03816793893129766
2022-03-04,54000,54400,52600,52700,497673,-0.03125
2022-03-07,53400,54000,52600,52700,459321,0.0
2022-03-08,51500,54500,51400,53600,607842,0.017077798861480087
2022-03-10,54500,55400,54100,55200,709903,0.029850746268656803
2022-03-11,54600,54700,51700,51700,672518,-0.06340579710144922
2022-03-14,51600,51600,48800,49100,807164,-0.05029013539651839
2022-03-15,49150,50800,49150,49700,537986,0.012219959266802416
2022-03-16,50100,52800,50000,52100,743144,0.048289738430583595
2022-03-17,52600,53700,52200,53100,609443,0.019193857965451144
2022-03-18,53200,54000,52500,53600,417925,0.009416195856873921
2022-03-21,53600,53600,52300,52700,316349,-0.016791044776119368
2022-03-22,53200,53400,52100,52800,341235,0.00189753320683117
2022-03-23,53100,53800,52800,53000,325788,0.0037878787878788955
2022-03-24,52600,53500,51800,52300,386275,-0.013207547169811318
2022-03-25,52600,53900,52500,53300,468890,0.019120458891013437
2022-03-28,53200,53300,52100,52200,412191,-0.0206378986866792
2022-03-29,52500,52800,52200,52700,251776,0.009578544061302763
2022-03-30,52900,53500,51700,51800,414845,-0.017077798861480087
2022-03-31,52000,52300,50800,51100,388451,-0.013513513513513487
2022-04-01,50600,50800,49900,50100,298400,-0.019569471624266144
2022-04-04,49750,50400,49700,50200,205545,0.001996007984031989
2022-04-05,50700,51500,50400,50900,359089,0.013944223107569709
2022-04-06,50900,50900,49650,49650,423725,-0.024557956777996104
2022-04-07,49100,49850,49050,49100,279180,-0.011077542799597162
2022-04-08,49450,49900,48950,49050,285673,-0.0010183299389001643
2022-04-11,48600,48900,44800,44850,1187204,-0.08562691131498468
2022-04-12,44400,45200,44100,44250,542862,-0.013377926421404673
2022-04-13,43750,45500,43750,45300,557177,0.023728813559322104
2022-04-14,45350,45350,44050,44800,458282,-0.01103752759381893
2022-04-15,44500,44600,41500,41600,870279,-0.0714285714285714
2022-04-18,41850,42150,41200,41350,505650,-0.006009615384615419
2022-04-19,41300,42700,41300,42300,601561,0.022974607013301007
2022-04-20,42300,42500,41400,41400,388648,-0.021276595744680882
2022-04-21,41950,43200,41900,42050,597274,0.01570048309178751
2022-04-22,41350,42650,41350,42500,310400,0.010701545778834642
2022-04-25,41650,41750,40000,40700,433293,-0.04235294117647059
2022-04-26,40700,41300,40400,40500,369102,-0.004914004914004955
2022-04-27,39100,40650,39050,39300,417107,-0.029629629629629672
2022-04-28,39400,40100,39050,39250,308584,-0.0012722646310432406
2022-04-29,39500,41050,39400,40550,333463,0.03312101910828025
2022-05-02,40300,40350,39450,39700,200309,-0.020961775585696674
2022-05-03,39750,41900,39750,41200,430973,0.037783375314861534
2022-05-04,41200,41700,40800,40800,199840,-0.009708737864077666
2022-05-06,39900,40150,39200,39200,310032,-0.039215686274509776
2022-05-09,38950,40050,38800,39150,347659,-0.0012755102040816757
2022-05-10,38100,38900,37000,37850,613603,-0.033205619412515985
2022-05-11,37650,39700,37650,39700,705905,0.04887714663143994
2022-05-12,39100,40700,38150,39150,616478,-0.013853904282115859
2022-05-13,39900,43700,39650,40350,991545,0.03065134099616862
2022-05-16,40500,40750,38500,39000,637242,-0.03345724907063197
2022-05-17,38900,40600,38900,40100,626055,0.028205128205128105
2022-05-18,40150,40950,39600,40500,525501,0.009975062344139696
2022-05-19,39550,40800,39450,39950,376830,-0.013580246913580285
2022-05-20,40150,42450,40150,42350,666496,0.06007509386733423
2022-05-23,42800,43950,42300,43350,634627,0.023612750885478206
2022-05-24,43200,43350,41950,42100,301633,-0.028835063437139596
2022-05-25,42250,44150,42250,42950,453087,0.020190023752969077
2022-05-26,43300,44250,42850,43200,366224,0.005820721769499437
2022-05-27,44000,44500,43300,43450,322973,0.0057870370370369795
2022-05-30,43800,44200,43250,44100,250290,0.014959723820483273
2022-05-31,44350,44600,43000,44450,827313,0.007936507936507908
2022-06-02,44250,44700,43700,43900,224215,-0.01237345331833517
2022-06-03,43900,44350,43050,43300,245273,-0.013667425968109326
2022-06-07,42800,42800,41500,42500,214904,-0.018475750577367167
2022-06-08,42500,43500,42400,43000,200616,0.0117647058823529
2022-06-09,42800,43400,41800,43400,319012,0.009302325581395321
