Date,Open,High,Low,Close,Volume,Change
2023-08-10,6501,14853,6211,8667,47154253,
2023-08-11,8202,11253,8002,11253,12784493,0.29837313949463473
2023-08-14,12003,13253,10577,11028,26729417,-0.019994668088509693
2023-08-16,11527,12452,10751,10777,8093522,-0.022760246644903837
2023-08-17,11252,11352,9171,9302,3628653,-0.13686554699823694
2023-08-18,9162,12078,9127,12078,9898300,0.29843044506557725
2023-08-21,12102,14403,12102,12653,11292345,0.047607219738367235
2023-08-22,12778,16429,11852,16429,15172825,0.29842725045443763
2023-08-23,15829,20980,15629,18130,20927154,0.1035364294844483
2023-08-24,17654,19830,17329,18130,4358666,0.0
2023-08-25,17879,21705,17804,19455,9069332,0.07308328736900171
2023-08-28,19104,20504,17753,17929,1783939,-0.0784374196864559
2023-08-29,18629,20005,18204,19005,1783435,0.060014501645379026
2023-08-30,18979,24206,18779,23456,5066554,0.23420152591423316
2023-08-31,24306,30458,23556,30458,3776450,0.2985163710777625
2023-09-01,0,0,0,30458,0,0.0
2023-09-04,32908,38759,30507,31808,5148099,0.04432333048788495
2023-09-05,0,0,0,31808,0,0.0
2023-09-06,33058,37509,32708,35759,2417003,0.12421403420523136
2023-09-07,36760,37260,30558,32859,1704433,-0.08109846472216786
2023-09-08,31608,33108,28907,31258,1636811,-0.04872333302900267
2023-09-11,31957,33858,30107,32108,1469058,0.027193038582123075
2023-09-12,31257,32708,27856,28107,1081821,-0.12461068892487859
2023-09-13,27557,28607,25806,26607,607515,-0.05336748852598994
2023-09-14,26756,29257,25606,28007,847500,0.05261773217574328
2023-09-15,27807,28057,25756,27807,606683,-0.007141071874888438
2023-09-18,28407,34009,28357,33409,1991827,0.2014600640126587
2023-09-19,34059,34159,31858,33509,839937,0.0029932054236883054
2023-09-20,32758,32758,29507,31608,640742,-0.05673102748515324
2023-09-21,30008,32408,29158,29158,442399,-0.07751202227284237
2023-09-22,27857,28857,25906,26907,418629,-0.07720008231017217
2023-09-25,25506,25707,20880,22006,1359760,-0.1821459099862489
2023-09-26,21055,22930,18829,20430,1537107,-0.07161683177315281
2023-09-27,19880,23406,19630,21981,1544389,0.07591776798825256
2023-10-04,20755,20855,18504,18530,663625,-0.15699922660479504
2023-10-05,18929,21105,18004,19655,691652,0.06071235833783062
2023-10-06,20005,23556,19980,23006,1290024,0.17049096921902818
2023-10-10,22655,22655,20104,20405,616862,-0.11305746327045119
2023-10-11,21380,22305,20379,20580,604784,0.00857632933104635
2023-10-12,20979,22730,20679,21555,620281,0.047376093294460686
2023-10-13,20980,21030,19254,20055,509618,-0.06958942240779398
2023-10-16,19105,19655,18729,18755,338796,-0.06482174021441034
2023-10-17,19155,19305,18179,18555,269101,-0.010663822980538473
2023-10-18,18954,18954,17004,17004,443153,-0.08358932902182703
2023-10-19,16104,17504,15628,16029,383185,-0.05733944954128445
2023-10-20,15754,16229,14903,15504,347763,-0.032753134942915985
2023-10-23,15228,16604,15203,15904,294852,0.02579979360165119
2023-10-24,16029,16754,14578,15804,358028,-0.006287726358148893
2023-10-25,15854,16329,14854,14854,201574,-0.06011136421159202
2023-10-26,14253,15554,14053,14504,293276,-0.023562676720075393
2023-10-27,14653,15203,14002,14353,283637,-0.010410921125206807
2023-10-30,14428,15329,14003,15104,244980,0.05232355605099981
2023-10-31,15178,15353,13427,13578,329316,-0.10103283898305082
2023-11-01,13803,14804,13778,14529,212784,0.07003977021652674
2023-11-02,15853,18879,15003,16504,2257845,0.13593502649872669
2023-11-03,17053,18329,16378,17929,1145856,0.08634270479883654
2023-11-06,17503,17779,16003,17529,684444,-0.022310223659992245
2023-11-07,17779,18304,15753,15979,565037,-0.08842489588681612
2023-11-08,15679,16379,14778,14854,457019,-0.0704049064397021
2023-11-09,15003,15528,14202,14353,388224,-0.033728288676450835
2023-11-10,13953,13953,11452,12228,1795397,-0.14805267191527904
2023-11-13,12603,13103,11777,11903,799630,-0.026578344782466456
2023-11-14,12002,12578,11602,12478,823221,0.04830714945811976
2023-11-15,12477,13778,12277,13303,1164776,0.06611636480205152
2023-11-16,13302,13778,12952,13328,724904,0.0018792753514245142
2023-11-17,13477,14778,13202,14378,1685836,0.07878151260504196
2023-11-20,13803,13903,12902,13028,756436,-0.09389344832382807
2023-11-21,13102,14178,12527,13803,872473,0.05948725821307943
2023-11-22,13578,16979,13428,16429,3854446,0.1902484967036151
2023-11-23,17454,19180,16254,18355,4106992,0.11723172438979845
2023-11-24,18554,20030,17829,19630,1987426,0.06946336148188514
2023-11-27,19530,20230,18404,19205,1093762,-0.021650534895568008
2023-11-28,18830,19280,18129,18630,602102,-0.029940119760479056
2023-11-29,18604,24206,18104,24206,3336248,0.29930220075147607
2023-11-30,24456,26506,22730,23806,2196946,-0.01652482855490378
2023-12-01,23356,24856,21730,22256,1346068,-0.0651096362261615
2023-12-04,22255,24881,21380,23106,1370419,0.03819194823867722
2023-12-05,22480,24131,21755,23006,851031,-0.004327880204275991
2023-12-06,22805,24756,21805,24756,665895,0.07606711292706247
2023-12-07,24506,25306,23280,23631,757427,-0.04544352884149294
2023-12-08,23405,24255,20904,21030,887995,-0.1100672844991748
2023-12-11,21154,22055,20854,21205,506187,0.008321445553970408
2023-12-12,21380,22880,20554,20805,644447,-0.018863475595378487
2023-12-13,20930,21080,20129,20555,283365,-0.01201634222542658
2023-12-14,20804,22255,20804,21280,760081,0.03527122354658241
2023-12-15,21080,21130,18954,19330,723445,-0.09163533834586468
2023-12-18,19729,20155,19479,19905,336842,0.029746508018623885
2023-12-19,19954,22480,19954,21030,1300573,0.056518462697814575
2023-12-20,21230,22255,19479,19830,964918,-0.05706134094151216
2023-12-21,19529,20980,19504,20730,658521,0.0453857791225416
2023-12-22,20755,25006,20255,23931,2532383,0.15441389290882768
2023-12-26,24556,24956,23056,23056,790870,-0.036563453261460044
2023-12-27,23131,26357,23131,25707,1716685,0.1149809160305344
2023-12-28,25806,27106,25156,25156,1006854,-0.02143385070214343
2024-01-02,25406,25757,23581,25557,632148,0.015940531086023224
2024-01-03,26256,28157,25506,26957,1294069,0.05477951246233914
2024-01-04,27257,27807,25956,26657,517146,-0.011128834810995247
2024-01-05,26506,26906,24330,24881,597978,-0.0666241512548299
