Date,Open,High,Low,Close,Volume,Change
2022-01-03,13700,14500,13650,14500,482793,0.07407407407407418
2022-01-04,14550,14700,14150,14600,348576,0.006896551724137945
2022-01-05,14550,14650,14100,14250,301906,-0.023972602739726012
2022-01-06,13850,14150,13550,13750,277510,-0.03508771929824561
2022-01-07,13550,14100,13550,14000,127660,0.018181818181818077
2022-01-10,13800,14700,13500,14250,258862,0.017857142857142794
2022-01-11,14250,14500,13850,13900,222129,-0.024561403508771895
2022-01-12,13900,14250,13800,14100,144280,0.014388489208633004
2022-01-13,14200,14250,13750,13900,109783,-0.014184397163120588
2022-01-14,13750,14050,13700,13800,120918,-0.007194244604316502
2022-01-17,13800,13900,13350,13800,123170,0.0
2022-01-18,13500,14050,13300,13600,122766,-0.01449275362318836
2022-01-19,13400,13500,13100,13100,97637,-0.03676470588235292
2022-01-20,12900,13250,12850,13200,101798,0.007633587786259444
2022-01-21,12900,13250,12800,13000,117763,-0.015151515151515138
2022-01-24,12800,12850,12400,12400,150223,-0.0461538461538461
2022-01-25,12400,12650,11150,11300,337322,-0.08870967741935487
2022-01-26,11050,11600,10950,11100,217052,-0.017699115044247815
2022-01-27,11100,11300,10150,10300,242306,-0.07207207207207211
2022-01-28,10350,11150,10250,11050,221962,0.07281553398058249
2022-02-03,11350,11950,11300,11600,152362,0.04977375565610864
2022-02-04,11350,12150,11350,11850,128785,0.02155172413793105
2022-02-07,11900,12250,11750,11850,70920,0.0
2022-02-08,11750,12000,11300,11450,98369,-0.03375527426160341
2022-02-09,11500,11700,11450,11600,37301,0.013100436681222627
2022-02-10,11700,11850,11300,11400,66906,-0.017241379310344862
2022-02-11,11050,11300,10600,10700,182381,-0.06140350877192979
2022-02-14,10450,10550,10000,10300,206389,-0.03738317757009346
2022-02-15,10300,10550,9990,10150,169875,-0.014563106796116498
2022-02-16,10500,11050,10400,10950,122793,0.07881773399014769
2022-02-17,10950,11100,10450,10750,119263,-0.0182648401826484
2022-02-18,10350,11050,10300,11000,125967,0.023255813953488413
2022-02-21,10750,11000,10500,10800,91387,-0.018181818181818188
2022-02-22,10450,10700,10250,10300,100400,-0.04629629629629628
2022-02-23,10300,10550,10300,10400,93142,0.009708737864077666
2022-02-24,10150,10300,9800,9890,237952,-0.049038461538461586
