Date,Open,High,Low,Close,Volume,Change
2023-07-26,25000,25000,25000,25000,3,
2023-07-27,25000,25000,25000,25000,0,0.0
2023-07-28,25000,25000,25000,25000,0,0.0
2023-07-31,25000,25000,25000,25000,0,0.0
2023-08-01,25000,25000,25000,25000,0,0.0
2023-08-02,25000,25000,25000,25000,0,0.0
2023-08-03,25000,25000,25000,25000,0,0.0
2023-08-04,25000,25000,25000,25000,0,0.0
2023-08-07,25000,25000,25000,25000,0,0.0
2023-08-08,25000,25000,25000,25000,0,0.0
2023-08-09,25000,25000,25000,25000,0,0.0
2023-08-10,25000,25000,25000,25000,0,0.0
2023-08-11,25000,25000,25000,25000,0,0.0
2023-08-14,25000,25000,25000,25000,0,0.0
2023-08-16,25000,25000,25000,25000,0,0.0
2023-08-17,25000,25000,25000,25000,0,0.0
2023-08-18,25000,25000,25000,25000,0,0.0
2023-08-21,25000,25000,25000,25000,0,0.0
2023-08-22,25000,25000,25000,25000,0,0.0
2023-08-23,25000,25000,25000,25000,0,0.0
2023-08-24,25000,25000,25000,25000,0,0.0
2023-08-25,25000,25000,25000,25000,0,0.0
2023-08-28,25000,25000,25000,25000,0,0.0
2023-08-29,25000,25000,25000,25000,0,0.0
2023-08-30,25000,25000,25000,25000,0,0.0
2023-08-31,25000,25000,25000,25000,0,0.0
2023-09-01,25000,25000,25000,25000,0,0.0
2023-09-04,25000,25000,25000,25000,0,0.0
2023-09-05,25000,25000,25000,25000,0,0.0
2023-09-06,25000,25000,25000,25000,0,0.0
2023-09-07,25000,25000,25000,25000,0,0.0
2023-09-08,25000,25000,25000,25000,0,0.0
2023-09-11,25000,25000,25000,25000,0,0.0
2023-09-12,25000,25000,25000,25000,0,0.0
2023-09-13,25000,25000,25000,25000,0,0.0
2023-09-14,25000,25000,25000,25000,0,0.0
2023-09-15,25000,25000,25000,25000,0,0.0
2023-09-18,25000,25000,25000,25000,0,0.0
2023-09-19,25000,25000,25000,25000,0,0.0
2023-09-20,25000,25000,25000,25000,0,0.0
2023-09-21,25000,25000,25000,25000,0,0.0
2023-09-22,25000,25000,25000,25000,0,0.0
2023-09-25,25000,25000,25000,25000,0,0.0
2023-09-26,25000,25000,25000,25000,0,0.0
2023-09-27,25000,25000,25000,25000,0,0.0
2023-10-04,25000,25000,25000,25000,0,0.0
2023-10-05,25000,25000,25000,25000,0,0.0
2023-10-06,25000,25000,25000,25000,0,0.0
2023-10-10,25000,25000,25000,25000,0,0.0
2023-10-11,25000,25000,25000,25000,0,0.0
2023-10-12,25000,25000,25000,25000,0,0.0
2023-10-13,25000,25000,25000,25000,0,0.0
2023-10-16,25000,25000,25000,25000,0,0.0
2023-10-17,25000,25000,25000,25000,0,0.0
2023-10-18,25000,25000,25000,25000,0,0.0
2023-10-19,25000,25000,25000,25000,0,0.0
2023-10-20,25000,25000,25000,25000,0,0.0
2023-10-23,25000,25000,25000,25000,0,0.0
2023-10-24,25000,25000,25000,25000,0,0.0
2023-10-25,25000,25000,25000,25000,0,0.0
2023-10-26,25000,25000,25000,25000,0,0.0
2023-10-27,25000,25000,25000,25000,0,0.0
2023-10-30,25000,25000,25000,25000,0,0.0
