Date,Open,High,Low,Close,Volume,Change
2022-01-03,15500,15700,14600,14900,366415,-0.03870967741935483
2022-01-04,15000,15300,14650,14650,263637,-0.016778523489932917
2022-01-05,14750,14750,13950,14550,330540,-0.0068259385665528916
2022-01-06,13900,14800,13500,13600,380905,-0.06529209621993126
2022-01-07,13600,14050,13400,13850,210124,0.018382352941176405
2022-01-10,13650,13750,12950,13100,152913,-0.054151624548736454
2022-01-11,13100,13550,12950,13300,96954,0.01526717557251911
2022-01-12,13550,14750,13550,14700,402844,0.10526315789473695
2022-01-13,14600,15150,14400,14550,263934,-0.010204081632653073
2022-01-14,14400,14500,14000,14150,202789,-0.027491408934707917
2022-01-17,14100,14100,13250,13800,169472,-0.02473498233215543
2022-01-18,13700,14100,13350,13450,78340,-0.025362318840579712
2022-01-19,12450,14050,12400,13650,414460,0.014869888475836479
2022-01-20,13750,13750,12800,13150,235030,-0.03663003663003661
2022-01-21,13000,13300,12800,12900,115146,-0.019011406844106515
2022-01-24,12750,12900,12150,12550,106679,-0.027131782945736482
2022-01-25,12900,12900,12000,12250,108731,-0.0239043824701195
2022-01-26,11950,12300,11600,11950,107917,-0.024489795918367308
2022-01-27,11800,12050,11050,11150,164338,-0.06694560669456062
2022-01-28,11000,11650,10600,11600,234405,0.04035874439461873
2022-02-03,11700,12250,11600,11950,64514,0.030172413793103425
2022-02-04,11950,12050,11600,11850,44731,-0.008368200836820106
2022-02-07,11900,11900,11500,11650,31932,-0.016877637130801704
2022-02-08,11650,12250,10950,11200,102651,-0.03862660944206009
2022-02-09,11300,12100,11050,11950,73429,0.06696428571428581
2022-02-10,11950,12100,11600,11750,23645,-0.01673640167364021
2022-02-11,11300,11750,11000,11150,49535,-0.051063829787234005
2022-02-14,11200,11200,10550,10850,64273,-0.026905829596412523
2022-02-15,10600,11050,10300,10400,77637,-0.04147465437788023
2022-02-16,10800,11200,10600,10850,120063,0.04326923076923084
2022-02-17,11000,11700,10700,11200,117248,0.032258064516129004
2022-02-18,10800,11300,10800,11300,36361,0.008928571428571397
2022-02-21,11250,11250,10600,10650,95792,-0.05752212389380529
2022-02-22,10500,10700,10300,10500,50482,-0.014084507042253502
2022-02-23,10550,11400,10550,11150,62973,0.06190476190476191
2022-02-24,11050,11200,10400,10500,93666,-0.058295964125560484
2022-02-25,10950,10950,10450,10500,48692,0.0
2022-02-28,10600,11150,10550,10900,47462,0.03809523809523818
2022-03-02,10900,11500,10800,11400,43468,0.04587155963302747
2022-03-03,11650,11950,11500,11800,45466,0.03508771929824572
2022-03-04,11700,12850,11400,12300,256334,0.04237288135593231
2022-03-07,11850,12100,11500,11600,72644,-0.05691056910569103
2022-03-08,11500,11500,10800,11050,82357,-0.04741379310344829
2022-03-10,11450,11900,11150,11500,78152,0.040723981900452566
2022-03-11,11750,11750,11150,11500,39882,0.0
2022-03-14,11500,11500,10750,10850,61630,-0.05652173913043479
2022-03-15,10750,11150,10650,10900,49174,0.004608294930875667
2022-03-16,11350,11350,10800,11100,33174,0.0183486238532109
