Date,Open,High,Low,Close,Volume,Change
2025-11-24,23250,30200,23250,30200,686460,
2025-11-25,39250,39250,39250,39250,30460,0.29966887417218535
2025-11-26,51000,51000,44300,51000,2755294,0.2993630573248407
2025-11-27,49000,55700,48000,51300,3079820,0.00588235294117645
2025-11-28,52500,66600,51500,66600,1503038,0.29824561403508776
2025-12-01,76000,83500,67400,72300,4309637,0.0855855855855856
2025-12-02,70600,75100,67000,72300,813629,0.0
2025-12-03,74000,76200,69000,70500,472871,-0.024896265560165998
2025-12-04,70000,70100,63100,63800,587957,-0.09503546099290783
2025-12-05,62900,67300,60800,64000,600034,0.0031347962382444194
2025-12-08,63100,64800,57700,58300,327058,-0.08906250000000004
2025-12-09,57900,62600,55300,59300,375408,0.0171526586620927
2025-12-10,59800,63000,58300,62200,225006,0.04890387858347389
2025-12-11,62700,68900,60400,65400,364723,0.05144694533762051
2025-12-12,65900,74500,64400,70300,556691,0.07492354740061158
2025-12-15,69400,74300,67300,74300,303565,0.056899004267425335
2025-12-16,74200,75500,67600,69300,295115,-0.06729475100942128
2025-12-17,69000,73300,61300,62300,430230,-0.101010101010101
2025-12-18,60700,64400,60000,60100,171323,-0.035313001605136396
2025-12-19,61900,66100,60500,64100,269089,0.06655574043261225
2025-12-22,66600,66700,62300,63300,122208,-0.012480499219968744
2025-12-23,63300,63300,59800,60000,178217,-0.05213270142180093
2025-12-24,60500,60500,58200,58700,96129,-0.021666666666666612
2025-12-26,58700,59800,55100,59400,120775,0.011925042589437718
2025-12-29,59400,59500,53800,54000,239692,-0.09090909090909094
2025-12-30,54200,54200,51200,52500,139317,-0.02777777777777779
2026-01-02,53300,53500,51100,52000,48482,-0.00952380952380949
2026-01-05,51100,52500,50000,52500,60965,0.009615384615384581
2026-01-06,52600,52700,50400,50800,78553,-0.0323809523809524
2026-01-07,51600,51600,49450,50900,72751,0.0019685039370078705
2026-01-08,51700,52600,50200,52400,56072,0.02946954813359537
2026-01-09,52300,53400,50500,52500,42332,0.001908396946564972
2026-01-12,55600,57500,52900,55500,200041,0.05714285714285716
2026-01-13,55800,56800,53400,55500,86974,0.0
2026-01-14,56200,65100,55000,62200,270803,0.12072072072072082
2026-01-15,62100,63200,58200,59300,105260,-0.04662379421221863
2026-01-16,60500,64300,58700,62400,134170,0.05227655986509272
2026-01-19,64700,74900,62800,71000,332947,0.13782051282051277
2026-01-20,72600,91500,71300,89500,651129,0.26056338028169024
2026-01-21,83400,84000,73600,75400,308781,-0.15754189944134078
2026-01-22,80500,96500,78500,92900,521588,0.2320954907161803
2026-01-23,91700,100800,88200,94300,356945,0.01506996770721214
2026-01-26,92000,98200,89200,91000,164780,-0.03499469777306474
2026-01-27,91800,113700,90700,108400,481095,0.1912087912087912
2026-01-28,105200,112300,102800,107100,149714,-0.011992619926199266
2026-01-29,107000,108000,100500,103900,106385,-0.029878618113912236
2026-01-30,99500,100400,93500,95600,175793,-0.07988450433108762
2026-02-02,91000,95600,88400,89200,103005,-0.06694560669456062
2026-02-03,92900,106700,91600,102900,191671,0.1535874439461884
2026-02-04,98800,102500,98700,100200,39706,-0.026239067055393583
2026-02-05,105600,106400,99600,100000,70970,-0.001996007984031989
2026-02-06,94100,98500,92500,93600,71368,-0.06399999999999995
2026-02-09,94800,100900,92200,96200,62902,0.02777777777777768
2026-02-10,94500,100100,93700,97700,53089,0.015592515592515621
2026-02-11,98500,117900,97500,114000,295535,0.16683725690890472
2026-02-12,111400,125200,111000,112900,191505,-0.009649122807017574
