Date,Open,High,Low,Close,Volume,Change
2024-12-13,22800,22800,19400,22800,4,
2024-12-16,22800,22800,22800,22800,0,0.0
2024-12-17,22800,22800,22800,22800,0,0.0
2024-12-18,22800,22800,22800,22800,0,0.0
2024-12-19,22800,22800,22800,22800,0,0.0
2024-12-20,22800,22800,22800,22800,0,0.0
2024-12-23,22800,22800,22800,22800,0,0.0
2024-12-24,22800,22800,22800,22800,0,0.0
2024-12-26,22800,22800,22800,22800,0,0.0
2024-12-27,22800,22800,22800,22800,0,0.0
2024-12-30,22800,22800,22800,22800,0,0.0
2025-01-02,22800,22800,22800,22800,0,0.0
2025-01-03,22800,22800,22800,22800,0,0.0
2025-01-06,22800,22800,22800,22800,0,0.0
2025-01-07,22800,22800,22800,22800,0,0.0
2025-01-08,22800,22800,22800,22800,0,0.0
2025-01-09,26200,26200,26200,26200,3,0.14912280701754388
2025-01-10,28000,28000,28000,28000,9,0.06870229007633588
2025-01-13,27200,27200,27200,27200,88,-0.02857142857142858
2025-01-14,27200,27200,27200,27200,0,0.0
2025-01-15,27200,27200,27200,27200,0,0.0
2025-01-16,27200,27200,27200,27200,0,0.0
2025-01-17,27200,27200,27200,27200,0,0.0
2025-01-20,28000,28000,28000,28000,100,0.02941176470588225
2025-01-21,27200,27200,27200,27200,100,-0.02857142857142858
2025-01-22,26400,26400,26400,26400,100,-0.02941176470588236
2025-01-23,25650,26800,25650,26800,101,0.015151515151515138
2025-01-24,26800,26800,26800,26800,20,0.0
2025-01-31,25300,25300,25000,25000,120,-0.06716417910447758
2025-02-03,26200,26200,26200,26200,11,0.04800000000000004
2025-02-04,25200,25200,25200,25200,0,-0.03816793893129766
2025-02-05,26000,26000,23800,25200,122,0.0
2025-02-06,22500,23700,21600,23700,161,-0.059523809523809534
2025-02-07,21000,22200,21000,22200,102,-0.06329113924050633
2025-02-10,18900,18900,18900,18900,95,-0.14864864864864868
2025-02-11,20000,20000,16070,16070,126,-0.14973544973544972
2025-02-12,14400,18000,14400,18000,101,0.120099564405725
2025-02-13,16200,20500,16200,20500,101,0.13888888888888884
2025-02-14,17450,17450,17450,17450,100,-0.14878048780487807
2025-02-17,14840,14840,14840,14840,100,-0.14957020057306591
2025-02-18,12620,12630,12620,12630,26,-0.148921832884097
2025-02-19,11370,11370,11370,11370,0,-0.0997624703087886
2025-02-20,10600,10600,10600,10600,100,-0.06772207563764288
2025-02-21,10580,10580,10000,10000,101,-0.05660377358490565
2025-02-24,11200,11200,10580,10580,33,0.05800000000000005
2025-02-25,10700,10700,10700,10700,0,0.011342155009451904
2025-02-26,10700,10700,10700,10700,0,0.0
2025-02-27,10700,10700,10700,10700,0,0.0
2025-02-28,11400,11400,11400,11400,1,0.06542056074766345
2025-03-04,11400,11400,11400,11400,0,0.0
2025-03-05,11400,11400,11400,11400,0,0.0
2025-03-06,11400,11400,11400,11400,0,0.0
2025-03-07,11400,11400,11400,11400,0,0.0
2025-03-10,11400,11400,11400,11400,0,0.0
2025-03-11,11400,11400,11400,11400,0,0.0
2025-03-12,11400,11400,11400,11400,0,0.0
2025-03-13,11400,11400,11400,11400,0,0.0
2025-03-14,11500,11500,11500,11500,100,0.00877192982456143
2025-03-17,11500,11500,11500,11500,0,0.0
2025-03-18,11400,11400,11400,11400,100,-0.008695652173912993
2025-03-19,11400,11400,11400,11400,0,0.0
2025-03-20,11400,11400,11400,11400,0,0.0
2025-03-21,11400,11400,11400,11400,0,0.0
2025-03-24,11400,11400,11400,11400,0,0.0
2025-03-25,11400,11400,11400,11400,0,0.0
2025-03-26,11400,11400,11400,11400,0,0.0
2025-03-27,11400,11400,11400,11400,0,0.0
2025-03-28,11400,11400,11400,11400,0,0.0
2025-03-31,11400,11400,11400,11400,0,0.0
