Date,Open,High,Low,Close,Volume,Change
2022-01-03,24350,24450,23700,24000,133171,-0.004149377593360981
2022-01-04,23950,24300,23800,24000,106988,0.0
2022-01-05,23850,24000,22950,23100,180331,-0.03749999999999998
2022-01-06,22550,23050,22300,22400,156637,-0.030303030303030276
2022-01-07,22550,23200,22550,23000,68654,0.02678571428571419
2022-01-10,23000,23000,22400,22500,66501,-0.021739130434782594
2022-01-11,22750,23150,22450,23000,168663,0.022222222222222143
2022-01-12,23350,23450,22950,23300,94536,0.01304347826086949
2022-01-13,23300,23400,22900,22950,80585,-0.015021459227467782
2022-01-14,22650,23350,22600,23350,70949,0.017429193899782147
2022-01-17,23100,23400,22800,22850,70807,-0.021413276231263434
2022-01-18,22850,23600,22850,23000,99871,0.006564551422319376
2022-01-19,22750,22850,22150,22250,113391,-0.03260869565217395
2022-01-20,22150,22750,22100,22700,46940,0.020224719101123556
2022-01-21,22400,22550,21700,21950,84420,-0.033039647577092546
2022-01-24,21550,22000,21150,21150,88351,-0.036446469248291535
2022-01-25,21050,21400,20450,20450,138745,-0.03309692671394804
2022-01-26,20450,20700,20100,20200,73975,-0.012224938875305624
2022-01-27,20050,20550,19500,19600,132495,-0.02970297029702973
2022-01-28,19600,20200,19150,20100,74298,0.025510204081632626
2022-02-03,20500,20700,20000,20200,56922,0.004975124378109541
2022-02-04,20050,20700,19900,20600,65855,0.01980198019801982
2022-02-07,20500,20600,19000,19850,152334,-0.036407766990291246
2022-02-08,19850,19950,19100,19200,105164,-0.032745591939546626
2022-02-09,19550,19650,19150,19450,54319,0.01302083333333326
2022-02-10,19850,19850,19350,19500,54713,0.0025706940874035134
2022-02-11,19400,19400,18800,18900,68467,-0.03076923076923077
2022-02-14,18600,18700,18150,18200,79441,-0.03703703703703709
2022-02-15,18050,18300,17600,17850,65397,-0.019230769230769273
2022-02-16,18200,18800,18200,18750,45510,0.050420168067226934
2022-02-17,18750,19200,18350,18800,56154,0.002666666666666595
2022-02-18,18500,19000,18300,19000,31260,0.010638297872340496
2022-02-21,18650,18900,18350,18800,26682,-0.010526315789473717
2022-02-22,18450,18950,18450,18500,25115,-0.015957446808510634
2022-02-23,18550,18750,18500,18700,37232,0.0108108108108107
2022-02-24,18400,18600,17900,17950,63945,-0.0401069518716578
2022-02-25,18100,18400,18000,18050,52513,0.0055710306406684396
2022-02-28,18000,18300,18000,18150,33793,0.005540166204986097
2022-03-02,17950,18300,17950,18200,44745,0.0027548209366390353
2022-03-03,18800,18950,18600,18900,59603,0.03846153846153855
2022-03-04,18900,18950,18600,18900,30830,0.0
2022-03-07,18250,18600,18150,18300,45021,-0.031746031746031744
2022-03-08,18100,18300,17900,18050,26195,-0.013661202185792365
2022-03-10,18300,18550,18250,18300,27541,0.013850415512465464
2022-03-11,18300,18400,18100,18150,22507,-0.008196721311475419
2022-03-14,17950,18100,17650,17750,55797,-0.02203856749311295
2022-03-15,17900,18000,17750,17750,16883,0.0
2022-03-16,17850,18200,17850,18100,36515,0.019718309859154903
2022-03-17,18300,18950,18300,18500,60524,0.022099447513812098
2022-03-18,18800,18800,18350,18650,45464,0.008108108108108025
2022-03-21,18750,18750,18350,18350,37339,-0.01608579088471851
2022-03-22,18400,18600,18250,18400,36910,0.0027247956403269047
2022-03-23,18550,18650,18350,18450,42433,0.0027173913043478937
2022-03-24,18250,18450,18250,18450,37897,0.0
2022-03-25,18700,18700,18400,18400,37844,-0.0027100271002710175
2022-03-28,18550,18550,18150,18250,52108,-0.008152173913043459
2022-03-29,18350,18650,18300,18600,53452,0.019178082191780854
2022-03-30,18900,19450,18750,19200,139185,0.032258064516129004
2022-03-31,19200,19350,19000,19200,47549,0.0
2022-04-01,19100,19100,18700,18850,54554,-0.01822916666666663
2022-04-04,18950,18950,18600,18800,50535,-0.0026525198938992522
2022-04-05,18800,19050,18700,18850,44226,0.0026595744680850686
2022-04-06,18700,18800,18550,18600,50440,-0.01326259946949604
2022-04-07,18350,18500,18150,18350,63085,-0.013440860215053752
2022-04-08,18250,18400,17850,18050,85843,-0.016348773841961872
2022-04-11,17900,18100,17800,17850,60606,-0.011080332409972304
2022-04-12,17700,17850,17600,17750,51402,-0.0056022408963585235
2022-04-13,17750,18050,17750,17950,44593,0.011267605633802802
2022-04-14,18000,18350,17950,18050,41631,0.0055710306406684396
2022-04-15,17900,18100,17800,18100,26362,0.0027700831024930483
2022-04-18,18050,18100,17900,17900,21293,-0.011049723756906049
2022-04-19,17900,18400,17900,18350,40619,0.025139664804469275
2022-04-20,18450,18450,18150,18250,28228,-0.00544959128065392
2022-04-21,18350,18500,18150,18300,41438,0.00273972602739736
2022-04-22,18100,18150,17850,18000,44560,-0.016393442622950838
2022-04-25,17800,17950,17700,17800,55363,-0.011111111111111072
2022-04-26,17900,18100,17850,18050,40998,0.014044943820224809
2022-04-27,18150,18150,17750,17950,46830,-0.005540166204986097
2022-04-28,18000,18100,17750,17800,30567,-0.00835654596100277
2022-04-29,18000,18100,17800,18000,35999,0.011235955056179803
2022-05-02,17850,17950,17750,17950,28322,-0.002777777777777768
2022-05-03,18000,18100,17850,17900,33530,-0.0027855153203342198
2022-05-04,17900,18100,17850,17950,31457,0.0027932960893854997
2022-05-06,17800,17850,17650,17700,39838,-0.013927576601671321
2022-05-09,17650,17750,16850,16850,107052,-0.04802259887005644
2022-05-10,16500,17000,16150,16900,45551,0.0029673590504450953
2022-05-11,16650,17000,16500,16850,19316,-0.00295857988165682
2022-05-12,16550,17300,16350,16550,60456,-0.017804154302670572
2022-05-13,16600,17050,16550,16800,55822,0.015105740181268867
2022-05-16,17150,17250,16700,17000,47547,0.011904761904761862
2022-05-17,17000,17350,17000,17250,30935,0.014705882352941124
2022-05-18,17400,17700,17250,17550,44008,0.017391304347825987
2022-05-19,17250,17600,17050,17550,32157,0.0
2022-05-20,17800,17800,17450,17600,46030,0.002849002849002913
2022-05-23,17700,17850,17450,17600,34109,0.0
2022-05-24,17450,17500,17000,17000,48315,-0.03409090909090906
2022-05-25,17100,21250,16850,18800,1786342,0.10588235294117654
2022-05-26,19050,19350,18350,18600,338722,-0.010638297872340385
2022-05-27,18750,19450,18450,18550,246091,-0.0026881720430107503
2022-05-30,18900,19250,18600,19050,143811,0.02695417789757415
