Date,Open,High,Low,Close,Volume,Change
2022-01-03,7170,7200,7090,7150,116709,0.0
2022-01-04,7180,7200,7110,7170,106307,0.002797202797202747
2022-01-05,7220,7220,7040,7080,261027,-0.012552301255230103
2022-01-06,7010,7080,6900,6970,236986,-0.015536723163841804
2022-01-07,6970,7070,6950,7070,65936,0.01434720229555242
2022-01-10,7060,7090,6910,6980,111600,-0.012729844413012725
2022-01-11,6940,7000,6780,6820,153581,-0.022922636103151817
2022-01-12,6870,6910,6820,6880,100224,0.008797653958944274
2022-01-13,6900,6940,6830,6890,94557,0.0014534883720929148
2022-01-14,6850,6850,6660,6740,115256,-0.021770682148040676
2022-01-17,6710,6740,6470,6520,208249,-0.03264094955489616
2022-01-18,6540,6590,6400,6400,103478,-0.018404907975460127
2022-01-19,6310,6480,6270,6460,223266,0.009374999999999911
2022-01-20,6470,6760,6450,6710,144402,0.03869969040247678
2022-01-21,6690,6740,6590,6710,90850,0.0
2022-01-24,6700,6700,6520,6650,93762,-0.008941877794336861
2022-01-25,6630,6680,6300,6480,231191,-0.025563909774436122
2022-01-26,6430,6540,6410,6470,101629,-0.0015432098765432167
2022-01-27,6420,6530,6180,6440,165135,-0.004636785162287493
2022-01-28,6440,6690,6290,6640,129721,0.03105590062111796
2022-02-03,6750,6840,6630,6750,121923,0.016566265060240948
2022-02-04,6670,6930,6660,6900,206509,0.022222222222222143
2022-02-07,6900,6940,6820,6910,65498,0.0014492753623187582
2022-02-08,6890,7050,6850,6940,153738,0.004341534008682979
2022-02-09,6980,7160,6950,7140,234206,0.028818443804034644
2022-02-10,7100,7200,7030,7120,117039,-0.0028011204481792618
2022-02-11,7050,7110,6900,7000,95215,-0.016853932584269704
2022-02-14,6870,6870,6720,6780,105184,-0.03142857142857147
2022-02-15,6700,6850,6650,6770,80492,-0.001474926253687281
2022-02-16,6980,6980,6710,6820,115449,0.007385524372230501
2022-02-17,6860,7090,6750,6860,337700,0.0058651026392961825
2022-02-18,6760,7050,6750,7040,168270,0.026239067055393583
2022-02-21,6950,7000,6870,7000,62960,-0.005681818181818232
2022-02-22,6890,7050,6820,6910,164443,-0.0128571428571429
2022-02-23,6910,7020,6830,7020,81581,0.01591895803183796
2022-02-24,6930,6980,6790,6880,138702,-0.019943019943019946
2022-02-25,6990,7180,6900,7100,202990,0.03197674418604657
2022-02-28,7100,7360,7050,7100,298046,0.0
2022-03-02,7070,7150,7000,7090,136618,-0.0014084507042253502
2022-03-03,7160,7160,7040,7070,68026,-0.0028208744710860323
2022-03-04,7080,7080,6960,7020,117435,-0.007072135785007094
2022-03-07,6960,6960,6780,6790,86253,-0.03276353276353272
2022-03-08,6680,6760,6600,6670,108751,-0.0176730486008837
2022-03-10,6710,6870,6680,6700,51032,0.004497751124437732
2022-03-11,6680,6850,6660,6790,140062,0.013432835820895495
2022-03-14,6820,6880,6590,6590,59909,-0.02945508100147276
2022-03-15,6600,7030,6460,6580,291734,-0.0015174506828528056
2022-03-16,6660,6810,6390,6620,194008,0.006079027355623046
2022-03-17,6690,6770,6600,6700,117219,0.012084592145015005
2022-03-18,6700,6800,6650,6720,59905,0.0029850746268655914
2022-03-21,6730,6770,6660,6700,80628,-0.0029761904761904656
2022-03-22,6650,6710,6630,6670,46999,-0.004477611940298498
2022-03-23,6770,6770,6680,6680,59152,0.0014992503748125774
2022-03-24,6640,6720,6620,6680,67316,0.0
2022-03-25,6700,6720,6630,6630,70792,-0.007485029940119792
2022-03-28,6670,6680,6590,6640,63108,0.0015082956259426794
2022-03-29,6640,6750,6640,6660,126086,0.003012048192771122
2022-03-30,6730,6730,6650,6670,61021,0.0015015015015014122
2022-03-31,6660,6730,6640,6730,70834,0.008995502248875464
2022-04-01,6700,6940,6670,6860,312091,0.019316493313521477
2022-04-04,6940,7090,6800,6970,273746,0.016034985422740622
2022-04-05,6970,7020,6870,7010,98263,0.0057388809182210565
2022-04-06,6950,7250,6910,7070,297896,0.008559201141226769
2022-04-07,7040,7050,6820,6840,121554,-0.032531824611032545
2022-04-08,6840,6900,6710,6840,84940,0.0
2022-04-11,6840,7590,6760,7210,3504401,0.05409356725146197
2022-04-12,7100,7210,7020,7140,418839,-0.009708737864077666
2022-04-13,7190,7250,7080,7130,264433,-0.0014005602240896309
2022-04-14,7080,7190,7060,7120,208586,-0.0014025245441795509
2022-04-15,7100,7150,7050,7110,159097,-0.001404494382022503
2022-04-18,7130,7250,7070,7150,288313,0.005625879043600568
2022-04-19,7180,7340,7180,7240,310188,0.012587412587412583
2022-04-20,7270,7300,7170,7190,148743,-0.006906077348066253
2022-04-21,7190,7270,7140,7190,108230,0.0
2022-04-22,7200,7250,7090,7170,101266,-0.0027816411682892728
2022-04-25,7070,7160,7050,7060,126411,-0.015341701534170138
2022-04-26,7070,7120,6980,7050,130284,-0.0014164305949008194
2022-04-27,6900,6990,6860,6970,121462,-0.01134751773049647
2022-04-28,6970,7020,6820,6900,235096,-0.010043041606886627
2022-04-29,7010,7290,6940,7000,345929,0.01449275362318847
2022-05-02,6960,7090,6930,7000,114041,0.0
2022-05-03,7000,7080,6980,7020,65257,0.0028571428571428914
2022-05-04,7020,7090,6980,7030,100952,0.0014245014245013454
2022-05-06,7030,7030,6820,6890,160357,-0.019914651493598834
2022-05-09,6870,6900,6590,6630,175288,-0.037735849056603765
2022-05-10,6450,6700,6290,6650,151925,0.003016591251885359
2022-05-11,6640,7000,6640,6970,265346,0.048120300751879785
2022-05-12,6940,7000,6730,6750,131020,-0.031563845050215256
2022-05-13,6830,6920,6720,6800,102024,0.007407407407407307
2022-05-16,6800,6900,6650,6740,90249,-0.008823529411764675
2022-05-17,6680,6760,6660,6760,61086,0.0029673590504450953
2022-05-18,6770,6820,6640,6660,97338,-0.014792899408283988
2022-05-19,6530,6560,6440,6560,108202,-0.01501501501501501
2022-05-20,6570,6650,6520,6650,56406,0.013719512195121908
2022-05-23,6650,6650,6500,6590,78312,-0.009022556390977488
2022-05-24,6570,6600,6490,6540,33694,-0.007587253414264028
2022-05-25,6540,6570,6390,6390,153203,-0.022935779816513735
2022-05-26,6410,6470,6260,6290,178297,-0.015649452269170583
2022-05-27,6330,6390,6250,6250,82951,-0.006359300476947549
2022-05-30,6330,6450,6280,6380,103112,0.02079999999999993
2022-05-31,6330,6470,6310,6440,94701,0.00940438871473348
2022-06-02,6410,6440,6340,6370,46265,-0.010869565217391353
2022-06-03,6380,6450,6370,6450,74419,0.012558869701726927
2022-06-07,6450,6480,6250,6330,137723,-0.018604651162790753
2022-06-08,6390,6390,6270,6350,70422,0.003159557661927437
2022-06-09,6320,6380,6190,6300,111901,-0.007874015748031482
2022-06-10,6240,6240,6100,6180,134308,-0.01904761904761909
2022-06-13,6040,6410,5750,5900,560158,-0.04530744336569581
2022-06-14,5750,5990,5660,5800,333910,-0.016949152542372836
2022-06-15,5730,5840,5450,5630,256077,-0.02931034482758621
2022-06-16,5700,5730,5550,5600,206279,-0.005328596802841923
2022-06-17,5460,5680,5360,5630,204875,0.005357142857142838
2022-06-20,5580,5640,5260,5450,224340,-0.03197158081705154
2022-06-21,5450,5650,5370,5600,91776,0.02752293577981657
2022-06-22,5580,5640,5330,5440,176726,-0.02857142857142858
2022-06-23,5380,5700,5010,5250,1555906,-0.03492647058823528
2022-06-24,5110,5540,5110,5520,246539,0.05142857142857138
2022-06-27,5520,5730,5480,5640,159742,0.021739130434782705
2022-06-28,5660,5690,5550,5650,24485,0.0017730496453900457
2022-06-29,5550,5650,5400,5640,119268,-0.001769911504424737
2022-06-30,5600,5630,5460,5590,94619,-0.00886524822695034
2022-07-01,5560,5670,5330,5470,86852,-0.02146690518783545
2022-07-04,5390,5460,5130,5250,154717,-0.04021937842778789
2022-07-05,5210,5360,5200,5350,110575,0.01904761904761898
2022-07-06,5280,5350,5120,5220,101883,-0.024299065420560706
2022-07-07,5180,5290,5180,5270,44236,0.009578544061302763
2022-07-08,5320,5340,5250,5270,56908,0.0
2022-07-11,5290,5320,5200,5270,50548,0.0
2022-07-12,5250,5250,5080,5200,81112,-0.013282732447817858
2022-07-13,5200,5260,5130,5170,40330,-0.005769230769230749
2022-07-14,5130,5250,5130,5200,24503,0.005802707930367523
2022-07-15,5200,5240,5090,5170,29519,-0.005769230769230749
2022-07-18,5220,5270,5180,5260,25773,0.01740812379110257
2022-07-19,5260,5330,5220,5280,26248,0.0038022813688212143
2022-07-20,5320,5390,5220,5280,76534,0.0
2022-07-21,5280,5310,5200,5230,80984,-0.009469696969697017
2022-07-22,5250,5290,5180,5230,62790,0.0
2022-07-25,5230,5270,5200,5250,58159,0.003824091778202643
2022-07-26,5230,5360,5220,5360,39839,0.020952380952381056
2022-07-27,5350,5540,5310,5480,117554,0.02238805970149249
2022-07-28,5520,5720,5390,5410,179442,-0.012773722627737238
2022-07-29,5430,5510,5320,5410,72667,0.0
2022-08-01,5410,5520,5400,5450,65083,0.007393715341959428
2022-08-02,5410,5930,5320,5390,1280681,-0.011009174311926606
2022-08-03,5400,5510,5350,5460,171164,0.01298701298701288
2022-08-04,5510,5600,5460,5520,252672,0.01098901098901095
2022-08-05,5530,5610,5480,5530,261559,0.0018115942028984477
2022-08-08,5550,5550,5420,5480,91219,-0.009041591320072317
2022-08-09,5500,5540,5400,5430,111570,-0.009124087591240837
2022-08-10,5400,5430,5330,5400,170708,-0.0055248618784530246
2022-08-11,5380,5540,5380,5540,140379,0.025925925925925908
2022-08-12,5600,5630,5460,5550,158967,0.0018050541516245744
2022-08-16,5550,5610,5460,5460,138487,-0.01621621621621616
2022-08-17,5460,5510,5380,5440,110798,-0.00366300366300365
2022-08-18,5410,5430,5300,5330,181156,-0.020220588235294157
2022-08-19,5290,5380,5290,5330,75188,0.0
2022-08-22,5280,5300,5190,5210,92985,-0.022514071294559068
2022-08-23,5150,5210,5100,5140,84353,-0.013435700575815779
2022-08-24,5150,5650,5100,5230,1125958,0.017509727626459082
2022-08-25,5260,5360,5240,5300,170823,0.013384321223709472
2022-08-26,5330,5500,5320,5400,296658,0.018867924528301883
2022-08-29,5210,5290,5150,5220,112358,-0.033333333333333326
2022-08-30,5200,5300,5200,5290,74908,0.013409961685823646
2022-08-31,5250,5310,5220,5300,47020,0.001890359168241984
2022-09-01,5270,5270,5140,5150,91924,-0.028301886792452824
2022-09-02,5160,5200,5110,5190,74022,0.007766990291262044
2022-09-05,5140,5170,5070,5090,66719,-0.019267822736030782
2022-09-06,5100,5160,5090,5100,38237,0.0019646365422396617
2022-09-07,5080,5120,5020,5100,101906,0.0
2022-09-08,5140,5140,5070,5070,33422,-0.00588235294117645
2022-09-13,5120,5220,5120,5200,62411,0.02564102564102555
2022-09-14,5070,5260,5060,5220,66696,0.0038461538461538325
2022-09-15,5260,5270,5160,5200,32130,-0.003831417624521105
2022-09-16,5180,5200,5100,5190,43073,-0.0019230769230769162
2022-09-19,5190,5190,5080,5080,33523,-0.021194605009633882
2022-09-20,5140,5200,5070,5190,74071,0.021653543307086576
2022-09-21,5140,5250,5140,5170,41116,-0.003853564547206201
2022-09-22,5110,5250,5090,5220,83802,0.009671179883945946
2022-09-23,5230,5260,5050,5100,90263,-0.02298850574712641
2022-09-26,5020,5080,4695,4965,268144,-0.026470588235294135
2022-09-27,4850,4930,4800,4885,113662,-0.01611278952668682
2022-09-28,4845,4895,4565,4765,130798,-0.02456499488229269
2022-09-29,4970,4970,4775,4845,86047,0.016789087093389332
2022-09-30,4755,4980,4755,4925,112224,0.016511867905056654
2022-10-04,4925,4965,4915,4945,58218,0.004060913705583813
2022-10-05,5030,5030,4855,4975,39146,0.006066734074823055
2022-10-06,4975,5010,4925,4995,31482,0.004020100502512669
2022-10-07,4995,5080,4950,5040,62502,0.009009009009008917
2022-10-11,4970,4980,4855,4940,53421,-0.019841269841269882
2022-10-12,4900,5120,4795,5050,120052,0.022267206477732726
2022-10-13,5060,5060,4890,4950,64557,-0.01980198019801982
2022-10-14,4965,5020,4960,5010,78189,0.0121212121212122
2022-10-17,4950,5040,4935,5020,86266,0.001996007984031989
2022-10-18,5020,5130,5020,5120,71591,0.019920318725099584
2022-10-19,5120,5400,5070,5380,313648,0.05078125
2022-10-20,5380,5400,5260,5360,100560,-0.0037174721189591198
2022-10-21,5290,5340,5190,5260,75542,-0.018656716417910446
2022-10-24,5270,5370,5230,5280,54730,0.0038022813688212143
2022-10-25,5260,5300,5160,5300,75182,0.0037878787878788955
2022-10-26,5290,5310,5200,5250,61183,-0.009433962264150941
2022-10-27,5240,5250,5170,5220,42721,-0.005714285714285672
2022-10-28,5170,5240,5100,5100,50885,-0.02298850574712641
2022-10-31,5130,5190,5030,5170,59178,0.013725490196078383
2022-11-01,5170,5220,5060,5200,42934,0.005802707930367523
2022-11-02,5160,5300,5160,5260,57099,0.011538461538461497
2022-11-03,5190,5260,5190,5240,23097,-0.0038022813688213253
2022-11-04,5220,5300,5150,5280,37210,0.007633587786259444
2022-11-07,5280,5390,5240,5360,86208,0.015151515151515138
2022-11-08,5350,5390,5330,5370,37983,0.001865671641791078
2022-11-09,5350,5360,5280,5310,53790,-0.011173184357541888
2022-11-10,5290,5560,5250,5400,387306,0.016949152542372836
2022-11-11,5470,5500,5380,5430,178578,0.005555555555555536
2022-11-14,5400,5480,5370,5420,73893,-0.0018416206261510082
2022-11-15,5400,5550,5390,5530,164136,0.02029520295202958
2022-11-16,5560,5610,5470,5530,144202,0.0
2022-11-17,5500,5510,5370,5440,61701,-0.016274864376130238
2022-11-18,5440,5480,5410,5440,36164,0.0
2022-11-21,5450,5450,5320,5400,110209,-0.007352941176470562
2022-11-22,5340,5430,5290,5300,45337,-0.01851851851851849
2022-11-23,5350,5400,5260,5390,70107,0.016981132075471805
2022-11-24,5400,5680,5400,5600,353475,0.03896103896103886
2022-11-25,5600,5610,5500,5540,68680,-0.010714285714285676
2022-11-28,5530,5570,5430,5480,93749,-0.010830324909747335
