Date,Open,High,Low,Close,Volume,Change
2023-01-27,12000,15600,12000,15600,7997263,
2023-01-30,17900,20200,17650,19470,15074633,0.24807692307692308
2023-01-31,18680,19590,17620,18310,3934004,-0.059578839239856185
2023-02-01,18210,18230,16780,17500,2583128,-0.044238121245221196
2023-02-02,17870,21750,17600,20250,13421825,0.15714285714285725
2023-02-03,20250,22400,19550,20350,6348695,0.004938271604938205
2023-02-06,21200,22550,20200,20550,2907404,0.00982800982800991
2023-02-07,20950,21550,20200,21550,2517431,0.048661800486617945
2023-02-08,23250,23450,21250,21600,3068456,0.002320185614849146
2023-02-09,21100,21450,20300,21100,829215,-0.02314814814814814
2023-02-10,20800,20850,19810,19840,816964,-0.05971563981042649
2023-02-13,19830,19840,18790,19300,734172,-0.027217741935483875
2023-02-14,19830,22850,19590,20100,7370152,0.041450777202072464
2023-02-15,20150,21000,19640,19700,1175185,-0.01990049751243783
2023-02-16,20150,20550,19000,19410,819483,-0.014720812182741128
2023-02-17,19020,19020,18670,18690,483118,-0.037094281298299836
2023-02-20,18410,19110,17870,18760,539001,0.0037453183520599342
2023-02-21,18700,19770,18510,18730,760383,-0.0015991471215351938
2023-02-22,18190,18490,17950,18200,257114,-0.02829684997330484
2023-02-23,18200,18360,17900,18000,257709,-0.01098901098901095
2023-02-24,18510,18970,18000,18010,630090,0.0005555555555556424
2023-02-27,17400,17800,17060,17290,521972,-0.03997779011660185
2023-02-28,17660,19250,17600,17990,1250030,0.04048582995951411
2023-03-02,17990,18070,17420,17760,227797,-0.0127848804891606
2023-03-03,17760,18060,17460,17550,267896,-0.011824324324324342
2023-03-06,17550,18220,17550,17620,353175,0.0039886039886039
2023-03-07,17630,17780,17250,17290,184314,-0.018728717366628844
2023-03-08,17210,17290,16550,16600,205558,-0.03990746096009257
2023-03-09,17030,17300,16490,16560,142381,-0.002409638554216831
2023-03-10,16300,16300,15720,15790,163396,-0.046497584541062786
2023-03-13,15250,15470,14500,15050,221631,-0.04686510449651682
2023-03-14,15090,18140,15090,15800,3338880,0.04983388704318936
2023-03-15,17010,18480,16530,16840,2086481,0.06582278481012649
2023-03-16,16840,18090,16840,17100,1392825,0.015439429928741033
2023-03-17,18370,18400,17300,17300,800464,0.011695906432748648
2023-03-20,17500,17560,17000,17200,264411,-0.005780346820809301
2023-03-21,17340,17700,16710,16720,328214,-0.027906976744186074
2023-03-22,16990,17150,16690,17060,266025,0.020334928229664984
2023-03-23,16880,16890,16550,16560,225757,-0.029308323563892125
2023-03-24,17000,19460,16750,18850,5257390,0.13828502415458943
2023-03-27,19420,21600,19340,19940,4024097,0.0578249336870027
2023-03-28,19920,23000,19470,23000,4794803,0.1534603811434303
2023-03-29,26500,27900,24200,25250,5631006,0.09782608695652173
2023-03-30,25650,32500,25150,30550,9241409,0.20990099009900987
2023-03-31,31200,32950,28600,30500,2417850,-0.0016366612111292644
2023-04-03,29850,31900,28100,30700,2099262,0.006557377049180246
2023-04-04,29850,30600,28200,28850,819954,-0.06026058631921827
2023-04-05,28200,31350,27950,30350,2055894,0.051993067590987874
2023-04-06,31550,32500,29600,30000,2312725,-0.011532125205930832
2023-04-07,30550,37900,30200,35000,8612106,0.16666666666666674
2023-04-10,34000,34000,32150,33150,974724,-0.052857142857142825
2023-04-11,34150,35700,32100,32400,1451998,-0.022624434389140302
2023-04-12,31800,31850,28650,29950,717148,-0.07561728395061729
2023-04-13,28700,29050,26800,29000,466102,-0.03171953255425708
2023-04-14,29250,29300,27750,28400,435748,-0.020689655172413834
2023-04-17,28450,29800,27550,29800,407459,0.04929577464788726
2023-04-18,29500,29500,28400,28850,290049,-0.03187919463087252
2023-04-19,29000,29650,27900,28050,249957,-0.02772963604852685
2023-04-20,27400,27500,25650,26000,307395,-0.07308377896613194
2023-04-21,25500,27000,25000,27000,277798,0.03846153846153855
2023-04-24,26650,26700,23800,24550,358774,-0.09074074074074079
2023-04-25,24250,24700,23000,23900,265001,-0.02647657841140527
2023-04-26,24100,25400,23500,24800,521555,0.03765690376569042
2023-04-27,24950,25050,21600,22000,673103,-0.11290322580645162
2023-04-28,22150,22200,20450,21000,535250,-0.045454545454545414
2023-05-02,21050,21200,20500,20900,322187,-0.004761904761904745
2023-05-03,20650,21650,20300,21050,555661,0.0071770334928229484
2023-05-04,20850,20850,20150,20300,279997,-0.03562945368171022
2023-05-08,20700,21050,20200,20500,305399,0.009852216748768461
2023-05-09,20500,20500,19100,19290,394208,-0.05902439024390249
2023-05-10,19260,19530,18530,18600,276371,-0.03576982892690517
2023-05-11,19130,20850,19130,20200,952343,0.08602150537634401
2023-05-12,19990,20400,19520,19940,270340,-0.012871287128712883
2023-05-15,20000,20950,18650,20300,594596,0.01805416248746239
2023-05-16,21250,22150,19810,19940,1063040,-0.017733990147783207
2023-05-17,19950,20600,19340,20200,267808,0.013039117352056095
2023-05-18,21200,21950,20700,21250,1083070,0.051980198019802026
2023-05-19,22250,27600,21850,27600,4625864,0.2988235294117647
2023-05-22,29600,31300,28450,29550,6723525,0.07065217391304346
2023-05-23,30350,31800,29350,31200,4208852,0.055837563451776706
2023-05-24,29900,30300,29000,29700,1288402,-0.04807692307692313
2023-05-25,31700,32400,29200,29200,2348501,-0.01683501683501687
2023-05-26,29900,30250,27600,27700,1455520,-0.05136986301369861
2023-05-30,28700,30300,28150,28400,1416315,0.025270758122743597
2023-05-31,28100,30450,27600,28750,1370702,0.012323943661971759
2023-06-01,28150,28750,27800,28550,546064,-0.006956521739130417
2023-06-02,29650,29650,27950,28000,660369,-0.019264448336252182
2023-06-05,28300,28550,27550,28550,311459,0.019642857142857073
2023-06-07,28650,28650,27900,28100,268442,-0.015761821366024553
2023-06-08,27750,28100,26550,27900,430273,-0.007117437722419906
2023-06-09,28100,29450,27500,29350,1231101,0.051971326164874654
