Date,Open,High,Low,Close,Volume,Change
2022-01-03,5570,5750,5300,5750,1296093,0.032315978456014305
2022-01-04,5680,6090,5650,5900,3487897,0.026086956521739202
2022-01-05,5980,6400,5980,6180,5517835,0.047457627118643986
2022-01-06,6050,6290,5940,6160,1494627,-0.003236245954692518
2022-01-07,6260,6270,5820,6100,968843,-0.009740259740259716
2022-01-10,6080,6090,5850,5970,659597,-0.021311475409836023
2022-01-11,6110,6110,5890,5900,566855,-0.011725293132328285
2022-01-12,5910,6240,5700,6070,1230862,0.028813559322034
2022-01-13,6080,6130,5870,5900,567638,-0.028006589785831926
2022-01-14,5880,6100,5850,5860,829193,-0.006779661016949157
2022-01-17,5920,6080,5680,5850,624845,-0.0017064846416382506
2022-01-18,5730,5820,5370,5530,792751,-0.05470085470085473
2022-01-19,5380,5440,5140,5280,713117,-0.0452079566003617
2022-01-20,5280,5790,5120,5680,868916,0.07575757575757569
2022-01-21,5680,5850,5380,5540,1015501,-0.02464788732394363
2022-01-24,5430,5500,5200,5430,527458,-0.019855595667869985
2022-01-25,5560,5570,5190,5250,392649,-0.03314917127071826
2022-01-26,5170,5430,5150,5290,318141,0.007619047619047636
2022-01-27,5610,5830,5350,5420,1187767,0.02457466918714557
2022-01-28,5450,5550,5230,5550,409371,0.023985239852398532
2022-02-03,5640,5670,5470,5570,447894,0.003603603603603567
2022-02-04,5470,5600,5450,5600,327084,0.0053859964093356805
2022-02-07,5590,5590,5470,5560,317260,-0.0071428571428571175
2022-02-08,5560,5580,5290,5290,407530,-0.04856115107913672
2022-02-09,5380,5430,5320,5400,194090,0.020793950850661602
2022-02-10,5490,5490,5260,5320,216718,-0.014814814814814836
2022-02-11,5230,5340,5160,5250,213431,-0.013157894736842146
2022-02-14,5100,5180,4800,4800,500786,-0.08571428571428574
2022-02-15,4835,5160,4780,4850,391100,0.01041666666666674
2022-02-16,5000,5120,4950,5080,234619,0.04742268041237119
2022-02-17,5080,5140,4895,5000,242508,-0.015748031496062964
2022-02-18,4875,5140,4865,5100,182266,0.020000000000000018
2022-02-21,5010,5110,4970,5080,103128,-0.0039215686274509665
2022-02-22,4900,5070,4900,4930,142339,-0.029527559055118058
2022-02-23,4930,5030,4900,4965,103467,0.007099391480730244
2022-02-24,4930,4930,4630,4635,342961,-0.06646525679758308
2022-02-25,4785,4840,4720,4765,184171,0.028047464940668787
2022-02-28,4765,4835,4695,4800,108555,0.007345225603357708
2022-03-02,4800,4945,4745,4910,157447,0.022916666666666696
2022-03-03,4920,5890,4915,5330,2689716,0.08553971486761713
2022-03-04,5340,5420,5280,5370,451668,0.007504690431519689
2022-03-07,5230,5300,5030,5130,253998,-0.04469273743016755
2022-03-08,5030,5100,4965,5000,225908,-0.025341130604288553
2022-03-10,5100,5160,4995,5030,111089,0.006000000000000005
2022-03-11,5050,5100,4935,5050,177967,0.003976143141153132
2022-03-14,5000,5000,4850,4895,222394,-0.03069306930693072
2022-03-15,4775,4915,4775,4830,109935,-0.013278855975485171
2022-03-16,4875,4960,4875,4915,98239,0.017598343685300222
2022-03-17,4950,5140,4950,5000,189935,0.01729399796541209
2022-03-18,5000,5040,4965,5020,119444,0.0040000000000000036
2022-03-21,5000,5080,4950,5010,152377,-0.0019920318725099584
2022-03-22,4985,5070,4950,5020,200692,0.001996007984031989
2022-03-23,5120,5220,4980,5010,245434,-0.0019920318725099584
2022-03-24,4970,4980,4900,4930,171577,-0.015968063872255467
2022-03-25,4940,5000,4910,4915,139249,-0.0030425963488843744
2022-03-28,4915,4920,4820,4880,180863,-0.007121057985757906
2022-03-29,4950,5020,4925,4965,161972,0.01741803278688514
2022-03-30,5050,5200,5000,5110,499143,0.02920443101711978
2022-03-31,5120,5170,5090,5110,184576,0.0
2022-04-01,5130,5210,5040,5180,255940,0.013698630136986356
2022-04-04,5280,5280,5180,5220,228668,0.007722007722007707
2022-04-05,5270,5530,5260,5300,651935,0.015325670498084198
2022-04-06,5300,5350,5170,5280,229470,-0.0037735849056603765
2022-04-07,5160,5210,5130,5190,163929,-0.017045454545454586
2022-04-08,5240,5300,5140,5160,235149,-0.005780346820809301
2022-04-11,5090,5210,5070,5150,111402,-0.0019379844961240345
2022-04-12,5100,5350,5050,5350,278167,0.03883495145631066
2022-04-13,5430,5450,5300,5380,584773,0.005607476635514086
2022-04-14,5390,5430,5260,5260,220557,-0.022304832713754608
2022-04-15,5260,5320,5170,5310,161555,0.009505703422053147
2022-04-18,5310,5310,5190,5240,137922,-0.013182674199623379
2022-04-19,5240,5360,5210,5260,170303,0.003816793893129722
2022-04-20,5280,5280,5200,5260,125707,0.0
2022-04-21,5300,5620,5290,5590,1543245,0.06273764258555126
2022-04-22,5550,5670,5420,5630,586623,0.007155635062611854
2022-04-25,5560,5730,5400,5420,728405,-0.03730017761989346
2022-04-26,5490,5730,5480,5600,579768,0.03321033210332103
2022-04-27,5470,5550,5320,5490,408684,-0.019642857142857184
2022-04-28,5580,5580,5390,5470,217623,-0.0036429872495445936
2022-04-29,5510,5570,5360,5500,264604,0.005484460694698434
2022-05-02,5380,5470,5250,5290,298755,-0.038181818181818206
2022-05-03,5300,5380,5160,5200,412255,-0.017013232514177745
2022-05-04,5260,5260,5150,5170,165686,-0.005769230769230749
2022-05-06,5110,5210,5090,5110,206827,-0.011605415860735047
2022-05-09,5120,5140,4875,4875,385939,-0.045988258317025466
2022-05-10,4790,4940,4645,4910,203886,0.007179487179487243
2022-05-11,4910,5080,4910,4980,89266,0.014256619144602745
2022-05-12,4920,5050,4730,4860,162585,-0.02409638554216864
2022-05-13,4900,5030,4900,4955,97868,0.019547325102880597
2022-05-16,5030,5150,4995,5010,170849,0.011099899091826515
2022-05-17,5010,5070,4980,5010,84984,0.0
2022-05-18,5030,5430,5010,5220,819715,0.041916167664670656
2022-05-19,5070,5240,5040,5240,232705,0.003831417624521105
2022-05-20,5340,5420,5240,5240,247882,0.0
2022-05-23,5240,5260,5100,5140,162968,-0.01908396946564883
2022-05-24,5140,5400,4990,5110,596626,-0.005836575875486361
2022-05-25,5150,5190,5050,5070,152597,-0.007827788649706457
2022-05-26,5030,5160,5030,5050,107155,-0.0039447731755424265
2022-05-27,5060,5200,5040,5150,239019,0.01980198019801982
2022-05-30,5160,5200,5080,5110,156682,-0.007766990291262155
2022-05-31,5090,5150,5040,5050,178255,-0.011741682974559686
2022-06-02,5020,5100,5010,5090,79845,0.007920792079207928
2022-06-03,5090,5120,5020,5050,79940,-0.007858546168958758
2022-06-07,5060,5120,4905,4935,262891,-0.022772277227722793
2022-06-08,4940,5030,4930,4940,90152,0.0010131712259371373
2022-06-09,4940,4980,4850,4890,149271,-0.010121457489878583
2022-06-10,4870,4890,4790,4870,107858,-0.004089979550102263
2022-06-13,4720,4725,4440,4485,397853,-0.07905544147843946
2022-06-14,4225,4485,4225,4410,289197,-0.01672240802675584
2022-06-15,4470,4490,4200,4240,181458,-0.038548752834467126
2022-06-16,4365,4425,4260,4285,174960,0.010613207547169878
2022-06-17,4110,4355,4110,4285,95424,0.0
2022-06-20,4290,4335,4140,4150,132328,-0.031505250875145885
2022-06-21,4215,4220,4075,4210,76716,0.014457831325301207
2022-06-22,4210,4285,3955,3955,174085,-0.06057007125890734
2022-06-23,3945,4040,3655,3685,248672,-0.06826801517067005
2022-06-24,3685,3950,3685,3945,193575,0.07055630936227941
2022-06-27,3970,4250,3970,4155,177020,0.05323193916349811
2022-06-28,4170,4275,4120,4160,77010,0.001203369434416457
2022-06-29,4080,4185,4055,4165,43132,0.0012019230769231282
2022-06-30,4290,4370,4140,4205,113267,0.009603841536614643
