Date,Open,High,Low,Close,Volume,Change
2022-01-03,13500,13700,13200,13350,55792,-0.011111111111111072
2022-01-04,13350,13600,13150,13550,56513,0.014981273408239737
2022-01-05,13550,13550,13100,13250,64867,-0.022140221402214055
2022-01-06,12900,13200,12800,12900,52962,-0.026415094339622636
2022-01-07,12950,13250,12950,13200,35683,0.023255813953488413
2022-01-10,13200,13200,12950,13050,23918,-0.011363636363636354
2022-01-11,13050,13200,12850,12850,59310,-0.01532567049808431
2022-01-12,12900,13300,12900,13050,94078,0.015564202334630295
2022-01-13,13050,13150,12900,12950,70411,-0.007662835249042099
2022-01-14,12900,13150,12750,12850,23276,-0.007722007722007707
2022-01-17,12850,12950,12600,12650,37954,-0.015564202334630295
2022-01-18,12650,12900,12500,12700,22330,0.0039525691699604515
2022-01-19,12600,13000,12450,12600,29283,-0.007874015748031482
2022-01-20,12450,12800,12400,12600,35947,0.0
2022-01-21,12500,12650,12350,12550,24951,-0.003968253968253954
2022-01-24,12450,12500,12000,12100,38455,-0.03585657370517925
2022-01-25,12100,12250,11200,11450,198404,-0.05371900826446285
2022-01-26,11350,11550,11100,11450,96371,0.0
2022-01-27,11350,11700,11000,11050,114040,-0.03493449781659386
2022-01-28,11150,11850,11000,11500,102723,0.040723981900452566
2022-02-03,11700,11900,11550,11850,52707,0.0304347826086957
2022-02-04,11750,12100,11700,12050,29283,0.016877637130801704
2022-02-07,12050,12100,11750,11950,15467,-0.008298755186721962
2022-02-08,12000,12100,11750,11900,26448,-0.004184100418409997
2022-02-09,11900,12150,11900,12050,18970,0.012605042016806678
2022-02-10,12100,12150,11950,12100,23398,0.004149377593360981
2022-02-11,11900,12200,11800,12000,32226,-0.008264462809917328
2022-02-14,11900,11950,11550,11600,36572,-0.033333333333333326
2022-02-15,11550,11750,11300,11350,38174,-0.02155172413793105
2022-02-16,11500,11800,11500,11750,37249,0.03524229074889873
2022-02-17,11800,12050,11550,11700,73719,-0.004255319148936176
2022-02-18,11600,12300,11600,12150,40600,0.03846153846153855
2022-02-21,12100,12350,11950,12300,38227,0.012345679012345734
2022-02-22,12100,13000,12100,12600,233534,0.024390243902439046
2022-02-23,12600,13000,12600,12750,55713,0.011904761904761862
2022-02-24,12700,12800,12100,12200,73364,-0.04313725490196074
2022-02-25,12400,12550,12250,12450,30553,0.020491803278688492
2022-02-28,12450,12550,12250,12450,16259,0.0
2022-03-02,12450,12450,12200,12350,31217,-0.008032128514056214
2022-03-03,12550,12750,12500,12600,43300,0.020242914979757165
2022-03-04,12600,12600,12400,12550,22868,-0.003968253968253954
2022-03-07,12450,12600,12200,12550,27658,0.0
2022-03-08,12400,12450,12150,12250,32594,-0.0239043824701195
2022-03-10,12750,12750,12550,12600,30646,0.02857142857142847
2022-03-11,12600,13200,12550,13200,102571,0.04761904761904767
2022-03-14,13350,13500,13000,13350,133906,0.011363636363636465
2022-03-15,13300,13550,13000,13300,85012,-0.0037453183520599342
2022-03-16,13300,13650,13150,13550,127581,0.018796992481203034
2022-03-17,13750,13750,13300,13350,79241,-0.014760147601476037
2022-03-18,13400,13450,13150,13250,39991,-0.0074906367041198685
2022-03-21,13200,13300,13100,13100,45105,-0.01132075471698113
2022-03-22,13100,13300,13000,13150,43319,0.003816793893129722
2022-03-23,13150,13450,13150,13350,57060,0.015209125475285079
2022-03-24,13250,13350,13050,13250,30132,-0.0074906367041198685
2022-03-25,13300,13450,13150,13250,36570,0.0
2022-03-28,13150,13250,13000,13250,41027,0.0
2022-03-29,13250,13300,13100,13150,29125,-0.007547169811320753
2022-03-30,13200,13250,13000,13200,31226,0.0038022813688212143
2022-03-31,13150,13250,13050,13250,27456,0.0037878787878788955
2022-04-01,13200,13450,13050,13450,46547,0.015094339622641506
2022-04-04,13350,13550,13350,13500,39030,0.0037174721189590088
2022-04-05,13550,14300,13400,14250,414796,0.05555555555555558
2022-04-06,14100,14250,14000,14150,94003,-0.007017543859649145
2022-04-07,14100,14600,13800,14150,202057,0.0
2022-04-08,14200,14550,14050,14300,86128,0.010600706713780994
2022-04-11,14350,14650,14150,14500,118062,0.013986013986013957
2022-04-12,14400,14400,14000,14300,80272,-0.01379310344827589
2022-04-13,14300,14400,14200,14350,33313,0.0034965034965035446
2022-04-14,14350,14700,14350,14450,71188,0.006968641114982521
2022-04-15,14450,14800,14350,14650,84728,0.01384083044982698
2022-04-18,14600,14700,14300,14500,52146,-0.010238907849829393
2022-04-19,14500,14650,14450,14500,30159,0.0
2022-04-20,14500,14550,14250,14400,48314,-0.006896551724137945
2022-04-21,14400,14550,14300,14400,32532,0.0
2022-04-22,14300,14550,14150,14200,46529,-0.01388888888888884
2022-04-25,14100,14150,13550,13650,61396,-0.03873239436619713
2022-04-26,13750,14400,13750,14200,55059,0.04029304029304037
2022-04-27,13900,14050,13800,13950,38151,-0.017605633802816878
2022-04-28,13950,14050,13750,13900,24790,-0.0035842293906810374
2022-04-29,13950,14100,13850,13950,21450,0.003597122302158251
2022-05-02,13750,13950,13600,13900,24286,-0.0035842293906810374
2022-05-03,13850,14100,13800,13900,34812,0.0
2022-05-04,13950,14000,13750,13850,28246,-0.003597122302158251
2022-05-06,13700,14400,13500,14200,73179,0.025270758122743597
2022-05-09,14100,14200,13700,13800,48669,-0.028169014084507005
2022-05-10,13600,13750,13350,13600,44736,-0.01449275362318836
2022-05-11,13600,13750,13450,13500,27234,-0.007352941176470562
2022-05-12,13400,13500,12850,13000,53068,-0.03703703703703709
2022-05-13,13150,13300,13000,13200,41043,0.01538461538461533
2022-05-16,13150,13300,13000,13050,34475,-0.011363636363636354
2022-05-17,13150,13250,12900,13250,23530,0.015325670498084198
2022-05-18,13250,13450,13050,13200,18775,-0.0037735849056603765
2022-05-19,12950,13050,12700,13000,24463,-0.015151515151515138
2022-05-20,12950,13200,12950,13000,18195,0.0
2022-05-23,12950,13000,12800,12850,16233,-0.011538461538461497
2022-05-24,12850,13000,12500,12550,27503,-0.023346303501945553
2022-05-25,12550,12850,12400,12550,51257,0.0
2022-05-26,12550,12850,12550,12550,16717,0.0
2022-05-27,12850,12950,12750,12800,44300,0.019920318725099584
2022-05-30,13000,13100,13000,13100,14542,0.0234375
2022-05-31,13150,13200,12900,13100,13636,0.0
2022-06-02,13000,13200,12950,13150,21326,0.003816793893129722
2022-06-03,13250,13300,13100,13200,16856,0.0038022813688212143
2022-06-07,13300,13300,13000,13000,11836,-0.015151515151515138
2022-06-08,13000,13200,12950,12950,8043,-0.0038461538461538325
2022-06-09,12950,13150,12750,12950,18688,0.0
2022-06-10,12950,12950,12800,12850,15554,-0.007722007722007707
2022-06-13,12700,12700,12000,12200,47427,-0.05058365758754868
2022-06-14,11950,12200,11800,12000,48437,-0.016393442622950838
2022-06-15,12000,12200,11400,11500,54779,-0.04166666666666663
2022-06-16,11750,11900,11350,11650,34005,0.01304347826086949
2022-06-17,11300,11800,11200,11700,25935,0.0042918454935623185
2022-06-20,11750,11750,11000,11250,42949,-0.038461538461538436
2022-06-21,11150,11600,11050,11500,33066,0.022222222222222143
2022-06-22,11600,11600,11000,11050,33694,-0.03913043478260869
2022-06-23,10850,11150,10350,10400,97123,-0.05882352941176472
2022-06-24,10300,11200,10300,11000,57061,0.05769230769230771
2022-06-27,11200,11450,11150,11350,29783,0.031818181818181746
2022-06-28,11300,11650,11300,11500,31891,0.013215859030837107
2022-06-29,11350,11700,11300,11650,20787,0.01304347826086949
2022-06-30,11500,11550,10750,11050,58425,-0.05150214592274682
2022-07-01,11050,11200,10550,10750,51352,-0.02714932126696834
2022-07-04,10700,10850,10350,10450,34329,-0.027906976744186074
2022-07-05,10450,10850,10450,10800,22569,0.03349282296650724
2022-07-06,10800,11100,10650,10800,22340,0.0
2022-07-07,10800,11150,10750,11050,14718,0.02314814814814814
2022-07-08,11050,11250,11000,11100,17425,0.004524886877828038
2022-07-11,11350,11650,11300,11450,61229,0.03153153153153143
2022-07-12,11250,11350,11000,11100,35854,-0.03056768558951961
2022-07-13,11100,11400,11000,11300,16322,0.018018018018018056
2022-07-14,11300,11400,11200,11300,8826,0.0
2022-07-15,11250,11450,11150,11350,18438,0.004424778761061843
2022-07-18,11350,11550,11350,11400,17394,0.004405286343612369
2022-07-19,11400,11500,11300,11500,13247,0.00877192982456143
2022-07-20,11600,11750,11450,11500,19736,0.0
2022-07-21,11500,11600,11350,11500,18159,0.0
2022-07-22,11550,11650,11400,11550,16136,0.004347826086956497
2022-07-25,11550,11600,11350,11600,8729,0.0043290043290042934
2022-07-26,11600,11600,11400,11450,16644,-0.012931034482758674
2022-07-27,11550,11650,11450,11600,11375,0.013100436681222627
2022-07-28,11700,11750,11550,11650,12701,0.004310344827586299
2022-07-29,11650,11900,11600,11800,21899,0.012875536480686733
2022-08-01,11800,11800,11650,11750,16072,-0.004237288135593209
2022-08-02,11750,11800,11600,11700,12682,-0.004255319148936176
2022-08-03,11600,11950,11600,11900,17482,0.017094017094017033
2022-08-04,11900,12000,11850,12000,13532,0.008403361344537785
2022-08-05,12000,12100,11950,12050,7593,0.004166666666666652
2022-08-08,12200,12300,12050,12250,33405,0.016597510373443924
2022-08-09,12200,12300,12100,12250,24558,0.0
2022-08-10,12250,12350,12050,12150,14572,-0.008163265306122436
2022-08-11,12250,12350,12150,12250,8610,0.008230452674897082
2022-08-12,12200,12250,12050,12200,11369,-0.004081632653061273
2022-08-16,12200,12350,11950,12200,17378,0.0
2022-08-17,12100,12300,12000,12000,13689,-0.016393442622950838
2022-08-18,12000,12150,11750,12000,22050,0.0
2022-08-19,12050,12050,11850,11850,6699,-0.012499999999999956
2022-08-22,11850,12000,11650,11800,12709,-0.00421940928270037
2022-08-23,11650,11750,11500,11500,22091,-0.025423728813559365
2022-08-24,11500,11700,11450,11600,11307,0.008695652173912993
2022-08-25,11600,11800,11450,11750,10273,0.012931034482758674
2022-08-26,11700,12000,11700,11750,13024,0.0
2022-08-29,11600,11600,11300,11300,19798,-0.03829787234042559
2022-08-30,11350,11700,11300,11650,11170,0.030973451327433565
2022-08-31,11650,13150,11550,11950,382878,0.025751072961373467
2022-09-01,11800,11950,11550,11600,38939,-0.029288702928870314
2022-09-02,11550,11700,11400,11500,18121,-0.008620689655172376
2022-09-05,11400,11600,11350,11450,15889,-0.004347826086956497
2022-09-06,11350,11600,11350,11550,17085,0.008733624454148492
2022-09-07,11600,11600,11250,11250,14047,-0.025974025974025983
2022-09-08,11300,11600,11300,11500,15685,0.022222222222222143
2022-09-13,11550,11800,11550,11700,14162,0.017391304347825987
2022-09-14,11400,11500,11100,11300,29000,-0.03418803418803418
2022-09-15,11350,11500,11150,11200,26274,-0.008849557522123908
2022-09-16,11150,11300,11050,11150,11598,-0.004464285714285698
2022-09-19,11100,11150,10850,10950,20890,-0.017937219730941756
2022-09-20,10950,11150,10900,11000,7185,0.004566210045662045
2022-09-21,10900,11050,10750,10900,11241,-0.009090909090909038
2022-09-22,10650,10750,10400,10650,21269,-0.022935779816513735
2022-09-23,10650,10750,10450,10600,18029,-0.0046948356807511304
