Date,Open,High,Low,Close,Volume,Change
2022-10-18,3470,3870,3470,3870,9494166,
2022-10-19,3870,4020,3170,3240,9072660,-0.16279069767441856
2022-10-20,3150,3200,2885,2960,2470490,-0.0864197530864198
2022-10-21,2940,3205,2850,2850,3010570,-0.03716216216216217
2022-10-24,2850,3070,2800,2925,5145358,0.026315789473684292
2022-10-25,3000,3025,2640,2645,2568132,-0.09572649572649572
2022-10-26,2625,2640,2375,2590,2423175,-0.020793950850661602
2022-10-27,2650,3365,2620,3000,25217415,0.1583011583011582
2022-10-28,3000,3035,2735,2735,3101771,-0.08833333333333337
2022-10-31,2730,2900,2555,2600,3348563,-0.04936014625228524
2022-11-01,2560,2605,2475,2520,1161082,-0.03076923076923077
2022-11-02,2530,2570,2410,2530,1401057,0.003968253968253954
2022-11-03,2475,2575,2460,2500,986315,-0.011857707509881465
2022-11-04,2480,2490,2400,2405,696079,-0.038000000000000034
2022-11-07,2425,2425,2275,2350,888385,-0.022869022869022815
2022-11-08,2335,2375,2325,2330,544163,-0.008510638297872353
2022-11-09,2330,2530,2320,2390,1908208,0.025751072961373467
2022-11-10,2355,2365,2300,2310,538497,-0.03347280334728031
2022-11-11,2360,2460,2335,2430,1465740,0.051948051948051965
2022-11-14,2460,3060,2440,2805,19130289,0.154320987654321
2022-11-15,2805,3220,2750,2980,13332874,0.06238859180035661
2022-11-16,2945,3060,2875,2880,2686961,-0.03355704697986572
2022-11-17,2880,2940,2730,2765,1282705,-0.03993055555555558
2022-11-18,2740,2775,2665,2755,859640,-0.003616636528028905
2022-11-21,2745,2750,2580,2580,836031,-0.06352087114337568
2022-11-22,2540,2635,2505,2515,554896,-0.025193798449612448
2022-11-23,2545,2555,2495,2520,377096,0.001988071570576455
2022-11-24,2525,2670,2520,2610,763317,0.03571428571428581
2022-11-25,2630,2665,2585,2600,453839,-0.003831417624521105
2022-11-28,2610,2610,2435,2465,505807,-0.05192307692307696
2022-11-29,2465,2525,2435,2500,266999,0.014198782961460488
2022-11-30,2550,2720,2490,2720,1143089,0.08800000000000008
2022-12-01,2690,2705,2605,2670,916376,-0.018382352941176516
2022-12-02,2700,2800,2630,2735,1235430,0.02434456928838946
2022-12-05,2735,2825,2685,2730,1109394,-0.001828153564899404
2022-12-06,2715,2870,2650,2755,1918514,0.009157509157509125
2022-12-07,2785,2920,2510,2565,3373663,-0.06896551724137934
2022-12-08,2640,2700,2475,2510,1937914,-0.021442495126705707
2022-12-09,2555,2695,2510,2515,1924168,0.0019920318725099584
2022-12-12,2510,2570,2455,2535,532490,0.007952286282306265
2022-12-13,2550,2810,2520,2730,5703344,0.07692307692307687
2022-12-14,2750,2780,2665,2740,975541,0.00366300366300365
2022-12-15,2695,2740,2670,2715,629851,-0.009124087591240837
