Date,Open,High,Low,Close,Volume,Change
2022-01-03,14200,14200,13700,13900,80491,-0.0071428571428571175
2022-01-04,13800,14050,13800,13850,78425,-0.003597122302158251
2022-01-05,13900,13900,13550,13600,77760,-0.018050541516245522
2022-01-06,13250,13900,13250,13350,123476,-0.018382352941176516
2022-01-07,13550,13950,13500,13550,99032,0.014981273408239737
2022-01-10,13750,14000,13400,13700,99063,0.011070110701107083
2022-01-11,13650,13850,13500,13500,67027,-0.014598540145985384
2022-01-12,13300,13650,13300,13350,67032,-0.011111111111111072
2022-01-13,13550,13550,12950,13050,111205,-0.022471910112359605
2022-01-14,13050,13200,12800,12850,83985,-0.01532567049808431
2022-01-17,12850,12900,12450,12450,70353,-0.0311284046692607
2022-01-18,12300,12750,11950,12000,74215,-0.03614457831325302
2022-01-19,11900,12250,11800,11900,79623,-0.008333333333333304
2022-01-20,11850,12650,11850,12650,92276,0.06302521008403361
2022-01-21,12600,13000,12550,12850,81551,0.015810276679841806
2022-01-24,13300,13750,13100,13650,337204,0.0622568093385214
2022-01-25,14700,15500,13800,14200,703446,0.04029304029304037
2022-01-26,15000,15150,14300,14700,498790,0.035211267605633756
2022-01-27,15200,15400,14550,15200,548851,0.03401360544217691
2022-01-28,15000,19750,15000,19200,7170734,0.26315789473684204
2022-02-03,20850,23750,20450,22850,6977663,0.19010416666666674
2022-02-04,23650,23750,17350,18500,3122687,-0.19037199124726478
2022-02-07,22300,23500,20750,21150,5438488,0.14324324324324333
2022-02-08,21100,23400,18950,22500,6604127,0.06382978723404253
2022-02-09,22250,22950,21000,21300,2151537,-0.053333333333333344
2022-02-10,20650,21550,19850,19900,1853421,-0.06572769953051638
2022-02-11,22300,23050,20200,21100,4090748,0.06030150753768848
2022-02-14,21100,21850,20050,20100,1058227,-0.04739336492891
2022-02-15,19750,20050,18250,18350,928031,-0.08706467661691542
2022-02-16,19100,21000,18600,20300,2897436,0.10626702997275195
2022-02-17,21400,21550,19200,20050,2655434,-0.012315270935960632
2022-02-18,19500,20600,19300,19900,882421,-0.007481296758104716
2022-02-21,19300,19900,19000,19300,522399,-0.03015075376884424
2022-02-22,18500,18750,17000,17350,1120702,-0.10103626943005184
2022-02-23,17750,18200,16950,16950,714817,-0.023054755043227626
2022-02-24,16550,17200,15750,16000,1066945,-0.05604719764011801
2022-02-25,16550,16650,15650,15750,707978,-0.015625
2022-02-28,15750,18900,15400,16550,4236243,0.050793650793650835
2022-03-02,16700,16950,16350,16500,780478,-0.0030211480362537513
2022-03-03,16650,16800,16250,16700,485671,0.0121212121212122
2022-03-04,16550,16650,16050,16200,400002,-0.029940119760479056
2022-03-07,16400,16900,15750,15800,1061068,-0.024691358024691357
2022-03-08,15300,15700,15100,15150,368646,-0.04113924050632911
