Date,Open,High,Low,Close,Volume,Change
2022-01-03,81000,95000,79000,88100,849197,0.1561679790026247
2022-01-04,90500,91800,82800,83600,396487,-0.05107832009080593
2022-01-05,81700,86300,80200,83100,284276,-0.005980861244019087
2022-01-06,80500,82300,75200,75200,226374,-0.09506618531889288
2022-01-07,74200,88700,74200,81100,513135,0.07845744680851063
2022-01-10,81100,96300,77500,87300,927484,0.07644882860665847
2022-01-11,86400,89500,79900,79900,305907,-0.08476517754868274
2022-01-12,80500,84300,78800,80000,204432,0.0012515644555695093
2022-01-13,80000,81300,78000,78600,109837,-0.01749999999999996
2022-01-14,77100,77900,75600,76400,112347,-0.027989821882951627
2022-01-17,76100,83000,74800,81100,256909,0.061518324607329866
2022-01-18,88500,89000,76000,77400,429044,-0.04562268803945746
2022-01-19,74900,77300,74000,74500,136445,-0.03746770025839796
2022-01-20,75200,77100,74100,75300,77521,0.010738255033557076
2022-01-21,75200,76100,73200,73200,80408,-0.027888446215139417
2022-01-24,71400,71400,66700,67400,199719,-0.0792349726775956
2022-01-25,67400,69300,63200,64300,220983,-0.04599406528189909
2022-01-26,63100,68600,63000,64400,141662,0.0015552099533437946
2022-01-27,64400,64400,59500,59500,166997,-0.07608695652173914
2022-01-28,59500,62400,57600,61000,107666,0.025210084033613356
2022-02-03,61500,63600,60700,61000,107776,0.0
2022-02-04,59200,61000,57500,58500,128143,-0.040983606557377095
2022-02-07,57900,58700,55000,58700,153105,0.0034188034188034067
2022-02-08,60700,61800,54700,57500,172780,-0.020442930153321992
2022-02-09,56500,58200,56000,56900,78519,-0.01043478260869568
2022-02-10,57200,73500,54000,62800,1324175,0.1036906854130053
2022-02-11,60900,63900,59300,59400,217362,-0.05414012738853502
2022-02-14,56600,57800,53900,54400,189322,-0.08417508417508412
2022-02-15,53000,54900,50400,50600,136626,-0.06985294117647056
2022-02-16,51700,53700,51700,52800,88944,0.04347826086956519
2022-02-17,51600,55800,51100,52500,183037,-0.005681818181818232
2022-02-18,51000,53700,50700,53000,70201,0.00952380952380949
2022-02-21,51800,53400,51000,52200,56922,-0.015094339622641506
2022-02-22,51100,52100,49600,49900,107984,-0.044061302681992376
2022-02-23,49800,50900,49500,49900,89121,0.0
2022-02-24,49500,49500,44600,45100,196193,-0.09619238476953906
2022-02-25,45900,47500,42500,45200,160363,0.0022172949002217113
2022-02-28,45550,50700,44250,47000,215340,0.03982300884955747
2022-03-02,47000,53100,47000,49500,274462,0.05319148936170204
2022-03-03,49500,50200,48850,49100,66313,-0.008080808080808133
2022-03-04,49150,49200,47050,48700,95308,-0.008146639511201648
2022-03-07,50300,50500,47800,48700,106648,0.0
2022-03-08,47500,49700,47000,47900,74873,-0.01642710472279263
2022-03-10,47950,49350,46650,46800,118189,-0.022964509394572064
2022-03-11,46550,47500,46200,46550,53638,-0.005341880341880323
2022-03-14,46550,46900,43400,44300,103377,-0.04833512352309344
2022-03-15,43800,44500,42700,42900,68004,-0.03160270880361171
2022-03-16,42900,44000,42300,42650,66542,-0.005827505827505797
2022-03-17,42700,44250,42500,43650,83046,0.023446658851113744
2022-03-18,44000,44550,42950,44100,61196,0.010309278350515427
2022-03-21,44300,44600,42350,42900,62793,-0.027210884353741527
2022-03-22,43050,43050,40350,41700,142429,-0.027972027972028024
2022-03-23,42050,42150,40400,40800,114655,-0.021582733812949617
2022-03-24,41050,44700,40650,41850,197733,0.025735294117646967
2022-03-25,41700,41750,40000,40050,109853,-0.043010752688172005
