Date,Open,High,Low,Close,Volume,Change
2022-01-03,29700,29700,29000,29250,15913,-0.008474576271186418
2022-01-04,29250,29450,29150,29350,5147,0.0034188034188034067
2022-01-05,29350,29350,28950,29050,8332,-0.010221465076660996
2022-01-06,29050,29050,28350,28500,20157,-0.018932874354561147
2022-01-07,28650,28700,28350,28600,14066,0.0035087719298245723
2022-01-10,28550,28950,27950,28600,12512,0.0
2022-01-11,28450,28750,27900,28100,20303,-0.0174825174825175
2022-01-12,28100,29450,28100,29300,11562,0.04270462633451966
2022-01-13,29900,29900,28800,29000,8212,-0.010238907849829393
2022-01-14,28900,28900,28300,28400,11601,-0.020689655172413834
2022-01-17,28400,28400,27700,27700,14215,-0.02464788732394363
2022-01-18,27650,28100,27300,27850,9482,0.005415162454873723
2022-01-19,27650,27900,27450,27800,6699,-0.0017953321364452268
2022-01-20,27650,28100,27500,28100,9449,0.010791366906474753
2022-01-21,27700,28150,27600,28100,12545,0.0
2022-01-24,28100,28200,27400,28000,13251,-0.003558718861209953
2022-01-25,28500,28500,26850,27300,23528,-0.025000000000000022
2022-01-26,27300,27950,26650,26950,24645,-0.012820512820512775
2022-01-27,27200,27200,25800,25800,34090,-0.042671614100185495
2022-01-28,25800,27200,25800,26750,11534,0.036821705426356655
2022-02-03,26900,28050,26900,27600,21155,0.031775700934579376
2022-02-04,27500,27950,27300,27850,11288,0.009057971014492683
2022-02-07,27900,28350,27700,28100,9753,0.008976660682226134
2022-02-08,28100,28500,27600,27850,10263,-0.008896797153024938
2022-02-09,28500,28500,27850,27950,8741,0.0035906642728904536
2022-02-10,28050,28350,28000,28100,9082,0.005366726296958779
2022-02-11,28100,28550,27950,28100,12172,0.0
2022-02-14,28050,28150,27400,27700,12061,-0.014234875444839812
2022-02-15,27150,27750,27050,27500,14528,-0.0072202166064981865
2022-02-16,27850,27900,27500,27900,5407,0.014545454545454639
2022-02-17,27900,28500,27900,27950,9686,0.0017921146953405742
2022-02-18,27900,28200,27650,28100,4935,0.005366726296958779
2022-02-21,28100,28250,27650,28050,17544,-0.001779359430605032
2022-02-22,28100,28250,27550,27600,5104,-0.016042780748663055
2022-02-23,27700,29150,27550,29000,27483,0.050724637681159424
2022-02-24,28700,29300,27750,28950,30759,-0.0017241379310344307
2022-02-25,28900,29500,28400,28550,11126,-0.013816925734024155
2022-02-28,28850,28950,28550,28600,4095,0.0017513134851139256
2022-03-02,28600,28950,28300,28850,8130,0.00874125874125875
2022-03-03,29150,29300,28650,29100,13701,0.008665511265164572
2022-03-04,29100,29350,28650,29100,7116,0.0
2022-03-07,29100,29100,28400,28450,11475,-0.022336769759450203
2022-03-08,27800,30550,27800,30500,29011,0.07205623901581726
2022-03-10,31500,31500,29700,30000,30638,-0.016393442622950838
2022-03-11,30100,30650,29850,30050,27365,0.0016666666666667052
2022-03-14,30450,30450,29550,29950,28625,-0.0033277870216306127
2022-03-15,30000,30300,29500,29900,17679,-0.0016694490818029983
2022-03-16,29900,30100,29450,30000,28332,0.0033444816053511683
2022-03-17,30450,30450,29550,29600,34723,-0.013333333333333308
2022-03-18,29800,30200,29500,29550,22799,-0.0016891891891891442
2022-03-21,29600,29800,29100,29250,13636,-0.010152284263959421
2022-03-22,29400,29400,28800,28900,19209,-0.011965811965811923
2022-03-23,29100,29750,28900,29000,20108,0.0034602076124568004
2022-03-24,29250,29250,28350,28900,18409,-0.0034482758620689724
2022-03-25,28950,29150,28600,28950,18620,0.0017301038062282892
2022-03-28,28950,29150,28550,29150,22244,0.006908462867012188
2022-03-29,29150,29450,28750,28800,17666,-0.012006861063464824
2022-03-30,29200,29200,28550,28700,17034,-0.00347222222222221
2022-03-31,28800,29400,28700,29200,30057,0.017421602787456525
2022-04-01,29150,29600,29050,29600,23784,0.013698630136986356
2022-04-04,29600,29900,29200,29900,20360,0.010135135135135087
2022-04-05,30250,30250,29550,29750,18688,-0.0050167224080267525
2022-04-06,29800,30150,29600,29800,22749,0.001680672268907557
2022-04-07,29800,29800,28350,29550,8884,-0.008389261744966459
2022-04-08,29550,29950,29200,29550,9134,0.0
2022-04-11,29550,30150,29250,29800,20585,0.008460236886632888
2022-04-12,29700,30100,29500,29900,17715,0.003355704697986628
2022-04-13,30100,30150,29700,29850,5674,-0.0016722408026755842
2022-04-14,29900,29900,29600,29900,12110,0.0016750418760469454
2022-04-15,29900,30100,29500,29750,12540,-0.0050167224080267525
2022-04-18,29500,30000,29500,29850,8141,0.003361344537815114
2022-04-19,30100,30200,29800,30050,10497,0.00670016750418756
2022-04-20,30050,30200,29800,30000,11032,-0.0016638935108153063
2022-04-21,30000,30250,29750,29900,21229,-0.0033333333333332993
2022-04-22,30050,30050,29450,29950,17256,0.0016722408026756952
2022-04-25,29500,29800,29100,29200,27559,-0.025041736227045086
2022-04-26,29250,29300,28850,29100,25669,-0.003424657534246589
2022-04-27,28950,29700,28500,29250,19163,0.005154639175257714
2022-04-28,29300,30100,29300,30000,33098,0.02564102564102555
2022-04-29,29650,30400,29650,30250,18094,0.008333333333333304
2022-05-02,29950,31250,29950,31100,39596,0.028099173553719048
2022-05-03,31100,31300,30650,31000,26267,-0.003215434083601254
2022-05-04,30700,30700,29750,29850,28641,-0.0370967741935484
