Date,Open,High,Low,Close,Volume,Change
2022-01-03,26000,26450,25800,26050,42666,-0.007619047619047636
2022-01-04,26300,26300,25700,25800,41327,-0.009596928982725572
2022-01-05,26100,26700,25650,25800,130565,0.0
2022-01-06,25200,25950,25050,25050,51092,-0.029069767441860517
2022-01-07,25500,25500,24800,25050,50931,0.0
2022-01-10,25150,25150,24450,24700,41280,-0.013972055888223589
2022-01-11,24550,24900,24000,24350,47992,-0.014170040485829927
2022-01-12,24350,25350,24350,25250,46233,0.03696098562628336
2022-01-13,25350,25850,24750,24750,55330,-0.01980198019801982
2022-01-14,25750,26650,25500,26250,274779,0.06060606060606055
2022-01-17,25650,26150,25150,25400,58630,-0.0323809523809524
2022-01-18,25400,25650,24500,24750,67210,-0.025590551181102317
2022-01-19,24500,24900,23900,24000,87961,-0.030303030303030276
2022-01-20,23900,25100,23900,25100,38427,0.04583333333333339
2022-01-21,24500,25300,24450,24550,39397,-0.021912350597609542
2022-01-24,24700,24700,23100,23450,63049,-0.044806517311609007
2022-01-25,23400,23750,22250,22700,71287,-0.031982942430703654
2022-01-26,22400,23300,22400,22850,50361,0.0066079295154184425
2022-01-27,22600,22850,21000,21400,221973,-0.06345733041575496
2022-01-28,21500,23600,21400,23450,125489,0.09579439252336441
2022-02-03,23700,24000,23000,23650,39780,0.008528784648187626
2022-02-04,23300,23900,22500,23550,33147,-0.0042283298097252064
2022-02-07,23500,23700,22850,23400,22252,-0.006369426751592355
2022-02-08,23150,23550,22600,22900,45060,-0.021367521367521403
2022-02-09,22900,23400,22700,23150,80753,0.01091703056768556
2022-02-10,23500,23500,22700,22850,34383,-0.01295896328293733
2022-02-11,22200,22800,22150,22250,34244,-0.026258205689277947
2022-02-14,22000,22250,21550,22100,25087,-0.006741573033707815
2022-02-15,22500,22500,21750,21850,37932,-0.011312217194570096
2022-02-16,22050,23200,22050,22800,35228,0.04347826086956519
2022-02-17,22750,23150,22050,22350,57360,-0.019736842105263164
2022-02-18,21850,23500,21850,22800,72460,0.020134228187919545
2022-02-21,22500,23100,22100,22750,24889,-0.002192982456140302
2022-02-22,22500,22700,22200,22400,21175,-0.01538461538461533
2022-02-23,22150,22700,22150,22600,38893,0.008928571428571397
2022-02-24,22550,22550,21800,22050,39907,-0.02433628318584069
2022-02-25,22500,22850,22300,22550,32294,0.0226757369614512
2022-02-28,22550,22850,22300,22600,18294,0.0022172949002217113
2022-03-02,22600,23200,22600,23100,25885,0.022123893805309658
2022-03-03,23000,23350,22900,23250,28190,0.006493506493506551
2022-03-04,23350,23350,22750,22900,20034,-0.01505376344086018
2022-03-07,22800,23000,22350,22550,21210,-0.015283842794759805
2022-03-08,22200,22600,22000,22500,30321,-0.0022172949002217113
2022-03-10,22900,23450,22450,22600,44160,0.004444444444444473
2022-03-11,22550,22750,22300,22300,26023,-0.013274336283185861
2022-03-14,22350,22450,21500,21650,44699,-0.029147982062780242
2022-03-15,21550,21650,21250,21650,24627,0.0
2022-03-16,21650,22400,21650,22300,22016,0.03002309468822162
2022-03-17,22250,24250,22250,23050,187944,0.03363228699551568
2022-03-18,22850,23650,22550,23500,64799,0.01952277657266821
2022-03-21,23550,23750,22750,22750,36099,-0.03191489361702127
2022-03-22,22950,23500,22750,23100,25292,0.01538461538461533
2022-03-23,23100,23500,22700,23100,35650,0.0
2022-03-24,23100,23500,22700,23200,27536,0.0043290043290042934
2022-03-25,23300,23400,22950,23200,23113,0.0
2022-03-28,23200,23850,22850,23550,42974,0.015086206896551824
2022-03-29,23350,24450,23350,24000,59275,0.019108280254777066
2022-03-30,24450,24450,23700,24200,27239,0.008333333333333304
2022-03-31,24050,24400,23750,24200,34657,0.0
2022-04-01,23800,23800,23050,23300,103877,-0.037190082644628086
2022-04-04,23400,23650,22950,23650,79332,0.015021459227467782
2022-04-05,23800,23900,23200,23500,75411,-0.006342494714587699
2022-04-06,23200,23400,22750,23000,63357,-0.021276595744680882
2022-04-07,22950,22950,22050,22600,63577,-0.017391304347826098
2022-04-08,22600,22600,22050,22400,45116,-0.008849557522123908
2022-04-11,22100,22650,22000,22350,34096,-0.0022321428571429047
2022-04-12,22200,22350,21750,21900,52609,-0.020134228187919434
2022-04-13,21950,22550,21850,22550,25606,0.029680365296803624
2022-04-14,22550,22550,21900,22400,29702,-0.006651884700665134
2022-04-15,22000,22200,21850,22200,27466,-0.008928571428571397
2022-04-18,22050,22350,21900,22100,14613,-0.0045045045045044585
2022-04-19,22100,22400,21950,22400,25051,0.013574660633484115
2022-04-20,22350,22450,22100,22200,21378,-0.008928571428571397
2022-04-21,22300,22700,22050,22150,22216,-0.0022522522522522292
2022-04-22,22150,22150,21750,21950,30069,-0.009029345372460473
2022-04-25,21900,21950,21350,21450,28663,-0.02277904328018221
2022-04-26,21450,21750,21250,21650,20330,0.00932400932400923
2022-04-27,21000,21500,20800,21000,38279,-0.03002309468822173
2022-04-28,21050,21400,20000,20200,117701,-0.03809523809523807
2022-04-29,20400,21100,20300,21100,33004,0.044554455445544594
2022-05-02,20550,20800,20150,20500,36897,-0.028436018957345932
2022-05-03,20450,21000,20450,20500,24822,0.0
2022-05-04,20500,20650,20250,20300,18786,-0.009756097560975618
2022-05-06,19950,20350,19900,20000,27642,-0.014778325123152691
2022-05-09,20000,20200,19400,19900,34798,-0.0050000000000000044
2022-05-10,19550,19800,18950,19650,64202,-0.012562814070351758
2022-05-11,19200,19500,18900,19200,51715,-0.022900763358778664
2022-05-12,18900,19000,18050,18100,82841,-0.05729166666666663
2022-05-13,18500,19000,18350,18800,48018,0.03867403314917128
2022-05-16,18750,19400,18650,18750,30068,-0.0026595744680850686
2022-05-17,18750,19050,18650,18700,32753,-0.002666666666666706
2022-05-18,18750,19350,18750,19100,32203,0.021390374331550888
2022-05-19,18550,18800,18100,18300,27065,-0.041884816753926746
2022-05-20,18300,19200,18300,19200,16126,0.049180327868852514
2022-05-23,18950,19300,18750,19300,21459,0.005208333333333259
2022-05-24,19200,19200,18600,18700,26566,-0.031088082901554404
2022-05-25,18700,19950,18650,19500,109677,0.04278074866310155
2022-05-26,19400,19900,19050,19100,36957,-0.02051282051282055
2022-05-27,19100,19550,18800,19100,31647,0.0
2022-05-30,19150,19700,19150,19700,27535,0.03141361256544495
2022-05-31,19450,19700,19250,19700,32828,0.0
2022-06-02,19650,19650,19300,19350,18670,-0.017766497461928932
2022-06-03,19750,19750,19350,19600,22366,0.012919896640826822
2022-06-07,19400,19400,19000,19100,22646,-0.025510204081632626
2022-06-08,19100,19750,18900,19200,28642,0.005235602094240788
2022-06-09,18900,19200,18200,19050,199821,-0.0078125
2022-06-10,18750,19500,18400,19400,61140,0.018372703412073532
2022-06-13,18600,18850,17900,18000,65665,-0.07216494845360821
2022-06-14,17500,17700,17000,17600,56454,-0.022222222222222254
2022-06-15,17350,17950,17250,17850,30774,0.014204545454545414
2022-06-16,17900,18450,17700,17850,22018,0.0
2022-06-17,17000,17650,17000,17450,17921,-0.022408963585434205
2022-06-20,17450,17500,16650,16850,25420,-0.034383954154727836
2022-06-21,16600,17100,16500,16800,14965,-0.0029673590504450953
2022-06-22,16750,17050,16000,16150,30250,-0.038690476190476164
2022-06-23,15950,16850,15650,15850,40386,-0.018575851393188847
2022-06-24,15850,16850,15700,16800,28401,0.05993690851735023
2022-06-27,16800,17500,16550,17150,14827,0.02083333333333326
2022-06-28,17150,17300,16800,17300,5705,0.008746355685131268
2022-06-29,16850,17300,16750,17250,8732,-0.0028901734104046506
2022-06-30,17100,17300,16600,16600,10374,-0.03768115942028982
2022-07-01,16650,17150,16500,16500,17369,-0.0060240963855421326
2022-07-04,16400,16950,15900,16000,21006,-0.030303030303030276
2022-07-05,15900,16850,15900,16800,24539,0.050000000000000044
2022-07-06,16600,17500,16600,17050,16030,0.014880952380952328
2022-07-07,17050,17600,16850,17100,19708,0.0029325513196480912
2022-07-08,17150,17600,17100,17350,12752,0.014619883040935644
2022-07-11,17200,17500,17050,17150,9140,-0.011527377521613813
2022-07-12,17150,17850,17150,17650,40749,0.029154518950437414
2022-07-13,17600,18150,17400,17550,26488,-0.005665722379603388
2022-07-14,17550,17850,17300,17750,21242,0.01139601139601143
2022-07-15,17650,18250,17350,18200,32440,0.025352112676056304
2022-07-18,18350,18400,17900,18250,21720,0.0027472527472527375
2022-07-19,18250,18450,17900,18400,10563,0.008219178082191858
2022-07-20,18400,18750,18250,18250,18985,-0.008152173913043459
2022-07-21,18550,18600,17950,18300,15491,0.00273972602739736
2022-07-22,18150,18500,18050,18450,36160,0.008196721311475308
2022-07-25,18400,18450,18100,18200,18553,-0.013550135501354976
2022-07-26,18200,18400,17900,18250,6972,0.0027472527472527375
2022-07-27,18100,18350,18000,18150,10159,-0.005479452054794498
2022-07-28,18150,18350,18050,18350,7843,0.011019283746556363
2022-07-29,18350,18450,17950,18400,24604,0.0027247956403269047
2022-08-01,18400,18500,18200,18250,16191,-0.008152173913043459
2022-08-02,17850,18100,17850,17900,22609,-0.019178082191780854
2022-08-03,17900,18300,17650,18050,24348,0.008379888268156499
2022-08-04,18100,18400,17850,18150,22245,0.005540166204986097
2022-08-05,18100,18250,18000,18250,9833,0.005509641873278293
2022-08-08,18700,18850,18250,18700,49448,0.024657534246575352
2022-08-09,18600,19000,18600,18850,27661,0.008021390374331583
2022-08-10,18900,18900,18600,18650,16320,-0.010610079575596787
2022-08-11,18650,19050,18300,18500,29205,-0.008042895442359255
2022-08-12,18500,18750,18400,18700,22390,0.0108108108108107
2022-08-16,18700,18900,18300,18550,39097,-0.008021390374331583
2022-08-17,18550,21750,18550,20050,1480833,0.08086253369272245
2022-08-18,20050,20050,19000,19100,152391,-0.04738154613466339
2022-08-19,19200,19500,19000,19300,90082,0.010471204188481575
2022-08-22,19100,19150,18700,19050,51680,-0.012953367875647714
2022-08-23,18750,19000,18650,18700,37018,-0.018372703412073532
2022-08-24,18700,18950,18200,18800,51322,0.005347593582887722
2022-08-25,18800,19000,18650,18800,27938,0.0
2022-08-26,18800,18950,18550,18550,27660,-0.013297872340425565
2022-08-29,18000,18350,17850,18350,35998,-0.010781671159029615
2022-08-30,18050,18500,18050,18500,25706,0.008174386920980936
2022-08-31,18750,18750,18200,18200,24957,-0.01621621621621616
2022-09-01,18200,18350,18000,18000,26596,-0.01098901098901095
2022-09-02,18200,18300,17650,17650,30744,-0.019444444444444486
2022-09-05,17650,17900,17650,17750,20123,0.0056657223796034994
2022-09-06,17700,18000,17550,17850,23187,0.005633802816901401
2022-09-07,17700,17950,17400,17600,19964,-0.014005602240896309
2022-09-08,17550,17900,17450,17550,17522,-0.0028409090909090606
2022-09-13,17800,17850,17500,17750,20473,0.01139601139601143
2022-09-14,17400,17500,17050,17250,11782,-0.028169014084507005
2022-09-15,17400,17550,17200,17300,9848,0.0028985507246377384
2022-09-16,17300,18100,17300,17550,40328,0.014450867052023142
2022-09-19,17600,17750,17100,17550,14479,0.0
2022-09-20,17250,18000,17250,17650,21815,0.005698005698005604
2022-09-21,17600,17750,17300,17350,11107,-0.016997167138810165
2022-09-22,17050,17400,16900,17150,24225,-0.011527377521613813
2022-09-23,17050,17250,15850,16700,24176,-0.026239067055393583
2022-09-26,16300,16650,15700,15850,45734,-0.050898203592814384
2022-09-27,15650,15850,15250,15400,15300,-0.028391167192429068
2022-09-28,15350,15750,14450,15000,23013,-0.025974025974025983
2022-09-29,15050,16000,14600,14700,42502,-0.020000000000000018
2022-09-30,14150,14700,14100,14300,39933,-0.027210884353741527
2022-10-04,14750,15100,14250,15100,9044,0.05594405594405605
2022-10-05,15300,15800,14550,14700,16229,-0.026490066225165587
2022-10-06,14600,15150,14600,14950,4807,0.017006802721088343
2022-10-07,14950,15250,14700,15050,7985,0.006688963210702337
2022-10-11,15200,15200,14600,14700,27449,-0.023255813953488413
2022-10-12,15000,15300,14650,15050,13929,0.023809523809523725
2022-10-13,15050,15150,14750,14800,17811,-0.01661129568106312
2022-10-14,14850,15650,14850,15450,13995,0.04391891891891886
2022-10-17,15300,16000,15300,15650,21979,0.012944983818770295
2022-10-18,15700,16400,15700,16400,11906,0.04792332268370614
2022-10-19,16250,17000,16250,16750,15022,0.021341463414634054
2022-10-20,16950,17050,16250,16350,51832,-0.023880597014925398
2022-10-21,16200,16550,16150,16450,8822,0.006116207951070374
2022-10-24,16500,16950,16500,16850,4182,0.024316109422492405
2022-10-25,16850,17250,16850,17050,11715,0.011869436201780381
2022-10-26,17050,17350,16950,17100,4530,0.0029325513196480912
2022-10-27,17100,17400,17100,17350,7974,0.014619883040935644
2022-10-28,17350,17500,17000,17200,7932,-0.008645533141210415
2022-10-31,17150,17400,17050,17100,7665,-0.005813953488372103
2022-11-01,17000,17350,16950,17200,7744,0.005847953216374213
2022-11-02,17400,17500,16950,17150,16053,-0.0029069767441860517
2022-11-03,17100,17500,17000,17150,8254,0.0
2022-11-04,17150,17350,17050,17250,10562,0.005830903790087438
2022-11-07,17550,17600,17250,17600,15587,0.020289855072463725
2022-11-08,17850,17850,17400,17450,11615,-0.008522727272727293
2022-11-09,17450,17600,17400,17500,6223,0.002865329512893977
2022-11-10,17500,17550,17200,17350,10402,-0.008571428571428563
2022-11-11,17750,18200,17400,18200,29533,0.04899135446685876
2022-11-14,18250,18300,17950,18050,8888,-0.008241758241758212
2022-11-15,18050,18100,17750,18050,8448,0.0
2022-11-16,17900,18100,17900,18050,8005,0.0
2022-11-17,18500,18650,18100,18300,23010,0.013850415512465464
2022-11-18,18500,18500,18000,18450,16667,0.008196721311475308
2022-11-21,18450,18500,18150,18450,17725,0.0
2022-11-22,18250,18800,18200,18600,25465,0.008130081300812941
2022-11-23,18700,18900,18500,18600,23514,0.0
2022-11-24,18600,18800,18350,18400,11583,-0.010752688172043001
2022-11-25,18350,19150,18100,18600,147245,0.010869565217391353
2022-11-28,18950,18950,18450,18700,127851,0.005376344086021501
2022-11-29,18800,19200,18200,19200,42507,0.02673796791443861
2022-11-30,19350,19650,18750,19350,57940,0.0078125
2022-12-01,19850,19900,19450,19750,64165,0.02067183462532296
2022-12-02,19600,19650,18250,18600,52682,-0.0582278481012658
2022-12-05,18700,19500,18400,19500,37439,0.048387096774193505
2022-12-06,19350,19500,18850,19000,18389,-0.02564102564102566
2022-12-07,18650,19400,18650,18800,27051,-0.010526315789473717
2022-12-08,18800,19350,17750,17950,87037,-0.04521276595744683
2022-12-09,18150,19300,18150,19150,35605,0.06685236768802238
2022-12-12,18750,19550,18150,18150,23214,-0.052219321148825104
2022-12-13,18450,18450,17750,18150,19694,0.0
2022-12-14,18150,18600,18000,18200,43394,0.0027548209366390353
2022-12-15,18200,18200,17500,17700,33527,-0.027472527472527486
2022-12-16,17000,17500,16150,16300,83663,-0.07909604519774016
2022-12-19,16150,16950,15900,16400,34337,0.006134969325153339
2022-12-20,16200,16800,15750,15800,48366,-0.03658536585365857
2022-12-21,16000,16200,15150,16100,51465,0.018987341772152
2022-12-22,16100,16950,16050,16900,60228,0.049689440993788914
2022-12-23,16700,16800,16250,16400,39623,-0.029585798816568087
2022-12-26,16500,17200,16100,17150,70825,0.0457317073170731
2022-12-27,17250,17800,17250,17750,74234,0.03498542274052485
2022-12-28,17550,17600,16350,16350,105747,-0.07887323943661972
2022-12-29,16200,16400,15200,15400,96336,-0.05810397553516822
2023-01-02,15350,15550,14650,14700,68700,-0.045454545454545414
2023-01-03,14700,15050,14100,14850,52355,0.010204081632652962
2023-01-04,14350,15500,14250,15250,53123,0.026936026936027035
2023-01-05,15250,15300,14800,15050,64930,-0.013114754098360604
2023-01-06,15050,15850,15000,15800,52527,0.04983388704318936
2023-01-09,16150,16250,15750,16150,38495,0.02215189873417711
2023-01-10,15300,16100,15250,15400,65787,-0.04643962848297212
2023-01-11,15700,16150,15600,15950,57852,0.03571428571428581
2023-01-12,16200,16300,15650,15900,32401,-0.0031347962382445305
2023-01-13,15700,16200,15600,15700,42999,-0.012578616352201255
2023-01-16,15700,16100,15700,15800,37379,0.006369426751592355
2023-01-17,15700,15800,15250,15350,58233,-0.02848101265822789
2023-01-18,15400,15650,15250,15450,29444,0.006514657980456029
2023-01-19,15200,15650,15100,15550,39807,0.006472491909385036
2023-01-20,15350,15750,15350,15750,29636,0.012861736334405238
2023-01-25,15700,16430,15550,16420,65224,0.04253968253968243
2023-01-26,16420,16420,15920,16230,49771,-0.011571254567600442
2023-01-27,16220,16250,16000,16220,39190,-0.0006161429451633227
2023-01-30,16020,16340,15810,15810,52607,-0.02527743526510484
2023-01-31,15670,15820,15510,15600,73292,-0.013282732447817858
2023-02-01,15880,15980,15460,15690,95514,0.005769230769230749
2023-02-02,15800,16300,15800,16160,110151,0.029955385595920925
2023-02-03,16150,16330,15820,16130,88597,-0.0018564356435643026
2023-02-06,15990,16110,15570,15860,78285,-0.01673899566026038
2023-02-07,15710,16070,15580,15840,56954,-0.0012610340479193294
2023-02-08,15840,16080,15760,16020,60425,0.011363636363636465
2023-02-09,15800,16000,15650,15950,52430,-0.004369538077403257
2023-02-10,15750,15800,15440,15490,73327,-0.028840125391849547
2023-02-13,15360,15580,15260,15260,48662,-0.01484828921885084
2023-02-14,15270,15510,15270,15390,43221,0.008519003931847902
2023-02-15,15390,15470,14610,14610,130328,-0.050682261208576995
2023-02-16,14940,15290,14890,15030,68233,0.028747433264887157
2023-02-17,14800,15020,14670,14690,82380,-0.022621423819028652
2023-02-20,14650,15100,14160,14860,97871,0.011572498298161982
2023-02-21,14860,14900,14510,14580,73001,-0.018842530282637937
2023-02-22,14210,14580,14160,14180,178510,-0.027434842249657088
2023-02-23,14300,14550,14210,14450,71426,0.01904090267983083
2023-02-24,14320,14420,14120,14200,71183,-0.01730103806228378
2023-02-27,14010,14150,13820,13980,82808,-0.015492957746478853
2023-02-28,14070,14180,13990,14090,60368,0.007868383404864066
2023-03-02,14100,14150,13830,13840,80667,-0.017743080198722505
2023-03-03,13890,14300,13850,14100,95179,0.01878612716762995
2023-03-06,14170,14170,13900,14010,71807,-0.006382978723404209
2023-03-07,14010,14290,13760,13850,114155,-0.01142041399000715
2023-03-08,13780,13850,13480,13480,105143,-0.026714801444043368
2023-03-09,13450,13630,13340,13630,102409,0.011127596439169052
2023-03-10,13360,13600,13090,13180,141635,-0.03301540719002205
2023-03-13,13100,13320,12810,13200,167064,0.0015174506828528056
2023-03-14,13200,13200,12290,12410,198188,-0.05984848484848482
2023-03-15,12780,13150,12720,13040,221426,0.050765511684125686
2023-03-16,13000,13000,12420,12470,105225,-0.04371165644171782
2023-03-17,12570,12930,12570,12770,85229,0.024057738572574205
2023-03-20,12800,13130,12770,13030,98623,0.02036021926389986
2023-03-21,13030,13260,12890,12940,59739,-0.0069071373752878085
2023-03-22,12970,13150,12740,12900,64197,-0.0030911901081916993
2023-03-23,12840,12840,12480,12500,108381,-0.03100775193798455
2023-03-24,12510,12800,12410,12800,70309,0.02400000000000002
2023-03-27,12800,12820,12310,12740,109545,-0.004687499999999956
2023-03-28,12730,13000,12620,12950,56370,0.016483516483516425
2023-03-29,12950,13100,12660,12700,62852,-0.019305019305019266
2023-03-30,12700,12940,12630,12900,85561,0.015748031496062964
2023-03-31,12850,13630,12850,13630,160309,0.05658914728682163
2023-04-03,13330,13650,13070,13080,113052,-0.0403521643433602
2023-04-04,13090,14380,13080,14380,357084,0.09938837920489307
2023-04-05,14380,15100,14100,14670,286933,0.02016689847009734
2023-04-06,14560,14560,13550,14010,133543,-0.04498977505112478
2023-04-07,14270,14590,14020,14320,108204,0.022127052105638922
2023-04-10,14330,14330,13900,14120,104431,-0.013966480446927387
2023-04-11,14000,14200,13890,13950,109233,-0.012039660056657242
2023-04-12,13950,14100,13500,13710,66011,-0.017204301075268824
2023-04-13,14100,14230,13550,14230,100544,0.03792851932895691
2023-04-14,14240,14410,14140,14260,82752,0.0021082220660575413
2023-04-17,14110,14200,13900,14120,76804,-0.009817671809256634
2023-04-18,14020,14300,14020,14260,73723,0.009915014164305846
2023-04-19,14210,14500,14050,14200,76579,-0.0042075736325385416
2023-04-20,14500,15190,14300,14730,306641,0.03732394366197189
2023-04-21,14740,15250,14740,15010,210627,0.01900882552613714
2023-04-24,14950,15200,14760,14920,111285,-0.005996002664890088
2023-04-25,14860,14920,14300,14440,118469,-0.03217158176943702
2023-04-26,14300,15150,14300,14930,97371,0.03393351800554023
2023-04-27,15180,15250,14850,14890,136500,-0.0026791694574681557
2023-04-28,15200,15200,14630,14880,77484,-0.000671591672263272
2023-05-02,14880,14880,14470,14680,75293,-0.013440860215053752
2023-05-03,14460,14460,14070,14100,89226,-0.03950953678474112
2023-05-04,14110,14200,13970,14170,56235,0.004964539007092261
2023-05-08,14200,14520,14170,14400,43639,0.016231474947071334
2023-05-09,14120,14440,14020,14090,55519,-0.021527777777777812
2023-05-10,14170,14170,13950,14000,39690,-0.0063875088715400485
2023-05-11,14150,14580,14110,14380,82363,0.027142857142857135
2023-05-12,14470,14470,13960,14060,64230,-0.022253129346314293
2023-05-15,14000,14180,13910,14140,55282,0.005689900426742556
2023-05-16,14010,14150,13600,13610,75498,-0.0374823196605375
2023-05-17,13630,13780,13500,13730,61728,0.00881704628949298
2023-05-18,13730,13730,13300,13420,90756,-0.022578295702840534
