Date,Open,High,Low,Close,Volume,Change
2022-01-03,10217,11220,10074,10504,256101,0.037739577158664384
2022-01-04,10504,10885,10265,10552,87743,0.004569687738004591
2022-01-05,10551,10551,10074,10218,62810,-0.0316527672479151
2022-01-06,10026,10313,9835,10074,54996,-0.014092777451556127
2022-01-07,9978,10217,9787,10122,39305,0.004764740917212684
2022-01-10,10074,10504,9931,10409,33876,0.028354080221300038
2022-01-11,10456,10456,10026,10170,25727,-0.022960899221827313
2022-01-12,10169,10217,9740,9979,53288,-0.018780727630285154
2022-01-13,9931,10122,9740,9788,40787,-0.019140194408257316
2022-01-14,9787,10074,9453,9883,55827,0.009705762157744102
2022-01-17,9883,10074,9539,9540,49388,-0.03470606091267836
2022-01-18,9510,9740,8785,9549,75628,0.0009433962264151496
2022-01-19,9549,9549,9319,9377,25375,-0.01801235731490214
2022-01-20,9358,9539,9167,9473,12871,0.010237815932601091
2022-01-21,9262,9931,9262,9836,30751,0.038319434181357526
2022-01-24,9883,10026,9482,9836,17883,0.0
2022-01-25,10026,10504,9596,10027,111962,0.01941846278975201
2022-01-26,9978,10265,9787,10122,21536,0.009474419068514983
2022-01-27,10122,10265,9549,9836,35916,-0.028255285516696316
2022-01-28,9835,10217,9740,10027,43767,0.01941846278975201
2022-02-03,9740,10456,9692,10313,44840,0.028522987932582122
2022-02-04,9978,10360,9539,9645,91218,-0.06477261708523219
2022-02-07,9596,10074,9549,9836,24447,0.01980300673924318
2022-02-08,9931,10217,9596,9836,19553,0.0
2022-02-09,9883,10122,9835,9979,14355,0.014538430256201718
2022-02-10,10026,10217,9835,9836,33201,-0.014330093195710991
2022-02-11,9978,9978,9644,9836,12133,0.0
2022-02-14,9644,9644,9186,9425,43044,-0.041785278568523765
2022-02-15,9262,9482,9214,9368,12914,-0.006047745358090162
2022-02-16,9501,9596,9233,9444,16588,0.008112724167378405
2022-02-17,9434,9491,9224,9329,29434,-0.012177043625582362
2022-02-18,9243,9329,9100,9282,16899,-0.00503805338192731
2022-02-21,9434,9434,9090,9301,11091,0.002046972635207922
2022-02-22,9233,9300,9100,9291,12691,-0.0010751532093323801
2022-02-23,9186,9358,9157,9186,9825,-0.011301259283177267
2022-02-24,9186,9339,9023,9196,30797,0.0010886131069018923
2022-02-25,9195,9835,9195,9645,25497,0.048825576337538035
2022-02-28,9644,12031,9339,9645,306984,0.0
2022-03-02,9740,12413,9510,11220,806817,0.16329704510108867
2022-03-03,11029,12031,10647,11507,216271,0.025579322638146218
2022-03-04,11411,11793,11172,11268,68257,-0.020769966107586635
2022-03-07,11267,11315,10551,10743,55594,-0.046592119275825294
2022-03-08,10694,12413,10456,12175,233445,0.13329609978590717
2022-03-10,11936,11936,11124,11172,108235,-0.08238193018480489
2022-03-11,11411,12127,11267,11841,101196,0.05988184747583247
2022-03-14,11984,12175,11315,11316,65589,-0.0443374714973398
2022-03-15,11267,11793,11124,11363,31308,0.00415341109932843
2022-03-16,11220,11411,10694,11029,67965,-0.02939364604417849
2022-03-17,11029,11267,10838,11125,32968,0.008704324961465337
2022-03-18,11124,11411,10933,11172,15315,0.004224719101123542
2022-03-21,11411,11554,10838,10934,33074,-0.02130325814536338
2022-03-22,11029,11602,10838,11220,50305,0.026156941649899457
2022-03-23,11172,11649,10981,11029,30051,-0.017023172905525796
2022-03-24,10981,11697,10981,11220,35324,0.017317979871248612
2022-03-25,11220,11458,11076,11363,19114,0.012745098039215641
2022-03-28,11458,11602,10838,11077,44986,-0.02516940948693125
2022-03-29,11076,11745,10981,11745,53712,0.06030513676988347
2022-03-30,11745,11745,11172,11220,40269,-0.04469987228607919
2022-03-31,11220,11554,11172,11172,31908,-0.004278074866310155
2022-04-01,11267,11363,10694,10981,27228,-0.017096312209094133
2022-04-04,11267,11267,10885,11268,9646,0.026136053182770347
2022-04-05,11267,11363,10885,11077,15157,-0.016950656727014568
2022-04-06,11076,11172,10408,10504,51518,-0.05172880743883723
2022-04-07,10504,10647,10169,10170,19258,-0.03179741051028184
2022-04-08,10169,10360,9978,10218,19186,0.004719764011799521
2022-04-11,10217,10504,10026,10218,9131,0.0
2022-04-12,10217,10456,9883,10265,13973,0.004599725973771784
2022-04-13,10265,10456,10217,10361,8789,0.009352167559668834
2022-04-14,10456,10551,9549,9931,33152,-0.041501785541936065
2022-04-15,9931,10265,9787,10074,11087,0.01439935555331795
2022-04-18,10313,10456,9931,10361,25779,0.028489180067500453
2022-04-19,10265,10360,10026,10122,9482,-0.023067271498890096
2022-04-20,10217,10790,10026,10647,30349,0.051867219917012486
2022-04-21,10504,10790,10408,10695,22745,0.004508312200619979
2022-04-22,10599,10599,10313,10409,13310,-0.026741467975689548
2022-04-25,10360,10408,9883,10122,21128,-0.02757229320780097
2022-04-26,9978,10265,9978,10170,7558,0.004742145820983978
2022-04-27,9978,10981,9931,10934,83008,0.07512291052114062
2022-04-28,10885,11076,10360,10599,56391,-0.030638375708798238
2022-04-29,10599,10599,10265,10409,28386,-0.01792621945466555
2022-05-02,10408,10551,10122,10361,20815,-0.004611393985973655
2022-05-03,10265,10360,10122,10218,15878,-0.013801756587201952
2022-05-04,10265,10599,10122,10409,18438,0.0186925034253278
2022-05-06,10313,10360,10122,10265,11833,-0.013834181957921077
2022-05-09,10122,10551,10122,10313,16321,0.004676083779834306
2022-05-10,10265,10265,9644,10027,27444,-0.02773198875206051
2022-05-11,9978,10026,9787,9979,11170,-0.004787074897775967
2022-05-12,9931,9931,9081,9301,199149,-0.06794267962721712
2022-05-13,9310,9491,9214,9454,27568,0.016449844102784716
2022-05-16,9463,9740,9329,9645,18962,0.020203088639729305
2022-05-17,9644,10122,9530,10122,29457,0.04945567651632965
2022-05-18,10122,10122,9692,9931,27037,-0.018869788579332192
2022-05-19,9463,10026,9415,9692,33025,-0.02406605578491594
2022-05-20,9596,9740,9510,9549,20278,-0.01475443664878251
2022-05-23,9549,9644,9262,9454,28029,-0.00994868572625407
2022-05-24,9415,9520,9119,9119,24523,-0.035434736619420315
2022-05-25,9119,9224,8937,9033,13372,-0.009430858646781393
2022-05-26,9071,9339,8899,9043,15898,0.0011070519207350138
2022-05-27,9023,9348,9023,9081,5599,0.004202145305761462
2022-05-30,9119,9367,9042,9320,8465,0.026318687369232485
2022-05-31,9348,9424,9319,9425,10175,0.011266094420600892
2022-06-02,9424,10122,9310,9883,48133,0.048594164456233324
2022-06-03,9883,10074,9596,9692,26523,-0.019326115551957956
2022-06-07,9644,9740,9453,9549,16435,-0.01475443664878251
2022-06-08,9539,9835,9539,9597,14193,0.005026704366949408
2022-06-09,9596,9740,9358,9645,10524,0.005001562988433905
2022-06-10,9549,9835,9176,9492,19568,-0.01586314152410573
2022-06-13,9491,9596,9195,9444,16332,-0.005056890012642201
