Date,Open,High,Low,Close,Volume,Change
2025-05-22,118000,123300,104600,110100,7190988,
2025-05-23,113600,122000,111100,120500,1678716,0.09445958219800188
2025-05-26,127500,146600,126100,141500,2025875,0.17427385892116187
2025-05-27,137100,148800,135600,144300,1185386,0.01978798586572439
2025-05-28,145300,145500,131800,136100,596602,-0.05682605682605679
2025-05-29,134400,145300,132900,136400,656427,0.0022042615723731895
2025-05-30,140900,153000,134000,150000,1279342,0.0997067448680351
2025-06-02,148600,153900,145100,152000,586570,0.01333333333333342
2025-06-04,149000,149300,144700,145200,328408,-0.044736842105263186
2025-06-05,147700,147800,138100,140100,391209,-0.03512396694214881
2025-06-09,138000,145700,135000,144900,499865,0.03426124197002145
2025-06-10,144200,146900,139400,140700,259280,-0.02898550724637683
2025-06-11,141500,152500,137100,147500,533713,0.04832977967306329
2025-06-12,148100,168400,144800,164600,1040195,0.11593220338983046
2025-06-13,162600,168800,155500,165300,417367,0.004252733900364625
2025-06-16,162000,167100,158700,162600,236906,-0.016333938294010864
2025-06-17,163200,166000,157300,157400,207250,-0.03198031980319804
2025-06-18,156100,176000,154700,175000,436205,0.11181702668360871
2025-06-19,173000,184000,170100,175000,340824,0.0
2025-06-20,174200,181800,171700,172500,251274,-0.014285714285714235
2025-06-23,171900,186800,167000,183200,814599,0.06202898550724645
2025-06-24,184900,193800,181600,190200,368416,0.03820960698689957
2025-06-25,191000,194500,186000,187000,252694,-0.01682439537329128
2025-06-26,187900,190000,181500,185000,189477,-0.010695187165775444
2025-06-27,186300,191100,183000,185000,182428,0.0
2025-06-30,188000,198300,187200,196900,390973,0.06432432432432433
2025-07-01,196400,198400,189200,192500,230001,-0.022346368715083775
2025-07-02,193400,194900,181900,185900,237529,-0.03428571428571425
2025-07-03,184700,188500,181000,185600,162311,-0.0016137708445400634
2025-07-04,185100,188100,175900,176900,243904,-0.046875
2025-07-07,176400,196000,176100,195100,447507,0.10288298473713953
2025-07-08,200000,219500,199300,213500,686016,0.09431060994361862
2025-07-09,213000,230000,212500,223500,410255,0.04683840749414525
2025-07-10,224500,234500,217000,228500,399411,0.02237136465324374
2025-07-11,225500,232500,221500,230000,212388,0.006564551422319376
2025-07-14,236500,241000,229500,238000,236332,0.034782608695652195
2025-07-15,238500,240000,231500,233500,201958,-0.018907563025210128
2025-07-16,237000,240500,208500,212000,727861,-0.09207708779443258
2025-07-17,213500,219500,209000,216500,252879,0.021226415094339535
2025-07-18,214000,217500,203000,211000,283588,-0.025404157043879882
2025-07-21,209000,213000,207000,211000,112032,0.0
2025-07-22,217500,219000,202000,207500,201589,-0.016587677725118488
2025-07-23,206000,213000,203000,210000,133614,0.012048192771084265
2025-07-24,210000,210000,200000,204500,182020,-0.02619047619047621
2025-07-25,203000,205500,199200,204500,122667,0.0
2025-07-28,203000,203500,196500,200500,112447,-0.019559902200488977
2025-07-29,198600,207000,195600,204500,162037,0.01995012468827939
2025-07-30,203500,206000,200500,202000,93588,-0.012224938875305624
2025-07-31,203500,209500,199900,201500,140943,-0.0024752475247524774
