Date,Open,High,Low,Close,Volume,Change
2015-01-02,61600,61600,60300,60400,4187,-0.021069692058346856
2015-01-05,60300,63900,58500,63800,11435,0.056291390728476776
2015-01-06,63900,63900,61600,62100,4166,-0.026645768025078342
2015-01-07,61900,63200,61100,61300,4278,-0.012882447665056307
2015-01-08,61300,62300,60400,60800,2943,-0.00815660685154973
2015-01-09,61000,61400,60000,60900,3857,0.00164473684210531
2015-01-12,62500,62700,61100,62400,5514,0.024630541871921263
2015-01-13,61700,62500,61500,62400,2809,0.0
2015-01-14,62400,62700,61100,61100,4437,-0.02083333333333337
2015-01-15,60200,61000,59600,60300,7803,-0.013093289689034338
2015-01-16,59900,60300,58400,58600,7457,-0.028192371475953548
2015-01-19,58500,59500,58000,58800,2955,0.0034129692832765013
2015-01-20,58500,59900,58200,59600,5687,0.013605442176870763
2015-01-21,59700,60300,59100,59600,4825,0.0
2015-01-22,60100,60100,58000,58200,8542,-0.023489932885906062
2015-01-23,58700,59800,58400,58500,10850,0.005154639175257714
2015-01-26,58300,62800,58200,62000,25290,0.05982905982905984
2015-01-27,62400,71000,62100,70000,45086,0.12903225806451624
2015-01-28,70000,70500,68100,69200,18825,-0.011428571428571455
2015-01-29,68600,69400,67900,69200,10156,0.0
2015-01-30,69200,69900,67400,68000,10224,-0.017341040462427793
2015-02-02,68500,69000,65900,66100,7052,-0.027941176470588247
2015-02-03,66300,67500,65100,66500,5769,0.00605143721633894
2015-02-04,65600,67800,65600,66500,5812,0.0
2015-02-05,66500,67100,64800,65600,7676,-0.013533834586466176
2015-02-06,66300,67200,64500,64700,7457,-0.013719512195121908
2015-02-09,64700,67600,64300,67400,7479,0.04173106646058722
2015-02-10,66500,66500,63600,63800,21160,-0.053412462908011826
2015-02-11,63900,65900,63900,64500,8591,0.01097178683385569
2015-02-12,64600,65600,63800,65200,7687,0.010852713178294504
2015-02-13,65200,70500,65100,70000,20762,0.07361963190184051
2015-02-16,70100,71000,68800,69900,12543,-0.0014285714285714457
2015-02-17,69900,70400,69100,70100,7168,0.0028612303290413976
2015-02-23,70100,70500,69100,69700,6117,-0.005706134094151216
2015-02-24,69700,70600,68700,69800,10344,0.0014347202295552641
2015-02-25,70100,73000,68800,68800,12986,-0.014326647564469885
2015-02-26,69000,70000,67000,67100,9320,-0.02470930232558144
2015-02-27,67100,67200,65500,66100,10829,-0.014903129657228065
2015-03-02,66300,69600,65200,68800,9963,0.0408472012102874
2015-03-03,70000,70800,69500,70800,15997,0.029069767441860517
2015-03-04,71000,71700,70300,71500,12371,0.009887005649717562
2015-03-05,71500,71900,70800,71800,8314,0.00419580419580412
2015-03-06,71800,71800,70800,71600,5452,-0.0027855153203342198
2015-03-09,71900,71900,69300,69300,3475,-0.03212290502793291
2015-03-10,69500,70000,67000,68200,5676,-0.015873015873015928
2015-03-11,67700,68800,67200,68000,2073,-0.0029325513196480912
2015-03-12,66500,68000,66000,67000,7067,-0.014705882352941124
2015-03-13,67700,69100,66500,67300,7849,0.004477611940298498
2015-03-16,67300,68300,66200,68300,4787,0.014858841010401136
2015-03-17,69000,69000,67300,68300,7689,0.0
2015-03-18,68500,69000,66900,66900,5444,-0.020497803806734938
2015-03-19,67000,68200,66600,66900,7213,0.0
2015-03-20,67600,68500,67100,68200,6036,0.01943198804185342
2015-03-23,72400,78400,71900,78400,105312,0.14956011730205288
2015-03-24,79700,80400,74500,79600,101924,0.015306122448979664
2015-03-25,79200,82600,78000,80800,28154,0.015075376884422065
2015-03-26,79900,82500,79100,81300,15330,0.006188118811881083
2015-03-27,81300,86900,81200,83700,37137,0.029520295202952074
2015-03-30,84500,92000,84100,85100,42055,0.016726403823178027
2015-03-31,85400,88800,82900,86100,14718,0.011750881316098694
2015-04-01,86300,91100,84700,87900,28528,0.020905923344947785
2015-04-02,87900,90500,86500,88000,29877,0.0011376564277587597
2015-04-03,87900,88500,86000,86500,20318,-0.017045454545454586
2015-04-06,86600,87600,84200,84200,21405,-0.026589595375722586
2015-04-07,85300,85300,82900,83500,16437,-0.008313539192399078
2015-04-08,84600,89000,82500,87600,69636,0.049101796407185594
2015-04-09,88000,90600,83500,86000,56576,-0.0182648401826484
2015-04-10,86100,96700,85100,90000,63047,0.04651162790697683
