Date,Open,High,Low,Close,Volume,Change
2015-01-02,34642,34892,33890,33940,126456,-0.028703889190968113
2015-01-05,33689,34692,33088,34542,187710,0.01773718326458451
2015-01-06,33840,34391,33238,34091,193387,-0.013056568814776237
2015-01-07,34140,34792,34090,34592,133452,0.01469596081077107
2015-01-08,34792,36246,34792,35294,203121,0.02029370952821452
2015-01-09,35594,36497,35344,35695,348499,0.011361704539015083
2015-01-12,35494,35694,34541,35194,262179,-0.014035579212774874
2015-01-13,35093,35143,34090,34141,127192,-0.029919872705574835
2015-01-14,34140,34441,33840,33840,83574,-0.00881637913359301
2015-01-15,33840,34291,32135,34041,329652,0.005939716312056698
2015-01-16,33990,33990,32636,32637,173552,-0.041244381774918515
2015-01-19,32887,36898,32887,36297,530398,0.11214266017097163
2015-01-20,35895,36446,34291,34341,365404,-0.053888751136457524
2015-01-21,34341,34541,32987,33589,195120,-0.021898022771614123
2015-01-22,34341,35394,34190,34692,262658,0.03283813153115611
2015-01-23,35694,36045,33388,33690,278503,-0.028882739536492563
2015-01-26,33589,34842,33138,34542,184915,0.025289403383793374
2015-01-27,34842,35594,34842,35595,211759,0.030484627410109377
2015-01-28,35293,38803,35143,38101,608117,0.0704031465093411
2015-01-29,37600,39304,37148,38853,357518,0.019737014776515016
2015-01-30,39404,39505,37600,38703,228766,-0.003860705737008696
2015-02-02,39605,41009,38602,39204,493672,0.012944732966436723
2015-02-03,39856,39956,38452,38853,213999,-0.008953168044077087
2015-02-04,39805,40858,38001,38402,498768,-0.01160785524927288
2015-02-05,37950,38402,37148,37801,190297,-0.015650226550700475
2015-02-06,38151,38352,37499,38101,148247,0.007936297981534945
2015-02-09,37600,39655,37449,39054,237742,0.02501246686438674
2015-02-10,39304,40407,37850,38151,256848,-0.02312183131049317
2015-02-11,38502,39354,38151,39305,202297,0.030248224161883108
2015-02-12,39354,39856,38001,39054,218770,-0.006385955985243608
2015-02-13,39805,40006,37549,37700,346084,-0.034669944179853585
2015-02-16,37850,37950,36998,37049,181282,-0.017267904509283838
2015-02-17,36998,37399,36045,36397,201425,-0.017598315744014714
2015-02-23,36797,36898,35694,36096,200323,-0.008269912355413855
2015-02-24,35845,36096,34892,35043,254910,-0.029172207446808485
2015-02-25,35093,36697,35093,36397,291918,0.038638244442541936
2015-02-26,36797,38502,36246,38502,359601,0.05783443690414036
2015-02-27,38301,39003,38001,38553,187050,0.0013246065139473906
2015-03-02,38702,41359,38251,41059,403135,0.06500142660752739
2015-03-03,41159,41861,40206,41059,299679,0.0
2015-03-04,41209,43164,40908,41210,498256,0.003677634623346915
