Date,Open,High,Low,Close,Volume,Change
2015-01-02,9629,9922,9492,9874,1224237,0.02747138397502602
2015-01-05,9824,9824,9433,9551,2146205,-0.03271217338464649
2015-01-06,9433,9600,9384,9551,1256639,0.0
2015-01-07,9570,9619,9502,9541,765674,-0.0010470107842110998
2015-01-08,9600,9697,9560,9688,978133,0.015407190022010298
2015-01-09,9824,9971,9766,9825,1734469,0.014141205615194163
2015-01-12,9756,9824,9580,9600,1652216,-0.022900763358778664
2015-01-13,9648,9717,9453,9532,2028509,-0.00708333333333333
2015-01-14,9609,9824,9541,9825,1657849,0.030738564834242643
2015-01-15,9746,9824,9551,9610,1593507,-0.02188295165394405
2015-01-16,9580,9580,9296,9375,1533783,-0.024453694068678478
2015-01-19,9453,9590,9433,9444,926000,0.007360000000000033
2015-01-20,9472,9531,9394,9444,873393,0.0
2015-01-21,9453,9521,9199,9238,1306723,-0.021812791190173653
2015-01-22,9267,9326,9062,9189,2436552,-0.005304178393591652
2015-01-23,9443,9600,9404,9571,2557920,0.041571444117967093
2015-01-26,9551,9824,9472,9610,1972294,0.004074809319820183
2015-01-27,9727,9873,9609,9668,1688888,0.006035379812695085
2015-01-28,9590,9873,9580,9825,1437961,0.016239139429044203
2015-01-29,9824,9922,9678,9874,1466724,0.004987277353689645
2015-01-30,10020,10215,9824,9874,2376599,0.0
2015-02-02,9873,10020,9775,9874,1100115,0.0
2015-02-03,10020,10020,9775,9971,1654060,0.009823779623252982
2015-02-04,10118,10167,9971,10069,1586285,0.009828502657707405
2015-02-05,10069,10215,9971,10167,1699401,0.009732843380673373
2015-02-06,10313,10313,10118,10118,1210813,-0.004819514114291379
2015-02-09,10118,10215,10020,10167,1221567,0.004842854319035306
2015-02-10,10118,10167,9922,9923,948002,-0.023999213140552755
2015-02-11,9971,10020,9873,9874,1116434,-0.004938022775370365
2015-02-12,9922,9922,9727,9825,1244508,-0.004962527850921661
2015-02-13,9873,10020,9824,9923,1061120,0.009974554707379069
2015-02-16,9922,10118,9873,10069,762672,0.014713292351103524
2015-02-17,9971,10118,9971,10020,656053,-0.004866421690336686
2015-02-23,10167,10215,9922,9971,1352564,-0.004890219560878206
2015-02-24,9971,10020,9824,9874,1489389,-0.009728211814261312
2015-02-25,9971,10313,9922,10314,2314645,0.044561474579704274
2015-02-26,10362,10411,10167,10411,1312881,0.009404692650766044
2015-02-27,10411,10704,10362,10411,2046934,0.0
2015-03-02,10558,10851,10460,10754,2759938,0.032945922581884446
2015-03-03,10851,10900,10704,10705,1740737,-0.004556444113818059
2015-03-04,10704,10802,10509,10607,1443826,-0.009154600653900058
2015-03-05,10606,10753,10460,10607,946736,0.0
2015-03-06,10704,11242,10704,11193,3065643,0.055246535306872735
2015-03-09,11046,11144,10851,10900,1853048,-0.026177074957562718
2015-03-10,10997,10997,10606,10705,1627324,-0.01788990825688075
2015-03-11,10460,10655,10460,10509,2157485,-0.018309201307800116
2015-03-12,10558,10900,10509,10509,3313768,0.0
2015-03-13,10704,10753,10411,10411,1340798,-0.009325340184603625
2015-03-16,10460,10509,10215,10363,983909,-0.0046105081164152795
2015-03-17,10558,11242,10509,11145,4386321,0.07546077390716976
2015-03-18,11291,11633,11193,11389,5473623,0.021893225661731686
2015-03-19,11731,11780,11389,11487,4195862,0.008604794099569713
2015-03-20,11535,11682,11389,11536,1711893,0.004265691651432091
2015-03-23,11780,12171,11535,12024,5578207,0.0423023578363384
2015-03-24,11926,12122,11828,12024,2275764,0.0
2015-03-25,11926,12513,11877,12171,3547023,0.012225548902195627
2015-03-26,11975,12268,11877,12024,2299059,-0.012077890066551689
2015-03-27,12122,12171,11828,12024,1960148,0.0
2015-03-30,12122,12708,12024,12660,3601190,0.05289421157684626
2015-03-31,12855,13197,12562,12660,4971499,0.0
