Date,Open,High,Low,Close,Volume,Change
2018-07-13,59800,59800,47050,55600,1497451,
2018-07-16,55300,58400,52500,55500,745751,-0.0017985611510791255
2018-07-17,54000,65300,53100,60900,803024,0.09729729729729719
2018-07-18,60600,66200,60500,61600,662837,0.011494252873563315
2018-07-19,62400,63100,58500,61700,329582,0.0016233766233766378
2018-07-20,60600,61600,57000,59900,260702,-0.02917341977309562
2018-07-23,60400,60400,54600,55300,195014,-0.07679465776293826
2018-07-24,55000,60300,55000,57700,193416,0.0433996383363473
2018-07-25,58200,58900,55700,56100,138363,-0.02772963604852685
2018-07-26,56500,57100,55800,56100,91464,0.0
2018-07-27,56300,59400,55400,57300,92347,0.021390374331550888
2018-07-30,58200,58600,57000,58000,108242,0.01221640488656206
2018-07-31,54000,55000,52100,52900,373912,-0.08793103448275863
2018-08-01,53400,53400,50800,50800,192356,-0.03969754253308133
2018-08-02,51000,52100,50300,50400,82121,-0.007874015748031482
2018-08-03,50500,52100,50200,51600,64625,0.023809523809523725
2018-08-06,52000,52400,51300,51900,37525,0.005813953488372103
2018-08-07,51600,51900,50500,51000,64058,-0.017341040462427793
2018-08-08,50800,51900,50800,51400,44236,0.007843137254901933
2018-08-09,51400,52000,49850,51300,97178,-0.0019455252918287869
2018-08-10,51500,51800,49350,49350,85719,-0.03801169590643272
2018-08-13,48600,49200,47150,47600,66200,-0.03546099290780147
2018-08-14,47500,48100,46950,47100,51834,-0.010504201680672232
2018-08-16,47100,47200,45100,45200,73381,-0.04033970276008492
2018-08-17,45400,45700,43850,44250,136075,-0.021017699115044253
2018-08-20,44350,45300,44000,44550,45372,0.006779661016949046
2018-08-21,44300,48600,44200,48150,160497,0.08080808080808088
2018-08-22,48100,48450,46800,47050,76288,-0.022845275181723745
2018-08-23,47300,47600,45000,45200,81328,-0.03931987247608926
2018-08-24,44950,48550,44950,47900,81373,0.05973451327433632
2018-08-27,48250,48250,46850,47800,35040,-0.0020876826722338038
2018-08-28,47350,49300,47250,49150,87336,0.028242677824267703
2018-08-29,48500,51700,48500,51000,71813,0.03763987792472023
2018-08-30,51500,58200,51000,57600,493831,0.12941176470588234
2018-08-31,57200,59200,55500,59200,130474,0.02777777777777768
2018-09-03,59000,59800,56400,57700,72006,-0.02533783783783783
2018-09-04,57700,58200,55300,56000,103737,-0.029462738301559765
2018-09-05,56000,58700,55900,56200,97433,0.0035714285714285587
2018-09-06,58300,60500,56700,59600,160864,0.06049822064056931
