Date,Open,High,Low,Close,Volume,Change
2015-01-02,39100,40200,39050,40150,12421,0.016455696202531733
2015-01-05,39650,39650,38100,38650,25192,-0.03735990037359904
2015-01-06,38800,38850,37550,37800,14525,-0.021992238033635148
2015-01-07,37800,38300,36800,37300,23383,-0.013227513227513255
2015-01-08,36650,37850,36650,37350,14567,0.0013404825737264314
2015-01-09,37400,38650,37400,38550,18049,0.032128514056224855
2015-01-12,38550,39850,38550,39550,27936,0.025940337224383825
2015-01-13,39350,39900,38900,39700,12967,0.0037926675094817064
2015-01-14,39500,39950,39200,39750,22684,0.0012594458438286438
2015-01-15,39500,40300,38300,40300,23774,0.01383647798742138
2015-01-16,39900,40300,39350,39900,15077,-0.00992555831265507
2015-01-19,39900,40250,39600,40000,13732,0.0025062656641603454
2015-01-20,39750,40200,39600,40050,13432,0.0012499999999999734
2015-01-21,40100,40200,39500,39550,14035,-0.012484394506866447
2015-01-22,39650,39900,38650,39150,15705,-0.010113780025284402
2015-01-23,38700,39600,38400,38600,12123,-0.01404853128991057
2015-01-26,38600,39350,38200,39200,11705,0.015544041450777257
2015-01-27,39100,39300,38350,38750,14257,-0.011479591836734748
2015-01-28,39100,39100,38550,38900,13479,0.003870967741935516
2015-01-29,38900,39800,38700,39450,26492,0.014138817480719768
2015-01-30,39300,41300,39250,40600,26333,0.0291508238276299
2015-02-02,41500,41500,39550,40200,11890,-0.009852216748768461
2015-02-03,40150,40450,39500,39700,13637,-0.01243781094527363
2015-02-04,39550,40500,39500,40500,15487,0.02015113350125941
2015-02-05,40500,40750,39450,39600,18882,-0.022222222222222254
2015-02-06,39500,40000,39300,39850,11676,0.0063131313131312705
2015-02-09,39550,40600,39550,40250,19684,0.010037641154328814
2015-02-10,40300,40350,39000,40300,12625,0.001242236024844745
2015-02-11,40300,40300,39650,40200,7124,-0.002481389578163795
2015-02-12,40500,40600,40000,40200,10659,0.0
2015-02-13,40000,40450,39200,40300,9966,0.0024875621890547706
2015-02-16,40300,40600,39950,40600,7507,0.007444168734491274
2015-02-17,40650,40700,40100,40600,9819,0.0
2015-02-23,40700,41000,40550,40650,34285,0.0012315270935960854
2015-02-24,40250,41000,40250,40600,19154,-0.0012300123001229846
2015-02-25,41200,41200,40450,40600,24775,0.0
