Date,Open,High,Low,Close,Volume,Change
2015-01-02,40850,41400,40800,41150,15670,-0.020238095238095277
2015-01-05,40550,41150,39700,40500,40285,-0.015795868772782495
2015-01-06,39800,40750,39200,40550,45175,0.0012345679012346622
2015-01-07,39850,40500,39400,40100,18251,-0.011097410604192337
2015-01-08,39650,40450,39550,40000,25066,-0.0024937655860348684
2015-01-09,40100,43800,40000,43050,59135,0.07624999999999993
2015-01-12,42750,43500,42000,43500,34756,0.010452961672473782
2015-01-13,43800,44400,43000,44000,23625,0.011494252873563315
2015-01-14,43500,44250,42950,43250,18428,-0.017045454545454586
2015-01-15,42600,44600,42600,44600,28528,0.03121387283236987
2015-01-16,44600,44750,43300,43550,17945,-0.023542600896861
2015-01-19,44350,44350,43300,43950,16718,0.009184845005740572
2015-01-20,43150,44500,43150,44000,20311,0.0011376564277587597
2015-01-21,44800,44850,43550,43650,157093,-0.007954545454545436
2015-01-22,44100,44100,42600,43200,30565,-0.010309278350515427
2015-01-23,43200,44150,43000,44150,37244,0.0219907407407407
2015-01-26,44750,44750,43250,44050,17488,-0.0022650056625141968
2015-01-27,44500,44500,43250,43750,15244,-0.006810442678774176
2015-01-28,43750,43750,42900,43450,19382,-0.006857142857142895
2015-01-29,42900,43750,41900,43750,57587,0.0069044879171460405
2015-01-30,44450,44600,43150,44450,25930,0.016000000000000014
2015-02-02,43650,44500,43550,44050,13997,-0.008998875140607376
2015-02-03,43750,44400,43150,44200,17210,0.0034052213393871433
2015-02-04,43900,44050,43400,43750,13940,-0.010180995475113086
2015-02-05,43050,44000,43050,43800,10120,0.0011428571428571122
2015-02-06,43250,44000,43100,43500,13045,-0.006849315068493178
2015-02-09,43200,43750,43100,43100,11525,-0.00919540229885063
2015-02-10,43250,43250,41150,42050,27338,-0.02436194895591648
2015-02-11,42100,43000,41500,42450,32086,0.009512485136742077
2015-02-12,43650,43800,42150,42850,21832,0.009422850412249772
2015-02-13,42350,43700,42350,43500,29058,0.015169194865811031
2015-02-16,42700,45400,42700,45000,41789,0.034482758620689724
2015-02-17,45700,45700,44000,44500,26102,-0.011111111111111072
2015-02-23,44950,45500,44100,45200,25033,0.01573033707865168
2015-02-24,44300,47250,44250,47100,57548,0.042035398230088505
2015-02-25,47700,50700,46850,48400,50093,0.027600849256900206
2015-02-26,49000,49900,48150,49400,59822,0.02066115702479343
2015-02-27,48450,49450,48050,48600,37870,-0.01619433198380571
2015-03-02,48000,49900,47950,49000,38986,0.008230452674897082
2015-03-03,48050,50800,48050,48850,40588,-0.003061224489795955
2015-03-04,49000,49850,47800,48400,49482,-0.0092118730808598
2015-03-05,47600,49800,47600,49300,35830,0.018595041322314154
2015-03-06,48550,50600,48550,49950,61249,0.013184584178498993
2015-03-09,49450,50800,49350,49900,29360,-0.0010010010010009784
2015-03-10,49900,50800,48550,50100,45465,0.004008016032064132
2015-03-11,50000,50500,48700,50100,36801,0.0
2015-03-12,49750,50700,49550,49550,61521,-0.010978043912175606
2015-03-13,49150,51400,49150,50800,33654,0.025227043390514625
2015-03-16,51300,52500,50400,51700,42459,0.017716535433070835
2015-03-17,52300,52900,51500,52200,49226,0.009671179883945946
2015-03-18,53000,53000,51300,52100,33507,-0.0019157088122605526
2015-03-19,52100,53300,51300,53000,339179,0.017274472168905985
2015-03-20,51000,51100,50100,50800,81771,-0.04150943396226414
2015-03-23,50900,50900,50000,50200,30628,-0.011811023622047223
2015-03-24,50500,52700,50400,52700,128610,0.04980079681274896
2015-03-25,52800,52900,52100,52700,37330,0.0
2015-03-26,53000,54100,52200,52900,61901,0.00379506641366234
2015-03-27,53000,53400,51000,52500,37716,-0.007561436672967825
2015-03-30,52700,53300,51700,53200,37189,0.01333333333333342
2015-03-31,52700,56200,52700,54900,141834,0.03195488721804507
2015-04-01,54900,55400,54100,55200,86871,0.005464480874316946
2015-04-02,55300,56000,54600,56000,85648,0.01449275362318847
2015-04-03,56000,56400,54200,56000,31527,0.0
2015-04-06,56200,56300,54400,56300,56822,0.005357142857142838
2015-04-07,55000,55000,53000,53500,1172302,-0.04973357015985791
2015-04-08,54100,54100,53200,53400,84356,-0.0018691588785046953
2015-04-09,53100,54100,53100,53800,80613,0.0074906367041198685
2015-04-10,53400,54100,52200,52700,94466,-0.020446096654275103
2015-04-13,52300,53300,51700,53100,104919,0.007590132827324458
2015-04-14,52400,52900,50200,52100,128868,-0.01883239171374762
2015-04-15,52000,52400,50700,52300,102224,0.0038387715930903177
2015-04-16,53000,53900,52400,53600,149898,0.0248565965583174
2015-04-17,53700,54800,53600,54600,79207,0.018656716417910557
2015-04-20,54400,54900,53900,54300,77448,-0.005494505494505475
2015-04-21,54700,54700,52400,54100,61082,-0.0036832412523020164
2015-04-22,54100,56000,53700,55200,148155,0.020332717190388205
2015-04-23,55300,55600,53600,54400,56726,-0.01449275362318836
2015-04-24,58000,60800,55600,57200,373231,0.05147058823529416
2015-04-27,58000,63400,57200,61800,299143,0.08041958041958042
2015-04-28,62800,69000,61700,65100,308840,0.05339805825242716
2015-04-29,65100,66200,63700,65200,77815,0.001536098310291889
2015-04-30,65500,65700,62800,63400,70133,-0.027607361963190136
2015-05-04,64000,64700,62100,64300,29200,0.014195583596214423
2015-05-06,64300,64300,61000,61500,62501,-0.043545878693623585
2015-05-07,60800,62200,59500,61300,93225,-0.003252032520325243
2015-05-08,60500,62100,59900,61500,60612,0.0032626427406199365
2015-05-11,61500,64900,61500,64200,57887,0.04390243902439028
2015-05-12,64000,64900,62700,64000,42726,-0.0031152647975077885
2015-05-13,64300,65300,63900,64500,33331,0.0078125
2015-05-14,64500,64500,62900,64200,25423,-0.0046511627906976605
2015-05-15,64200,64600,63400,63400,45929,-0.012461059190031154
2015-05-18,64300,65300,63500,64400,58390,0.01577287066246047
2015-05-19,63500,65000,63500,64200,29115,-0.0031055900621117516
2015-05-20,62200,65100,62200,63300,42389,-0.014018691588784993
2015-05-21,63500,65600,63400,65300,62502,0.03159557661927326
2015-05-22,65800,66000,64200,65100,58257,-0.003062787136294043
2015-05-26,64300,66400,63900,64400,77904,-0.010752688172043001
2015-05-27,63500,65100,62500,65100,60664,0.010869565217391353
2015-05-28,65200,65500,63700,64900,43307,-0.003072196620583667
2015-05-29,64100,65700,64100,65700,53452,0.012326656394453073
2015-06-01,65600,68700,64800,64800,80227,-0.013698630136986356
2015-06-02,64600,64900,62000,63900,88157,-0.01388888888888884
2015-06-03,62900,65100,62900,63400,22503,-0.007824726134585291
2015-06-04,63000,65500,62800,63800,79215,0.006309148264984188
2015-06-05,64300,65500,63300,64000,40981,0.0031347962382444194
2015-06-08,64000,64800,63200,63600,26031,-0.006249999999999978
2015-06-09,63500,64800,63300,64800,27187,0.018867924528301883
2015-06-10,65800,66700,62700,63300,43426,-0.02314814814814814
2015-06-11,63600,65900,63400,63400,97074,0.0015797788309637184
2015-06-12,64700,65200,63600,64800,39790,0.02208201892744488
2015-06-15,64800,65300,63500,64400,17846,-0.006172839506172867
2015-06-16,65600,65600,63200,63400,36377,-0.01552795031055898
2015-06-17,64500,64500,62600,62800,33527,-0.009463722397476393
2015-06-18,62800,68000,62100,67000,81940,0.06687898089171984
2015-06-19,67000,67700,64800,66200,37745,-0.011940298507462699
2015-06-22,66000,69200,66000,66900,63520,0.010574018126888296
2015-06-23,66900,69400,65400,68100,78487,0.017937219730941756
2015-06-24,68100,68800,65600,66300,66209,-0.026431718061673992
2015-06-25,66200,66900,64500,66300,47141,0.0
2015-06-26,66300,66300,64800,65000,40083,-0.019607843137254943
2015-06-29,64900,65200,63200,64600,34394,-0.006153846153846176
2015-06-30,64500,66700,63400,66500,49815,0.02941176470588225
2015-07-01,66700,67400,65100,66700,45236,0.003007518796992459
2015-07-02,65600,68300,65600,66400,67734,-0.004497751124437732
2015-07-03,66000,67300,64800,65800,61511,-0.009036144578313254
2015-07-06,64800,66100,62500,64600,67233,-0.018237082066869248
2015-07-07,65200,65900,63300,65500,49495,0.01393188854489158
2015-07-08,65000,65200,61100,61700,223787,-0.05801526717557248
2015-07-09,62000,62500,57100,59800,109979,-0.030794165316045397
2015-07-10,59800,61100,58100,61100,74815,0.021739130434782705
2015-07-13,59300,62100,59300,61500,40908,0.00654664484451728
2015-07-14,60800,63500,60300,62600,45441,0.01788617886178856
2015-07-15,63500,63700,62400,63000,33345,0.006389776357827559
2015-07-16,63700,63700,60600,61100,48636,-0.030158730158730163
2015-07-17,61000,64000,61000,62800,58896,0.02782324058919805
2015-07-20,64000,65300,63300,63800,37097,0.015923566878981
2015-07-21,64100,64500,63100,64400,28897,0.00940438871473348
2015-07-22,64400,64500,62900,63600,42895,-0.012422360248447228
2015-07-23,63200,65200,62300,64200,37553,0.009433962264151052
2015-07-24,64500,65500,63500,64200,37586,0.0
2015-07-27,64300,65300,63500,65000,28310,0.012461059190031154
2015-07-28,64800,65400,62400,64600,197393,-0.006153846153846176
2015-07-29,64900,65500,63700,63800,39981,-0.012383900928792602
2015-07-30,64200,64900,63100,63800,23253,0.0
2015-07-31,63500,64300,60500,63600,58127,-0.0031347962382445305
2015-08-03,63700,67500,63700,65000,76671,0.022012578616352307
2015-08-04,66500,67500,61700,64800,130109,-0.003076923076923088
2015-08-05,64200,67800,63500,66600,98866,0.02777777777777768
2015-08-06,67100,69300,65600,66200,95238,-0.006006006006005982
2015-08-07,66200,66800,64800,65500,33163,-0.010574018126888185
2015-08-10,65600,66800,65000,66400,25663,0.013740458015267132
2015-08-11,66800,67000,65000,65500,31955,-0.013554216867469826
2015-08-12,64800,66300,63500,65500,50882,0.0
2015-08-13,65500,67000,63600,66400,33536,0.013740458015267132
2015-08-17,67600,68000,65600,67200,37207,0.012048192771084265
2015-08-18,67200,69300,66100,67200,40731,0.0
2015-08-19,67400,68700,66600,68000,41694,0.011904761904761862
2015-08-20,68800,69000,67300,68100,40375,0.0014705882352941124
2015-08-21,67000,68100,62100,64300,83498,-0.05580029368575623
2015-08-24,64300,64700,59500,62800,80056,-0.023328149300155476
2015-08-25,63900,63900,60400,60800,59505,-0.031847133757961776
2015-08-26,60800,66800,60500,65500,77177,0.07730263157894735
2015-08-27,65300,66400,63600,65300,56599,-0.003053435114503844
2015-08-28,64600,65300,63900,64600,41984,-0.01071975497702915
2015-08-31,64000,65500,64000,64700,22759,0.001547987616099089
2015-09-01,63500,64500,62500,62700,28297,-0.03091190108191655
2015-09-02,62000,66300,62000,65200,45687,0.03987240829346095
2015-09-03,65200,65700,64500,64600,20978,-0.009202453987730008
2015-09-04,63200,64700,62800,63800,26511,-0.012383900928792602
2015-09-07,63500,65300,63100,64100,20684,0.004702194357366851
2015-09-08,64200,66000,63900,65900,27717,0.02808112324492984
2015-09-09,66000,66800,64500,66800,57795,0.01365705614567525
2015-09-10,65700,68300,65700,68300,53838,0.022455089820359264
2015-09-11,67700,68800,67300,67900,42175,-0.005856515373352855
2015-09-14,68700,68700,66200,66300,15222,-0.02356406480117823
2015-09-15,66000,67700,65700,65900,20246,-0.006033182503770718
2015-09-16,66800,67500,65100,65900,20481,0.0
2015-09-17,66900,66900,63600,63800,77783,-0.03186646433990892
2015-09-18,64400,65200,62700,64000,42368,0.0031347962382444194
2015-09-21,63800,63800,61900,63100,46733,-0.014062499999999978
2015-09-22,63700,63900,62500,63200,24104,0.0015847860538826808
2015-09-23,62500,64200,62200,62300,40466,-0.014240506329113889
2015-09-24,62100,64600,62100,64100,53935,0.028892455858748
2015-09-25,65600,66100,64500,65000,99568,0.014040561622464809
2015-09-30,65200,66700,63800,66400,110248,0.021538461538461506
2015-10-01,65200,70000,65200,70000,106372,0.054216867469879526
2015-10-02,70500,73300,68200,69500,106845,-0.0071428571428571175
2015-10-05,70400,70400,67700,69600,40494,0.0014388489208632116
2015-10-06,69600,69800,66800,68300,48098,-0.01867816091954022
2015-10-07,67500,68900,66400,66600,29186,-0.024890190336749662
2015-10-08,67300,67600,65100,67300,46463,0.010510510510510551
2015-10-12,67400,67500,65300,66300,55183,-0.014858841010401136
2015-10-13,65100,65800,64600,65200,28290,-0.016591251885369585
2015-10-14,64800,65200,63500,64500,42490,-0.010736196319018454
2015-10-15,64800,66100,64300,65800,50211,0.020155038759689825
2015-10-16,65200,66400,64800,65900,38052,0.001519756838905817
2015-10-19,65900,66100,65100,65500,28599,-0.006069802731411222
