Date,Open,High,Low,Close,Volume,Change
2015-01-02,59000,59500,58700,58800,281751,-0.005076142131979711
2015-01-05,58500,58900,57500,58400,379003,-0.006802721088435382
2015-01-06,58100,60500,57700,60100,799629,0.02910958904109595
2015-01-07,59500,60600,59300,60000,703542,-0.0016638935108153063
2015-01-08,60300,63000,60300,62200,1404924,0.036666666666666625
2015-01-09,62600,63500,61600,61700,790827,-0.008038585209003246
2015-01-12,61800,62500,61500,62100,345689,0.006482982171799101
2015-01-13,62300,62500,61200,61500,480779,-0.009661835748792313
2015-01-14,61800,63300,61600,62100,747541,0.009756097560975618
2015-01-15,62100,62100,60100,60900,831693,-0.019323671497584516
2015-01-16,61000,61400,60200,60800,476325,-0.0016420361247947435
2015-01-19,60900,61800,60200,60800,517492,0.0
2015-01-20,60800,61400,60300,60500,367894,-0.004934210526315819
2015-01-21,60500,60800,59600,60000,717043,-0.008264462809917328
2015-01-22,60300,61900,60300,61800,694654,0.030000000000000027
2015-01-23,62500,62800,61400,62000,500255,0.003236245954692629
2015-01-26,61500,63000,61300,62800,572275,0.012903225806451646
2015-01-27,62700,64300,62500,64300,998456,0.023885350318471277
2015-01-28,63500,64100,62900,63500,888227,-0.01244167962674958
2015-01-29,64100,64200,62100,62600,751274,-0.014173228346456734
2015-01-30,62600,62600,60600,60800,1283736,-0.028753993610223683
2015-02-02,60800,60900,60100,60500,710090,-0.004934210526315819
2015-02-03,60500,60800,60100,60300,649925,-0.0033057851239669533
2015-02-04,60800,61500,60500,61300,785858,0.016583747927031434
2015-02-05,61200,61200,60300,60600,523922,-0.011419249592169667
2015-02-06,60500,60800,60000,60300,586993,-0.004950495049504955
2015-02-09,60100,60800,60000,60100,476922,-0.0033167495854062867
2015-02-10,60100,60600,59100,59300,775822,-0.01331114808652245
2015-02-11,59600,60500,59200,60000,462284,0.01180438448566612
2015-02-12,60400,60700,59700,59900,579748,-0.0016666666666667052
2015-02-13,60000,60400,59400,60000,494931,0.0016694490818029983
2015-02-16,59700,60000,59300,59500,457237,-0.008333333333333304
2015-02-17,59500,60900,59500,60600,538704,0.018487394957983128
2015-02-23,61600,61600,60700,60900,437005,0.004950495049504955
2015-02-24,60800,61500,60800,61200,382170,0.0049261083743843415
2015-02-25,61300,61600,61000,61500,506278,0.004901960784313708
2015-02-26,61700,61800,61000,61100,504892,-0.006504065040650375
2015-02-27,61100,62400,61000,61800,793405,0.011456628477905184
2015-03-02,62400,62500,60300,60500,933592,-0.021035598705501646
2015-03-03,60800,61000,60300,60600,510094,0.0016528925619834212
2015-03-04,61000,61600,60800,60900,592121,0.004950495049504955
2015-03-05,60900,61200,60300,60600,353716,-0.0049261083743842304
2015-03-06,60700,61000,60300,60400,441051,-0.0033003300330033403
2015-03-09,60200,60500,59900,60100,522861,-0.004966887417218513
2015-03-10,60200,61200,60200,60200,442522,0.0016638935108153063
2015-03-11,59900,60500,59500,59900,641167,-0.004983388704318914
2015-03-12,59600,60400,59400,59700,797220,-0.0033388981636059967
2015-03-13,60100,60400,59400,59500,446593,-0.00335008375209378
2015-03-16,59400,59900,59400,59600,356844,0.001680672268907557
2015-03-17,59800,60500,59500,60200,621637,0.010067114093959662
2015-03-18,60100,60800,59900,60100,634019,-0.0016611295681062677
2015-03-19,60400,60500,60000,60100,683278,0.0
2015-03-20,60200,60500,59700,59800,521738,-0.004991680532445919
2015-03-23,59800,60000,59500,60000,475628,0.0033444816053511683
2015-03-24,60000,60500,59900,60400,437945,0.006666666666666599
2015-03-25,60400,60400,59500,59600,606380,-0.013245033112582738
2015-03-26,59400,60000,59300,59400,416868,-0.003355704697986628
2015-03-27,59500,59500,58500,58900,910118,-0.008417508417508435
2015-03-30,58900,59400,58600,58800,388349,-0.001697792869269965
2015-03-31,59200,59500,58900,58900,458148,0.001700680272108901
2015-04-01,59000,59100,58400,58600,446506,-0.005093378607809895
2015-04-02,58400,59000,57800,58000,764061,-0.010238907849829393
2015-04-03,58000,58400,57900,58000,399085,0.0
2015-04-06,58200,58700,57700,57700,569796,-0.005172413793103403
2015-04-07,58000,58500,57700,58200,434270,0.008665511265164572
2015-04-08,58300,58500,57500,57600,751007,-0.010309278350515427
2015-04-09,57900,59900,57900,59200,1022751,0.02777777777777768
2015-04-10,59200,59200,58500,59100,825376,-0.0016891891891891442
2015-04-13,59100,59900,58800,59400,875431,0.0050761421319796
2015-04-14,59600,59700,59100,59700,695084,0.005050505050504972
2015-04-15,60300,61400,60000,60000,1254594,0.005025125628140614
2015-04-16,60500,60600,59600,60300,667460,0.004999999999999893
2015-04-17,60400,60600,60000,60400,519795,0.0016583747927032544
2015-04-20,60000,60300,59600,59900,665515,-0.008278145695364225
2015-04-21,60300,60400,59300,59300,667362,-0.01001669449081799
2015-04-22,59400,59800,59000,59200,703104,-0.001686340640809414
2015-04-23,60000,62300,59700,61900,2620035,0.045608108108108114
2015-04-24,62700,63400,61900,62300,1684225,0.00646203554119551
2015-04-27,62400,62800,61200,61300,894630,-0.0160513643659711
2015-04-28,61400,61700,60500,61000,750171,-0.004893964110929905
2015-04-29,61400,61600,60000,61200,859215,0.003278688524590123
2015-04-30,60800,61400,60300,60400,590322,-0.013071895424836555
2015-05-04,60300,60700,59500,59700,677044,-0.011589403973509937
2015-05-06,59700,60000,58400,58800,931974,-0.015075376884422065
2015-05-07,58700,58700,57900,58500,588154,-0.005102040816326481
2015-05-08,58600,59000,58300,58400,496877,-0.0017094017094017033
2015-05-11,58600,59000,58400,58600,461363,0.003424657534246478
2015-05-12,58900,59100,58000,58100,721535,-0.008532423208191142
2015-05-13,58100,58400,57700,58000,488945,-0.0017211703958691649
2015-05-14,58000,58600,57800,58200,426615,0.0034482758620688614
2015-05-15,58400,58700,57800,57900,565126,-0.005154639175257714
2015-05-18,57900,58200,56900,57000,888252,-0.015544041450777257
2015-05-19,57200,57600,57100,57100,586560,0.0017543859649122862
2015-05-20,57300,57600,57100,57100,679745,0.0
2015-05-21,57200,57200,56100,56200,950210,-0.015761821366024553
2015-05-22,56200,56900,55900,56900,713560,0.01245551601423478
2015-05-26,56900,56900,56400,56500,491813,-0.007029876977152849
2015-05-27,56300,56500,55700,56100,741352,-0.0070796460176991705
2015-05-28,56400,56500,56000,56100,501994,0.0
2015-05-29,56000,56100,55300,55300,809294,-0.014260249554367221
2015-06-01,55000,56000,54500,55400,466304,0.001808318264014508
2015-06-02,55400,57200,55400,55400,727183,0.0
2015-06-03,55500,55900,54800,55000,632922,-0.0072202166064981865
2015-06-04,55000,55400,54500,55100,531209,0.0018181818181817189
2015-06-05,54800,55000,54000,54200,773255,-0.016333938294010864
2015-06-08,54200,54800,53500,53500,719882,-0.01291512915129156
2015-06-09,53300,53700,52700,53200,918999,-0.005607476635513975
2015-06-10,53300,53500,52700,52800,650822,-0.007518796992481258
2015-06-11,53400,53900,53000,53100,1037188,0.005681818181818121
2015-06-12,52900,53600,51500,51900,1068483,-0.02259887005649719
2015-06-15,51600,52200,51000,51700,529316,-0.003853564547206201
2015-06-16,51300,51700,50100,50300,1099037,-0.027079303675048405
2015-06-17,50400,51300,50300,50700,635948,0.007952286282306265
2015-06-18,50700,50900,50400,50500,613404,-0.0039447731755424265
2015-06-19,50500,51200,50300,50700,714475,0.003960396039603964
2015-06-22,50700,51800,50500,51600,544679,0.01775147928994092
2015-06-23,52000,52100,50400,50800,967272,-0.015503875968992276
2015-06-24,50900,51200,50500,50800,454928,0.0
2015-06-25,50800,50800,49850,49900,1113123,-0.017716535433070835
2015-06-26,49800,50200,49400,49550,894428,-0.007014028056112176
2015-06-29,48950,49000,46700,47150,1643696,-0.048435923309788076
2015-06-30,46550,47700,46400,47200,1115440,0.0010604453870626251
2015-07-01,47200,48150,46900,47800,680372,0.012711864406779627
2015-07-02,48200,48600,47900,48100,722630,0.006276150627614996
2015-07-03,48250,48450,47400,47650,521621,-0.009355509355509328
2015-07-06,46750,46850,46000,46050,899759,-0.03357817418677855
2015-07-07,46350,46550,45700,46550,888051,0.010857763300760048
2015-07-08,46600,46650,46150,46200,470393,-0.007518796992481258
2015-07-09,46000,46350,45450,45750,748847,-0.009740259740259716
2015-07-10,45750,45750,44600,44750,857957,-0.021857923497267784
2015-07-13,44900,45100,44600,44900,541447,0.003351955307262511
2015-07-14,45300,45300,43600,43600,1052617,-0.028953229398663738
2015-07-15,43500,44250,43450,44250,764452,0.014908256880733939
2015-07-16,44100,44900,43900,44050,565343,-0.004519774011299438
2015-07-17,44150,44200,41700,41700,1685713,-0.05334846765039725
2015-07-20,41400,41450,40500,41350,993938,-0.008393285371702586
2015-07-21,41300,43350,41300,42350,1361792,0.0241837968561065
2015-07-22,42100,48500,41350,43650,6377371,0.030696576151121535
2015-07-23,43750,44550,42150,42800,1674789,-0.019473081328751474
2015-07-24,42700,42750,41150,41150,951124,-0.03855140186915884
2015-07-27,40900,45650,40850,44550,2732216,0.08262454434993916
2015-07-28,44200,44950,43050,43050,1620301,-0.03367003367003363
2015-07-29,43600,45550,43250,43800,1608532,0.017421602787456525
2015-07-30,42900,42950,40850,40850,2433565,-0.06735159817351599
2015-07-31,40800,41700,40300,40600,1217552,-0.006119951040391647
2015-08-03,40600,41700,40550,41050,889689,0.011083743842364546
2015-08-04,41000,41800,41000,41700,741063,0.015834348355663774
2015-08-05,41950,42500,41200,41500,723011,-0.004796163069544335
2015-08-06,41750,42150,41100,41150,806351,-0.008433734939759074
2015-08-07,41250,41400,40550,40650,706498,-0.012150668286755817
2015-08-10,40700,40750,39700,40300,761267,-0.008610086100861003
2015-08-11,40650,40750,39950,40000,679248,-0.007444168734491274
2015-08-12,39600,41200,39600,40350,807710,0.008750000000000036
2015-08-13,40550,41300,40250,40900,575165,0.013630731102850069
2015-08-17,41100,41200,40300,40300,441394,-0.014669926650366705
2015-08-18,40350,41400,40300,41350,685759,0.026054590570719682
2015-08-19,41150,41350,40050,40450,927262,-0.021765417170495738
2015-08-20,40250,41000,40250,40450,582590,0.0
2015-08-21,39350,40150,39300,39800,1047950,-0.01606922126081578
2015-08-24,39500,41450,39500,40150,1284327,0.008793969849246297
2015-08-25,40600,41400,39850,40850,1220319,0.01743462017434627
2015-08-26,41500,43550,41500,43450,2251863,0.06364749082007348
2015-08-27,44400,44650,43250,43300,1359490,-0.0034522439585730202
2015-08-28,43800,44500,43750,44100,1059845,0.018475750577367167
2015-08-31,44350,44900,43500,44500,897313,0.009070294784580435
2015-09-01,44400,44400,43350,43350,744504,-0.025842696629213457
2015-09-02,42700,44050,42600,44050,626566,0.016147635524798254
2015-09-03,44350,44600,44000,44500,712693,0.010215664018161208
2015-09-04,44500,44600,43100,43500,807450,-0.022471910112359605
2015-09-07,43450,43600,42800,43200,428716,-0.006896551724137945
2015-09-08,43550,46400,42900,46100,2265288,0.06712962962962954
2015-09-09,47000,47500,46050,47000,1602843,0.01952277657266821
2015-09-10,46150,46800,45600,46250,1191751,-0.015957446808510634
2015-09-11,46500,47300,46400,47050,913807,0.017297297297297343
2015-09-14,47250,47300,45350,45400,796472,-0.03506907545164717
2015-09-15,45800,46250,45200,45900,533973,0.011013215859030812
2015-09-16,46250,47000,45800,47000,769688,0.023965141612200425
2015-09-17,47300,47500,46650,46900,563986,-0.0021276595744680327
2015-09-18,47050,47250,46450,47200,604337,0.006396588486140775
2015-09-21,46500,47000,46350,46400,337350,-0.016949152542372836
2015-09-22,46400,46550,45250,46050,646608,-0.007543103448275912
2015-09-23,45600,45800,44750,44750,704343,-0.028230184581976125
2015-09-24,44600,45100,43950,44300,631696,-0.010055865921787754
2015-09-25,44200,44850,43900,44800,418976,0.011286681715575675
2015-09-30,43950,45650,43950,45650,585511,0.01897321428571419
2015-10-01,45700,45800,45100,45650,388121,0.0
2015-10-02,46150,46450,45000,45000,504825,-0.014238773274917849
2015-10-05,45450,45500,44400,44550,505037,-0.010000000000000009
2015-10-06,44850,45100,44500,44800,344629,0.0056116722783390305
2015-10-07,44800,46300,44250,46300,792120,0.033482142857142794
2015-10-08,46800,47100,46150,47000,707904,0.015118790496760237
2015-10-12,47400,47450,46550,47150,723164,0.0031914893617022155
2015-10-13,47150,47150,46000,46100,780065,-0.022269353128313907
2015-10-14,46200,46400,45300,46150,724993,0.0010845986984815426
2015-10-15,45550,46800,45550,46750,516628,0.01300108342361872
2015-10-16,46750,46900,45850,45950,390747,-0.01711229946524062
2015-10-19,46100,46800,46050,46800,354715,0.018498367791077275
2015-10-20,47000,47200,46550,46850,440925,0.0010683760683760646
2015-10-21,47500,54100,47450,53600,6683944,0.1440768409818569
2015-10-22,54500,56100,53200,53200,4787558,-0.007462686567164201
2015-10-23,54400,54800,52200,53000,1748350,-0.003759398496240629
2015-10-26,53900,54700,53100,53600,1434821,0.01132075471698113
2015-10-27,53300,54300,52800,53500,823764,-0.001865671641791078
2015-10-28,53400,55900,52600,54200,1702933,0.013084112149532645
2015-10-29,54500,55400,52800,53000,1453026,-0.022140221402214055
2015-10-30,51500,52100,49100,49100,2966810,-0.07358490566037734
2015-11-02,48600,50900,48000,50800,1233806,0.03462321792260692
2015-11-03,51300,51700,50300,50600,924966,-0.003937007874015741
2015-11-04,50600,51300,49850,50600,797401,0.0
2015-11-05,51200,51400,50300,50600,430039,0.0
2015-11-06,50800,50900,49700,49700,634167,-0.017786561264822143
2015-11-09,49950,50900,48950,50800,852861,0.02213279678068414
2015-11-10,51500,53300,51200,52500,1711831,0.0334645669291338
2015-11-11,53300,53300,51600,52000,808899,-0.00952380952380949
2015-11-12,52600,55000,52200,54700,1727509,0.05192307692307696
2015-11-13,54300,55400,53600,54800,1517057,0.001828153564899404
2015-11-16,54000,54600,53600,53800,810232,-0.018248175182481785
2015-11-17,54700,56000,54200,55200,1127950,0.026022304832713727
2015-11-18,55300,55800,54100,54200,708784,-0.018115942028985477
2015-11-19,54800,56700,54400,56300,1406026,0.03874538745387457
2015-11-20,56900,57900,56300,56400,1112448,0.001776198934280604
2015-11-23,57000,57100,55200,55600,710116,-0.014184397163120588
2015-11-24,55500,56300,54300,56200,1104856,0.010791366906474753
2015-11-25,56900,56900,55500,56100,543359,-0.001779359430605032
2015-11-26,56500,56800,55600,56100,567520,0.0
2015-11-27,56000,56000,54800,54800,625312,-0.02317290552584672
2015-11-30,54500,55500,54100,54200,854582,-0.010948905109489093
2015-12-01,54200,55400,53900,55000,471089,0.014760147601476037
2015-12-02,55200,55400,53900,53900,515921,-0.020000000000000018
2015-12-03,53600,53800,52300,52500,779209,-0.025974025974025983
2015-12-04,52000,53900,51900,52600,695595,0.0019047619047618536
2015-12-07,53400,53600,52400,52400,399499,-0.0038022813688213253
2015-12-08,52400,53000,51600,51700,433734,-0.013358778625954248
2015-12-09,51900,53400,51400,52300,636545,0.011605415860735047
2015-12-10,52200,52300,48800,49050,2835812,-0.0621414913957935
2015-12-11,49550,49900,49050,49300,1132671,0.0050968399592252744
2015-12-14,48600,49100,47450,47900,1042760,-0.028397565922920864
2015-12-15,47800,50300,47800,50000,807606,0.04384133611691032
2015-12-16,50900,52300,50500,51700,1284490,0.03400000000000003
2015-12-17,52600,53200,51300,52100,801149,0.007736943907156624
2015-12-18,51400,52300,51000,51500,537807,-0.01151631477927062
2015-12-21,51700,52700,51500,52300,472441,0.01553398058252431
2015-12-22,52800,52800,52100,52800,386465,0.009560229445506607
2015-12-23,52900,53400,52400,52400,512920,-0.007575757575757569
2015-12-24,53000,54700,52900,53300,981000,0.01717557251908386
2015-12-28,54000,54200,52200,52200,498091,-0.0206378986866792
2015-12-29,52400,53100,51700,52400,418750,0.003831417624521105
2015-12-30,53000,54400,52900,53800,697754,0.026717557251908497
2016-01-04,53900,53900,52500,52500,542920,-0.024163568773234223
2016-01-05,52100,54500,51900,54300,746137,0.03428571428571425
2016-01-06,54100,55200,53700,54700,1039057,0.007366482504604033
2016-01-07,55200,56900,54900,55000,2352287,0.005484460694698434
2016-01-08,54500,56100,54100,55900,1149750,0.016363636363636358
2016-01-11,55700,56600,55400,55500,770483,-0.007155635062611854
2016-01-12,56000,57300,55600,57000,1218716,0.027027027027026973
2016-01-13,57300,57600,56500,56700,826582,-0.0052631578947368585
2016-01-14,56400,57900,56300,57900,1287076,0.021164021164021163
2016-01-15,58200,58400,56200,56700,1135720,-0.020725388601036232
2016-01-18,55900,56500,54400,55300,1143660,-0.024691358024691357
2016-01-19,55200,55600,52800,54800,1342234,-0.009041591320072317
2016-01-20,54800,54900,52500,52800,1215714,-0.03649635036496346
2016-01-21,52900,54300,51900,53000,803698,0.0037878787878788955
2016-01-22,54700,57000,54600,56500,1836166,0.0660377358490567
2016-01-25,57400,57500,56300,56800,715410,0.005309734513274433
2016-01-26,56300,56600,53900,54800,1273163,-0.035211267605633756
2016-01-27,55600,57900,55200,57800,1733436,0.054744525547445244
2016-01-28,57400,58000,56300,57700,988435,-0.0017301038062284002
2016-01-29,57500,58000,56800,57900,750954,0.0034662045060658286
2016-02-01,58000,58000,56400,56900,837096,-0.01727115716753025
2016-02-02,56700,57500,56200,56900,471778,0.0
2016-02-03,56300,56400,55500,56200,546077,-0.012302284710017597
2016-02-04,55900,56500,55300,56500,696357,0.005338078291814874
2016-02-05,56900,57100,56200,56900,500536,0.0070796460176991705
2016-02-11,54900,56200,54900,55500,597358,-0.024604569420035194
2016-02-12,55500,57200,55000,55800,826587,0.00540540540540535
2016-02-15,57700,58200,56900,57700,1334462,0.03405017921146958
2016-02-16,58700,59800,58600,59500,1495125,0.03119584055459268
2016-02-17,59500,60300,59100,59600,1034187,0.001680672268907557
2016-02-18,60300,60800,59900,60300,847811,0.011744966442952975
2016-02-19,59800,61500,59800,60800,1150233,0.008291873963515828
2016-02-22,62500,63300,62200,62500,1899563,0.02796052631578938
2016-02-23,63100,63200,61600,62600,1146615,0.0016000000000000458
2016-02-24,62600,64000,62200,63500,1104095,0.01437699680511173
2016-02-25,63200,64300,62800,63400,697025,-0.0015748031496063408
2016-02-26,63400,64000,62000,63700,1044749,0.004731861198738141
2016-02-29,64300,65200,63800,64900,1267755,0.018838304552590168
2016-03-02,66100,66100,64300,64800,1023844,-0.0015408320493066618
2016-03-03,65200,65200,63000,63500,1274639,-0.020061728395061706
2016-03-04,63600,63700,61200,62700,1896352,-0.012598425196850394
2016-03-07,62700,63900,62500,62800,830377,0.0015948963317384823
2016-03-08,63800,64800,63000,63400,1178567,0.009554140127388644
2016-03-09,63700,63800,62200,62500,675112,-0.014195583596214534
2016-03-10,63200,63300,62300,62400,752086,-0.0016000000000000458
2016-03-11,62700,63200,62400,62700,571948,0.004807692307692291
2016-03-14,64000,64100,62400,62700,904996,0.0
2016-03-15,62900,63000,60100,60900,1619247,-0.028708133971291905
2016-03-16,61000,62300,60200,61900,909767,0.016420361247947435
2016-03-17,62700,63500,62300,62800,1028533,0.01453957996768973
2016-03-18,63100,63900,62900,63100,904363,0.004777070063694211
2016-03-21,63700,64300,62000,62300,890225,-0.01267828843106178
2016-03-22,63200,63200,62300,63000,724229,0.011235955056179803
2016-03-23,63400,64400,63100,64000,912654,0.015873015873015817
2016-03-24,63900,64000,62100,62500,749022,-0.0234375
2016-03-25,62800,62800,61200,61500,684017,-0.016000000000000014
2016-03-28,61500,62000,61000,61800,350264,0.004878048780487809
2016-03-29,62000,62200,61300,61800,515459,0.0
2016-03-30,62300,63200,62000,62800,708069,0.016181229773462702
2016-03-31,63000,63000,60600,61600,962220,-0.019108280254777066
2016-04-01,61900,61900,60200,60900,1206798,-0.011363636363636354
2016-04-04,62000,62800,61100,62800,807071,0.031198686371100237
2016-04-05,62900,63300,62300,62700,500463,-0.0015923566878981443
2016-04-06,63000,63300,61800,62800,751550,0.0015948963317384823
2016-04-07,63300,64700,62100,62600,1236641,-0.0031847133757961776
2016-04-08,62700,63700,62200,63700,835931,0.01757188498402562
2016-04-11,64500,64700,63500,64300,1012659,0.009419152276295195
2016-04-12,64300,64700,62800,63000,1373137,-0.02021772939346811
2016-04-14,63200,64100,63200,63800,1146213,0.012698412698412653
2016-04-15,63900,64000,62800,62900,658721,-0.014106583072100332
2016-04-18,62700,64000,62500,63900,696540,0.015898251192368873
2016-04-19,63500,63900,61900,62500,1049789,-0.021909233176838794
2016-04-20,62800,62900,61300,61400,835015,-0.01759999999999995
2016-04-21,61800,62200,61300,61900,629811,0.008143322475570036
2016-04-22,61600,62300,61400,62000,468610,0.001615508885298933
2016-04-25,61800,62300,61000,61200,550337,-0.012903225806451646
2016-04-26,61300,61600,59200,59400,1611007,-0.02941176470588236
2016-04-27,59400,59800,57800,58200,1554046,-0.02020202020202022
2016-04-28,58600,59200,58000,58200,997708,0.0
2016-04-29,58900,59100,57800,58200,1189751,0.0
2016-05-02,58200,59500,57400,59000,872549,0.013745704467353903
2016-05-03,59600,59800,58600,59300,617908,0.005084745762711895
2016-05-04,59200,59500,58300,59500,708577,0.003372681281618828
2016-05-09,59000,59100,56000,56100,1740941,-0.05714285714285716
2016-05-10,55800,57600,55500,57000,1156886,0.016042780748663166
2016-05-11,57500,57600,54500,55200,2075526,-0.03157894736842104
2016-05-12,55000,55300,54100,54300,1520491,-0.016304347826086918
2016-05-13,54600,54900,53600,53700,1019051,-0.011049723756906049
2016-05-16,53800,55000,53800,54600,590167,0.016759776536312776
2016-05-17,55000,55300,54300,54400,465300,-0.00366300366300365
2016-05-18,54400,55200,53700,53900,799045,-0.009191176470588203
2016-05-19,54100,54500,53600,54000,531879,0.0018552875695732052
2016-05-20,54000,54200,51500,51900,1775509,-0.03888888888888886
2016-05-23,52200,53300,52200,52800,739639,0.01734104046242768
2016-05-24,52900,53700,52800,53000,519211,0.0037878787878788955
2016-05-25,53600,53700,52600,53000,637123,0.0
2016-05-26,53200,54600,53000,53400,638944,0.007547169811320753
2016-05-27,54000,55800,53900,55600,1153816,0.04119850187265928
2016-05-30,56100,56400,55000,55700,767791,0.0017985611510791255
2016-05-31,56300,56500,55300,56100,933757,0.007181328545780907
2016-06-01,56100,57000,56000,56100,544499,0.0
2016-06-02,55900,56000,54400,54500,647427,-0.028520499108734443
2016-06-03,54300,55400,53500,54500,562951,0.0
2016-06-07,54600,55200,54100,54300,655930,-0.003669724770642202
2016-06-08,54100,54400,53300,54400,887520,0.0018416206261511192
2016-06-09,55300,57300,55100,56400,1539831,0.03676470588235303
2016-06-10,56900,57200,56100,56400,502108,0.0
2016-06-13,55800,56400,55500,55800,392941,-0.010638297872340385
2016-06-14,55700,55800,54300,54600,548243,-0.021505376344086002
2016-06-15,54700,55200,53500,54200,589932,-0.0073260073260073
2016-06-16,54600,54800,53500,53600,430753,-0.011070110701106972
2016-06-17,53800,54500,53400,53900,500452,0.005597014925373234
2016-06-20,54800,56200,54600,56100,691974,0.04081632653061229
2016-06-21,55500,55800,55000,55700,399103,-0.007130124777183555
2016-06-22,55600,55600,54500,54900,501106,-0.014362657091561926
2016-06-23,54800,55600,54400,55200,436187,0.005464480874316946
2016-06-24,55900,55900,52000,52300,1291330,-0.05253623188405798
2016-06-27,50900,52600,50600,52000,832384,-0.005736137667303964
2016-06-28,51900,53400,51600,53000,557900,0.019230769230769162
2016-06-29,53500,54200,52800,53700,377468,0.013207547169811429
2016-06-30,54100,54200,53300,53900,440683,0.003724394785847407
2016-07-01,54500,55200,54100,55100,609842,0.02226345083487935
2016-07-04,54700,56300,54300,56300,606923,0.02177858439201441
2016-07-05,56000,56500,55500,55900,457414,-0.007104795737122527
2016-07-06,55800,56600,54700,55100,557909,-0.014311270125223596
2016-07-07,55500,56900,55000,56400,725132,0.023593466424682408
2016-07-08,56900,57400,56100,56200,642248,-0.0035460992907800915
2016-07-11,56100,56600,54900,55100,1028224,-0.019572953736654797
2016-07-12,55300,56700,54800,56400,842443,0.023593466424682408
2016-07-13,56600,56900,55200,55600,855891,-0.014184397163120588
2016-07-14,55800,56500,55200,55900,625935,0.0053956834532373765
2016-07-15,56000,56300,55500,55600,509023,-0.00536672629695889
2016-07-18,56100,56300,55100,55400,364989,-0.003597122302158251
2016-07-19,55500,55600,54500,55100,455834,-0.005415162454873612
2016-07-20,54900,55400,54200,54300,397794,-0.014519056261342977
2016-07-21,54400,54600,52000,52800,1796452,-0.027624309392265234
2016-07-22,53100,53400,52700,53200,712108,0.007575757575757569
2016-07-25,53300,54100,53200,53400,489554,0.003759398496240518
2016-07-26,53200,54500,53100,54400,520865,0.01872659176029967
2016-07-27,54700,56300,54500,56200,969776,0.03308823529411775
2016-07-28,56000,56600,54800,55000,796703,-0.02135231316725983
2016-07-29,55100,55500,53400,53500,979250,-0.027272727272727226
2016-08-01,53900,54200,53200,53600,511517,0.0018691588785046953
2016-08-02,53600,53700,52900,52900,389732,-0.013059701492537323
2016-08-03,52700,53400,52700,52700,414150,-0.003780718336483968
2016-08-04,53100,53200,52300,52500,660223,-0.003795066413662229
2016-08-05,52600,53600,52600,53500,726247,0.01904761904761898
2016-08-08,53700,53900,52500,52700,525468,-0.01495327102803734
2016-08-09,53000,53900,52900,53700,666942,0.018975332068311257
2016-08-10,53800,53800,52700,53300,821138,-0.007448789571694592
2016-08-11,53100,53100,52500,52500,501118,-0.015009380863039379
2016-08-12,52700,53100,52200,52400,631535,-0.0019047619047618536
2016-08-16,53000,53400,52800,52800,500438,0.007633587786259444
2016-08-17,53200,53500,52800,53400,614904,0.011363636363636465
2016-08-18,53500,53700,52800,53100,427221,-0.005617977528089901
2016-08-19,53100,53200,52100,52200,931376,-0.016949152542372836
2016-08-22,52300,53300,52300,52400,540501,0.003831417624521105
2016-08-23,52700,52800,51400,51500,737608,-0.01717557251908397
2016-08-24,51600,51700,51000,51100,653161,-0.007766990291262155
2016-08-25,51400,52300,51400,52100,579633,0.019569471624266255
2016-08-26,52100,52200,51500,52100,354347,0.0
2016-08-29,52100,52200,51400,51500,353607,-0.01151631477927062
2016-08-30,51600,52400,51600,52200,405074,0.013592233009708687
2016-08-31,52000,53000,51500,51500,682642,-0.013409961685823757
2016-09-01,52300,52400,51000,51100,732564,-0.007766990291262155
2016-09-02,51500,51800,51300,51500,495103,0.007827788649706457
2016-09-05,51900,53300,51900,53100,925082,0.03106796116504862
2016-09-06,53000,54000,52700,53900,855259,0.015065913370998052
2016-09-07,54200,54500,52800,52900,955324,-0.01855287569573283
2016-09-08,53400,53800,51800,51800,1192036,-0.020793950850661602
2016-09-09,51900,52000,51200,51500,684075,-0.00579150579150578
2016-09-12,51800,52100,51200,51200,875347,-0.005825242718446644
2016-09-13,51400,51600,50000,50000,1060793,-0.0234375
2016-09-19,49950,50500,49800,50000,638793,0.0
2016-09-20,50100,50300,49150,49200,1057822,-0.016000000000000014
2016-09-21,49250,50300,49250,50300,831122,0.022357723577235866
2016-09-22,50700,50900,49750,49750,699899,-0.010934393638170947
2016-09-23,50200,50400,49900,50100,444660,0.007035175879396949
2016-09-26,50500,50600,49900,49900,388880,-0.003992015968063867
2016-09-27,49850,50300,49600,50200,412254,0.006012024048096087
