Date,Open,High,Low,Close,Volume,Change
2015-01-02,1215000,1267000,1215000,1250000,720,0.009693053311793154
2015-01-05,1227000,1237000,1200000,1224000,1905,-0.02080000000000004
2015-01-06,1206000,1228000,1198000,1223000,992,-0.0008169934640522847
2015-01-07,1212000,1225000,1204000,1214000,662,-0.007358953393295176
2015-01-08,1196000,1299000,1195000,1290000,1256,0.06260296540362442
2015-01-09,1290000,1300000,1254000,1297000,735,0.005426356589147252
2015-01-12,1297000,1316000,1285000,1308000,481,0.008481110254433322
2015-01-13,1330000,1330000,1302000,1306000,805,-0.001529051987767538
2015-01-14,1297000,1362000,1297000,1353000,813,0.03598774885145484
2015-01-15,1333000,1358000,1328000,1354000,961,0.0007390983000739038
2015-01-16,1337000,1364000,1328000,1355000,923,0.0007385524372229835
2015-01-19,1356000,1422000,1356000,1402000,1234,0.03468634686346861
2015-01-20,1450000,1458000,1382000,1397000,686,-0.003566333808844524
2015-01-21,1381000,1449000,1381000,1429000,646,0.0229062276306371
2015-01-22,1418000,1455000,1411000,1432000,1185,0.0020993701889433503
2015-01-23,1432000,1454000,1400000,1406000,539,-0.018156424581005637
2015-01-26,1418000,1418000,1385000,1389000,161,-0.012091038406827903
2015-01-27,1410000,1432000,1399000,1406000,535,0.012239020878329843
2015-01-28,1409000,1429000,1391000,1406000,584,0.0
2015-01-29,1411000,1427000,1385000,1413000,788,0.004978662873399653
2015-01-30,1411000,1439000,1400000,1422000,1197,0.006369426751592355
2015-02-02,1417000,1443000,1394000,1415000,478,-0.004922644163150469
2015-02-03,1406000,1424000,1390000,1402000,392,-0.009187279151943506
2015-02-04,1395000,1412000,1387000,1396000,455,-0.004279600570613384
2015-02-05,1395000,1399000,1380000,1381000,520,-0.01074498567335247
2015-02-06,1373000,1396000,1373000,1377000,190,-0.002896451846488013
2015-02-09,1377000,1400000,1377000,1381000,433,0.002904865649963728
2015-02-10,1400000,1400000,1342000,1374000,1224,-0.005068790731354134
2015-02-11,1392000,1394000,1353000,1361000,328,-0.009461426491994218
2015-02-12,1383000,1385000,1359000,1375000,409,0.010286554004408588
2015-02-13,1361000,1385000,1361000,1370000,328,-0.0036363636363636598
2015-02-16,1363000,1385000,1359000,1367000,282,-0.0021897810218978186
2015-02-17,1379000,1386000,1354000,1363000,452,-0.002926115581565525
2015-02-23,1363000,1385000,1358000,1373000,356,0.007336757153338258
2015-02-24,1356000,1374000,1344000,1365000,678,-0.0058266569555717185
2015-02-25,1366000,1380000,1358000,1368000,325,0.00219780219780219
2015-02-26,1382000,1385000,1334000,1358000,830,-0.007309941520467822
2015-02-27,1351000,1373000,1321000,1343000,899,-0.011045655375552244
2015-03-02,1331000,1370000,1324000,1324000,589,-0.014147431124348464
2015-03-03,1312000,1328000,1295000,1326000,843,0.0015105740181269312
2015-03-04,1310000,1318000,1276000,1279000,901,-0.03544494720965308
2015-03-05,1262000,1282000,1261000,1281000,560,0.0015637216575450363
2015-03-06,1270000,1286000,1270000,1272000,659,-0.007025761124121788
2015-03-09,1252000,1277000,1251000,1264000,400,-0.0062893081761006275
2015-03-10,1257000,1269000,1250000,1250000,814,-0.011075949367088556
2015-03-11,1246000,1270000,1212000,1255000,1592,0.0040000000000000036
2015-03-12,1240000,1257000,1219000,1226000,2361,-0.023107569721115495
2015-03-13,1236000,1277000,1230000,1271000,897,0.0367047308319739
2015-03-16,1263000,1292000,1263000,1273000,485,0.0015735641227379027
2015-03-17,1269000,1290000,1260000,1266000,1073,-0.0054988216810683
2015-03-18,1273000,1273000,1240000,1246000,721,-0.01579778830963663
2015-03-19,1246000,1256000,1240000,1240000,677,-0.0048154093097912964
2015-03-20,1230000,1253000,1223000,1241000,862,0.0008064516129031585
2015-03-23,1241000,1263000,1239000,1250000,540,0.00725221595487513
2015-03-24,1242000,1254000,1240000,1248000,380,-0.0016000000000000458
