Date,Open,High,Low,Close,Volume,Change
2015-01-02,13900,14100,13700,13700,1490527,-0.028368794326241176
2015-01-05,13700,13800,13400,13750,1353301,0.0036496350364962904
2015-01-06,13600,13850,13500,13600,1353076,-0.010909090909090868
2015-01-07,13650,13650,13400,13400,1020504,-0.014705882352941124
2015-01-08,13450,13900,13400,13750,1746118,0.026119402985074647
2015-01-09,13900,14000,13700,13950,1278693,0.014545454545454639
2015-01-12,13750,13850,13500,13500,1559910,-0.032258064516129004
2015-01-13,13500,13800,13350,13650,1504773,0.011111111111111072
2015-01-14,13650,13700,13350,13400,1169171,-0.01831501831501836
2015-01-15,13350,13350,12950,13100,2059005,-0.02238805970149249
2015-01-16,13050,13100,12650,12750,2246085,-0.026717557251908386
2015-01-19,12800,13100,12800,12900,1173421,0.0117647058823529
2015-01-20,12800,13000,12700,12900,1484548,0.0
2015-01-21,12950,13100,12850,13100,975675,0.015503875968992276
2015-01-22,13150,13250,13000,13250,1227364,0.011450381679389388
2015-01-23,13450,13700,13300,13450,1601541,0.015094339622641506
2015-01-26,13400,13700,13300,13550,1069836,0.0074349442379182396
2015-01-27,13550,13600,13050,13250,1583032,-0.022140221402214055
2015-01-28,13100,13200,12800,12950,2138091,-0.02264150943396226
2015-01-29,12850,13150,12800,12950,1609528,0.0
2015-01-30,13100,13150,12900,12950,1485118,0.0
2015-02-02,12900,13250,12800,13250,1025194,0.02316602316602312
2015-02-03,13300,13400,13000,13050,1392194,-0.015094339622641506
2015-02-04,13200,13250,12950,13050,1393767,0.0
2015-02-05,13050,13150,12400,12450,2494989,-0.04597701149425293
2015-02-06,12500,12650,12400,12600,1336046,0.012048192771084265
2015-02-09,12800,13200,12750,13000,2504758,0.031746031746031855
2015-02-10,13100,13300,13000,13100,2184058,0.007692307692307665
2015-02-11,13250,13700,13150,13650,2655701,0.041984732824427384
2015-02-12,13700,13700,13200,13500,1679255,-0.01098901098901095
2015-02-13,13600,13700,13400,13600,1430925,0.007407407407407307
2015-02-16,13550,13600,13200,13350,841713,-0.018382352941176516
2015-02-17,13350,13500,13250,13500,808212,0.011235955056179803
2015-02-23,13650,13700,13350,13400,811440,-0.007407407407407418
2015-02-24,13400,13550,13300,13400,1086602,0.0
2015-02-25,13450,13600,13350,13600,909219,0.014925373134328401
2015-02-26,13550,13650,13450,13650,1190257,0.003676470588235281
2015-02-27,13700,13850,13500,13500,3058644,-0.01098901098901095
2015-03-02,13500,13550,13050,13150,2115575,-0.025925925925925908
2015-03-03,13200,13700,13100,13500,2088922,0.026615969581748944
2015-03-04,13500,13600,13350,13500,1079397,0.0
2015-03-05,13450,13500,13350,13450,662192,-0.0037037037037036535
2015-03-06,13500,13550,13150,13350,1454482,-0.0074349442379182396
2015-03-09,13250,13350,13100,13150,871704,-0.014981273408239737
2015-03-10,13150,13250,12850,12850,1450386,-0.02281368821292773
2015-03-11,12650,12850,12600,12650,1566402,-0.015564202334630295
2015-03-12,12650,13350,12600,13150,3529190,0.03952569169960474
2015-03-13,13300,13350,12900,13000,1962288,-0.011406844106463865
2015-03-16,13000,13450,13000,13350,1224328,0.026923076923076827
2015-03-17,13450,13900,13350,13900,2503136,0.04119850187265928
2015-03-18,13800,14100,13750,14100,1748262,0.014388489208633004
2015-03-19,14200,14200,13850,14100,2038130,0.0
2015-03-20,13950,14000,13500,13750,1828326,-0.024822695035460973
2015-03-23,13750,13800,13500,13550,1129360,-0.014545454545454528
2015-03-24,13450,13550,13150,13350,1463252,-0.014760147601476037
2015-03-25,13350,13400,13000,13050,1751086,-0.022471910112359605
2015-03-26,13100,13350,13050,13300,1323640,0.019157088122605304
2015-03-27,13300,13350,13150,13350,713170,0.003759398496240518
2015-03-30,13400,13400,13100,13100,1124587,-0.01872659176029967
