Date,Open,High,Low,Close,Volume,Change
2015-01-02,24800,24950,24650,24800,63883,-0.009980039920159722
2015-01-05,24800,24800,24250,24650,66735,-0.006048387096774244
2015-01-06,24350,24600,23900,23950,112508,-0.028397565922920864
2015-01-07,24050,24200,23800,24000,49708,0.0020876826722338038
2015-01-08,24000,24150,23750,23750,97544,-0.01041666666666663
2015-01-09,23900,24200,23850,24050,125633,0.012631578947368327
2015-01-12,24050,24400,24050,24250,48860,0.008316008316008316
2015-01-13,24200,24350,24100,24350,68849,0.004123711340206171
2015-01-14,24200,24350,23850,23900,153474,-0.01848049281314168
2015-01-15,23750,23850,23400,23500,188859,-0.01673640167364021
2015-01-16,23750,23750,23250,23500,81928,0.0
2015-01-19,23650,24600,23650,24500,183256,0.042553191489361764
2015-01-20,24550,24550,24100,24450,59790,-0.0020408163265306367
2015-01-21,24600,24600,24000,24200,79205,-0.010224948875255602
2015-01-22,24400,25100,24250,24800,204194,0.024793388429751984
2015-01-23,25200,25300,24250,24500,230023,-0.012096774193548376
2015-01-26,24350,24350,24000,24150,78469,-0.014285714285714235
2015-01-27,24000,24450,23900,24350,152469,0.008281573498964745
2015-01-28,24200,24450,24100,24400,123896,0.002053388090349051
2015-01-29,24250,24550,23950,24450,174546,0.002049180327868827
2015-01-30,24500,24550,22650,22750,668405,-0.06952965235173825
2015-02-02,22950,23500,22750,22850,264362,0.00439560439560438
2015-02-03,23000,23050,22400,22500,323829,-0.015317286652078765
2015-02-04,22900,23300,22850,23100,331662,0.026666666666666616
2015-02-05,23250,23400,22850,22850,148034,-0.010822510822510845
2015-02-06,23000,23200,22750,22800,117765,-0.002188183807439792
2015-02-09,22900,22950,22650,22750,112437,-0.002192982456140302
2015-02-10,22750,23150,22700,22950,140903,0.00879120879120876
2015-02-11,23000,23100,22800,22950,125225,0.0
2015-02-12,22850,23050,22550,22550,181981,-0.017429193899782147
2015-02-13,22700,22900,22550,22700,101915,0.006651884700665134
2015-02-16,22750,23300,22750,23000,151419,0.013215859030837107
2015-02-17,23100,23250,22800,22950,155072,-0.0021739130434782483
2015-02-23,23150,23400,23100,23350,158947,0.017429193899782147
2015-02-24,23300,23650,23200,23400,143065,0.0021413276231263545
2015-02-25,23750,24700,23600,24700,518402,0.05555555555555558
2015-02-26,24700,25900,24300,25850,636409,0.046558704453441235
2015-02-27,25450,25900,25400,25650,304502,-0.007736943907156624
2015-03-02,25600,26100,25250,25550,310819,-0.003898635477582846
2015-03-03,25400,26000,25200,25800,354299,0.009784735812133016
2015-03-04,25500,25850,25500,25550,123596,-0.009689922480620172
2015-03-05,25450,25850,25350,25800,180137,0.009784735812133016
2015-03-06,25650,26150,25550,25850,234578,0.0019379844961240345
2015-03-09,25650,25750,24800,25000,356360,-0.03288201160541582
2015-03-10,25000,25250,24400,24500,358741,-0.020000000000000018
2015-03-11,24300,24650,24200,24350,220054,-0.006122448979591799
2015-03-12,24350,24550,24200,24350,188023,0.0
2015-03-13,24600,24900,24450,24700,120293,0.014373716632443578
2015-03-16,24650,24700,24200,24300,153104,-0.01619433198380571
2015-03-17,24400,24750,24250,24550,216217,0.010288065843621297
2015-03-18,24550,24550,24100,24200,287974,-0.014256619144602856
2015-03-19,24500,24850,24350,24550,246420,0.01446280991735538
2015-03-20,24550,25200,24550,25200,261490,0.026476578411405383
2015-03-23,25400,25750,25000,25050,220200,-0.005952380952380931
2015-03-24,25400,25550,25050,25100,208508,0.001996007984031989
2015-03-25,25100,25400,24950,25050,188834,-0.0019920318725099584
2015-03-26,24850,24950,24450,24700,259909,-0.013972055888223589
2015-03-27,24700,24900,24500,24650,123345,-0.002024291497975672
2015-03-30,24750,24750,24450,24500,145326,-0.006085192697768749
2015-03-31,24600,24750,24500,24700,192068,0.008163265306122547
2015-04-01,24700,25300,24550,25300,215972,0.02429149797570851
2015-04-02,25300,26550,25150,26350,575933,0.04150197628458496
2015-04-03,26700,26750,26250,26500,389216,0.005692599620493288
2015-04-06,26100,26650,26000,26650,331501,0.005660377358490676
2015-04-07,26700,27000,25850,26050,394975,-0.022514071294559068
2015-04-08,26000,26500,25900,26250,251840,0.007677543186180413
2015-04-09,26200,26450,25450,25550,363917,-0.026666666666666616
2015-04-10,25650,26450,25300,26200,292269,0.02544031311154593
2015-04-13,26150,26600,26000,26100,237560,-0.003816793893129722
2015-04-14,26000,26150,25600,25950,339467,-0.005747126436781658
2015-04-15,25900,26200,25600,25700,255868,-0.009633911368015391
2015-04-16,25700,26300,25650,26200,206820,0.01945525291828787
2015-04-17,26400,27500,26250,27200,665415,0.03816793893129766
2015-04-20,27050,27900,26950,27750,471773,0.020220588235294157
2015-04-21,27800,28300,27750,28100,492836,0.012612612612612706
2015-04-22,28250,28400,27500,27900,314347,-0.007117437722419906
2015-04-23,27850,28550,27500,28100,360342,0.007168458781362075
2015-04-24,28000,28250,27350,27550,216990,-0.019572953736654797
2015-04-27,27600,28400,27300,28400,253614,0.030852994555353952
2015-04-28,27450,28100,27300,27600,504313,-0.028169014084507005
2015-04-29,27700,28900,27700,28600,389538,0.03623188405797095
2015-04-30,28600,29100,28200,28950,357700,0.012237762237762295
2015-05-04,29250,29300,28400,28650,174735,-0.010362694300518172
2015-05-06,28650,28700,27800,28650,294858,0.0
2015-05-07,29000,29300,28450,29250,352844,0.020942408376963373
2015-05-08,29300,29600,29050,29500,218002,0.008547008547008517
2015-05-11,29350,29700,29100,29400,240494,-0.003389830508474523
2015-05-12,29400,30000,29200,29900,308719,0.017006802721088343
2015-05-13,29700,30000,29600,29900,181316,0.0
2015-05-14,29550,30000,29400,29450,187950,-0.015050167224080258
2015-05-15,29450,29850,28700,29000,261117,-0.015280135823429575
2015-05-18,29000,29350,28750,29100,177838,0.0034482758620688614
2015-05-19,29300,29300,28500,28550,317651,-0.018900343642611728
2015-05-20,28550,30400,28450,30100,895705,0.05429071803852881
2015-05-21,30500,32150,30500,31400,840380,0.04318936877076407
2015-05-22,31350,32250,31200,31750,392194,0.011146496815286566
2015-05-26,31700,31800,31200,31350,201725,-0.012598425196850394
2015-05-27,31100,31300,29750,30200,253631,-0.036682615629984094
2015-05-28,30300,30800,29700,30350,241176,0.004966887417218624
2015-05-29,30350,31250,30050,31250,230395,0.029654036243822013
2015-06-01,30900,30950,29850,30200,210768,-0.03359999999999996
2015-06-02,29800,30400,28900,29550,311163,-0.021523178807947074
2015-06-03,29150,30000,28750,28950,223157,-0.02030456852791873
2015-06-04,28850,29250,28200,28550,239557,-0.013816925734024155
2015-06-05,28500,28700,27600,28000,259746,-0.019264448336252182
2015-06-08,28050,28600,27650,28250,211383,0.008928571428571397
2015-06-09,28000,29350,27950,29300,231234,0.03716814159292037
2015-06-10,29400,29600,28450,28800,186723,-0.017064846416382284
2015-06-11,29150,29150,28300,28300,155511,-0.01736111111111116
2015-06-12,28550,28900,28000,28250,168640,-0.0017667844522968323
2015-06-15,29500,29550,28250,28600,302299,0.012389380530973382
2015-06-16,28350,28750,26600,26600,416833,-0.0699300699300699
2015-06-17,26600,27000,26100,26700,242971,0.003759398496240518
2015-06-18,26850,26900,26300,26400,197548,-0.011235955056179803
2015-06-19,26750,27300,26400,27050,164753,0.024621212121212155
2015-06-22,27050,27150,26550,26850,137508,-0.007393715341959317
2015-06-23,26850,27000,26700,27000,102913,0.005586592178770999
2015-06-24,27200,27650,26800,27050,174523,0.0018518518518517713
2015-06-25,26650,27100,26450,26950,212815,-0.003696857670979714
2015-06-26,26700,26900,26350,26700,124370,-0.00927643784786647
2015-06-29,25850,26250,25700,25950,205502,-0.028089887640449396
2015-06-30,25550,26000,25450,26000,179097,0.0019267822736031004
2015-07-01,26450,26500,26050,26350,127641,0.013461538461538414
2015-07-02,26650,26650,26050,26300,160358,-0.00189753320683117
2015-07-03,27300,27750,27000,27650,439983,0.05133079847908739
2015-07-06,27300,27500,26400,26450,272574,-0.04339963833634719
2015-07-07,26600,26750,25850,26300,188949,-0.005671077504725952
2015-07-08,26200,26300,25700,26050,178966,-0.009505703422053258
2015-07-09,26050,26450,25600,26450,201721,0.015355086372360827
2015-07-10,26500,26750,26250,26350,121297,-0.003780718336483968
2015-07-13,26450,26850,26200,26800,102370,0.017077798861480087
2015-07-14,26850,27200,26700,26850,108262,0.001865671641791078
2015-07-15,27050,27400,26850,27200,136326,0.013035381750465591
2015-07-16,27300,27450,26950,27100,82762,-0.003676470588235281
2015-07-17,27200,27350,26800,27000,104973,-0.0036900369003689537
2015-07-20,27000,27400,26750,27200,91273,0.007407407407407307
2015-07-21,27250,27750,27050,27300,134722,0.003676470588235281
2015-07-22,27100,27300,26950,27150,84850,-0.005494505494505475
2015-07-23,27150,27150,26150,26400,172271,-0.027624309392265234
2015-07-24,26300,26350,25550,26100,190618,-0.011363636363636354
2015-07-27,25700,25900,25350,25700,120435,-0.01532567049808431
2015-07-28,25350,25650,25300,25350,137718,-0.013618677042801508
2015-07-29,26400,26500,25450,25550,262892,0.007889546351084853
2015-07-30,25700,26100,25600,25800,144262,0.009784735812133016
2015-07-31,26050,26350,25500,26300,159387,0.019379844961240345
2015-08-03,26250,26600,26150,26400,142432,0.0038022813688212143
2015-08-04,26500,27050,26200,27000,207324,0.022727272727272707
2015-08-05,26950,27300,26800,26850,103738,-0.005555555555555536
2015-08-06,26800,27300,26800,26950,88774,0.003724394785847407
2015-08-07,26850,26900,26200,26350,119630,-0.02226345083487946
2015-08-10,26200,26200,25400,25500,159372,-0.032258064516129004
2015-08-11,25650,26400,25650,26150,147745,0.025490196078431282
2015-08-12,26150,26200,25700,25950,104639,-0.007648183556405397
2015-08-13,26000,26100,25750,26050,73131,0.003853564547206201
2015-08-17,26000,26100,25750,25900,59424,-0.0057581573896353655
2015-08-18,25800,25950,25600,25750,60447,-0.00579150579150578
2015-08-19,25550,25600,24500,25200,152605,-0.021359223300970842
2015-08-20,24800,25200,24150,24200,128007,-0.03968253968253965
2015-08-21,24650,25250,23500,23600,575796,-0.024793388429752095
2015-08-24,23050,23850,22900,23250,159213,-0.014830508474576232
2015-08-25,23350,23400,22650,23000,266983,-0.010752688172043001
2015-08-26,23050,24450,22850,24450,241734,0.06304347826086953
2015-08-27,24550,24550,23700,23850,129745,-0.024539877300613466
2015-08-28,24450,24950,24050,24650,151242,0.03354297693920327
2015-08-31,24300,24800,24100,24550,111689,-0.0040567951318458695
2015-09-01,24500,24550,24150,24150,46049,-0.016293279022403295
2015-09-02,23850,24000,23400,23950,68947,-0.008281573498964856
2015-09-03,24050,24150,23850,23950,52176,0.0
2015-09-04,24100,24300,23750,23950,76682,0.0
2015-09-07,23700,24150,23450,23950,42557,0.0
2015-09-08,23850,24000,23500,23600,50106,-0.014613778705636737
2015-09-09,24100,25600,23950,25500,162549,0.0805084745762712
2015-09-10,24950,25350,24600,25350,130283,-0.00588235294117645
2015-09-11,24900,25750,24850,25650,89862,0.01183431952662728
2015-09-14,25600,25700,25250,25550,101543,-0.003898635477582846
2015-09-15,25350,26000,25200,25800,81595,0.009784735812133016
2015-09-16,26100,26350,25650,26150,107432,0.013565891472868241
2015-09-17,26450,28050,26200,27750,619602,0.06118546845124273
2015-09-18,27600,27650,26400,26800,418783,-0.03423423423423422
2015-09-21,26750,26750,25600,25650,217150,-0.042910447761194015
2015-09-22,25700,26350,25650,26100,169798,0.01754385964912286
2015-09-23,25650,25650,24750,25000,369633,-0.04214559386973182
2015-09-24,25100,25100,24800,24950,73089,-0.0020000000000000018
