Date,Open,High,Low,Close,Volume,Change
2015-01-02,32050,32500,31500,32000,79320,-0.016897081413210446
2015-01-05,31650,32500,31400,31650,77189,-0.010937500000000044
2015-01-06,31000,31550,30450,30750,97347,-0.028436018957345932
2015-01-07,30750,30950,29950,30450,76492,-0.009756097560975618
2015-01-08,30150,30500,29150,29150,152316,-0.04269293924466333
2015-01-09,29550,29900,29300,29450,78543,0.010291595197255532
2015-01-12,29150,29750,29100,29450,55908,0.0
2015-01-13,29450,29700,29200,29450,43594,0.0
2015-01-14,29450,29750,29300,29600,56543,0.005093378607809784
2015-01-15,29500,29650,28700,29300,70745,-0.010135135135135087
2015-01-16,29000,29200,27450,27950,193485,-0.0460750853242321
2015-01-19,28200,28200,27400,27650,69883,-0.01073345259391767
2015-01-20,27950,27950,27600,27900,48327,0.009041591320072317
2015-01-21,27650,28350,27650,27950,48584,0.0017921146953405742
2015-01-22,28500,29400,28500,28900,159831,0.03398926654740597
2015-01-23,29150,29750,28600,28850,91498,-0.0017301038062284002
2015-01-26,28600,30250,28600,29850,78509,0.03466204506065851
2015-01-27,30150,31100,29600,30200,111210,0.011725293132328396
2015-01-28,30200,31150,30100,30350,85383,0.004966887417218624
2015-01-29,30150,30800,29800,30400,69888,0.0016474464579900872
2015-01-30,30450,30850,30200,30600,72516,0.006578947368421018
2015-02-02,30300,30650,29650,30150,72511,-0.014705882352941124
2015-02-03,30000,30600,29550,29950,58520,-0.0066334991708125735
2015-02-04,29950,30500,29350,29800,87401,-0.005008347245408995
2015-02-05,29650,32200,29650,31450,130096,0.05536912751677847
2015-02-06,31100,31350,30300,30450,61589,-0.031796502384737635
2015-02-09,30900,31150,30500,30950,50151,0.016420361247947435
2015-02-10,30950,31850,30700,31450,88911,0.016155088852988664
2015-02-11,31800,32000,31250,31700,46337,0.007949125596184325
2015-02-12,32000,32200,31600,32200,46985,0.01577287066246047
2015-02-13,32100,32450,31550,31800,55956,-0.012422360248447228
2015-02-16,32000,32300,31400,31850,39500,0.0015723270440251014
2015-02-17,32000,32200,31200,31450,45135,-0.012558869701726816
2015-02-23,31800,31800,30950,31100,55894,-0.011128775834658211
2015-02-24,30900,32900,30850,32650,60959,0.04983922829581999
2015-02-25,32900,32900,31400,31700,81737,-0.029096477794793296
2015-02-26,31700,31900,31000,31150,80422,-0.017350157728706628
2015-02-27,31000,31350,30800,31250,53466,0.0032102728731941976
2015-03-02,31100,31200,30000,30150,70569,-0.03520000000000001
2015-03-03,30150,30450,29900,30050,45660,-0.0033167495854062867
2015-03-04,30050,30300,29550,29700,52526,-0.011647254575707144
2015-03-05,29650,30100,29400,29600,184790,-0.0033670033670033517
2015-03-06,30050,30100,29400,29700,57211,0.0033783783783782884
2015-03-09,30400,31900,30350,30900,179707,0.04040404040404044
2015-03-10,30600,31500,30500,31450,74523,0.017799352750809128
2015-03-11,31450,31450,29600,30400,138095,-0.03338632750397452
2015-03-12,30500,30950,30000,30000,74152,-0.013157894736842146
2015-03-13,30350,31100,30250,30600,57936,0.020000000000000018
2015-03-16,30600,32450,30150,32150,94969,0.05065359477124187
2015-03-17,32400,32550,31700,32200,69261,0.0015552099533437946
2015-03-18,32000,32650,32000,32050,56793,-0.004658385093167738
2015-03-19,32050,32250,31650,32100,67579,0.0015600624024960652
2015-03-20,31950,32250,30750,31150,95855,-0.029595015576323935
2015-03-23,31000,32700,30850,32150,59394,0.0321027287319422
2015-03-24,31850,32200,31250,31550,49312,-0.018662519440124425
2015-03-25,31600,32000,31350,31500,25003,-0.0015847860538826808
2015-03-26,31700,31700,31100,31250,26845,-0.007936507936507908
2015-03-27,31250,32350,31050,32250,61853,0.03200000000000003
2015-03-30,32250,33850,32050,33500,122396,0.03875968992248069
2015-03-31,33500,33500,32450,32850,103256,-0.0194029850746269
2015-04-01,32350,32800,31500,32550,137602,-0.0091324200913242
2015-04-02,32450,33700,32100,33450,99322,0.02764976958525356
2015-04-03,33950,33950,32800,33750,81216,0.008968609865470878
2015-04-06,33550,34450,32850,34050,97640,0.008888888888888946
2015-04-07,34050,34050,33550,34000,84547,-0.001468428781204123
2015-04-08,34000,35150,33550,34900,111799,0.026470588235294024
2015-04-09,34450,34700,33700,34250,109256,-0.01862464183381085
2015-04-10,34100,34400,33150,33800,95555,-0.013138686131386912
2015-04-13,34200,34300,33200,33750,92446,-0.0014792899408283544
2015-04-14,33800,34250,33300,33900,73179,0.004444444444444473
2015-04-15,33900,36450,33650,35200,183956,0.03834808259587019
2015-04-16,35850,35850,33750,34050,73466,-0.032670454545454586
2015-04-17,34150,35300,34000,35050,87958,0.029368575624082238
2015-04-20,34950,35000,33800,34500,95266,-0.015691868758915817
2015-04-21,34500,34650,32950,33400,133974,-0.03188405797101446
2015-04-22,33400,34900,32450,33200,213757,-0.005988023952095856
2015-04-23,35150,35350,33000,34650,327408,0.04367469879518082
2015-04-24,34200,35200,33750,34750,122278,0.0028860028860029363
2015-04-27,34300,35150,34100,35150,105811,0.011510791366906581
2015-04-28,35350,35450,34700,35450,81796,0.008534850640113723
2015-04-29,35450,36350,34850,36050,124658,0.016925246826516194
2015-04-30,36050,36100,35000,35300,82616,-0.020804438280166426
2015-05-04,35000,35600,34600,35300,63622,0.0
2015-05-06,34700,35300,34050,34500,43568,-0.022662889518413554
2015-05-07,34300,34950,33650,34600,76771,0.0028985507246377384
2015-05-08,34600,35950,34000,35900,87722,0.037572254335260125
2015-05-11,35850,37500,35550,37400,152684,0.04178272980501396
2015-05-12,37400,38550,36800,37400,125285,0.0
2015-05-13,37400,38750,37300,38650,109545,0.03342245989304815
2015-05-14,38300,39400,37500,38850,131642,0.005174644243208348
2015-05-15,38500,39650,38300,38900,103816,0.0012870012870012104
