Date,Open,High,Low,Close,Volume,Change
2015-01-02,32100,32900,32000,32900,141924,0.020155038759689825
2015-01-05,32450,33600,32400,33350,159559,0.013677811550151908
2015-01-06,32950,33150,31900,32450,261014,-0.026986506746626726
2015-01-07,32100,32950,31900,32150,203761,-0.009244992295839749
2015-01-08,32000,33850,32000,33850,278351,0.05287713841368591
2015-01-09,34250,38100,34250,35900,1254280,0.06056129985228953
2015-01-12,35700,37250,35500,36750,518550,0.023676880222841312
2015-01-13,36750,37750,35950,37100,389102,0.00952380952380949
2015-01-14,37100,38000,37100,37350,247882,0.006738544474393482
2015-01-15,36800,38500,36800,38300,248769,0.025435073627844806
2015-01-16,38700,38800,37950,38400,239708,0.0026109660574411553
2015-01-19,41350,42300,39500,39950,734457,0.04036458333333326
2015-01-20,39900,41000,39000,40200,476258,0.006257822277847325
2015-01-21,39750,40300,39550,39600,200031,-0.014925373134328401
2015-01-22,39250,40150,39200,39250,178709,-0.008838383838383868
2015-01-23,39250,40200,38300,40000,352951,0.019108280254777066
2015-01-26,40000,40400,39650,40000,192864,0.0
2015-01-27,40300,41400,39850,40550,398718,0.013749999999999929
2015-01-28,40500,41050,40200,40600,315702,0.0012330456226881115
2015-01-29,40750,41050,40100,40600,117592,0.0
2015-01-30,40950,40950,38700,40100,351022,-0.012315270935960632
2015-02-02,39600,40100,39300,39500,122837,-0.014962593516209433
2015-02-03,39050,40450,39000,39500,240619,0.0
2015-02-04,40050,40200,38550,38550,225578,-0.024050632911392422
2015-02-05,39400,40400,38900,40200,439019,0.04280155642023353
2015-02-06,40050,40550,39500,40050,182769,-0.003731343283582045
2015-02-09,39150,39500,36250,36550,898300,-0.08739076154806491
2015-02-10,36800,37200,35100,36850,410195,0.008207934336525335
2015-02-11,36850,38300,36850,38000,294215,0.031207598371777445
2015-02-12,37250,37950,37200,37550,192141,-0.011842105263157876
2015-02-13,37200,37900,36100,36700,391554,-0.022636484687083902
2015-02-16,36700,37500,35700,37150,143170,0.012261580381471404
2015-02-17,37200,38100,37200,37800,177139,0.01749663526244949
2015-02-23,37300,37750,36500,36700,212390,-0.02910052910052907
2015-02-24,36150,36850,35950,36100,198826,-0.016348773841961872
2015-02-25,36100,36500,35650,35700,138161,-0.011080332409972304
2015-02-26,35800,36100,33900,34150,414244,-0.04341736694677867
2015-02-27,34250,35300,34250,34750,355503,0.017569546120058455
2015-03-02,34650,35600,34550,35350,204195,0.01726618705035965
2015-03-03,35150,35400,34800,34800,174873,-0.01555869872701554
2015-03-04,34600,35550,34300,35400,173239,0.01724137931034475
2015-03-05,35500,36150,35400,35850,223295,0.012711864406779627
2015-03-06,35000,35250,33800,33900,568898,-0.05439330543933052
2015-03-09,33800,34250,33200,33800,289544,-0.002949852507374673
2015-03-10,33700,35150,33650,35150,418369,0.03994082840236679
2015-03-11,35050,35200,34000,34150,229925,-0.028449502133712667
2015-03-12,34000,34450,33400,33400,265791,-0.02196193265007318
2015-03-13,33700,34750,33600,34700,216791,0.038922155688622784
2015-03-16,34700,34800,34100,34650,127629,-0.0014409221902017544
2015-03-17,34950,34950,34100,34500,193610,-0.0043290043290042934
2015-03-18,34800,34800,33250,33350,329003,-0.033333333333333326
2015-03-19,33400,33600,33000,33300,207027,-0.0014992503748125774
2015-03-20,33350,33500,32900,33300,311112,0.0
2015-03-23,33500,34750,33450,34750,346209,0.04354354354354362
2015-03-24,34700,34750,33850,34100,202589,-0.018705035971222972
2015-03-25,34250,34400,33150,33950,224421,-0.004398826979472137
2015-03-26,33550,34650,33550,34650,201438,0.020618556701030855
2015-03-27,34700,35000,34100,35000,230168,0.010101010101010166
2015-03-30,34950,36100,34650,36050,337379,0.030000000000000027
2015-03-31,36400,38950,36250,37850,727215,0.04993065187239942
2015-04-01,38000,38400,37050,37500,252461,-0.009247027741083214
2015-04-02,37150,37400,36100,36350,352848,-0.03066666666666662
2015-04-03,36750,38250,36550,38200,301275,0.050894085281980805
2015-04-06,38350,38950,37150,37450,228586,-0.01963350785340312
