Date,Open,High,Low,Close,Volume,Change
2015-01-02,47900,48250,46700,47400,60417,-0.01964839710444677
2015-01-05,46650,48200,46300,48100,55999,0.014767932489451407
2015-01-06,47450,48200,46800,47800,78377,-0.006237006237006182
2015-01-07,47800,48250,47150,47650,46285,-0.003138075313807498
2015-01-08,47650,50500,47050,49900,127645,0.047219307450157455
2015-01-09,50400,51500,49900,50400,375017,0.01002004008016022
2015-01-12,49800,52200,49700,50900,238957,0.009920634920634885
2015-01-13,51000,52400,50400,51800,136771,0.017681728880157177
2015-01-14,51400,52600,51000,52500,105161,0.013513513513513598
2015-01-15,51800,52500,50200,51500,156771,-0.01904761904761909
2015-01-16,50700,51500,49250,50900,146515,-0.011650485436893177
2015-01-19,51000,51600,50400,50800,68739,-0.0019646365422396617
2015-01-20,51400,51400,49850,50500,97724,-0.0059055118110236116
2015-01-21,49900,50200,48850,49400,131990,-0.0217821782178218
2015-01-22,49550,50200,47050,48000,142203,-0.028340080971659964
2015-01-23,48000,49300,47800,48100,122609,0.002083333333333437
2015-01-26,47750,48200,46000,47800,80085,-0.006237006237006182
2015-01-27,48000,49150,47400,48700,87482,0.01882845188284521
2015-01-28,48500,48500,46750,48300,163727,-0.008213552361396315
2015-01-29,48400,48400,46900,47150,87519,-0.023809523809523836
2015-01-30,47600,47600,45250,46450,209582,-0.014846235418875975
2015-02-02,46250,46900,45250,45450,64251,-0.02152852529601723
2015-02-03,45900,46750,45350,46200,166538,0.01650165016501659
2015-02-04,46850,47650,46500,46950,80322,0.016233766233766156
2015-02-05,47100,47800,46450,47550,99822,0.012779552715654896
2015-02-06,47700,48100,46900,47650,75414,0.002103049421661396
2015-02-09,47300,47650,46000,46600,78195,-0.022035676810073457
2015-02-10,46250,47000,45750,46300,80073,-0.006437768240343367
2015-02-11,46350,46900,46000,46750,40494,0.009719222462202914
2015-02-12,46950,47150,45950,46800,74562,0.0010695187165774556
2015-02-13,47000,47000,45300,46050,146288,-0.01602564102564108
2015-02-16,46100,47900,46050,47300,117323,0.02714440825190012
2015-02-17,47500,49100,47450,48500,121583,0.025369978858351017
2015-02-23,48500,49200,48050,48150,55243,-0.007216494845360799
2015-02-24,48000,48550,47300,47800,90797,-0.007268951194184803
2015-02-25,48050,51000,48050,50300,237624,0.05230125523012563
2015-02-26,50300,51400,50000,50000,109292,-0.005964214711729587
2015-02-27,49750,51300,49550,50600,280192,0.01200000000000001
2015-03-02,50200,51700,49850,51300,168504,0.01383399209486158
2015-03-03,51000,53300,50500,52800,168553,0.029239766081871288
2015-03-04,52800,54000,51400,52400,255539,-0.007575757575757569
2015-03-05,52900,52900,51000,52100,102995,-0.005725190839694694
2015-03-06,51900,52300,50800,51400,114865,-0.013435700575815779
2015-03-09,51200,51600,50400,51200,93864,-0.0038910505836575737
2015-03-10,51700,51700,49650,50200,117948,-0.01953125
2015-03-11,49800,50300,48900,49450,193670,-0.014940239043824688
2015-03-12,49900,50900,49250,50000,144884,0.011122345803842304
2015-03-13,50400,50500,48500,48900,174342,-0.02200000000000002
2015-03-16,48700,48900,47000,48250,162395,-0.013292433537832271
2015-03-17,48050,49400,48050,49100,188238,0.01761658031088076
2015-03-18,49100,49400,48300,48950,135711,-0.003054989816700604
2015-03-19,49350,50100,48750,49800,189532,0.01736465781409602
2015-03-20,49500,50600,49300,49600,109771,-0.004016064257028162
2015-03-23,49700,50400,49550,50300,131553,0.014112903225806495
2015-03-24,50500,52300,50500,51300,348660,0.01988071570576544
2015-03-25,51200,52000,50700,51200,130717,-0.0019493177387914784
2015-03-26,50900,51400,49700,50100,126866,-0.021484375
2015-03-27,49800,50700,49100,50600,157932,0.009980039920159722
2015-03-30,50700,50900,49800,50000,121102,-0.011857707509881465
2015-03-31,50200,50500,49500,50100,131143,0.0020000000000000018
2015-04-01,49800,51600,49800,50300,228542,0.003992015968063978
2015-04-02,50300,57800,50100,56200,962905,0.11729622266401596
2015-04-03,57100,57500,55700,57500,340310,0.02313167259786475
2015-04-06,57100,58000,56100,56300,138041,-0.02086956521739125
2015-04-07,56400,57300,54700,55000,207247,-0.023090586145648295
2015-04-08,55000,55500,53700,54200,211961,-0.014545454545454528
2015-04-09,54500,59900,53900,57300,801471,0.05719557195571956
2015-04-10,56900,58100,56100,57900,307368,0.010471204188481575
2015-04-13,57400,60400,56900,59700,262457,0.031088082901554515
2015-04-14,59800,60700,58100,59700,230135,0.0
2015-04-15,59100,60000,57700,59100,177916,-0.01005025125628145
2015-04-16,59300,60000,56900,57100,155136,-0.03384094754653133
2015-04-17,57000,58800,56300,58000,183898,0.015761821366024442
2015-04-20,57500,58400,56000,57400,195844,-0.010344827586206917
2015-04-21,58000,58600,56000,57500,195540,0.0017421602787457413
2015-04-22,58400,61600,58400,60700,580943,0.05565217391304356
2015-04-23,61700,65000,60400,64200,648453,0.05766062602965394
2015-04-24,63600,64200,60700,62300,256156,-0.029595015576323935
2015-04-27,62300,63900,61700,63500,128370,0.019261637239165408
2015-04-28,63600,64800,61600,61600,165144,-0.0299212598425197
2015-04-29,69800,70800,63900,67400,1472667,0.0941558441558441
2015-04-30,67400,67900,62700,64700,534376,-0.0400593471810089
2015-05-04,69000,69700,65200,66300,451791,0.02472952086553315
2015-05-06,65900,66300,63200,64800,310565,-0.022624434389140302
2015-05-07,64800,66200,63300,65200,178703,0.006172839506172867
2015-05-08,65100,74900,63800,73900,776239,0.1334355828220859
2015-05-11,73700,75500,71200,72200,530560,-0.023004059539918797
2015-05-12,72600,74500,71000,72000,294287,-0.0027700831024930483
2015-05-13,71800,74200,70600,73900,234594,0.026388888888888795
2015-05-14,73800,73800,71100,71300,233575,-0.03518267929634644
2015-05-15,71300,75000,71200,72000,327869,0.009817671809256634
2015-05-18,75000,75700,69400,69900,268551,-0.029166666666666674
2015-05-19,69900,70400,66600,70200,454005,0.0042918454935623185
2015-05-20,70400,70400,67400,67600,229080,-0.03703703703703709
2015-05-21,67600,69600,67300,68500,207800,0.013313609467455523
2015-05-22,69200,72600,68800,70600,329651,0.03065693430656924
2015-05-26,70900,71200,68100,69300,146709,-0.018413597733711096
2015-05-27,68900,69200,65900,66400,197964,-0.0418470418470418
2015-05-28,66700,67600,66300,66300,110789,-0.001506024096385561
2015-05-29,66500,67000,64800,66700,138442,0.006033182503770718
2015-06-01,67000,67000,64300,65100,104674,-0.02398800599700146
2015-06-02,65100,68300,65100,66900,184766,0.02764976958525356
2015-06-03,66400,67400,63200,64200,218287,-0.04035874439461884
2015-06-04,64600,65000,62600,62800,156231,-0.02180685358255452
2015-06-05,62400,65000,62200,64700,139170,0.030254777070063632
2015-06-08,64000,67200,64000,67000,161670,0.03554868624420404
2015-06-09,66500,68900,66500,67100,125835,0.0014925373134329067
2015-06-10,68300,69700,66300,68600,143817,0.02235469448584193
2015-06-11,69700,69700,67700,69300,170476,0.010204081632652962
2015-06-12,69300,69800,66500,67300,120342,-0.028860028860028808
2015-06-15,66700,67800,64500,64500,120971,-0.04160475482912329
2015-06-16,63800,65700,63000,65100,150715,0.009302325581395321
2015-06-17,65100,65700,63800,65100,107426,0.0
2015-06-18,65500,68700,64500,67900,152894,0.043010752688172005
2015-06-19,67600,68900,66200,66700,141817,-0.0176730486008837
2015-06-22,67500,68000,65800,65800,82472,-0.013493253373313308
2015-06-23,66000,68300,65300,65300,170238,-0.0075987841945288626
2015-06-24,65300,67500,64900,65700,139987,0.006125574272588086
2015-06-25,65700,66900,65300,66400,215033,0.010654490106544845
2015-06-26,66100,67600,65000,66500,141215,0.001506024096385561
2015-06-29,64900,65500,63300,63600,160634,-0.043609022556390986
2015-06-30,63000,65900,61500,64600,227501,0.01572327044025168
2015-07-01,64300,65300,63800,64100,83338,-0.007739938080495334
2015-07-02,65700,67700,63400,63800,322760,-0.004680187207488307
2015-07-03,63900,64300,62500,62500,158673,-0.020376175548589393
2015-07-06,61500,61800,59600,60100,215243,-0.03839999999999999
2015-07-07,60900,61000,56700,58400,264612,-0.028286189683860208
2015-07-08,58500,59400,56100,56300,168224,-0.03595890410958902
2015-07-09,55400,57400,54600,57400,170291,0.019538188277087087
2015-07-10,57100,60600,56300,60300,245258,0.05052264808362361
2015-07-13,59700,60900,59200,60000,114473,-0.00497512437810943
2015-07-14,60200,62400,58800,61000,203623,0.016666666666666607
2015-07-15,60800,63100,60700,60800,183986,-0.003278688524590123
2015-07-16,60400,62300,60100,60800,104929,0.0
2015-07-17,61100,62000,59300,59500,105403,-0.021381578947368474
2015-07-20,59600,61900,59500,61000,99395,0.025210084033613356
2015-07-21,61300,62100,60500,61400,77087,0.006557377049180246
2015-07-22,61000,61600,58600,58800,105245,-0.04234527687296419
2015-07-23,59400,59400,57400,57800,105906,-0.017006802721088454
2015-07-24,57000,60500,56300,60400,141867,0.04498269896193774
2015-07-27,60900,61000,59100,59500,136006,-0.01490066225165565
2015-07-28,59400,59900,57900,58700,85790,-0.013445378151260456
2015-07-29,58700,59600,57200,57300,114212,-0.023850085178875657
2015-07-30,57600,58400,53400,55200,240257,-0.03664921465968585
2015-07-31,55300,56000,53200,54700,160505,-0.009057971014492794
