Date,Open,High,Low,Close,Volume,Change
2015-01-02,5810,5900,5770,5770,143232,-0.015358361774744034
2015-01-05,5800,6090,5760,6040,313485,0.04679376083188913
2015-01-06,6010,6070,5850,5870,264704,-0.028145695364238388
2015-01-07,5870,5960,5860,5900,120520,0.005110732538330387
2015-01-08,5920,6020,5920,5950,189604,0.008474576271186418
2015-01-09,5980,6110,5980,6050,228289,0.01680672268907557
2015-01-12,6000,6110,5990,6010,131689,-0.006611570247933907
2015-01-13,6100,6100,5930,5980,199247,-0.004991680532445919
2015-01-14,6040,6040,5810,5840,241733,-0.02341137123745818
2015-01-15,5820,5920,5760,5910,204832,0.011986301369863117
2015-01-16,5860,5870,5720,5730,373683,-0.030456852791878153
2015-01-19,5740,5840,5740,5790,177255,0.010471204188481575
2015-01-20,5800,5850,5730,5770,221434,-0.003454231433506094
2015-01-21,5760,5830,5560,5590,414289,-0.03119584055459268
2015-01-22,5630,5730,5620,5650,320200,0.01073345259391778
2015-01-23,5760,5790,5510,5520,578797,-0.023008849557522137
2015-01-26,5540,5580,5430,5450,262598,-0.0126811594202898
2015-01-27,5480,5530,5420,5470,355212,0.003669724770642091
2015-01-28,5450,5690,5450,5680,414838,0.03839122486288837
2015-01-29,5660,5710,5580,5670,248303,-0.0017605633802817433
2015-01-30,5740,5750,5590,5600,370369,-0.012345679012345734
2015-02-02,5560,5750,5550,5680,342631,0.014285714285714235
2015-02-03,5780,5800,5710,5710,275931,0.005281690140845008
2015-02-04,5800,5860,5760,5830,366994,0.021015761821365997
2015-02-05,5890,5900,5760,5830,318870,0.0
2015-02-06,5850,5930,5750,5870,206151,0.006861063464836947
2015-02-09,5930,5950,5810,5860,271525,-0.0017035775127768327
2015-02-10,5820,5950,5820,5920,204082,0.010238907849829282
2015-02-11,5900,5950,5800,5850,238886,-0.011824324324324342
2015-02-12,5780,5820,5680,5700,282428,-0.02564102564102566
2015-02-13,5710,5790,5680,5740,158901,0.007017543859649145
2015-02-16,5720,5810,5720,5790,133263,0.008710801393728262
2015-02-17,5780,5840,5750,5820,134043,0.005181347150259086
2015-02-23,5850,5880,5800,5810,131089,-0.0017182130584192379
2015-02-24,5800,5850,5770,5780,208715,-0.005163511187607606
2015-02-25,5820,6140,5810,6140,825990,0.06228373702422152
2015-02-26,6110,6230,6060,6220,558894,0.013029315960912058
2015-02-27,6200,6430,6120,6320,625706,0.016077170418006492
2015-03-02,6260,6510,6190,6420,917253,0.015822784810126667
2015-03-03,6540,6650,6420,6570,874991,0.02336448598130847
2015-03-04,6520,6550,6330,6330,611756,-0.0365296803652968
2015-03-05,6330,6510,6320,6460,403669,0.020537124802527673
2015-03-06,6540,6740,6490,6660,702869,0.030959752321981338
2015-03-09,6570,6660,6460,6470,414861,-0.028528528528528496
2015-03-10,6510,6540,6240,6460,453983,-0.0015455950540957941
2015-03-11,6350,6400,6200,6260,474461,-0.03095975232198145
2015-03-12,6250,6360,6170,6280,457883,0.0031948881789136685
2015-03-13,6360,6390,6280,6300,192198,0.0031847133757962887
2015-03-16,6270,6350,6210,6310,328229,0.0015873015873015817
2015-03-17,6390,6390,6300,6340,397973,0.004754358161648264
2015-03-18,6240,6290,6090,6090,902775,-0.039432176656151396
2015-03-19,6040,6140,5900,6090,805518,0.0
2015-03-20,6140,6200,6010,6110,440366,0.003284072249589487
2015-03-23,6080,6250,6070,6250,382162,0.022913256955810146
2015-03-24,6250,6440,6220,6240,472086,-0.0016000000000000458
2015-03-25,6240,6320,6200,6230,344252,-0.0016025641025640969
2015-03-26,6210,6320,6110,6290,371277,0.009630818619582593
2015-03-27,6350,6420,6230,6300,371827,0.0015898251192367763
2015-03-30,5880,5990,5810,5890,1287078,-0.06507936507936507
2015-03-31,5900,6120,5810,6010,709338,0.02037351443123936
2015-04-01,6000,6000,5860,5910,285808,-0.016638935108153063
2015-04-02,5940,5940,5850,5860,267002,-0.008460236886632777
2015-04-03,5860,5910,5830,5880,471486,0.0034129692832765013
2015-04-06,5920,5950,5830,5900,359753,0.00340136054421758
2015-04-07,5960,6170,5930,6080,699792,0.03050847457627115
2015-04-08,6100,6380,6070,6310,772858,0.03782894736842102
2015-04-09,6310,6350,6210,6310,476013,0.0
2015-04-10,6350,6470,6290,6400,565997,0.014263074484944571
2015-04-13,6460,6970,6380,6810,1523955,0.06406249999999991
2015-04-14,6890,6940,6680,6810,709931,0.0
2015-04-15,6870,6880,6710,6830,509579,0.002936857562408246
2015-04-16,6950,7140,6820,6880,649203,0.007320644216691097
2015-04-17,6870,6890,6680,6700,607529,-0.026162790697674465
2015-04-20,6610,6820,6590,6710,550936,0.0014925373134329067
2015-04-21,6660,6740,6420,6500,762015,-0.03129657228017879
2015-04-22,6450,6540,6240,6370,618764,-0.020000000000000018
2015-04-23,6410,6620,6370,6580,587529,0.03296703296703307
2015-04-24,6500,6610,6380,6610,713288,0.004559270516717229
2015-04-27,6680,6720,6440,6450,966436,-0.024205748865355536
2015-04-28,6600,6900,6510,6820,1170829,0.05736434108527133
2015-04-29,6800,6900,6580,6600,733134,-0.032258064516129004
2015-04-30,6580,6600,6370,6400,436755,-0.030303030303030276
2015-05-04,6270,6290,5900,6180,920621,-0.034375000000000044
2015-05-06,6060,6100,5960,6050,597817,-0.021035598705501646
2015-05-07,6050,6130,5890,6070,359422,0.0033057851239668423
2015-05-08,6030,6180,5980,6120,199188,0.008237232289950658
2015-05-11,6170,6270,6030,6050,314952,-0.011437908496731986
2015-05-12,6010,6080,5970,6000,237453,-0.008264462809917328
2015-05-13,5970,6150,5940,6100,241805,0.016666666666666607
2015-05-14,6080,6140,6010,6030,250548,-0.011475409836065542
2015-05-15,5990,6020,5740,5770,693923,-0.04311774461028195
2015-05-18,5760,5830,5700,5770,376885,0.0
2015-05-19,5770,5770,5600,5640,410587,-0.022530329289428108
2015-05-20,5650,5730,5510,5550,458044,-0.015957446808510634
2015-05-21,5540,5600,5420,5440,455696,-0.01981981981981984
2015-05-22,5440,5580,5420,5520,360197,0.014705882352941124
2015-05-26,5540,5580,5420,5470,289645,-0.009057971014492794
2015-05-27,5470,5470,5230,5260,577249,-0.038391224862888484
2015-05-28,5270,5460,5270,5360,479540,0.019011406844106515
2015-05-29,5340,5500,5340,5460,316339,0.018656716417910557
2015-06-01,5500,5510,5390,5410,276986,-0.009157509157509125
2015-06-02,5360,5430,5280,5290,357135,-0.02218114602587795
2015-06-03,5280,5410,5270,5320,150341,0.005671077504725952
2015-06-04,5310,5340,5120,5130,474186,-0.0357142857142857
2015-06-05,5020,5060,4880,4960,441682,-0.033138401559454245
2015-06-08,4950,5040,4870,5030,268104,0.014112903225806495
