Date,Open,High,Low,Close,Volume,Change
2015-01-02,53000,54700,52800,54600,82570,0.030188679245283012
2015-01-05,54800,55200,53500,55000,83144,0.0073260073260073
2015-01-06,54900,55300,54100,55200,69941,0.0036363636363636598
2015-01-07,55200,55300,53300,53500,62889,-0.030797101449275388
2015-01-08,52800,54000,52200,52800,62002,-0.013084112149532756
2015-01-09,52500,53800,52500,52900,41965,0.0018939393939394478
2015-01-12,53400,53400,52200,52300,28704,-0.011342155009451793
2015-01-13,52300,56700,52100,54700,135392,0.04588910133843216
2015-01-14,55000,55700,53800,54600,60350,-0.001828153564899404
2015-01-15,54800,55000,53300,53800,61913,-0.0146520146520146
2015-01-16,53700,53800,52000,52300,43120,-0.027881040892193343
2015-01-19,52500,52600,50500,50700,74357,-0.030592734225621365
2015-01-20,50700,51500,49750,51500,107509,0.015779092702169706
2015-01-21,51000,51200,49500,49650,125892,-0.03592233009708734
2015-01-22,49250,49350,45450,45700,363985,-0.07955689828801615
2015-01-23,45100,49150,45100,47450,241228,0.038293216630197024
2015-01-26,49000,54400,48850,52600,475573,0.10853530031612224
2015-01-27,52400,53700,51500,53500,132494,0.017110266159695797
2015-01-28,53000,54000,52300,53600,59118,0.0018691588785046953
2015-01-29,52700,56300,52600,55900,174127,0.042910447761194126
2015-01-30,56400,56900,55100,56400,97802,0.008944543828264706
2015-02-02,55500,55900,53000,54300,169184,-0.037234042553191515
2015-02-03,53900,55000,51000,54100,210640,-0.0036832412523020164
2015-02-04,54100,54200,52100,52100,121555,-0.0369685767097967
2015-02-05,52500,52800,51100,52600,85680,0.009596928982725572
2015-02-06,52600,52900,51700,52000,50019,-0.011406844106463865
2015-02-09,52000,53300,50800,52300,139324,0.005769230769230749
2015-02-10,51800,53300,51200,53100,131352,0.015296367112810794
2015-02-11,53200,55800,52100,55700,147648,0.048964218455743946
2015-02-12,55200,56100,52700,53600,175428,-0.037701974865350096
2015-02-13,53900,54300,52400,52800,102936,-0.014925373134328401
2015-02-16,52800,53500,50800,52100,155053,-0.013257575757575801
2015-02-17,51700,52900,51100,52400,70115,0.0057581573896352545
2015-02-23,52400,52600,51400,51800,64388,-0.011450381679389277
2015-02-24,51800,52500,51400,52500,86793,0.013513513513513598
2015-02-25,52500,52800,50900,50900,96197,-0.030476190476190435
2015-02-26,50900,51500,50500,50700,58373,-0.003929273084479323
2015-02-27,50700,51600,50200,50500,85916,-0.0039447731755424265
2015-03-02,50400,50600,48050,48400,147253,-0.04158415841584162
2015-03-03,48300,48900,47650,47900,150381,-0.010330578512396715
2015-03-04,48350,48550,47400,48100,154744,0.0041753653444676075
2015-03-05,47600,48150,47600,47950,119853,-0.0031185031185031464
2015-03-06,49800,53500,49200,52000,504531,0.08446298227320126
2015-03-09,51600,53500,51000,52500,220008,0.009615384615384581
2015-03-10,52600,52800,50600,51500,65743,-0.01904761904761909
2015-03-11,51100,53500,50700,53300,157248,0.03495145631067964
2015-03-12,53900,53900,51400,51500,216644,-0.0337711069418386
2015-03-13,52000,52000,50100,51400,207343,-0.001941747572815511
2015-03-16,50800,51200,49650,50500,218810,-0.017509727626459193
2015-03-17,50500,50900,49250,49600,161136,-0.017821782178217838
2015-03-18,49600,50200,48700,48900,142184,-0.014112903225806495
2015-03-19,49300,49800,48650,49700,112096,0.01635991820040905
2015-03-20,49500,49500,48750,49100,111586,-0.012072434607645843
2015-03-23,49900,49900,49200,49700,134416,0.012219959266802416
2015-03-24,49650,49700,48950,49500,204743,-0.004024144869215318
2015-03-25,49150,50200,49050,50200,203731,0.014141414141414232
2015-03-26,49900,50500,49500,49600,93388,-0.01195219123505975
2015-03-27,49600,52000,49450,51800,294417,0.04435483870967749
2015-03-30,52000,53200,51400,53100,171100,0.025096525096525157
2015-03-31,53800,55800,53500,54500,269249,0.026365348399246757
2015-04-01,54300,55800,53700,55800,180508,0.023853211009174258
2015-04-02,56300,58700,55000,57600,313344,0.032258064516129004
2015-04-03,58300,58600,56400,58000,130853,0.00694444444444442
2015-04-06,58900,59100,56800,58800,113230,0.01379310344827589
2015-04-07,58300,59000,56000,57000,150896,-0.030612244897959218
2015-04-08,56400,57200,55300,56500,116222,-0.00877192982456143
2015-04-09,56600,57600,55600,57600,131552,0.019469026548672552
2015-04-10,57600,58500,56000,58400,115375,0.01388888888888884
2015-04-13,59300,59400,57400,57800,157896,-0.010273972602739767
2015-04-14,58200,60400,57200,60100,197969,0.03979238754325265
2015-04-15,61000,61900,59200,59600,170732,-0.008319467554076532
2015-04-16,59900,61300,59500,60700,123120,0.01845637583892623
2015-04-17,61200,62000,60200,61800,153861,0.01812191103789118
2015-04-20,61700,63200,60800,62200,125600,0.006472491909385036
2015-04-21,63400,68800,63100,66500,259239,0.06913183279742774
2015-04-22,65700,67300,61300,66000,195173,-0.007518796992481258
2015-04-23,65400,66000,63000,63900,145467,-0.03181818181818186
2015-04-24,64500,65800,63500,64400,113414,0.00782472613458518
2015-04-27,65600,65700,63500,65000,68523,0.009316770186335477
