Date,Open,High,Low,Close,Volume,Change
2015-01-02,23750,23800,22900,23100,508406,-0.03144654088050314
2015-01-05,23150,23150,21950,22150,919879,-0.04112554112554112
2015-01-06,21800,21950,21350,21450,876308,-0.03160270880361171
2015-01-07,21400,21750,21250,21400,588158,-0.002331002331002363
2015-01-08,21550,21750,21250,21300,501716,-0.004672897196261627
2015-01-09,21550,23900,21400,22700,1559577,0.06572769953051649
2015-01-12,22900,23650,22650,22800,514764,0.004405286343612369
2015-01-13,23150,23650,22850,23150,668574,0.015350877192982448
2015-01-14,23250,23400,22250,22350,496838,-0.03455723542116629
2015-01-15,22250,22850,22100,22550,410770,0.008948545861297452
2015-01-16,22300,22500,21400,21550,466267,-0.04434589800443456
2015-01-19,21850,23000,21750,22850,696691,0.06032482598607891
2015-01-20,23300,23700,22450,22450,640260,-0.017505470459518557
2015-01-21,22650,22650,21650,21750,502292,-0.031180400890868598
2015-01-22,22000,22500,21900,22250,419826,0.02298850574712641
2015-01-23,22550,22700,21900,22000,392083,-0.011235955056179803
2015-01-26,21950,22050,21400,21550,389681,-0.020454545454545503
2015-01-27,21650,22150,21450,22000,395356,0.02088167053364276
2015-01-28,21950,23900,21850,23850,1397599,0.084090909090909
2015-01-29,23250,23650,22750,22950,1053330,-0.037735849056603765
2015-01-30,23250,23300,22200,22950,666169,0.0
2015-02-02,22800,23550,22650,23450,688535,0.02178649237472774
2015-02-03,23750,25100,23400,23950,1626840,0.021321961620469176
2015-02-04,24150,24400,23850,23850,654940,-0.0041753653444676075
2015-02-05,24000,24100,23150,23300,478495,-0.023060796645702264
2015-02-06,23300,23800,23050,23500,459359,0.008583690987124415
2015-02-09,23500,24050,23450,23550,407106,0.0021276595744681437
2015-02-10,23500,23700,22550,22750,623368,-0.03397027600849256
2015-02-11,22850,23850,22600,23850,507474,0.0483516483516484
2015-02-12,23900,24550,23750,24050,570286,0.008385744234800763
2015-02-13,24400,24450,23850,24300,443712,0.01039501039501034
2015-02-16,24350,24700,24100,24550,345981,0.010288065843621297
2015-02-17,24550,25800,24400,25500,974254,0.0386965376782078
2015-02-23,25800,25900,25150,25850,556230,0.013725490196078383
2015-02-24,25900,26000,25500,25900,374709,0.0019342359767891004
2015-02-25,25950,26500,25800,26200,510128,0.01158301158301156
2015-02-26,26250,26250,25350,25650,624814,-0.020992366412213692
2015-02-27,25550,25600,24900,24900,515271,-0.0292397660818714
2015-03-02,25000,26000,24750,25800,536570,0.03614457831325302
2015-03-03,25650,26100,25150,25800,425227,0.0
2015-03-04,25900,26500,25750,26150,471232,0.013565891472868241
2015-03-05,26400,26400,25850,25900,261265,-0.009560229445506718
2015-03-06,26000,26650,25200,25400,646164,-0.019305019305019266
2015-03-09,25000,25400,24750,25000,370892,-0.015748031496062964
2015-03-10,25400,25600,24750,24800,307035,-0.008000000000000007
2015-03-11,24500,25200,24450,24600,316917,-0.008064516129032251
2015-03-12,24700,24850,23850,23850,583405,-0.030487804878048808
2015-03-13,24000,24250,23600,23850,469715,0.0
2015-03-16,23800,23800,22800,23000,599422,-0.03563941299790352
2015-03-17,23150,23450,23050,23200,666034,0.008695652173912993
2015-03-18,23450,23700,23200,23200,328229,0.0
2015-03-19,23500,23550,22750,22850,672763,-0.015086206896551713
2015-03-20,22850,23150,22550,23000,527817,0.006564551422319376
2015-03-23,23250,24250,22950,24150,721047,0.050000000000000044
2015-03-24,24100,24150,23700,23900,329139,-0.010351966873705987
2015-03-25,24100,24750,24000,24450,605275,0.023012552301255207
2015-03-26,24250,24750,24000,24200,385377,-0.010224948875255602
2015-03-27,24250,24300,23700,23850,350552,-0.01446280991735538
2015-03-30,23650,23950,23450,23550,389675,-0.012578616352201255
2015-03-31,23500,24150,23500,23700,390564,0.006369426751592355
2015-04-01,23700,23800,22850,23000,497035,-0.029535864978902926
2015-04-02,23000,23250,22800,23200,300662,0.008695652173912993
2015-04-03,23100,24650,23000,24400,708813,0.051724137931034475
2015-04-06,24400,25200,24100,24300,733825,-0.004098360655737654
2015-04-07,24650,25400,24500,24900,628366,0.024691358024691468
2015-04-08,25000,25250,24500,25150,533320,0.010040160642570184
2015-04-09,25300,25350,24800,24900,382997,-0.00994035785288272
2015-04-10,24950,25300,24600,25150,545334,0.010040160642570184
2015-04-13,25450,27400,25100,27300,1737270,0.08548707753479134
2015-04-14,27350,29150,27300,28150,2250948,0.031135531135531025
2015-04-15,28350,28450,27600,28300,830927,0.005328596802841812
2015-04-16,28550,28550,27700,27800,542032,-0.017667844522968212
2015-04-17,27600,27800,26650,27450,765118,-0.01258992805755399
2015-04-20,26950,27650,26650,27350,560984,-0.0036429872495445936
2015-04-21,27700,28750,27500,28050,848016,0.025594149908592323
2015-04-22,28200,28350,26500,27100,885913,-0.033868092691622054
2015-04-23,27200,27500,26700,27300,532667,0.007380073800737907
2015-04-24,27050,27350,26350,26400,550870,-0.03296703296703296
2015-04-27,26400,27000,26100,26650,386001,0.009469696969697017
2015-04-28,26950,27200,26200,26350,402166,-0.011257035647279534
2015-04-29,27800,28950,27250,28750,2099445,0.09108159392789372
2015-04-30,28400,28700,27650,27700,717483,-0.03652173913043477
2015-05-04,28200,29300,27850,28900,1008740,0.04332129963898912
2015-05-06,28900,30250,28300,29300,1393672,0.01384083044982698
2015-05-07,29200,29250,27900,28100,854698,-0.04095563139931746
2015-05-08,28250,29000,27700,27700,654385,-0.014234875444839812
2015-05-11,28050,28350,27000,27000,759830,-0.02527075812274371
2015-05-12,27050,27250,26300,26650,710174,-0.012962962962962954
2015-05-13,26500,27100,26500,26600,414033,-0.0018761726078799779
2015-05-14,26600,27100,26600,26700,404599,0.003759398496240518
2015-05-15,26850,26950,25800,26000,683233,-0.02621722846441943
2015-05-18,26150,26400,25800,26000,422029,0.0
2015-05-19,26400,26850,26000,26100,459828,0.0038461538461538325
2015-05-20,26150,26650,25950,26100,404525,0.0
2015-05-21,26250,26250,25100,25100,774869,-0.03831417624521072
2015-05-22,25300,26100,25250,25800,415735,0.027888446215139417
2015-05-26,26100,26100,25550,25650,297852,-0.005813953488372103
2015-05-27,25550,26050,25000,25950,447527,0.011695906432748648
2015-05-28,26050,26200,25400,25650,533992,-0.011560693641618491
2015-05-29,25350,26900,25300,26850,770785,0.04678362573099415
2015-06-01,26850,29050,26600,28450,1761897,0.059590316573556734
2015-06-02,28550,31000,28050,29650,2566257,0.04217926186291732
2015-06-03,30000,31350,29700,30650,1705697,0.033726812816188945
2015-06-04,30950,31600,30100,30150,865152,-0.01631321370309946
2015-06-05,30000,31500,29800,30600,748832,0.014925373134328401
2015-06-08,30600,32900,30350,32800,1152023,0.07189542483660127
2015-06-09,33050,33400,31600,32000,1066006,-0.024390243902439046
2015-06-10,32250,33500,31600,33500,817178,0.046875
2015-06-11,33600,34900,33250,33800,1407468,0.008955223880596996
2015-06-12,34100,34700,33300,34150,662046,0.010355029585798814
2015-06-15,34200,34850,33850,34250,553071,0.002928257686676483
2015-06-16,34050,34250,29600,29600,2620330,-0.1357664233576642
2015-06-17,30500,32700,30200,31200,1911721,0.054054054054053946
2015-06-18,32300,33500,32000,32500,971389,0.04166666666666674
2015-06-19,32800,33100,31000,31950,529646,-0.01692307692307693
2015-06-22,31850,31850,30900,31300,352426,-0.020344287949921713
2015-06-23,31600,32700,30900,32700,526688,0.04472843450479225
2015-06-24,32700,33400,31000,31150,782265,-0.04740061162079512
2015-06-25,30950,30950,29650,30050,939213,-0.035313001605136396
2015-06-26,30000,30700,29300,30550,664279,0.016638935108153063
2015-06-29,30000,30350,29100,29250,595272,-0.04255319148936165
2015-06-30,29150,30150,29000,29300,612734,0.0017094017094017033
2015-07-01,29750,36600,29650,35300,2771218,0.20477815699658697
2015-07-02,35600,37200,34150,35700,1936099,0.011331444759206777
2015-07-03,36550,36800,35550,36100,970455,0.011204481792717047
2015-07-06,35550,41850,35400,39000,2633028,0.08033240997229907
2015-07-07,40250,40800,37750,38600,1245285,-0.01025641025641022
2015-07-08,38900,40850,37850,38000,1037754,-0.015544041450777257
2015-07-09,37500,37850,35900,37850,843590,-0.003947368421052588
2015-07-10,38800,39750,38050,38450,877998,0.01585204755614278
2015-07-13,39000,39350,37700,38550,467003,0.002600780234070177
2015-07-14,38600,40550,38250,40150,1091787,0.04150453955901434
2015-07-15,40350,40700,39100,39650,527911,-0.012453300124533051
2015-07-16,39400,40300,38700,39300,458424,-0.008827238335435084
2015-07-17,39650,40250,39050,39100,383840,-0.0050890585241730735
2015-07-20,38800,39050,37350,37500,559782,-0.04092071611253201
2015-07-21,37800,40300,37600,39500,677994,0.05333333333333323
2015-07-22,39750,40250,39400,39400,426795,-0.0025316455696202667
2015-07-23,39500,39700,37450,37500,551610,-0.048223350253807085
2015-07-24,37200,37300,34450,35150,1055142,-0.06266666666666665
2015-07-27,34350,35150,33800,34550,496294,-0.017069701280227556
2015-07-28,34500,36200,34150,35400,586249,0.02460202604920414
2015-07-29,35700,36950,35100,35700,526970,0.008474576271186418
2015-07-30,35700,38900,35350,38700,1048666,0.08403361344537807
2015-07-31,38900,39900,37800,38100,721356,-0.015503875968992276
2015-08-03,38750,40450,38500,39700,929993,0.04199475065616798
2015-08-04,39550,40350,39050,39400,544924,-0.007556675062972307
2015-08-05,37800,40000,37000,39600,827437,0.0050761421319796
2015-08-06,39950,40300,38500,39150,406082,-0.011363636363636354
2015-08-07,38650,39400,38050,38600,343074,-0.01404853128991057
2015-08-10,38250,38500,36000,36300,624560,-0.059585492227979264
2015-08-11,36900,37850,36250,36500,457588,0.005509641873278293
2015-08-12,36500,36800,33100,34200,958090,-0.06301369863013695
2015-08-13,34000,35350,33550,34900,489522,0.020467836257309857
2015-08-17,34850,35650,33800,34300,358875,-0.017191977077363862
2015-08-18,34250,34500,31700,31800,693814,-0.07288629737609331
2015-08-19,31100,32350,30650,32000,510945,0.0062893081761006275
2015-08-20,31400,31900,30700,30800,369871,-0.03749999999999998
2015-08-21,30200,32000,28700,29900,1185442,-0.02922077922077926
2015-08-24,29200,30450,29200,30250,619167,0.0117056856187292
2015-08-25,30550,30600,29350,30000,554656,-0.008264462809917328
2015-08-26,30000,31600,29550,31100,689405,0.036666666666666625
2015-08-27,31600,31800,30550,30750,552675,-0.0112540192926045
2015-08-28,31000,32150,30900,32000,641012,0.04065040650406515
2015-08-31,31700,31900,31000,31300,421852,-0.021874999999999978
2015-09-01,31200,31900,31100,31100,323302,-0.006389776357827448
2015-09-02,30300,30950,30150,30650,327550,-0.014469453376205754
2015-09-03,30900,31350,30650,30700,260899,0.0016313213703098572
2015-09-04,30750,32400,30700,31500,694966,0.026058631921824116
2015-09-07,31500,32150,31200,31350,310556,-0.004761904761904745
2015-09-08,31600,31700,30950,31400,219273,0.0015948963317384823
2015-09-09,32000,32650,31700,32600,351326,0.03821656050955413
2015-09-10,32200,33800,32050,33650,448243,0.03220858895705514
2015-09-11,33650,34150,33350,33850,281132,0.005943536404160454
2015-09-14,34000,34150,32550,32700,257648,-0.033973412112260015
2015-09-15,32950,34400,32850,33900,343521,0.03669724770642202
