Date,Open,High,Low,Close,Volume,Change
2015-01-02,83900,84800,83400,84000,267229,-0.01292596944770863
2015-01-05,83400,83500,80700,82000,503877,-0.023809523809523836
2015-01-06,80100,82000,79300,79500,488602,-0.030487804878048808
2015-01-07,79200,82000,79200,80100,360145,0.007547169811320753
2015-01-08,81300,82700,80600,82400,336403,0.02871410736579283
2015-01-09,83600,85400,82000,84900,437694,0.03033980582524265
2015-01-12,83500,86600,83500,84500,284186,-0.004711425206124886
2015-01-13,83800,83800,81700,82500,397618,-0.023668639053254448
2015-01-14,82500,84300,82500,83600,227611,0.01333333333333342
2015-01-15,85000,85700,81800,82700,461624,-0.010765550239234423
2015-01-16,82000,82300,80800,81400,331805,-0.01571946795646917
2015-01-19,83800,88500,83500,88000,1109836,0.08108108108108114
2015-01-20,87100,88900,86800,87300,392370,-0.007954545454545436
2015-01-21,85600,89100,84700,89000,472272,0.019473081328751363
2015-01-22,90100,92900,90000,92700,820698,0.04157303370786525
2015-01-23,93500,94700,91600,92200,968802,-0.005393743257820938
2015-01-26,91700,92000,90200,91300,305198,-0.009761388286334105
2015-01-27,92600,95600,92200,95200,701106,0.042716319824753546
2015-01-28,95500,96900,94100,95400,567810,0.0021008403361344463
2015-01-29,93600,94800,92100,92500,646536,-0.03039832285115307
2015-01-30,94000,94200,92100,93700,379370,0.012972972972973063
2015-02-02,98000,99400,97400,97500,969104,0.04055496264674496
2015-02-03,99200,101500,97600,100500,928070,0.03076923076923066
2015-02-04,103500,104000,97500,97800,1187501,-0.0268656716417911
2015-02-05,95500,96600,93600,94700,699872,-0.0316973415132924
2015-02-06,95500,101000,95200,100000,866992,0.05596620908130934
2015-02-09,100500,102500,99000,100500,497335,0.004999999999999893
2015-02-10,101000,103500,100000,100000,462607,-0.00497512437810943
2015-02-11,99600,102000,99100,100500,404288,0.004999999999999893
2015-02-12,100500,100500,96500,97200,676299,-0.032835820895522394
2015-02-13,99400,100500,97800,100500,432167,0.033950617283950546
2015-02-16,102000,103000,98300,99100,358248,-0.013930348258706426
2015-02-17,99100,102000,98400,101000,318932,0.019172552976791213
2015-02-23,101500,101500,99700,101000,213008,0.0
2015-02-24,100000,101000,99100,100500,311429,-0.004950495049504955
2015-02-25,100500,104000,99900,104000,548207,0.03482587064676612
2015-02-26,104500,105000,103000,104500,411667,0.004807692307692291
2015-02-27,102500,103500,101000,103500,345463,-0.009569377990430672
2015-03-02,105000,106000,101500,102500,537467,-0.009661835748792313
2015-03-03,102000,102500,100000,101000,467061,-0.014634146341463428
2015-03-04,101500,102000,95600,96100,970089,-0.04851485148514856
2015-03-05,96200,98900,96200,97700,379904,0.01664932362122795
2015-03-06,98600,101500,98500,98700,607826,0.010235414534288667
2015-03-09,97100,100500,97100,98200,232996,-0.005065856129685908
2015-03-10,99400,99500,96700,97900,308680,-0.003054989816700604
2015-03-11,96400,97900,94800,95500,487085,-0.024514811031664974
2015-03-12,95800,96700,94600,94700,399435,-0.008376963350785305
2015-03-13,95300,95600,92600,93600,360118,-0.011615628299894376
2015-03-16,92000,92200,89200,89300,800058,-0.04594017094017089
2015-03-17,89400,91700,89400,91700,469339,0.026875699888017968
2015-03-18,91500,91600,89300,89900,639458,-0.019629225736095934
2015-03-19,92300,93500,92100,93400,707640,0.03893214682981094
2015-03-20,92000,93500,91600,93500,345509,0.0010706638115631772
