Date,Open,High,Low,Close,Volume,Change
2015-01-02,82700,86300,82600,85000,128127,0.009501187648456089
2015-01-05,83500,85800,81000,84400,148152,-0.007058823529411784
2015-01-06,83500,84800,81700,82500,175157,-0.02251184834123221
2015-01-07,81200,81900,79800,80600,226121,-0.023030303030303068
2015-01-08,79000,79900,77500,78900,424384,-0.021091811414392092
2015-01-09,79500,81000,79000,80400,355066,0.019011406844106515
2015-01-12,80100,81000,80100,80700,96485,0.003731343283582156
2015-01-13,81500,82900,80400,82000,324115,0.01610904584882289
2015-01-14,81500,82800,81200,82000,169616,0.0
2015-01-15,82000,82600,81100,82600,135541,0.007317073170731714
2015-01-16,82200,83000,81600,82300,180434,-0.003631961259079941
2015-01-19,82300,83300,82100,82300,91173,0.0
2015-01-20,81900,83500,81900,82700,94889,0.004860267314702238
2015-01-21,82500,83700,82300,83600,84964,0.010882708585247869
2015-01-22,83200,83800,82100,83200,172176,-0.004784688995215336
2015-01-23,83100,86000,82900,86000,156003,0.033653846153846256
2015-01-26,86100,88200,85600,87500,161722,0.01744186046511631
2015-01-27,88000,88600,85500,88600,145611,0.012571428571428678
2015-01-28,86800,88700,86200,86800,124793,-0.020316027088036148
2015-01-29,86500,87200,84900,86100,168764,-0.008064516129032251
2015-01-30,87200,89500,86200,87800,225742,0.019744483159117365
2015-02-02,87800,89100,87300,88600,95862,0.009111617312072884
2015-02-03,89500,89800,88000,89200,159921,0.006772009029345272
2015-02-04,89000,89800,88500,88800,160413,-0.004484304932735439
2015-02-05,88300,89400,87800,89100,192369,0.0033783783783782884
2015-02-06,88000,89000,88000,88600,89374,-0.0056116722783389195
2015-02-09,88700,89200,87600,87800,121477,-0.009029345372460473
2015-02-10,87300,88000,86400,87800,136997,0.0
2015-02-11,88000,88300,87000,87500,202369,-0.003416856492027387
2015-02-12,85800,86000,75000,83700,1046945,-0.04342857142857148
2015-02-13,85000,86600,84900,86500,328161,0.03345280764635605
2015-02-16,85800,88400,85800,88200,109076,0.01965317919075149
2015-02-17,87500,88300,87000,87700,74977,-0.005668934240362855
2015-02-23,88700,89000,87100,88800,121756,0.012542759407069504
2015-02-24,87900,89300,87900,88300,174140,-0.005630630630630629
2015-02-25,88000,88400,86900,87600,230372,-0.007927519818799578
2015-02-26,85900,87600,85800,86000,342210,-0.0182648401826484
2015-02-27,85700,87200,85700,86200,277989,0.0023255813953488857
2015-03-02,85800,87400,83900,84400,296726,-0.02088167053364265
2015-03-03,84700,84900,83200,84900,303241,0.005924170616113722
2015-03-04,84300,86700,84200,85400,155380,0.005889281507656108
2015-03-05,85200,87600,85200,86500,149856,0.012880562060889833
2015-03-06,87100,87900,86500,86600,100429,0.0011560693641619046
2015-03-09,85600,87100,85600,86500,142415,-0.0011547344110854896
2015-03-10,86100,87500,86000,86500,145277,0.0
2015-03-11,87000,87000,85400,85500,259845,-0.011560693641618491
2015-03-12,85100,86200,84900,84900,221641,-0.007017543859649145
2015-03-13,86300,86400,85000,85400,122198,0.005889281507656108
2015-03-16,86200,86200,84800,85500,349947,0.0011709601873535203
2015-03-17,85600,88400,85500,88200,152977,0.03157894736842115
2015-03-18,89000,90400,87100,89900,228395,0.01927437641723362
2015-03-19,89900,90200,88100,90000,132279,0.0011123470522802492
2015-03-20,89000,90100,88300,90100,162246,0.0011111111111110628
2015-03-23,90400,90800,89600,90600,127570,0.005549389567147678
2015-03-24,90200,91500,90200,90600,157096,0.0
2015-03-25,90100,90900,89400,90200,111502,-0.004415011037527616
2015-03-26,91000,92500,89300,92500,153095,0.02549889135254979
2015-03-27,92500,92500,91400,92200,91090,-0.00324324324324321
2015-03-30,92200,93600,91300,93300,89480,0.01193058568329719
2015-03-31,92600,93200,91100,91500,132735,-0.019292604501607746
2015-04-01,92400,93700,91000,93200,117586,0.01857923497267766
2015-04-02,93200,94700,92500,94400,91434,0.012875536480686733
2015-04-03,94900,99600,94400,99400,204168,0.052966101694915224
2015-04-06,100000,102000,97200,100000,144639,0.006036217303822866
2015-04-07,100500,106000,99900,103500,233859,0.03499999999999992
2015-04-08,101500,104000,99100,99300,222098,-0.04057971014492756
2015-04-09,99300,99500,96200,97100,201648,-0.022155085599194324
2015-04-10,96600,98400,95700,97200,251992,0.001029866117404632
2015-04-13,96600,98400,96200,98000,122605,0.008230452674897082
2015-04-14,97100,98000,94900,95900,170443,-0.021428571428571463
2015-04-15,95000,96500,93800,95800,385069,-0.0010427528675703845
2015-04-16,95000,95900,94300,94900,316429,-0.009394572025052228
2015-04-17,95000,97600,95000,96200,217249,0.013698630136986356
2015-04-20,96400,96500,93800,95300,108830,-0.009355509355509328
2015-04-21,95000,95700,94600,95400,107205,0.0010493179433368471
2015-04-22,95400,97300,93500,94600,151784,-0.008385744234800874
