Date,Open,High,Low,Close,Volume,Change
2015-01-02,248004,249379,243419,243878,49012,-0.02564164029788729
2015-01-05,243419,244795,237918,237919,55476,-0.024434348321701882
2015-01-06,233793,236085,232417,232876,61452,-0.021196289493483067
2015-01-07,231501,234709,230584,230584,25823,-0.009842147752451957
2015-01-08,231042,235168,230584,231959,39171,0.005963119730770572
2015-01-09,232417,236543,232417,236085,33003,0.017787626261537515
2015-01-12,235168,236543,232876,235168,33654,-0.0038841942520702055
2015-01-13,235168,235168,229667,230584,48169,-0.019492447952102365
2015-01-14,231042,235168,231042,233793,22675,0.013916837248031166
2015-01-15,235626,238835,233793,234252,43234,0.001963275204988957
2015-01-16,233334,233793,224166,224625,70796,-0.0410967675836279
2015-01-19,227375,227375,224624,225083,23036,0.0020389538119087725
2015-01-20,225083,227833,224624,226000,28620,0.004074052682788043
2015-01-21,223707,225083,214081,217748,135078,-0.03651327433628315
2015-01-22,219123,220957,217290,219582,56131,0.008422580230358134
2015-01-23,221874,224624,220499,223250,44963,0.01670446575766693
2015-01-26,223707,224166,218665,224166,43974,0.00410302351623737
2015-01-27,225083,225541,220040,220957,41302,-0.014315284209023615
2015-01-28,219123,221415,217290,218665,60822,-0.010373059011481889
2015-01-29,217748,226916,216831,221416,80996,0.012580888573845872
2015-01-30,221874,222791,216831,217748,57576,-0.016566101817393486
2015-02-02,217290,225083,216831,224625,48244,0.03158237963150068
2015-02-03,225541,226458,222332,224625,48258,0.0
2015-02-04,226916,233334,226000,231959,73002,0.03264997217584864
2015-02-05,233334,234709,226458,227834,50375,-0.017783315154833446
2015-02-06,222791,223249,211330,215456,174314,-0.05432902902990777
2015-02-09,217290,217748,212705,215456,99586,0.0
2015-02-10,216831,217290,213164,213164,55652,-0.010637902866478588
2015-02-11,213164,218665,213164,218665,49358,0.02580642134694422
2015-02-12,219123,220957,215456,217748,47971,-0.004193629524615328
2015-02-13,218206,218665,214081,215915,41922,-0.00841798776567404
2015-02-16,217290,219123,215456,215915,35502,0.0
2015-02-17,215914,218206,214539,215456,30917,-0.002125836556052141
2015-02-23,215914,225541,215914,221874,55082,0.029787984553690805
2015-02-24,221415,229667,220957,226458,69270,0.02066037480732308
2015-02-25,230125,237918,229208,236085,116415,0.042511194128712626
2015-02-26,236543,237002,229208,231959,60239,-0.017476756253044456
2015-02-27,231501,232417,227375,229209,68755,-0.011855543436555593
2015-03-02,231501,231959,228292,229667,39723,0.001998176336880375
2015-03-03,228750,231042,227375,230126,34699,0.0019985457205431434
2015-03-04,228292,229208,223249,224166,59589,-0.025898855409645205
2015-03-05,224166,226458,224166,224625,33041,0.0020475897326088788
2015-03-06,225541,231959,225541,230584,49000,0.026528658875904387
2015-03-09,229667,233334,228292,232418,45138,0.007953717517260595
2015-03-10,233334,233334,227833,228292,47498,-0.017752497655086907
2015-03-11,226000,226916,216373,217748,127636,-0.04618646295095752
2015-03-12,218665,220957,215456,215456,68006,-0.010525929055605565
2015-03-13,216373,219582,215914,217290,50997,0.008512178820733629
2015-03-16,215914,218206,214997,215456,45846,-0.008440333195269045
2015-03-17,215914,219582,215456,217748,56300,0.010637902866478477
2015-03-18,217290,221874,216373,220041,59432,0.010530521520289549
2015-03-19,218665,223249,217748,218665,65077,-0.00625338005189946
2015-03-20,220498,222791,216373,220957,83246,0.010481787208743931
2015-03-23,221415,221415,219123,220041,37418,-0.004145602990627162
2015-03-24,220498,221415,217748,218207,29978,-0.008334810330801967
2015-03-25,219123,219582,217290,218207,27351,0.0
2015-03-26,217290,218665,213622,214081,65899,-0.01890865095986838
2015-03-27,215456,216831,214081,215915,34269,0.008566850864859532
2015-03-30,215456,215914,214081,214540,24920,-0.006368246763772789
2015-03-31,214997,217748,214539,217748,35865,0.014952922531928703
2015-04-01,219123,219123,213622,214998,40463,-0.012629277880853107
2015-04-02,215456,216831,212705,212706,45042,-0.01066056428431894
2015-04-03,213164,214081,209955,211789,55375,-0.004311114872170951
2015-04-06,212247,213164,209496,209955,36160,-0.008659562111346664
2015-04-07,212247,215456,212247,214540,35215,0.021838012907527737
2015-04-08,214539,216373,213164,215915,37906,0.0064090612473197694
2015-04-09,215456,215914,212247,214081,49080,-0.00849408331982493
2015-04-10,215456,226916,214539,226917,141546,0.05995861379571288
2015-04-13,228750,228750,222791,225542,67815,-0.00605948430483394
2015-04-14,226000,237460,226000,237460,145923,0.05284159934734989
2015-04-15,237460,242961,235168,241586,119039,0.01737555798871382
2015-04-16,242503,246170,237918,241128,92113,-0.0018958052205011455
2015-04-17,242961,245711,241127,244337,63623,0.013308284396668979
2015-04-20,241127,248004,240669,247546,96081,0.013133500042973534
2015-04-21,248004,248004,245253,246170,60212,-0.0055585628529647435
2015-04-22,246170,253046,240669,245254,76082,-0.003721005808993816
2015-04-23,250296,253046,247087,249838,117505,0.018690826653184
2015-04-24,249379,253963,245711,248004,80152,-0.007340756810413129
2015-04-27,247087,250296,245253,249379,51925,0.005544265415073912
2015-04-28,248462,249379,241127,246170,61785,-0.012867964022632239
2015-04-29,245711,252588,237002,238836,69808,-0.029792419872445852
2015-04-30,237002,237918,231042,237460,85557,-0.0057612755196033705
2015-05-04,237918,244336,234709,241128,33832,0.015446812094668472
2015-05-06,241127,243878,233334,236544,52513,-0.019010649945257252
2015-05-07,235626,235626,229208,234252,49486,-0.009689529220779258
2015-05-08,235168,240210,234709,238377,34156,0.017609241329849867
2015-05-11,237460,238377,226916,228292,153240,-0.042306933974334826
2015-05-12,228292,229667,223249,229209,78692,0.004016785520298605
2015-05-13,230125,242044,227833,240669,135318,0.04999803672630665
2015-05-14,241586,251212,241127,248462,130594,0.03238057248752435
2015-05-15,249379,254421,241127,248921,77616,0.0018473649894148458
2015-05-18,248920,252588,243878,250755,67717,0.007367799422306698
2015-05-19,251212,251671,243878,247546,51104,-0.012797351996969186
2015-05-20,246628,247545,243419,244795,40836,-0.011113086052693233
2015-05-21,243878,248920,242503,244337,35902,-0.0018709532465941425
2015-05-22,244795,250754,242503,250755,45940,0.026267000085946846
2015-05-26,249837,250296,244336,247087,33218,-0.01462782397160578
2015-05-27,245253,246628,235626,235627,74036,-0.04638042470870585
2015-05-28,236085,238377,234709,236544,48359,0.0038917441549568554
2015-05-29,235168,237002,231042,231959,74480,-0.01938328598484851
2015-06-01,231501,231501,225541,226917,49015,-0.021736600002586703
2015-06-02,225083,225541,216831,219582,95976,-0.032324594455241384
2015-06-03,216373,222791,216373,219124,43469,-0.00208578116603364
2015-06-04,219123,220498,215456,216832,37896,-0.010459830963290173
2015-06-05,215914,215914,213164,213164,36373,-0.016916322314049603
2015-06-08,211789,213164,209496,213164,49951,0.0
2015-06-09,213164,220957,213164,217290,41907,0.01935598881612277
2015-06-10,217748,220498,213164,213623,39568,-0.01687606424593857
2015-06-11,214081,215914,212705,213623,41862,0.0
2015-06-12,214081,214997,209496,209497,67972,-0.019314399666702564
2015-06-15,207663,210872,206288,209039,65101,-0.0021861888237063587
2015-06-16,207204,208121,203079,203079,63023,-0.02851142609752244
2015-06-17,203537,205371,201703,205371,43187,0.011286248208825178
2015-06-18,204454,212247,204454,209497,67715,0.020090470416952666
2015-06-19,210872,211330,202162,202162,116141,-0.0350124345456021
2015-06-22,205829,209955,204912,207205,73419,0.02494534086524669
2015-06-23,210872,210872,205829,206288,57161,-0.004425568881059827
2015-06-24,207204,207663,204454,206746,48771,0.0022201970061273
2015-06-25,205829,208580,205829,206288,40443,-0.0022152786510984956
2015-06-26,203537,207663,203537,205371,50462,-0.004445241603971195
2015-06-29,203537,208121,203537,205371,53023,0.0
2015-06-30,205371,214997,205371,214998,105615,0.04687614122733974
2015-07-01,215456,224166,214997,218207,136963,0.014925720239258089
2015-07-02,220040,220498,215456,215915,53022,-0.010503787687837662
2015-07-03,217748,222332,215456,220957,61204,0.023351781951230777
2015-07-06,218665,220498,214997,217290,42720,-0.016595989264879596
2015-07-07,219123,225541,216373,221416,88325,0.01898844861705551
2015-07-08,220040,223707,213164,214540,63560,-0.031054666329443203
2015-07-09,212705,213622,207663,211331,99701,-0.014957583667381424
2015-07-10,210872,214539,207663,209955,65550,-0.0065111128987228595
2015-07-13,208121,210413,207204,208580,36522,-0.006549022409564009
