Date,Open,High,Low,Close,Volume,Change
2015-01-02,179000,183500,176500,179500,121593,0.019886363636363535
2015-01-05,179000,181500,178000,179500,42554,0.0
2015-01-06,178500,180500,175000,175000,56486,-0.02506963788300831
2015-01-07,176000,185000,175500,184000,130377,0.05142857142857138
2015-01-08,187000,193000,186500,192500,465775,0.04619565217391308
2015-01-09,192500,194500,190500,192500,67477,0.0
2015-01-12,191000,193000,189500,191500,56835,-0.0051948051948051965
2015-01-13,193000,194000,182000,183000,149791,-0.044386422976501305
2015-01-14,183000,186500,180000,180000,71139,-0.016393442622950838
2015-01-15,181000,186500,181000,185500,49080,0.030555555555555447
2015-01-16,185000,185500,179500,181500,61695,-0.021563342318059342
2015-01-19,187500,188500,182000,183500,63034,0.011019283746556363
2015-01-20,184000,185500,177000,179000,107424,-0.02452316076294281
2015-01-21,177500,178000,160000,161500,773404,-0.0977653631284916
2015-01-22,162500,165000,157500,162000,281142,0.003095975232198178
2015-01-23,164500,165000,154000,158500,389060,-0.021604938271604923
2015-01-26,157000,158000,152000,153000,339907,-0.034700315457413256
2015-01-27,154000,156000,151000,152500,215131,-0.0032679738562091387
2015-01-28,151500,155000,151000,154000,173682,0.009836065573770592
2015-01-29,154000,159000,153000,154500,144966,0.0032467532467532756
2015-01-30,155500,156500,152500,154000,125329,-0.003236245954692518
2015-02-02,154000,157500,153000,157500,108579,0.022727272727272707
2015-02-03,159000,159000,148500,150000,309295,-0.04761904761904767
2015-02-04,151500,152500,148000,150500,199602,0.0033333333333334103
2015-02-05,151000,151500,147500,148000,109216,-0.01661129568106312
2015-02-06,148000,148500,139500,143500,393750,-0.030405405405405372
2015-02-09,143000,143500,134500,135000,353883,-0.059233449477351874
2015-02-10,135000,139500,133000,135500,281329,0.0037037037037037646
2015-02-11,136500,139500,136000,139000,150736,0.02583025830258312
2015-02-12,138500,139500,136000,138000,100928,-0.007194244604316502
2015-02-13,139000,142500,138000,139000,176707,0.007246376811594235
2015-02-16,139500,140500,137500,138000,63519,-0.007194244604316502
2015-02-17,137500,144500,137500,143500,160055,0.03985507246376807
2015-02-23,146000,146500,143500,144000,113110,0.0034843205574912606
2015-02-24,145000,146000,143500,144000,97691,0.0
2015-02-25,145000,146000,143500,145500,121114,0.01041666666666674
2015-02-26,145500,150000,144000,149000,127230,0.02405498281786933
2015-02-27,149500,149500,139500,140500,481327,-0.057046979865771785
2015-03-02,140500,141000,138000,140500,126871,0.0
2015-03-03,141000,147000,139500,144500,219741,0.028469750889679624
2015-03-04,145500,147000,142500,143500,118852,-0.00692041522491349
2015-03-05,144000,148000,143500,145000,95236,0.010452961672473782
2015-03-06,146000,152500,145500,152500,265000,0.051724137931034475
2015-03-09,151500,153000,148500,149500,146202,-0.01967213114754096
2015-03-10,151500,151500,147500,148500,145863,-0.006688963210702337
2015-03-11,146500,154500,146500,152500,233644,0.026936026936027035
2015-03-12,154000,154500,151000,151000,155716,-0.00983606557377048
2015-03-13,152500,153000,147000,149000,152902,-0.013245033112582738
2015-03-16,149000,150000,146500,149000,75339,0.0
2015-03-17,150500,153000,149000,151000,120861,0.01342281879194629
2015-03-18,151500,154000,148000,149500,129140,-0.009933774834437137
2015-03-19,151000,151500,147500,148500,102792,-0.006688963210702337
2015-03-20,148500,150000,145500,147000,149878,-0.010101010101010055
2015-03-23,148000,148000,143000,143500,157369,-0.023809523809523836
2015-03-24,143500,144500,142500,143000,83449,-0.0034843205574912606
2015-03-25,142500,145500,142000,142500,86631,-0.0034965034965035446
2015-03-26,141500,143000,140000,141000,122336,-0.010526315789473717
2015-03-27,141000,142500,141000,141000,77317,0.0
2015-03-30,142000,144500,141000,144500,69326,0.024822695035461084
2015-03-31,144500,145000,140500,141500,99552,-0.02076124567474047
2015-04-01,141500,141500,137500,139000,123505,-0.017667844522968212
2015-04-02,139500,140000,135500,136000,147102,-0.021582733812949617
2015-04-03,136500,140500,136000,140000,77752,0.02941176470588225
2015-04-06,140500,140500,136500,137000,85953,-0.021428571428571463
2015-04-07,138000,138500,135500,136000,98888,-0.007299270072992692
2015-04-08,136000,140000,135500,140000,105586,0.02941176470588225
2015-04-09,140000,140500,138000,139500,83726,-0.0035714285714285587
2015-04-10,139500,144500,139500,144500,138963,0.03584229390680993
2015-04-13,146500,147000,144000,146000,116870,0.01038062283737018
2015-04-14,146500,148000,145000,148000,148248,0.013698630136986356
2015-04-15,149500,149500,145000,145500,102765,-0.016891891891891886
2015-04-16,145000,145500,140500,143500,176566,-0.013745704467353903
2015-04-17,143000,145000,142500,144500,115501,0.006968641114982521
2015-04-20,142000,144500,141000,144000,87218,-0.0034602076124568004
2015-04-21,145500,145500,141500,142000,79895,-0.01388888888888884
2015-04-22,143000,144500,139500,141000,121185,-0.007042253521126751
