Date,Open,High,Low,Close,Volume,Change
2015-01-02,70400,70700,68600,68900,26011,-0.028208744710860323
2015-01-05,68100,70700,67200,70600,26731,0.02467343976777947
2015-01-06,69500,70500,66600,66800,46816,-0.053824362606232246
2015-01-07,65800,68000,65800,66600,28586,-0.0029940119760478723
2015-01-08,67200,67500,65800,66500,27169,-0.0015015015015015232
2015-01-09,68900,74200,68200,73100,91056,0.09924812030075181
2015-01-12,73100,75300,72200,72500,42154,-0.008207934336525335
2015-01-13,73000,74400,71600,74400,31970,0.026206896551724146
2015-01-14,74000,75000,72800,73900,12606,-0.006720430107526876
2015-01-15,73100,75100,73100,75000,15667,0.014884979702300516
2015-01-16,75400,75400,73400,74000,12816,-0.013333333333333308
2015-01-19,75100,76900,75100,75600,23947,0.021621621621621623
2015-01-20,76000,76000,73200,74000,14617,-0.021164021164021163
2015-01-21,74300,76500,72400,76200,41250,0.029729729729729648
2015-01-22,76800,77300,75400,75800,31624,-0.005249343832021025
2015-01-23,76900,78300,76400,76900,46647,0.014511873350923521
2015-01-26,78100,79600,77600,79400,57518,0.032509752925877766
2015-01-27,82300,82500,80000,80900,59823,0.018891687657430767
2015-01-28,82000,82500,80900,82000,62824,0.013597033374536549
2015-01-29,81100,83800,80100,82300,56752,0.003658536585365857
2015-01-30,83700,83700,80200,82200,33569,-0.0012150668286755595
2015-02-02,82300,82900,79900,79900,28005,-0.027980535279805374
2015-02-03,80900,81000,78400,80700,36884,0.01001251564455563
2015-02-04,81500,82400,80500,80800,20671,0.0012391573729864103
2015-02-05,80200,81800,80000,80600,26763,-0.0024752475247524774
2015-02-06,81400,81900,80300,80700,14223,0.001240694789081953
2015-02-09,80500,82400,80400,81800,29479,0.013630731102850069
2015-02-10,81500,84200,81500,83000,49263,0.014669926650366705
2015-02-11,83600,83900,78500,78800,61888,-0.050602409638554224
2015-02-12,79400,79400,76000,77500,62893,-0.016497461928933976
2015-02-13,78300,79100,76800,78500,22765,0.012903225806451646
2015-02-16,78300,80400,78300,79800,24122,0.016560509554140124
2015-02-17,80500,80600,79500,80100,10659,0.003759398496240518
2015-02-23,80600,82300,79600,81400,20096,0.01622971285892638
2015-02-24,82000,86000,82000,85600,75947,0.051597051597051635
2015-02-25,86700,87400,85600,86400,33038,0.009345794392523255
2015-02-26,87100,91000,86400,90800,69563,0.05092592592592582
2015-02-27,91400,94900,90800,94000,68373,0.03524229074889873
2015-03-02,95400,98500,92600,94000,90182,0.0
2015-03-03,93600,104000,91200,98300,104965,0.04574468085106376
2015-03-04,98400,100500,96500,96600,36706,-0.017293997965411978
2015-03-05,96400,100500,94000,99300,45681,0.02795031055900621
2015-03-06,99400,102000,97300,99000,43763,-0.0030211480362537513
2015-03-09,98200,101000,98100,100500,25753,0.015151515151515138
2015-03-10,102500,109500,102500,106000,85883,0.054726368159204064
2015-03-11,105500,106000,102000,104500,43866,-0.014150943396226467
2015-03-12,105500,107500,102000,105000,42463,0.004784688995215225
2015-03-13,104500,105500,99900,101000,68314,-0.03809523809523807
2015-03-16,100000,101500,97300,97300,61180,-0.036633663366336666
2015-03-17,98000,103000,96900,103000,56100,0.058581706063720373
2015-03-18,105000,105000,100500,102000,37113,-0.009708737864077666
2015-03-19,104500,111000,104000,109500,72258,0.07352941176470584
2015-03-20,110000,110000,105500,108000,24387,-0.013698630136986356
2015-03-23,109000,109000,103500,103500,32948,-0.04166666666666663
2015-03-24,105000,106500,102500,104500,23150,0.009661835748792313
2015-03-25,107000,107000,103500,103500,28301,-0.009569377990430672
2015-03-26,104000,113500,103000,112000,56800,0.08212560386473422
2015-03-27,114000,117500,108500,110500,50813,-0.013392857142857095
2015-03-30,110000,113000,109000,110000,22396,-0.004524886877828038
2015-03-31,110500,114500,109000,109000,38631,-0.009090909090909038
2015-04-01,109500,114000,108500,112000,25943,0.02752293577981657
2015-04-02,114000,119500,113500,117000,33227,0.044642857142857206
2015-04-03,118000,118500,114500,115000,21544,-0.017094017094017144
2015-04-06,115000,128000,114500,125500,85093,0.09130434782608687
2015-04-07,127000,127500,123000,125000,20541,-0.003984063745019917
2015-04-08,127000,133000,123500,132000,43587,0.05600000000000005
2015-04-09,130500,136000,127000,129500,40030,-0.018939393939393923
2015-04-10,128500,130500,126500,128500,36531,-0.007722007722007707
2015-04-13,132000,144000,129500,136000,67586,0.05836575875486383
2015-04-14,137500,143000,135000,139500,52019,0.025735294117646967
