Date,Open,High,Low,Close,Volume,Change
2015-01-02,20700,21300,20600,20600,15611,-0.014354066985645897
2015-01-05,20550,20750,19650,20400,54881,-0.009708737864077666
2015-01-06,20150,20850,19750,20300,57762,-0.004901960784313708
2015-01-07,20000,20250,19900,20100,14834,-0.009852216748768461
2015-01-08,20150,20250,19350,20000,37853,-0.00497512437810943
2015-01-09,19650,20700,19650,20650,29808,0.03249999999999997
2015-01-12,20950,20950,20250,20600,14859,-0.002421307506053294
2015-01-13,20950,21400,20100,21150,53290,0.02669902912621369
2015-01-14,21200,21500,20950,21250,23757,0.004728132387706863
2015-01-15,21100,21550,21050,21350,33945,0.004705882352941115
2015-01-16,21500,21500,20800,21150,15219,-0.00936768149882905
2015-01-19,21200,21200,20700,20800,16208,-0.01654846335697402
2015-01-20,20950,21000,20650,20700,7555,-0.004807692307692291
2015-01-21,21000,22200,20500,22150,50082,0.07004830917874405
2015-01-22,22400,22450,21600,22150,30594,0.0
2015-01-23,22000,22200,21500,22100,44466,-0.0022573363431150906
2015-01-26,21850,21850,21150,21500,36230,-0.02714932126696834
2015-01-27,21350,21800,21050,21600,28744,0.0046511627906977715
2015-01-28,21600,22750,21100,22700,62165,0.05092592592592582
2015-01-29,22700,22700,22200,22300,28627,-0.017621145374449365
2015-01-30,22100,22300,21600,21900,40683,-0.017937219730941756
2015-02-02,21600,22250,21200,21700,38386,-0.0091324200913242
2015-02-03,21650,21700,21000,21250,30285,-0.020737327188940058
2015-02-04,21450,21650,21100,21500,29935,0.0117647058823529
2015-02-05,21500,22000,21000,22000,37733,0.023255813953488413
2015-02-06,22100,22400,21500,22150,37944,0.006818181818181834
2015-02-09,22200,23500,21950,22900,83149,0.0338600451467268
2015-02-10,22900,23250,22200,22400,60522,-0.02183406113537123
2015-02-11,22200,22900,22200,22650,28505,0.01116071428571419
2015-02-12,22650,22900,22300,22600,35710,-0.002207505518763808
2015-02-13,22450,22950,22250,22900,24600,0.01327433628318575
2015-02-16,23300,23350,22650,22950,35160,0.0021834061135370675
2015-02-17,22950,24150,22700,23150,98507,0.008714596949890963
2015-02-23,23150,23400,22500,22800,37635,-0.015118790496760237
2015-02-24,22800,23250,22650,22800,48899,0.0
2015-02-25,22900,23200,22350,22400,58176,-0.01754385964912286
2015-02-26,22400,22600,21950,22200,48517,-0.008928571428571397
2015-02-27,22200,22450,21850,22000,45474,-0.009009009009009028
2015-03-02,22200,22600,21800,22100,65491,0.00454545454545463
2015-03-03,22150,22150,21750,21850,49427,-0.011312217194570096
2015-03-04,21950,22100,21550,21700,83979,-0.006864988558352381
2015-03-05,21650,22000,21500,21650,43936,-0.0023041474654378336
2015-03-06,21550,21850,21400,21550,43436,-0.004618937644341847
2015-03-09,21600,21800,21300,21450,30987,-0.004640371229698403
2015-03-10,21500,24000,21350,23000,158477,0.07226107226107237
2015-03-11,23150,23250,22250,22500,64237,-0.021739130434782594
2015-03-12,22600,24400,22400,24300,158652,0.08000000000000007
2015-03-13,24750,25400,23750,24550,136308,0.010288065843621297
2015-03-16,24850,25400,24350,24750,61655,0.008146639511201537
2015-03-17,24550,25000,24100,24450,56219,-0.012121212121212088
2015-03-18,24200,24650,23500,23900,76568,-0.02249488752556239
2015-03-19,24200,25500,23750,25450,143898,0.06485355648535562
2015-03-20,25650,27950,25400,26700,437046,0.04911591355599221
2015-03-23,26550,26550,25000,25050,123217,-0.061797752808988804
2015-03-24,25000,26700,25000,25900,106924,0.03393213572854292
2015-03-25,26200,26600,25800,26450,73585,0.021235521235521304
2015-03-26,26150,26400,25750,26400,59001,-0.001890359168241984
2015-03-27,26500,28400,26500,27850,188576,0.05492424242424243
2015-03-30,27950,27950,27000,27600,109933,-0.008976660682226245
2015-03-31,27750,27750,26850,27450,48365,-0.005434782608695676
2015-04-01,27400,27450,26350,27450,112310,0.0
2015-04-02,26800,28200,26800,28000,150330,0.020036429872495543
2015-04-03,28200,28200,27200,27950,88587,-0.0017857142857142794
2015-04-06,27850,28900,27650,28600,177919,0.023255813953488413
2015-04-07,28200,28650,28000,28400,85922,-0.006993006993006978
2015-04-08,28700,28900,28200,28900,93276,0.01760563380281699
2015-04-09,29000,30100,28650,29200,172843,0.01038062283737018
2015-04-10,29300,30300,28950,30300,131044,0.03767123287671237
2015-04-13,30700,31150,29450,31000,161253,0.02310231023102305
2015-04-14,31100,31200,29850,30000,75530,-0.032258064516129004
2015-04-15,30000,30550,29550,30000,144246,0.0
2015-04-16,30050,31750,29700,31600,159550,0.05333333333333323
2015-04-17,31300,32350,31000,32350,140115,0.023734177215189778
2015-04-20,32300,33000,31750,32500,98439,0.004636785162287493
2015-04-21,32800,32800,31800,32250,62637,-0.007692307692307665
2015-04-22,32500,32500,29250,31650,139441,-0.018604651162790753
2015-04-23,31500,31500,28650,30100,431657,-0.048973143759873605
2015-04-24,29650,30350,28900,29900,172223,-0.006644518272425293
2015-04-27,29650,30150,29150,30100,144416,0.006688963210702337
2015-04-28,30200,30500,28250,28600,209867,-0.04983388704318936
2015-04-29,28800,29400,28600,29400,119780,0.027972027972027913
2015-04-30,29350,29550,27400,29200,77671,-0.006802721088435382
2015-05-04,29600,29900,28350,29150,45317,-0.001712328767123239
2015-05-06,29150,29150,27200,28200,84757,-0.032590051457976
2015-05-07,28600,28600,26650,28250,92451,0.0017730496453900457
2015-05-08,28300,29500,27800,29300,98200,0.03716814159292037
2015-05-11,29500,29800,28750,29800,108894,0.017064846416382284
2015-05-12,29950,29950,29150,29700,70468,-0.003355704697986628
2015-05-13,29950,30300,29350,29850,31572,0.005050505050504972
2015-05-14,30300,30300,29050,29700,35340,-0.005025125628140725
2015-05-15,29950,30250,29150,30250,60739,0.0185185185185186
2015-05-18,30250,30400,29300,30400,80315,0.0049586776859504855
2015-05-19,30400,32000,30400,31700,130756,0.04276315789473695
2015-05-20,31700,34600,31100,34400,327486,0.08517350157728698
2015-05-21,34400,35550,34100,34200,203113,-0.005813953488372103
2015-05-22,34250,34500,33050,33800,108896,-0.011695906432748537
2015-05-26,33950,34000,32750,33950,87383,0.004437869822485174
2015-05-27,33850,33850,32350,33200,53130,-0.022091310751104598
2015-05-28,33150,34200,32800,33400,145522,0.006024096385542244
2015-05-29,33500,34100,32650,33700,112543,0.008982035928143617
2015-06-01,34150,34800,33500,34000,75941,0.008902077151335286
2015-06-02,34000,38400,33950,36850,648196,0.08382352941176463
2015-06-03,36400,36850,34500,36500,283842,-0.009497964721845276
2015-06-04,36550,36700,35100,36050,75173,-0.012328767123287676
2015-06-05,35500,36500,35300,36200,79528,0.004160887656033285
2015-06-08,36750,37300,36000,36600,78562,0.011049723756906049
2015-06-09,36700,38200,36000,37850,144129,0.03415300546448097
2015-06-10,38600,38600,35050,36100,207323,-0.04623513870541607
2015-06-11,36400,37200,35000,36650,192454,0.015235457063711877
2015-06-12,36650,37600,36050,36800,99125,0.004092769440654953
2015-06-15,36900,37450,36250,37050,53484,0.006793478260869623
2015-06-16,37000,38150,36000,37300,114613,0.006747638326585648
2015-06-17,37350,37700,36500,37100,61380,-0.00536193029490617
2015-06-18,37800,40200,37500,39400,552964,0.06199460916442057
2015-06-19,40600,41950,39950,40700,663412,0.03299492385786795
2015-06-22,41250,41450,39500,40200,304188,-0.012285012285012331
2015-06-23,40200,40750,39000,40000,261478,-0.00497512437810943
2015-06-24,40100,41300,40100,41100,441044,0.02750000000000008
2015-06-25,41200,42900,40600,42650,361482,0.03771289537712885
2015-06-26,43000,53200,42250,50000,1459665,0.17233294255568588
2015-06-29,48700,53000,48100,51000,716055,0.020000000000000018
2015-06-30,49900,50700,45400,49850,653540,-0.022549019607843168
2015-07-01,50200,52300,48550,49850,517841,0.0
2015-07-02,50300,58800,49900,57800,1375679,0.15947843530591777
2015-07-03,56800,58600,55500,57600,545876,-0.0034602076124568004
2015-07-06,56000,62000,54000,55400,913647,-0.03819444444444442
2015-07-07,56700,57800,41050,42500,1386363,-0.23285198555956677
2015-07-08,42500,44450,39000,44300,1066364,0.04235294117647048
2015-07-09,42600,45150,41100,43800,607009,-0.011286681715575675
2015-07-10,44750,44900,40650,41450,570977,-0.053652968036529636
2015-07-13,41250,43150,40300,42250,267772,0.0193003618817853
2015-07-14,43300,46250,43200,45900,553058,0.08639053254437878
2015-07-15,45200,47850,45050,45400,314265,-0.01089324618736387
2015-07-16,44500,45200,42800,43200,321602,-0.048458149779735726
2015-07-17,43600,44750,42200,43150,204453,-0.0011574074074074403
2015-07-20,43150,45400,42500,45050,194495,0.044032444959443806
2015-07-21,46000,46000,43400,44950,194282,-0.002219755826859071
2015-07-22,44500,45400,44100,44200,139511,-0.016685205784204626
2015-07-23,44500,44850,43000,44650,135997,0.010180995475113086
2015-07-24,44600,47600,44150,47500,294736,0.06382978723404253
2015-07-27,46500,46500,40200,41100,463933,-0.13473684210526315
2015-07-28,40050,42950,37800,42100,534348,0.024330900243308973
2015-07-29,42800,43300,39500,39900,315885,-0.052256532066508266
2015-07-30,39350,41950,38700,39800,237640,-0.0025062656641604564
2015-07-31,39100,41950,38500,41050,168090,0.031407035175879505
2015-08-03,40500,41350,38500,38500,115544,-0.062119366626065764
2015-08-04,37600,41550,37600,41250,153063,0.0714285714285714
2015-08-05,41250,45800,40900,44750,343026,0.08484848484848495
2015-08-06,45000,45800,43900,44600,174217,-0.003351955307262622
2015-08-07,43950,45300,43300,43600,110628,-0.022421524663677084
2015-08-10,44500,44950,42250,43350,106075,-0.005733944954128489
2015-08-11,43900,43900,41250,41450,80024,-0.0438292964244521
2015-08-12,41000,41000,36950,38900,262633,-0.06151990349819059
2015-08-13,38600,40750,38150,40300,119102,0.0359897172236503
