Date,Open,High,Low,Close,Volume,Change
2015-01-02,9500,9800,9200,9350,291771,0.030871003307607392
2015-01-05,9150,9420,9050,9280,156456,-0.007486631016042744
2015-01-06,9150,9280,8990,9060,141657,-0.023706896551724088
2015-01-07,8990,9130,8950,9010,94703,-0.0055187637969095205
2015-01-08,9000,9180,8880,9180,114971,0.018867924528301883
2015-01-09,9200,9460,9100,9390,184313,0.02287581699346397
2015-01-12,9420,9680,9240,9260,202772,-0.013844515441959526
2015-01-13,9260,9430,9200,9350,74114,0.009719222462202914
2015-01-14,9380,9420,9220,9270,78135,-0.00855614973262031
2015-01-15,9290,9300,9120,9240,92439,-0.003236245954692518
2015-01-16,9240,9260,9130,9200,75544,-0.0043290043290042934
2015-01-19,9320,9350,9210,9300,70856,0.010869565217391353
2015-01-20,9360,9450,9300,9440,95310,0.01505376344086029
2015-01-21,9460,9600,9380,9410,85784,-0.0031779661016949623
2015-01-22,9410,9450,9200,9230,82705,-0.019128586609989395
2015-01-23,9240,9300,9110,9150,92863,-0.008667388949079036
2015-01-26,9120,9120,8810,8850,216297,-0.032786885245901676
2015-01-27,8850,8930,8790,8880,101567,0.003389830508474523
2015-01-28,8860,8890,8790,8870,136327,-0.0011261261261261701
2015-01-29,8870,8870,8610,8640,195115,-0.025930101465614475
2015-01-30,8680,8850,8630,8850,97350,0.02430555555555558
2015-02-02,8870,8900,8800,8830,91225,-0.002259887005649719
2015-02-03,8840,8900,8690,8780,90789,-0.005662514156285381
2015-02-04,8880,8880,8710,8760,91710,-0.002277904328018221
2015-02-05,8750,8790,8710,8710,85722,-0.005707762557077611
2015-02-06,8710,8750,8650,8670,70245,-0.004592422502870286
2015-02-09,8630,8660,8510,8510,142107,-0.018454440599769306
2015-02-10,8520,8650,8520,8560,77896,0.005875440658049458
2015-02-11,8600,8600,8500,8570,83887,0.001168224299065379
2015-02-12,8570,8600,8400,8410,107631,-0.018669778296382722
2015-02-13,8500,8560,8450,8530,87896,0.014268727705113005
2015-02-16,8530,8700,8530,8670,113951,0.016412661195779554
2015-02-17,8750,8750,8670,8740,70854,0.008073817762399127
2015-02-23,8800,8830,8740,8800,102789,0.006864988558352492
2015-02-24,8800,8850,8750,8830,83922,0.003409090909090917
2015-02-25,8800,8900,8770,8810,107980,-0.0022650056625141968
2015-02-26,8870,8910,8810,8870,79212,0.006810442678774065
2015-02-27,8870,8920,8740,8790,121188,-0.009019165727170209
2015-03-02,8750,8900,8710,8740,136023,-0.005688282138794132
2015-03-03,8750,8910,8750,8870,98491,0.014874141876430214
2015-03-04,8850,8970,8830,8900,109094,0.0033821871476888976
2015-03-05,8840,9070,8840,9020,135259,0.01348314606741563
2015-03-06,8960,9080,8950,9030,104503,0.0011086474501109667
2015-03-09,9050,9050,8750,8870,90069,-0.017718715393133966
2015-03-10,8830,8970,8750,8780,91559,-0.01014656144306647
2015-03-11,8780,8800,8620,8620,119100,-0.018223234624145768
2015-03-12,8570,8620,8510,8510,156753,-0.012761020881670526
2015-03-13,8540,8650,8500,8580,80683,0.008225616921269108
2015-03-16,8580,8720,8550,8690,64498,0.012820512820512775
2015-03-17,8660,8750,8640,8700,80723,0.0011507479861909697
2015-03-18,8700,8750,8650,8680,73650,-0.0022988505747126853
2015-03-19,8720,8910,8710,8770,98260,0.010368663594469973
2015-03-20,8770,8800,8600,8650,114798,-0.013683010262257711
2015-03-23,8660,8810,8610,8750,75866,0.011560693641618602
2015-03-24,8750,8820,8660,8770,72254,0.0022857142857142243
2015-03-25,8780,8850,8730,8740,99684,-0.0034207525655644
2015-03-26,8820,8820,8680,8740,69040,0.0
2015-03-27,8750,9000,8720,8930,171371,0.021739130434782705
2015-03-30,8970,9040,8880,9020,151059,0.010078387458006821
2015-03-31,9060,9240,9030,9130,189394,0.012195121951219523
2015-04-01,9130,9200,9030,9130,104916,0.0
2015-04-02,9140,9320,9130,9190,152540,0.006571741511500528
2015-04-03,9160,9240,8980,9050,137100,-0.015233949945593017
2015-04-06,9100,9140,8970,9060,103057,0.0011049723756906271
2015-04-07,9100,9400,9060,9230,179614,0.01876379690949226
2015-04-08,9270,9420,9200,9380,166317,0.01625135427952329
2015-04-09,9380,9450,9270,9440,110321,0.006396588486140775
2015-04-10,9380,9600,9380,9530,181882,0.009533898305084776
