Date,Open,High,Low,Close,Volume,Change
2015-01-02,114000,119500,113000,118500,71797,0.03493449781659397
2015-01-05,119000,124000,118500,122000,51098,0.029535864978903037
2015-01-06,123500,129000,122500,128500,119257,0.05327868852459017
2015-01-07,131000,131500,124500,126000,52334,-0.01945525291828798
2015-01-08,127000,133500,127000,130000,81453,0.031746031746031855
2015-01-09,130500,144000,130500,139500,136832,0.07307692307692304
2015-01-12,143000,143000,136000,138000,40324,-0.010752688172043001
2015-01-13,139000,142500,138000,142000,54195,0.02898550724637672
2015-01-14,144000,145000,139000,139000,62622,-0.021126760563380254
2015-01-15,139500,144500,139500,140000,81898,0.007194244604316502
2015-01-16,141000,142500,138500,142000,47288,0.014285714285714235
2015-01-19,142500,144000,140000,140000,33720,-0.014084507042253502
2015-01-20,140000,143000,138500,140000,62034,0.0
2015-01-21,140000,146500,138500,145000,86794,0.03571428571428581
2015-01-22,146000,148000,143500,147500,87864,0.01724137931034475
2015-01-23,148000,149000,144500,145000,40601,-0.016949152542372836
2015-01-26,146500,153000,145000,148500,69148,0.024137931034482696
2015-01-27,149500,151000,148500,149500,33892,0.006734006734006703
2015-01-28,150000,151500,146500,151500,34372,0.013377926421404673
2015-01-29,152000,155000,148000,151500,67080,0.0
2015-01-30,152500,156000,151000,155000,68136,0.02310231023102305
2015-02-02,156500,159000,150500,155000,67381,0.0
2015-02-03,155000,155000,149500,151500,65984,-0.022580645161290325
2015-02-04,152500,156500,150500,156500,42387,0.03300330033003296
2015-02-05,157500,163000,157500,163000,123975,0.04153354632587858
2015-02-06,164500,167500,157500,160000,81790,-0.018404907975460127
2015-02-09,156000,157500,145500,150500,135885,-0.059374999999999956
2015-02-10,152000,156500,148500,155500,84430,0.03322259136212624
2015-02-11,157500,161000,152000,154000,74244,-0.009646302250803873
2015-02-12,159000,160500,155000,155500,197613,0.009740259740259827
2015-02-13,159000,164000,156500,158500,73251,0.019292604501607746
2015-02-16,158500,161500,156000,158500,52440,0.0
2015-02-17,159500,159500,156000,157500,40797,-0.006309148264984188
2015-02-23,158000,168000,158000,167500,113955,0.06349206349206349
2015-02-24,170500,180000,165000,173000,154361,0.032835820895522394
2015-02-25,175000,179000,172500,176500,125741,0.020231213872832443
2015-02-26,175000,179500,173000,179500,100351,0.016997167138810276
2015-02-27,182000,184500,172500,176500,932276,-0.01671309192200554
2015-03-02,175000,175500,166000,171500,182066,-0.028328611898016942
2015-03-03,170000,172500,163500,166000,120071,-0.03206997084548102
2015-03-04,166000,168500,164500,164500,52403,-0.009036144578313254
2015-03-05,166500,169500,164500,164500,85370,0.0
2015-03-06,166500,174500,165500,173000,84624,0.05167173252279644
2015-03-09,173000,176000,170500,172000,38575,-0.005780346820809301
2015-03-10,173500,188500,171500,180000,114803,0.04651162790697683
2015-03-11,180500,182000,176500,179000,65262,-0.005555555555555536
2015-03-12,180000,184500,177000,179000,57761,0.0
2015-03-13,181000,182000,172000,176000,169188,-0.016759776536312887
2015-03-16,177000,177500,169500,170000,100512,-0.03409090909090906
2015-03-17,171000,176000,169000,176000,89067,0.03529411764705892
2015-03-18,177500,177500,173000,176000,70377,0.0
2015-03-19,176000,176500,168000,169000,105338,-0.03977272727272729
2015-03-20,168000,176000,165500,176000,97258,0.041420118343195256
2015-03-23,175000,175000,169000,169000,72983,-0.03977272727272729
2015-03-24,169000,172000,166500,169500,29984,0.002958579881656709
2015-03-25,170000,176000,169500,176000,45242,0.03834808259587019
2015-03-26,178500,178500,172500,176500,44084,0.0028409090909091717
2015-03-27,174000,177000,170000,177000,63748,0.0028328611898016387
2015-03-30,175500,184000,175000,181500,64476,0.025423728813559254
2015-03-31,184000,185500,177000,184500,138110,0.016528925619834656
2015-04-01,187000,193500,184000,192000,108373,0.04065040650406515
