Date,Open,High,Low,Close,Volume,Change
2015-01-02,26400,26650,26150,26250,120179,-0.013157894736842146
2015-01-05,26250,26700,25700,26450,152718,0.007619047619047636
2015-01-06,26250,27100,26250,26750,236188,0.011342155009451904
2015-01-07,26650,27000,26300,26750,112533,0.0
2015-01-08,26950,27350,26350,26400,173494,-0.013084112149532756
2015-01-09,26700,27300,26400,27150,211927,0.02840909090909083
2015-01-12,27050,27800,26850,27500,230373,0.012891344383057168
2015-01-13,27400,27450,27000,27100,120582,-0.014545454545454528
2015-01-14,27000,27450,26950,27350,91502,0.009225092250922495
2015-01-15,27400,27900,27300,27900,123841,0.02010968921389389
2015-01-16,27650,27950,27300,27900,186493,0.0
2015-01-19,28050,28550,28050,28150,167063,0.008960573476702427
2015-01-20,28300,28400,27950,28300,107825,0.005328596802841812
2015-01-21,28350,28450,27850,28150,114141,-0.005300353356890497
2015-01-22,28350,28950,28050,28200,158312,0.001776198934280604
2015-01-23,28650,29150,28400,29150,228676,0.03368794326241131
2015-01-26,29100,29300,28650,28700,155764,-0.015437392795883409
2015-01-27,29000,30600,28950,30200,361078,0.05226480836236935
2015-01-28,29950,30450,29600,29750,204801,-0.01490066225165565
2015-01-29,29500,29950,29300,29600,142512,-0.005042016806722671
2015-01-30,29750,30350,29450,30250,164807,0.02195945945945943
2015-02-02,30300,30700,29700,29750,120081,-0.016528925619834656
2015-02-03,30050,31350,29150,31000,397822,0.04201680672268915
2015-02-04,31150,31650,30600,31250,263254,0.008064516129032251
2015-02-05,31050,31600,30850,31200,167461,-0.0016000000000000458
2015-02-06,31300,31500,30800,31400,135937,0.0064102564102563875
2015-02-09,31500,31500,30250,30500,161115,-0.0286624203821656
2015-02-10,30400,30850,30050,30550,122308,0.0016393442622950616
2015-02-11,30750,30750,30200,30350,65424,-0.006546644844517169
2015-02-12,30350,30600,30150,30400,104173,0.0016474464579900872
2015-02-13,31000,32800,30950,32450,404079,0.06743421052631571
2015-02-16,32750,33600,31950,32650,388229,0.006163328197226425
2015-02-17,32850,33000,32050,32300,168786,-0.01071975497702915
2015-02-23,32300,32700,32200,32550,141970,0.007739938080495445
2015-02-24,32550,34000,32550,33900,243794,0.041474654377880116
2015-02-25,33950,34500,33400,33500,219577,-0.01179941002949858
2015-02-26,33300,34000,33150,33400,134772,-0.0029850746268657025
2015-02-27,33500,34300,33300,33850,119892,0.013473053892215647
2015-03-02,33500,34800,33500,34500,172580,0.019202363367799125
2015-03-03,34350,34500,33300,33600,278735,-0.02608695652173909
2015-03-04,33300,33900,32500,32800,264285,-0.023809523809523836
2015-03-05,32550,33100,32500,32700,103525,-0.0030487804878048808
2015-03-06,32750,33450,32700,33000,151571,0.00917431192660545
2015-03-09,32500,33200,32450,32700,91758,-0.009090909090909038
2015-03-10,32800,33000,32250,32700,147981,0.0
2015-03-11,32150,32600,31400,31450,212996,-0.03822629969418956
2015-03-12,31450,32900,31200,32750,246458,0.04133545310015907
2015-03-13,32900,32900,31300,31600,243658,-0.03511450381679393
2015-03-16,31300,31450,30000,30850,328844,-0.02373417721518989
2015-03-17,31000,31200,30550,31200,187332,0.011345218800648205
2015-03-18,31800,33200,31750,32900,552150,0.054487179487179516
