Date,Open,High,Low,Close,Volume,Change
2015-01-02,30010,30350,29426,29475,158193,-0.03039573670186524
2015-01-05,28842,29329,28210,29329,214547,-0.004953350296861725
2015-01-06,28794,29280,28696,28794,182253,-0.018241331105731562
2015-01-07,28891,29037,28356,28357,118159,-0.015176772938806704
2015-01-08,28453,28891,28356,28892,156524,0.018866593786366792
2015-01-09,29134,29183,28745,28892,156316,0.0
2015-01-12,28696,30253,28696,30108,220008,0.0420877751626747
2015-01-13,30058,30399,29718,29962,167077,-0.004849209512421959
2015-01-14,30204,30350,29669,30351,111984,0.012983111941792913
2015-01-15,30204,30496,28745,28794,333701,-0.05129979242858551
2015-01-16,28891,29134,28356,28502,168690,-0.010141001597555044
2015-01-19,28599,29426,28356,28502,254864,0.0
2015-01-20,28599,29037,28502,28648,152275,0.005122447547540432
2015-01-21,28891,28891,27383,27432,321272,-0.04244624406590336
2015-01-22,27626,28210,27578,27919,227995,0.017752989209682157
2015-01-23,28210,28502,27724,27870,229998,-0.001755077187578391
2015-01-26,27821,28064,27626,27919,86664,0.0017581628991747422
2015-01-27,28016,28307,26994,27286,534200,-0.022672731831369308
2015-01-28,27043,27432,26994,27335,204230,0.0017957927142124852
2015-01-29,27286,27870,26313,26606,447581,-0.02666910554234503
2015-01-30,26556,26848,26313,26654,314551,0.0018041043373675514
2015-02-02,26556,26994,26410,26800,228504,0.005477601860883974
2015-02-03,26848,26945,26119,26216,292031,-0.021791044776119373
2015-02-04,26362,26702,26265,26703,281363,0.0185764418675618
2015-02-05,26702,26702,25973,26119,312664,-0.021870201849979454
2015-02-06,26265,27140,26021,27141,347339,0.039128603698457054
2015-02-09,27432,27432,26556,26557,215291,-0.021517261707379998
2015-02-10,26702,27091,26362,26460,220209,-0.0036525209925819535
2015-02-11,27043,27091,26654,26751,222655,0.010997732426303752
2015-02-12,26848,26897,26265,26557,223981,-0.007252065343351655
2015-02-13,26654,26751,26167,26314,190377,-0.009150129909251792
2015-02-16,26410,26556,26119,26168,143843,-0.005548377289655737
2015-02-17,26313,26848,26313,26849,191570,0.02602415163558547
2015-02-23,27286,27335,27043,27189,252555,0.012663413907407994
2015-02-24,27237,28016,27140,27821,339626,0.023244694545588196
2015-02-25,28113,28259,27821,27821,225655,0.0
2015-02-26,27918,30496,27918,30302,884106,0.08917724021422657
2015-02-27,30107,30350,29523,29767,412231,-0.017655600290409912
2015-03-02,29621,31469,29621,31323,558053,0.052272650922162045
2015-03-03,30983,31469,30545,31275,302129,-0.0015324202662579944
2015-03-04,30934,31566,30642,30643,201840,-0.020207833733013603
2015-03-05,30545,31420,30545,31032,204338,0.012694579512449788
2015-03-06,31323,32928,31177,32637,789566,0.051720804331013115
2015-03-09,32101,32490,32053,32442,215492,-0.005974813861568173
2015-03-10,32490,32685,31761,32199,285814,-0.007490290364342567
2015-03-11,31615,33025,31566,32491,308255,0.009068604615050102
2015-03-12,32588,32685,30691,30691,410085,-0.05539995691114463
2015-03-13,30983,32490,30934,32199,261255,0.04913492554820631
2015-03-16,32198,32198,30447,30594,340070,-0.049846268517655834
2015-03-17,30642,32101,30496,32102,288387,0.049290710596848974
2015-03-18,32393,32393,31226,31275,169749,-0.025761634789109755
2015-03-19,31712,32198,31663,32102,211299,0.02644284572342137
2015-03-20,32101,33755,32004,33755,390270,0.05149211887109839
2015-03-23,33755,34922,33414,34777,425482,0.030276996000592415
2015-03-24,34776,35457,34241,35020,529214,0.00698737671449523
2015-03-25,34874,35117,33901,34485,282515,-0.01527698458023985
2015-03-26,34047,34339,33804,34047,209961,-0.012701174423662476
2015-03-27,34144,34776,33804,34096,238926,0.0014391870061973844
2015-03-30,34095,35846,33804,35604,272858,0.044228061942749974
2015-03-31,35846,35895,34728,35361,220932,-0.006825075834175909
2015-04-01,35263,35457,34290,35361,373104,0.0
2015-04-02,35360,36284,34241,34339,280819,-0.028901897570770108
2015-04-03,34728,34922,33901,34826,172455,0.014182125280293612
2015-04-06,34825,36868,34630,36820,446800,0.05725607304887159
2015-04-07,38035,38035,36527,37014,402723,0.005268875611081025
2015-04-08,37014,39057,36771,38960,484617,0.05257470146431076
2015-04-09,39008,39348,38570,39106,293530,0.0037474332648870234
2015-04-10,39203,39543,38716,39154,181121,0.0012274331304658048
2015-04-13,39592,41732,39300,41635,485688,0.06336517341778625
2015-04-14,41634,41829,39883,40565,314407,-0.025699531644049478
2015-04-15,40662,41051,38862,40905,351952,0.00838160976211011
2015-04-16,40564,40905,39348,39981,299999,-0.02258892555922254
2015-04-17,39981,40321,39446,39933,284815,-0.0012005702708787203
2015-04-20,38911,42656,38911,42170,535866,0.05601883154283427
2015-04-21,42802,43288,40954,41149,501519,-0.024211524780649696
2015-04-22,41148,42267,40273,41100,312955,-0.0011907944299982542
2015-04-23,41099,42802,40564,42608,356353,0.03669099756691008
2015-04-24,42607,42899,40467,40954,331127,-0.03881900112654901
2015-04-27,41634,41683,40613,41440,190508,0.01186697270107917
2015-04-28,41002,41391,40224,40370,154861,-0.025820463320463283
2015-04-29,40516,41975,40127,40759,293167,0.009635868218974553
2015-04-30,40662,41391,40273,41100,217445,0.008366250398684993
2015-05-04,41148,41148,40127,40468,94678,-0.015377128953771302
2015-05-06,40224,41294,40175,40759,229935,0.0071908668577642665
2015-05-07,40516,40808,38570,40176,270253,-0.014303589391300053
2015-05-08,40175,40613,39251,40224,126812,0.0011947431302270495
2015-05-11,40759,42413,40273,41975,244713,0.043531225139220364
2015-05-12,41440,42705,41440,42510,251157,0.012745681953543864
2015-05-13,41926,42705,41926,42121,106200,-0.009150788049870573
2015-05-14,42315,42753,41878,41878,107529,-0.005769093801191838
2015-05-15,42413,43142,41634,41830,198504,-0.0011461865418597172
2015-05-18,41926,42024,39689,40419,329654,-0.0337317714558929
2015-05-19,40175,43045,40175,42802,434898,0.05895742101486934
2015-05-20,42948,43385,41975,42754,217087,-0.001121442923227911
2015-05-21,42753,44407,42364,43483,346493,0.0170510361603593
2015-05-22,43677,44845,43677,44505,427682,0.023503438125244358
2015-05-26,45136,45282,43677,43824,293168,-0.015301651499831426
2015-05-27,42996,43775,41829,42900,291196,-0.02108433734939763
2015-05-28,42899,42948,41489,42073,178847,-0.019277389277389312
2015-05-29,41440,42607,39932,42024,233584,-0.001164642407244565
2015-06-01,42024,43775,40856,42802,267681,0.01851323053493248
2015-06-02,42802,43288,41197,41392,294306,-0.032942385869819124
2015-06-03,41391,42461,40613,40905,265090,-0.011765558562040979
2015-06-04,40662,41099,39932,40857,214474,-0.0011734506784011334
2015-06-05,40370,41099,39640,40322,222176,-0.013094451379200622
2015-06-08,39932,40759,39494,39884,289254,-0.010862556420812464
2015-06-09,39883,41391,39592,40759,331883,0.021938622003811137
2015-06-10,41343,41343,39981,40224,195735,-0.013125935376235964
2015-06-11,40564,41586,40467,41246,193911,0.025407716785998513
2015-06-12,41732,42705,40516,41197,198571,-0.0011879939872957435
2015-06-15,41099,42072,40662,41294,182913,0.0023545403791538355
2015-06-16,41732,42121,40808,41003,216604,-0.007047028624013185
2015-06-17,41002,41294,39494,41051,203970,0.001170646050288937
2015-06-18,41440,44504,41440,43435,399895,0.058074102945117057
2015-06-19,43823,45185,43045,44796,386381,0.031334177506619154
2015-06-22,44796,46012,43920,44894,364930,0.0021876953299402313
2015-06-23,44942,45720,44310,45380,199046,0.010825500066824034
2015-06-24,45720,47179,45671,46742,329068,0.03001322168356113
2015-06-25,46887,47325,45526,46742,381503,0.0
2015-06-26,46693,47131,45185,46256,391441,-0.01039750117667193
2015-06-29,45234,46742,44747,44942,393395,-0.02840712556208924
2015-06-30,44407,46401,43872,45915,439630,0.021650126830136562
2015-07-01,45720,49514,45574,48931,542808,0.06568659479472938
