Date,Open,High,Low,Close,Volume,Change
2015-01-02,32400,32400,31800,32000,690715,0.0
2015-01-05,31700,32000,30950,31350,958318,-0.020312499999999956
2015-01-06,30850,31350,30650,30900,666425,-0.014354066985645897
2015-01-07,31000,31300,30750,30950,760263,0.0016181229773462036
2015-01-08,31000,32050,30900,31850,964886,0.029079159935379684
2015-01-09,32350,32450,32000,32300,720955,0.014128728414442682
2015-01-12,32400,32600,31800,32150,926263,-0.004643962848297267
2015-01-13,31900,32250,31350,31500,596266,-0.02021772939346811
2015-01-14,31500,32700,31200,32600,936753,0.03492063492063502
2015-01-15,32700,32850,32250,32550,744308,-0.0015337423312883347
2015-01-16,32300,32350,31850,32050,634361,-0.015360983102918557
2015-01-19,32500,33150,32350,33050,772114,0.03120124804992197
2015-01-20,33100,33200,32800,32800,559773,-0.0075642965204235635
2015-01-21,32800,33150,32750,33100,1114669,0.009146341463414531
2015-01-22,33000,33150,32850,33150,1040307,0.0015105740181269312
2015-01-23,33500,34100,33250,33600,1120661,0.013574660633484115
2015-01-26,33450,34000,33200,33700,772533,0.0029761904761904656
2015-01-27,33900,33900,33550,33850,474618,0.004451038575667754
2015-01-28,33800,33800,32800,32950,1369183,-0.026587887740029514
2015-01-29,32350,33450,32350,32750,2026334,-0.006069802731411222
2015-01-30,32850,33000,32050,32300,1731876,-0.013740458015267132
2015-02-02,32300,32550,31950,32300,765189,0.0
2015-02-03,32500,32500,31900,32150,935004,-0.004643962848297267
2015-02-04,32300,32400,31650,31900,1173687,-0.007776049766718529
2015-02-05,31600,31700,30050,30350,2334899,-0.048589341692789945
2015-02-06,30100,30300,29850,30000,1740893,-0.011532125205930832
2015-02-09,30000,30050,29050,29250,2911388,-0.025000000000000022
2015-02-10,29300,29550,29150,29250,1062285,0.0
2015-02-11,29200,29550,29050,29200,1486929,-0.0017094017094017033
2015-02-12,29100,29200,28400,28700,1531051,-0.017123287671232834
2015-02-13,28700,28950,28500,28750,1671238,0.0017421602787457413
2015-02-16,28800,29100,28700,28950,711193,0.006956521739130528
2015-02-17,28900,29500,28750,29450,1565646,0.017271157167530138
2015-02-23,29900,30000,29650,29850,1560329,0.013582342954159499
2015-02-24,29900,30100,29850,30000,1059394,0.005025125628140614
2015-02-25,30000,30100,29850,30000,1343832,0.0
2015-02-26,30000,30250,29950,30150,1026919,0.004999999999999893
2015-02-27,30050,30150,29950,30100,946537,-0.0016583747927031434
2015-03-02,29950,30000,29250,29400,1773226,-0.023255813953488413
2015-03-03,29450,29950,29450,29800,920883,0.013605442176870763
