Date,Open,High,Low,Close,Volume,Change
2015-01-02,68600,70300,67600,69000,46283,-0.007194244604316502
2015-01-05,68300,69900,67800,69600,73098,0.008695652173912993
2015-01-06,68600,69900,68600,69400,44774,-0.002873563218390829
2015-01-07,70000,72300,69400,72000,107954,0.03746397694524495
2015-01-08,71500,72300,68600,69100,121839,-0.040277777777777746
2015-01-09,69300,69400,67800,68700,86166,-0.005788712011577379
2015-01-12,68700,69100,67500,68600,78073,-0.0014556040756914523
2015-01-13,68600,68600,67400,68500,62057,-0.001457725947521915
2015-01-14,68200,69400,67300,67700,114937,-0.011678832116788329
2015-01-15,67400,68600,67400,68600,33732,0.013293943870014813
2015-01-16,68800,68800,66700,67700,99239,-0.013119533527696792
2015-01-19,67900,68000,66700,67700,43339,0.0
2015-01-20,68000,68100,67100,68000,31000,0.004431314623338345
2015-01-21,67900,68200,66100,66200,55978,-0.026470588235294135
2015-01-22,66700,66700,63800,64300,72832,-0.028700906344410915
2015-01-23,64300,64900,61200,61900,145630,-0.03732503888024885
2015-01-26,62500,62700,60600,61300,71717,-0.009693053311793265
2015-01-27,61500,62200,60100,61300,172214,0.0
2015-01-28,61100,63300,60700,62700,81248,0.022838499184339334
2015-01-29,62600,64600,62200,63500,98856,0.012759170653907415
2015-01-30,63500,64300,62500,63600,80648,0.0015748031496063408
2015-02-02,63200,64600,63000,63400,40995,-0.0031446540880503138
2015-02-03,63500,63500,60600,62200,51709,-0.018927444794952675
2015-02-04,62200,65500,61600,65500,62297,0.05305466237942125
2015-02-05,65000,65800,62100,62100,89374,-0.051908396946564905
2015-02-06,62700,63300,61600,62000,97429,-0.0016103059581320522
2015-02-09,62600,63700,61500,62700,55567,0.011290322580645107
2015-02-10,61800,63000,61600,62000,62933,-0.011164274322169043
2015-02-11,62100,63000,62000,62200,65811,0.003225806451612856
2015-02-12,62800,63400,62600,62600,36708,0.006430868167202508
2015-02-13,63400,65700,62700,65300,54070,0.04313099041533541
2015-02-16,65500,65800,63800,65200,37461,-0.0015313935681470214
2015-02-17,65400,66300,63600,65500,32793,0.004601226993865115
2015-02-23,66400,67000,65300,65700,51467,0.003053435114503733
2015-02-24,65700,66900,65600,66700,36213,0.015220700152207112
2015-02-25,67000,68600,65500,68000,65610,0.019490254872563728
2015-02-26,68500,68500,66000,66500,61226,-0.022058823529411797
2015-02-27,66500,67500,65000,65000,52228,-0.022556390977443663
2015-03-02,64500,64600,62200,62900,118666,-0.03230769230769226
2015-03-03,63400,69900,62600,68300,171270,0.08585055643879169
2015-03-04,68200,68700,66700,67200,58595,-0.016105417276720324
2015-03-05,67700,67900,67000,67000,45512,-0.0029761904761904656
2015-03-06,67500,68400,66300,66900,56727,-0.0014925373134327957
2015-03-09,66100,67200,65500,65500,53799,-0.020926756352765308
2015-03-10,66700,70300,66100,68800,107607,0.05038167938931304
2015-03-11,68600,70100,67300,67300,72304,-0.021802325581395388
2015-03-12,68000,71000,66800,69900,89768,0.038632986627043175
2015-03-13,70800,71600,68500,68500,70101,-0.02002861230329045
2015-03-16,70100,72800,69400,72100,75550,0.052554744525547425
2015-03-17,72100,72500,69600,69900,108068,-0.030513176144244092
2015-03-18,70200,71200,68600,68900,65514,-0.014306151645207432
2015-03-19,70700,70700,69200,70100,66527,0.01741654571843254
2015-03-20,69500,70100,68000,69700,172528,-0.005706134094151216
2015-03-23,69900,70000,68300,69700,83361,0.0
2015-03-24,69700,71200,69100,71200,70430,0.021520803443328518
2015-03-25,71200,71300,69100,69100,87719,-0.0294943820224719
2015-03-26,68500,69900,68400,69700,58550,0.00868306801736618
2015-03-27,70000,70100,68700,69700,47296,0.0
2015-03-30,69500,71100,68000,69900,74264,0.0028694404591105283
2015-03-31,69700,71400,69500,70800,65951,0.012875536480686733
2015-04-01,70800,71500,69600,70500,52550,-0.004237288135593209
2015-04-02,71100,71100,68300,68700,78764,-0.025531914893617058
2015-04-03,68600,69200,67300,68900,59714,0.0029112081513829047
2015-04-06,68800,69000,67300,67400,31798,-0.021770682148040676
2015-04-07,67400,68200,66600,67700,29556,0.004451038575667754
